regime,policy_id,f_pct,return,risk,status
historical_50,H2-1.50-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H2-2.00-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H2-1.00-SCA,1.0,0.7050221653015412,0.05188579112735619,DOMINATED
historical_50,H2-1.50-SCA,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H3-0.50-REJ,1.0,0.628332056490881,0.05188579112735575,DOMINATED
historical_50,H3-0.75-REJ,1.0,0.628332056490881,0.05188579112735575,DOMINATED
historical_50,H3-1.00-REJ,1.0,0.7072120866425298,0.05188579112735596,DOMINATED
historical_50,H3-0.50-SCA,1.0,0.628332056490881,0.05188579112735575,DOMINATED
historical_50,H3-0.75-SCA,1.0,0.6674586269566929,0.051885791127355516,DOMINATED
historical_50,H4-1.00-REJ,1.0,0.533457725748397,0.05434822042976781,DOMINATED
historical_50,H4-1.50-REJ,1.0,0.6128994047716414,0.05188579112735628,DOMINATED
historical_50,H4-2.00-REJ,1.0,0.6564534505164896,0.05188579112735531,DOMINATED
historical_50,H4-3.00-REJ,1.0,0.7105612523366043,0.05188579112735621,DOMINATED
historical_50,H4-1.00-SCA,1.0,0.533457725748397,0.05434822042976781,DOMINATED
historical_50,H4-1.50-SCA,1.0,0.6128994047716414,0.05188579112735628,DOMINATED
historical_50,H5-1.50-REJ,1.0,0.7050221653015412,0.05188579112735619,DOMINATED
historical_50,H5-1.50-SCA,1.0,0.7050221653015412,0.05188579112735619,DOMINATED
historical_50,H5-2.00-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H5-2.00-SCA,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H0,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H1-1.00-REJ,1.5,1.2194505013764276,0.07693624801504703,DOMINATED
historical_50,H1-1.50-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H1-2.00-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H1-3.00-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H1-1.00-SCA,1.5,1.2194505013764276,0.07693624801504703,DOMINATED
historical_50,H1-1.50-SCA,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H1-2.00-SCA,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H2-1.00-REJ,1.5,1.2183999503162317,0.07693624801504681,DOMINATED
historical_50,H2-1.50-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H2-2.00-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H2-1.00-SCA,1.5,1.2183999503162317,0.07693624801504681,DOMINATED
historical_50,H2-1.50-SCA,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H3-0.50-REJ,1.5,1.0713339832763333,0.07693624801504698,DOMINATED
historical_50,H3-0.75-REJ,1.5,1.0713339832763333,0.07693624801504698,DOMINATED
historical_50,H3-1.00-REJ,1.5,1.2225998598413335,0.07693624801504671,DOMINATED
historical_50,H3-0.50-SCA,1.5,1.0713339832763333,0.07693624801504698,DOMINATED
historical_50,H3-0.75-SCA,1.5,1.146076659764716,0.07693624801504675,DOMINATED
historical_50,H4-1.00-REJ,1.5,0.8935408159304208,0.08080033232969841,DOMINATED
historical_50,H4-1.50-REJ,1.5,1.0417446115767692,0.07719474686054954,DOMINATED
historical_50,H4-2.00-REJ,1.5,1.1246912613242714,0.07693624801504538,DOMINATED
historical_50,H4-3.00-REJ,1.5,1.2291710246992031,0.07693624801504727,DOMINATED
historical_50,H4-1.00-SCA,1.5,0.8935408159304208,0.08080033232969841,DOMINATED
historical_50,H4-1.50-SCA,1.5,1.0417446115767692,0.07719474686054954,DOMINATED
historical_50,H5-1.50-REJ,1.5,1.2183999503162317,0.07693624801504681,DOMINATED
historical_50,H5-1.50-SCA,1.5,1.2183999503162317,0.07693624801504681,DOMINATED
historical_50,H5-2.00-REJ,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
