policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,scheme,f_pct,n_paths,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,exp_cagr,median_cagr,exp_max_dd,median_terminal,dur_trades_p95,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin
H0,H0,,REJECT,50.0,50.0,episode,2.0,3000,0.07530152707338734,0.09229738917449243,0.10714594292580795,0.12508453245242915,0.14700599630241287,0.16092634600202269,0.19438416445655013,11.164235949842547,16.039128710122313,20.707157657401424,26.876602183863653,34.062695927213035,39.35715690660231,51.42154577851882,1.321596011600864,1.6346114947779533,1.8803452991962302,2.1548619032386256,2.426915031960557,2.6041834258404735,2.9567965563302656,0.9391872817253695,0.9764458286976985,0.9938339329965208,1.003968189248371,1.0116995632253598,1.0170025144602932,1.0254275459073072,1.9119720366844297,1.8803452991962302,0.11102177824914365,20.707157657401424,98.0,0.6213333333333333,0.08366666666666667,0.007666666666666666,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,episode,0.5,3000,0.01916367910888334,0.02366907223361696,0.027567134773832224,0.03239271534967494,0.03836309366956409,0.04224243603950817,0.05172218316060105,1.8525923312254904,2.027245309476765,2.1633806188538394,2.308903192857946,2.4495050717185753,2.539890657556111,2.7140029398034593,0.24016446392950502,0.2797877060770214,0.3091565098742822,0.339248963431988,0.3671726895546096,0.38457629479183647,0.41699736111320734,0.9846648889329312,0.9942592351316522,0.9984748740750418,1.001003975887247,1.0029869101067204,1.0042963684863218,1.0065847200856817,0.3104181515072464,0.3091565098742822,0.028692785243149062,2.1633806188538394,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,episode,1.0,3000,0.03810557511444231,0.04689867371128138,0.05459503978393564,0.06403262653432581,0.07551490873064588,0.08308640827621246,0.10129092843822052,3.399995409021394,4.074349701697543,4.633934838856291,5.28288381095674,5.943745275450523,6.392996162659603,7.301039660139173,0.5329704796017832,0.6329213461787281,0.7079552358457516,0.787915901794169,0.8630164950582938,0.9110119229279079,1.0017000579668867,0.969365021259009,0.9883709076120824,0.9969497481500835,1.0020079517744944,1.0059738202134405,1.0085762959396252,1.013048729805885,0.7135886834411307,0.7079552358457516,0.05675438633177088,4.633934838856291,95.0,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,episode,2.0,3000,0.07530152707338734,0.09229738917449243,0.10714594292580795,0.12508453245242915,0.14700599630241287,0.16092634600202269,0.19438416445655013,11.164235949842547,16.039128710122313,20.707157657401424,26.876602183863653,34.062695927213035,39.35715690660231,51.42154577851882,1.321596011600864,1.6346114947779533,1.8803452991962302,2.1548619032386256,2.426915031960557,2.6041834258404735,2.9567965563302656,0.9391872817253695,0.9764458286976985,0.9938339329965208,1.003968189248371,1.0116995632253598,1.0170025144602932,1.0254275459073072,1.9119720366844297,1.8803452991962302,0.11102177824914365,20.707157657401424,98.0,0.6213333333333333,0.08366666666666667,0.007666666666666666,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,episode,0.5,3000,0.01916367910888334,0.02366907223361696,0.027567134773832224,0.03239271534967494,0.03836309366956409,0.04224243603950817,0.05172218316060105,1.8525923312254904,2.027245309476765,2.1633806188538394,2.308903192857946,2.4495050717185753,2.539890657556111,2.7140029398034593,0.24016446392950502,0.2797877060770214,0.3091565098742822,0.339248963431988,0.3671726895546096,0.38457629479183647,0.41699736111320734,0.9846648889329312,0.9942592351316522,0.9984748740750418,1.001003975887247,1.0029869101067204,1.0042963684863218,1.0065847200856817,0.3104181515072464,0.3091565098742822,0.028692785243149062,2.1633806188538394,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,episode,1.0,3000,0.03810557511444231,0.04689867371128138,0.05459503978393564,0.06403262653432581,0.07551490873064588,0.08308640827621246,0.10129092843822052,3.399995409021394,4.074349701697543,4.633934838856291,5.28288381095674,5.943745275450523,6.392996162659603,7.301039660139173,0.5329704796017832,0.6329213461787281,0.7079552358457516,0.787915901794169,0.8630164950582938,0.9110119229279079,1.0017000579668867,0.969365021259009,0.9883709076120824,0.9969497481500835,1.0020079517744944,1.0059738202134405,1.0085762959396252,1.013048729805885,0.7135886834411307,0.7079552358457516,0.05675438633177088,4.633934838856291,95.0,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,episode,2.0,3000,0.07530152707338734,0.09229738917449243,0.10714594292580795,0.12508453245242915,0.14700599630241287,0.16092634600202269,0.19438416445655013,11.164235949842547,16.039128710122313,20.707157657401424,26.876602183863653,34.062695927213035,39.35715690660231,51.42154577851882,1.321596011600864,1.6346114947779533,1.8803452991962302,2.1548619032386256,2.426915031960557,2.6041834258404735,2.9567965563302656,0.9391872817253695,0.9764458286976985,0.9938339329965208,1.003968189248371,1.0116995632253598,1.0170025144602932,1.0254275459073072,1.9119720366844297,1.8803452991962302,0.11102177824914365,20.707157657401424,98.0,0.6213333333333333,0.08366666666666667,0.007666666666666666,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,episode,0.5,3000,0.01770393817349581,0.02165024369962062,0.02529257337632327,0.029783396550714655,0.03506639914637147,0.03901427023733615,0.046819460933756614,1.7467645751575454,1.8964595221996419,2.0137424016158563,2.136681123275129,2.262040194216124,2.3356714623972326,2.4712022294814076,0.21495895920225574,0.25033772423183237,0.2768054824235697,0.3034934396096814,0.3296965137468318,0.3446488160265637,0.3713880779694351,0.9856200523892161,0.9946409641115223,0.9986213874562878,1.0010577704623493,1.0029504473624036,1.0042963684863218,1.0063273453264447,0.2774454671844443,0.2768054824235697,0.02636051392185633,2.0137424016158563,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,episode,1.0,3000,0.035214134053806016,0.04300989850029981,0.05018754734924756,0.05898134833280498,0.0692696034967102,0.07671778056273434,0.09188952516545455,3.024832499136293,3.5667659782627883,4.02334488823348,4.524064902466797,5.074254484150823,5.413528457227577,6.05286648402389,0.4716618988553598,0.5588113801165052,0.6257560985990257,0.693708177786261,0.7629436262132715,0.8032282839311307,0.8748858424306754,0.9713419525083926,0.989267318249347,0.9971902383121634,1.002074386359368,1.005861161812563,1.0085762959396252,1.012654634459552,0.6286018023234997,0.6257560985990257,0.05220815554273592,4.02334488823348,97.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,episode,2.0,3000,0.06973421435333865,0.08482166094841552,0.0985818431320076,0.11543420493325461,0.13507600059236738,0.148584523051795,0.17718867837321248,8.85018021852321,12.305163236457846,15.665392412266481,19.772550336333055,24.874112509603147,28.345859928320913,35.18365957933994,1.140777583468347,1.4018099876628187,1.6130161764372069,1.8342788285173244,2.0707296558350476,2.2140280564822334,2.4658697036075212,0.9427307663832348,0.9782706153903395,0.9943732025855022,1.0040159035489888,1.011577698780181,1.0170072850258556,1.0253083400635543,1.6313205821399939,1.6130161764372069,0.10239006713610714,15.665392412266481,98.0,0.47533333333333333,0.04666666666666667,0.002,0.0,0.0,0.0,0.0
