policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,edge_A,edge_B,f_pct,n_paths,exp_cagr,median_cagr,max_dd_p50,max_dd_p95,max_dd_p99,P_dd_ge_10,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.2057544560741774,-0.20626385247284124,0.4897799046942475,0.5807040686346674,0.6185730765009239,1.0,1.0,0.998,0.9195,0.437,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.17060624857307305,0.1705162747706671,0.07907096194304251,0.13441834317630982,0.17422970709095495,0.235,0.0025,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.16604961091043194,0.165211759818906,0.08438433990964882,0.1447062662749578,0.1848964005120964,0.3005,0.006,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.7169286071715248,0.7151294701493244,0.0514268483839528,0.07600525605413333,0.09309151887389595,0.0055,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.32848944254413076,0.3282831200238324,0.06516406256944665,0.10420204987742805,0.13242735955716625,0.062,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.32309769255413534,0.3201431899710555,0.07003212461211888,0.11367134777626939,0.14567515909957005,0.1075,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.3334025534448597,0.3332967220189632,0.0635592626782446,0.09996317971086749,0.1267016645692688,0.05,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.02744675830337368,0.027176387786730816,0.12506414369281094,0.23427624592136265,0.29060071754243866,0.72,0.113,0.008,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.2057544560741774,-0.20626385247284124,0.4897799046942475,0.5807040686346674,0.6185730765009239,1.0,1.0,0.998,0.9195,0.437,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.17060624857307305,0.1705162747706671,0.07907096194304251,0.13441834317630982,0.17422970709095495,0.235,0.0025,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.16604961091043194,0.165211759818906,0.08438433990964882,0.1447062662749578,0.1848964005120964,0.3005,0.006,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.63397308902348,0.6346656110320437,0.051028724896051904,0.06829776708036382,0.08129931465046696,0.003,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.29143877422992476,0.291782725186049,0.05759327635344311,0.09160277270435535,0.1121864450445371,0.027,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.25911275139183726,0.25818089787490284,0.06253277757626587,0.10143823950956816,0.12673430880167527,0.056,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.32411268520639613,0.3236398892433241,0.055297481863386067,0.08515982519536752,0.10308162237622148,0.0145,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.020265765602409794,0.020721859872489645,0.1102130889263018,0.21149972204185938,0.2595743373641921,0.607,0.0705,0.002,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.19432039832349454,-0.1943603589407752,0.46593391618353786,0.5528623864749457,0.5816896851279638,1.0,1.0,0.9985,0.8805,0.2685,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.16243769591454515,0.16267484758601014,0.0678443248166061,0.11397227399027725,0.14310570038247517,0.105,0.0,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.1335098809601976,0.1332956368174032,0.07469636381386655,0.12807862741458373,0.16354267941150358,0.1925,0.001,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.7100478295583378,0.7086440803540267,0.0510287248960522,0.07450752783301635,0.09144417462928305,0.0045,0.0,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.32518199058416836,0.3249230008072983,0.06425727674738474,0.10171240971599754,0.13064870585962493,0.058,0.0,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.32003470302166065,0.317061099994834,0.068810983066366,0.11034240118539854,0.14315897201435682,0.0905,0.0,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.3298512618089326,0.33003282472250106,0.06262545167346496,0.0982681674470083,0.12240188908853575,0.044,0.0,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.026453746825414223,0.026496682849260877,0.12376852022733245,0.23109724181461616,0.28964703357387317,0.7145,0.1115,0.0075,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.20530818120410033,-0.2056814761365766,0.48971184397552714,0.5782998334798428,0.6162782310068978,1.0,1.0,0.998,0.919,0.43,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.16848030126257932,0.16756880621714643,0.07818116518284257,0.13274434687520648,0.17263920080605646,0.2145,0.0015,0.0,0.0,0.0,0.0
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.16413603296094828,0.16362418087633157,0.08323004155292729,0.14268689700645504,0.18046091949456558,0.288,0.0035,0.0,0.0,0.0,0.0
