policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,f_pct,variant,max_dd,terminal_equity,max_dd_ratio_vs_historical
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,insert_worst_1,0.051885791127355994,4.58139381532733,0.9999999999999913
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,insert_p99_loss_cluster,0.051885791127356355,5.083838268224278,0.9999999999999982
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,worstA_cluster,0.06467923052980737,4.601988314416931,1.2465692268437951
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,worstB_cluster,0.0641751288051636,4.524049603847442,1.2368536242926762
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,mixed_AB_cluster,0.06467923052980737,4.601988314416931,1.2465692268437951
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,historical,0.10169539210315699,21.179471139282125,1.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,worst5_x1_50,0.12620097822822327,16.697754391741853,1.2409704669825008
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,worst5_x2_00,0.16181068594790302,13.151316103596487,1.5911309509851412
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,insert_worst_1,0.10169539210315895,20.40929642874725,1.0000000000000193
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,insert_p99_loss_cluster,0.10169539210315849,25.126813282660052,1.0000000000000147
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,worstA_cluster,0.12687483300290128,20.585811441723667,1.2475966745297855
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,worstB_cluster,0.12498470557436749,19.89396210893802,1.2290105086333356
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,2.0,mixed_AB_cluster,0.12687483300290128,20.585811441723667,1.2475966745297855
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,historical,0.026244201895902174,2.1547294018280354,1.0
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,worst5_x1_50,0.031469841033843544,2.031440599868311,1.1991159479213316
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,worst5_x2_00,0.04134565204954638,1.9150898258845754,1.5754204381426504
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,insert_worst_1,0.02624420189590318,2.1350638842739333,1.0000000000000384
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,insert_p99_loss_cluster,0.0262442018959018,2.249148914668799,0.9999999999999857
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,worstA_cluster,0.026244201895902163,2.178942484982536,0.9999999999999996
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,worstB_cluster,0.02624420189590167,2.1627908251013053,0.9999999999999808
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,0.5,mixed_AB_cluster,0.026244201895902163,2.178942484982536,0.9999999999999996
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,historical,0.05188579112735619,4.611175287730536,1.0
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,worst5_x1_50,0.06229541403931718,4.097217986179923,1.2006256951235468
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,worst5_x2_00,0.08140473154035135,3.6396551481088113,1.5689214671612022
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,insert_worst_1,0.051885791127355314,4.527114967807242,0.9999999999999831
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,insert_p99_loss_cluster,0.051885791127355696,5.023606624034532,0.9999999999999905
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,worstA_cluster,0.051885791127356216,4.714774123062651,1.0000000000000004
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,worstB_cluster,0.05188579112735583,4.645483643854204,0.999999999999993
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,1.0,mixed_AB_cluster,0.051885791127356216,4.714774123062651,1.0000000000000004
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,historical,0.10169539210316005,20.689539198799206,1.0
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,worst5_x1_50,0.12201104439339214,16.312421305408815,1.1997696441312096
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,worst5_x2_00,0.15774326050630247,12.848559904728132,1.5511347883519377
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,insert_worst_1,0.10169539210315685,19.937180475640254,0.9999999999999686
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,insert_p99_loss_cluster,0.10169539210315837,24.545569855533312,0.9999999999999835
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,worstA_cluster,0.1014068941202411,21.618423609246193,0.9971631164701515
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,worstB_cluster,0.1016953921031567,20.9938928943591,0.9999999999999671
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,2.0,mixed_AB_cluster,0.1014068941202411,21.618423609246193,0.9971631164701515
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,historical,0.02624420189590232,2.1677257354663304,1.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,worst5_x1_50,0.032579074438843524,2.043686250188328,1.2413817942747312
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,worst5_x2_00,0.0424468911580336,1.926627434153335,1.6173816725842638
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,insert_worst_1,0.026244201895901348,2.1479416045832944,0.999999999999963
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,insert_p99_loss_cluster,0.026244201895902222,2.2627147432468333,0.9999999999999963
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,worstA_cluster,0.03264526816905657,2.152860860442188,1.243904017296624
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,worstB_cluster,0.03251682121087841,2.134557175591946,1.2390097187887996
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,0.5,mixed_AB_cluster,0.03264526816905657,2.152860860442188,1.243904017296624
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,historical,0.051885791127356445,4.666461995073081,1.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,worst5_x1_50,0.06447290318557138,4.146284673125131,1.2425926594685468
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,worst5_x2_00,0.08355068175178512,3.683190654151707,1.6102805784864205
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,insert_worst_1,0.051885791127355994,4.58139381532733,0.9999999999999913
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,insert_p99_loss_cluster,0.051885791127356355,5.083838268224278,0.9999999999999982
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,worstA_cluster,0.06467923052980737,4.601988314416931,1.2465692268437951
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,worstB_cluster,0.0641751288051636,4.524049603847442,1.2368536242926762
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,1.0,mixed_AB_cluster,0.06467923052980737,4.601988314416931,1.2465692268437951
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,historical,0.10169539210315699,21.179471139282125,1.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,worst5_x1_50,0.12620097822822327,16.697754391741853,1.2409704669825008
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,worst5_x2_00,0.16181068594790302,13.151316103596487,1.5911309509851412
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,insert_worst_1,0.10169539210315895,20.40929642874725,1.0000000000000193
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,insert_p99_loss_cluster,0.10169539210315849,25.126813282660052,1.0000000000000147
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,worstA_cluster,0.12687483300290128,20.585811441723667,1.2475966745297855
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,worstB_cluster,0.12498470557436749,19.89396210893802,1.2290105086333356
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,2.0,mixed_AB_cluster,0.12687483300290128,20.585811441723667,1.2475966745297855
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,historical,0.02624420189590209,2.016428219242724,1.0
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,worst5_x1_50,0.027917187856544335,1.9068110885992144,1.0637468789212245
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,worst5_x2_00,0.033216011789530486,1.8030489715689155,1.2656514349829404
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,insert_worst_1,0.02624420189590211,1.9980249318004752,1.0000000000000009
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,insert_p99_loss_cluster,0.026244201895902115,2.1047874210885658,1.0000000000000009
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,worstA_cluster,0.026244201895901712,2.0160315069361316,0.9999999999999856
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,worstB_cluster,0.026244201895901712,2.0160315069361316,0.9999999999999856
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,0.5,mixed_AB_cluster,0.026244201895901712,2.0160315069361316,0.9999999999999856
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,historical,0.05188579112735575,4.041633237997365,1.0
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,worst5_x1_50,0.05536847843338735,3.613043402262327,1.0671221779674362
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,worst5_x2_00,0.06557669461925913,3.2291522490911024,1.2638661412774552
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,insert_worst_1,0.05188579112735607,3.9679554960337047,1.0000000000000062
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,insert_p99_loss_cluster,0.051885791127356536,4.403123767674976,1.000000000000015
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,worstA_cluster,0.051885791127356105,4.039681367762888,1.0000000000000069
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,worstB_cluster,0.051885791127356105,4.039681367762888,1.0000000000000069
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,1.0,mixed_AB_cluster,0.051885791127356105,4.039681367762888,1.0000000000000069
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,2.0,historical,0.10140689412024083,15.94769798879505,1.0
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,2.0,worst5_x1_50,0.10885566898293676,12.728908477974397,1.0734543240606869
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,2.0,worst5_x2_00,0.12778764971689646,10.150198641003712,1.260147555306992
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,2.0,insert_worst_1,0.10140689412024108,15.367772569437712,1.0000000000000024
