Sunday_Date,Asian_Open,Asian_High,Asian_Low,Asian_Close,Asian_Range,Asian_Direction,Next_Monday_Direction,Correlation
2022-08-07,1712.35,1721.18,1614.12,1627.59,107.06000000000017,Bearish,Bullish,False
2022-08-14,1988.36,2027.22,1902.42,1938.72,124.79999999999995,Bearish,Bearish,True
2022-08-21,1530.82,1637.04,1479.68,1533.36,157.3599999999999,Bullish,Bearish,False
2022-09-04,1549.98,1581.01,1513.59,1519.25,67.42000000000007,Bearish,Bearish,True
2022-09-11,1736.74,1786.19,1701.12,1730.85,85.07000000000016,Bearish,Bullish,False
2022-09-18,1458.14,1470.02,1363.18,1424.63,106.83999999999992,Bearish,Bullish,False
2022-09-25,1337.76,1338.75,1272.8,1289.35,65.95000000000005,Bearish,Bullish,False
2022-10-02,1276.14,1284.15,1271.61,1279.88,12.540000000000191,Bullish,Bullish,True
2022-10-09,1292.23,1292.77,1269.9,1281.27,22.86999999999989,Bearish,Bearish,True
2022-10-16,1247.9,1256.21,1229.63,1251.48,26.579999999999927,Bullish,Bullish,True
2022-10-23,1282.75,1284.93,1273.55,1275.45,11.38000000000011,Bearish,Bullish,False
2022-10-30,1592.9,1598.77,1570.35,1592.04,28.420000000000073,Bearish,Bullish,False
2022-11-06,1598.05,1601.97,1578.77,1582.42,23.200000000000045,Bearish,Bearish,True
2022-11-13,1232.64,1241.26,1214.06,1231.2,27.200000000000045,Bearish,Bullish,False
2022-11-20,1176.03,1200.89,1176.01,1186.94,24.88000000000011,Bullish,Bearish,False
2022-11-27,1177.0,1190.34,1162.68,1183.35,27.659999999999854,Bullish,Bullish,True
2022-12-04,1227.92,1234.63,1202.68,1224.29,31.950000000000045,Bearish,Bearish,True
2022-12-11,1234.77,1245.19,1228.66,1240.52,16.529999999999973,Bullish,Bullish,True
2022-12-18,1145.46,1163.43,1143.05,1152.24,20.38000000000011,Bullish,Bullish,True
2022-12-25,1185.55,1191.35,1182.24,1186.01,9.1099999999999,Bullish,Bullish,True
2023-01-01,1167.54,1168.77,1158.25,1162.18,10.519999999999982,Bearish,Bullish,False
2023-01-08,1231.46,1231.93,1224.21,1231.22,7.720000000000027,Bearish,Bullish,False
2023-01-15,1506.88,1529.95,1483.75,1493.95,46.200000000000045,Bearish,Bearish,True
2023-01-22,1631.08,1631.65,1570.99,1596.41,60.66000000000008,Bearish,Bullish,False
2023-01-29,1534.13,1587.25,1527.77,1561.29,59.48000000000002,Bullish,Bearish,False
2023-02-05,1647.64,1657.39,1624.13,1635.31,33.25999999999999,Bearish,Bullish,False
2023-02-12,1501.17,1510.24,1495.59,1500.01,14.650000000000091,Bearish,Bearish,True
2023-02-19,1655.19,1677.92,1653.44,1663.35,24.480000000000018,Bullish,Bullish,True
2023-02-26,1541.44,1573.14,1538.26,1566.93,34.88000000000011,Bullish,Bullish,True
2023-03-05,1523.92,1555.45,1519.51,1537.95,35.940000000000055,Bullish,Bullish,True
2023-03-12,1431.42,1445.29,1419.98,1425.21,25.309999999999945,Bearish,Bearish,True
2023-03-19,1757.92,1759.15,1717.67,1744.78,41.48000000000002,Bearish,Bullish,False
2023-03-26,1697.0,1723.7,1694.71,1719.69,28.99000000000001,Bullish,Bullish,True
2023-04-02,1783.06,1792.39,1775.85,1788.36,16.54000000000019,Bullish,Bullish,True
2023-04-09,1820.63,1826.62,1813.44,1815.83,13.179999999999836,Bearish,Bullish,False
2023-04-16,2054.75,2068.56,2039.84,2063.27,28.720000000000027,Bullish,Bearish,False
2023-04-23,1835.64,1845.95,1812.69,1833.76,33.25999999999999,Bearish,Bearish,True
2023-04-30,1869.26,1876.36,1859.11,1870.17,17.25,Bullish,Bearish,False
2023-05-07,1861.4,1885.21,1850.15,1865.79,35.059999999999945,Bullish,Bearish,False
2023-05-14,1769.65,1772.33,1757.22,1769.62,15.1099999999999,Bearish,Bullish,False
2023-05-21,1783.1,1796.06,1778.31,1781.62,17.75,Bearish,Bullish,False
2023-05-28,1794.19,1826.94,1789.75,1813.92,37.190000000000055,Bullish,Bullish,True
2023-06-04,1854.45,1862.95,1848.24,1858.5,14.710000000000036,Bullish,Bearish,False
2023-06-11,1709.32,1726.4,1705.45,1723.15,20.950000000000045,Bullish,Bullish,True
2023-06-18,1695.29,1705.21,1686.78,1694.3,18.430000000000064,Bearish,Bearish,True
2023-06-25,1843.8,1885.87,1830.55,1878.79,55.319999999999936,Bullish,Bearish,False
2023-07-02,1889.94,1894.61,1876.88,1880.84,17.72999999999979,Bearish,Bullish,False
2023-07-09,1815.31,1841.39,1812.57,1833.91,28.820000000000164,Bullish,Bullish,True
2023-07-16,1897.93,1904.58,1879.76,1892.04,24.819999999999936,Bearish,Bearish,True
2023-07-23,1854.15,1855.0,1805.44,1841.41,49.559999999999945,Bearish,Bearish,True
2023-07-30,1850.6,1852.48,1842.53,1843.29,9.950000000000045,Bearish,Bullish,False
2023-08-06,1801.09,1805.63,1799.9,1803.09,5.730000000000018,Bullish,Bearish,False
2023-08-13,1814.06,1818.41,1812.79,1814.98,5.620000000000118,Bullish,Bullish,True
2023-08-20,1637.63,1641.85,1629.92,1631.56,11.929999999999836,Bearish,Bearish,True
2023-08-27,1614.05,1622.23,1611.57,1618.56,10.660000000000082,Bullish,Bearish,False
2023-09-03,1600.81,1606.31,1598.06,1602.82,8.25,Bullish,Bearish,False
2023-09-10,1600.3,1603.93,1584.63,1592.53,19.299999999999955,Bearish,Bearish,True
2023-09-17,1601.39,1604.7,1585.45,1596.74,19.25,Bearish,Bullish,False
2023-09-24,1559.99,1561.79,1556.7,1559.14,5.089999999999918,Bearish,Bearish,True
2023-10-01,1646.52,1650.13,1633.44,1645.92,16.690000000000055,Bearish,Bullish,False
2023-10-08,1600.16,1608.33,1590.74,1595.98,17.589999999999918,Bearish,Bearish,True
2023-10-15,1522.35,1528.95,1516.39,1520.38,12.559999999999945,Bearish,Bullish,False
2023-10-22,1596.45,1615.89,1589.78,1608.68,26.110000000000127,Bullish,Bearish,False
2023-10-29,1746.93,1751.43,1729.92,1744.67,21.50999999999999,Bearish,Bullish,False
2023-11-05,1805.19,1863.71,1805.18,1855.06,58.52999999999997,Bullish,Bullish,True
2023-11-12,2014.23,2024.53,1978.94,2022.4,45.58999999999992,Bullish,Bullish,True
2023-11-19,1927.88,1934.99,1911.09,1930.04,23.90000000000009,Bullish,Bullish,True
2023-11-26,2051.4,2059.54,2034.48,2057.66,25.059999999999945,Bullish,Bearish,False
2023-12-03,2136.68,2145.38,2120.43,2124.66,24.950000000000273,Bearish,Bearish,True
2023-12-10,2323.52,2331.73,2296.66,2319.47,35.070000000000164,Bearish,Bearish,True
2023-12-17,2198.78,2203.28,2168.88,2183.24,34.40000000000009,Bearish,Bearish,True
2023-12-24,2259.08,2296.22,2243.44,2260.2,52.779999999999745,Bullish,Bearish,False
2023-12-31,2270.73,2273.94,2243.53,2254.01,30.409999999999854,Bearish,Bullish,False
2024-01-07,2207.35,2221.43,2197.58,2216.76,23.84999999999991,Bullish,Bullish,True
2024-01-14,2541.15,2558.17,2510.61,2520.84,47.559999999999945,Bearish,Bullish,False
2024-01-21,2433.25,2448.89,2432.6,2437.78,16.289999999999964,Bullish,Bearish,False
2024-01-28,2239.2,2275.19,2227.48,2253.93,47.710000000000036,Bullish,Bullish,True
2024-02-04,2266.94,2273.15,2252.69,2253.94,20.460000000000036,Bearish,Bullish,False
2024-02-11,2477.42,2505.04,2458.49,2497.13,46.55000000000018,Bullish,Bearish,False
2024-02-18,2785.51,2806.77,2763.22,2787.17,43.55000000000018,Bullish,Bullish,True
2024-02-25,2984.68,3051.01,2983.03,3035.2,67.98000000000002,Bullish,Bearish,False
2024-03-03,3409.18,3447.79,3403.2,3413.0,44.590000000000146,Bullish,Bullish,True
2024-03-10,3905.73,3952.82,3897.0,3944.68,55.820000000000164,Bullish,Bullish,True
2024-03-17,3619.39,3629.59,3466.67,3545.94,162.92000000000007,Bearish,Bearish,True
2024-03-24,3387.14,3401.2,3299.3,3325.28,101.89999999999964,Bearish,Bearish,True
2024-03-31,3506.47,3612.05,3495.06,3607.03,116.99000000000024,Bullish,Bearish,False
2024-04-07,3360.97,3412.81,3343.31,3399.78,69.5,Bullish,Bullish,True
2024-04-14,2910.5,3075.38,2857.8,3069.97,217.57999999999993,Bullish,Bullish,True
2024-04-21,3152.79,3194.2,3123.02,3172.65,71.17999999999984,Bullish,Bullish,True
2024-04-28,3234.59,3326.5,3230.36,3309.44,96.13999999999987,Bullish,Bearish,False
2024-05-05,3124.1,3127.42,3069.57,3082.17,57.84999999999991,Bearish,Bearish,True
2024-05-12,2919.26,2929.45,2902.96,2922.31,26.48999999999978,Bullish,Bullish,True
2024-05-19,3115.99,3133.37,3102.15,3115.52,31.2199999999998,Bearish,Bearish,True
2024-05-26,3744.85,3771.59,3729.78,3759.62,41.809999999999945,Bullish,Bearish,False
2024-06-02,3807.65,3838.78,3797.34,3805.25,41.440000000000055,Bearish,Bearish,True
2024-06-09,3672.55,3684.47,3664.78,3680.08,19.6899999999996,Bullish,Bearish,False
2024-06-16,3550.92,3572.51,3537.81,3565.23,34.70000000000027,Bullish,Bearish,False
2024-06-23,3492.03,3517.44,3489.99,3506.01,27.450000000000273,Bullish,Bearish,False
2024-06-30,3380.79,3386.51,3347.74,3363.85,38.77000000000044,Bearish,Bearish,True
2024-07-07,3059.41,3077.79,3012.92,3026.95,64.86999999999989,Bearish,Bullish,False
2024-07-14,3159.29,3203.62,3140.64,3197.75,62.98000000000002,Bullish,Bearish,False
2024-07-21,3518.58,3525.48,3490.15,3497.46,35.32999999999993,Bearish,Bearish,True
2024-07-28,3238.9,3291.73,3194.85,3215.0,96.88000000000011,Bearish,Bullish,False
2024-08-04,2890.47,2930.79,2854.33,2911.55,76.46000000000004,Bullish,Bearish,False
2024-08-11,2601.29,2668.0,2596.2,2657.8,71.80000000000018,Bullish,Bullish,True
2024-08-18,2611.01,2635.22,2590.8,2599.1,44.41999999999962,Bearish,Bearish,True
2024-08-25,2788.31,2789.22,2728.46,2760.79,60.75999999999976,Bearish,Bearish,True
2024-09-01,2504.3,2525.52,2456.11,2462.17,69.40999999999985,Bearish,Bullish,False
2024-09-08,2268.67,2302.39,2254.8,2282.57,47.58999999999969,Bullish,Bullish,True
2024-09-15,2413.34,2427.89,2408.93,2415.99,18.960000000000036,Bullish,Bullish,True
2024-09-22,2562.85,2629.9,2557.19,2579.57,72.71000000000004,Bullish,Bearish,False
2024-09-29,2670.69,2681.49,2659.63,2662.43,21.859999999999673,Bearish,Bearish,True
2024-10-06,2389.98,2420.48,2389.7,2414.38,30.7800000000002,Bullish,Bearish,False
2024-10-13,2467.78,2487.85,2449.05,2460.85,38.79999999999973,Bearish,Bearish,True
2024-10-20,2642.52,2653.34,2633.03,2638.08,20.309999999999945,Bearish,Bearish,True
2024-10-27,2488.43,2491.42,2467.27,2480.02,24.15000000000009,Bearish,Bullish,False
2024-11-03,2493.38,2495.97,2419.13,2440.53,76.83999999999969,Bearish,Bullish,False
2024-11-10,3075.64,3218.49,3071.82,3178.9,146.66999999999962,Bullish,Bullish,True
2024-11-17,3154.98,3165.31,3034.11,3134.68,131.19999999999982,Bearish,Bearish,True
2024-11-24,3418.28,3450.88,3382.02,3423.49,68.86000000000013,Bullish,Bullish,True
2024-12-01,3720.78,3740.67,3682.51,3700.49,58.159999999999854,Bearish,Bearish,True
2024-12-08,4006.62,4013.92,3959.92,3981.07,54.0,Bearish,Bearish,True
2024-12-15,3845.5,3909.04,3836.5,3875.26,72.53999999999996,Bullish,Bearish,False
2024-12-22,3315.36,3371.96,3290.05,3339.45,81.90999999999985,Bullish,Bullish,True
2024-12-29,3400.78,3425.52,3372.51,3394.5,53.00999999999976,Bearish,Bullish,False
2025-01-05,3656.06,3673.07,3625.64,3636.04,47.43000000000029,Bearish,Bearish,True
2025-01-12,3304.2,3305.85,3264.89,3267.74,40.960000000000036,Bearish,Bearish,True
2025-01-19,3271.82,3376.18,3256.67,3280.79,119.50999999999976,Bullish,Bullish,True
2025-01-26,3336.99,3359.12,3310.87,3338.86,48.25,Bullish,Bearish,False
2025-02-02,3146.91,3160.35,3066.79,3112.4,93.55999999999995,Bearish,Bullish,False
2025-02-09,2635.58,2696.41,2620.98,2660.33,75.42999999999984,Bullish,Bullish,True
2025-02-16,2698.31,2724.15,2684.5,2708.22,39.65000000000009,Bullish,Bullish,True
2025-02-23,2763.4,2794.61,2742.37,2791.29,52.24000000000024,Bullish,Bearish,False
