rank_band,horizon,cross_state,n,median_return,median_rank_vel,pct_of_band
751-1000,7,PRICE_DOWN_RANK_UP,174,0.0131577686406672,21.0,0.435
751-1000,7,PRICE_UP_RANK_DOWN,5,0.1111111119389534,-6.0,0.0125
751-1000,7,PRICE_UP_RANK_UP,57,0.2976127862930298,100.0,0.1425
751-1000,14,PRICE_DOWN_RANK_DOWN,175,-0.11381469666957855,-44.0,0.4375
751-1000,14,PRICE_DOWN_RANK_UP,168,0.05908915400505066,48.0,0.42
751-1000,14,PRICE_UP_RANK_DOWN,7,0.1470540463924408,-19.0,0.0175
751-1000,14,PRICE_UP_RANK_UP,50,0.28912511467933655,118.5,0.125
751-1000,30,PRICE_DOWN_RANK_DOWN,165,-0.17246674001216888,-66.0,0.4125
751-1000,30,PRICE_DOWN_RANK_UP,167,0.08995963633060455,81.0,0.4175
751-1000,30,PRICE_UP_RANK_DOWN,9,0.1950642168521881,-8.0,0.0225
751-1000,30,PRICE_UP_RANK_UP,59,0.3960065245628357,142.0,0.1475
