rank_band,days_before,n,median_ret_1d,median_rank,median_vol,median_rank_vel_3d,median_rank_vel_7d,pct_short_hot
26-100,-5,382,0.0,63.0,0.02450460009276867,0.0,0.0,0.4712041884816754
26-100,-3,382,7.807813381077722e-05,62.0,0.02536099124699831,0.0,0.0,0.49476439790575916
26-100,-2,382,0.00013249358380562626,62.5,0.0251324325799942,0.0,0.0,0.5052356020942408
26-100,-1,382,0.0007249239133670926,62.0,0.02521911822259426,0.0,1.0,0.5602094240837696
26-100,0,382,-0.06409451365470886,65.0,0.025770953856408596,-1.0,-1.0,0.16753926701570682
501-750,-30,465,-0.00033261334465350956,577.0,0.04849039018154144,-3.0,-5.0,0.4043010752688172
501-750,-21,465,-0.0002616077254060656,590.0,0.048364946618676186,-2.0,-4.0,0.42795698924731185
501-750,-14,465,-0.0002510899867047556,592.5,0.04750876501202583,-3.0,-4.0,0.4064516129032258
501-750,-10,465,-0.001717733801342547,591.0,0.04633685201406479,-3.0,-5.0,0.43655913978494626
501-750,-7,465,-0.0008307148236781359,597.0,0.04778665117919445,-3.0,-6.0,0.4344086021505376
501-750,-5,465,-0.0006003194430377334,592.0,0.04778421297669411,-2.0,-3.5,0.4645161290322581
501-750,-3,465,-0.001160654122941196,593.0,0.047640468925237656,-3.0,-5.0,0.4645161290322581
501-750,-2,465,-3.331444531795569e-05,592.0,0.04903805069625378,-2.0,-4.0,0.4774193548387097
501-750,-1,465,0.006076065124943852,579.5,0.04972758889198303,3.0,7.5,0.5741935483870968
501-750,0,465,-0.14038431644439697,628.0,0.05247526988387108,-30.0,-28.0,0.1913978494623656
751-1000,-30,400,0.0,830.0,0.053376808762550354,-2.0,-7.0,0.45
751-1000,-21,400,-0.0013607831788249314,835.0,0.052687473595142365,-3.0,-8.0,0.415
751-1000,-14,400,0.0,841.0,0.05142907425761223,-5.0,-8.0,0.415
751-1000,-10,400,-0.0012084417976439,840.0,0.05284280516207218,-5.0,-9.0,0.4225
751-1000,-7,400,0.0,840.0,0.05274369567632675,-2.0,-5.5,0.425
751-1000,-5,400,-0.00027796167705673724,842.0,0.053187448531389236,-2.0,-2.5,0.47
751-1000,-3,400,-0.0015324545092880726,847.0,0.055199719965457916,-4.0,-7.0,0.465
751-1000,-2,400,7.349443330895156e-05,848.0,0.055354319512844086,1.0,-2.0,0.4975
751-1000,-1,400,0.009874602779746056,827.0,0.055487556383013725,8.0,9.0,0.5925
751-1000,0,400,-0.15364822000265121,888.0,0.05840207263827324,-33.5,-33.0,0.205
