date,direction,session_pnl_pips,n_lots,tier,exit_reason,year
2024-08-08,1,-14.000000000000789,2,T1,sl_signal2,2024
2024-08-13,-1,8.07500000000283,2,T1,tp2,2024
2024-08-14,1,11.524999999998787,2,T1,tp2,2024
2024-08-21,-1,-0.7999999999986898,2,T1,hard_exit_12pm,2024
2024-08-22,-1,-6.60000000000116,2,T1,sl_signal2,2024
2024-08-30,1,-31.7499999999995,4,T1,sl_signal2,2024
2024-09-02,1,1.900000000001235,2,T1,opposite_p90_exit,2024
2024-09-03,-1,-13.000000000000899,2,T1,sl_signal2,2024
2024-09-05,1,7.775000000000865,2,T1,tp2,2024
2024-09-09,-1,22.599999999999067,4,T1,tp2,2024
2024-09-17,-1,13.900000000002024,4,T1,tp2,2024
2024-09-20,1,-2.9749999999985057,2,T1,tp1,2024
2024-09-23,-1,32.48400000000106,8,T1,sl_signal2,2024
2024-09-24,1,19.15000000000311,4,T1,tp2,2024
2024-09-26,-1,-18.500000000003624,2,T1,sl_signal2,2024
2024-09-27,-1,5.550000000000502,6,T1,opposite_p90_trim,2024
2024-10-01,-1,14.000000000002569,6,T1,tp2,2024
2024-10-02,1,1.900000000001235,2,T1,opposite_p90_exit,2024
2024-10-03,-1,6.3499999999993015,2,T1,hard_exit_12pm,2024
2024-10-09,-1,-12.749999999999261,2,T1,sl_signal2,2024
2024-10-10,-1,5.224999999999703,2,T1,tp2,2024
2024-10-15,-1,-13.249999999995875,2,T1,sl_signal2,2024
2024-10-16,-1,-1.8499999999989072,2,T1,hard_exit_12pm,2024
2024-10-22,1,-17.75000000000315,2,T1,sl_signal2,2024
2024-10-23,-1,8.900000000000464,2,T1,tp2,2024
2024-10-24,-1,-4.1999999999988695,4,T1,tp2,2024
2024-10-25,1,5.599999999998829,2,T1,tp2,2024
2024-10-28,1,13.624999999999222,2,T1,tp2,2024
2024-10-30,1,8.40000000000152,4,T1,opposite_p90_exit,2024
2024-11-13,-1,0.6749999999964302,4,T1,sl_signal2,2024
2024-11-19,-1,23.799999999997826,8,T1,opposite_p90_exit,2024
2024-11-21,-1,17.27499999999827,10,T1,opposite_p90_exit,2024
2024-11-22,1,55.649999999997426,14,T1,tp2,2024
2024-12-10,-1,-7.349999999999632,6,T1,tp2,2024
2024-12-11,-1,-5.474999999999561,6,T1,sl_signal2,2024
2024-12-12,1,-5.500000000000725,4,T1,tp1,2024
2024-12-20,-1,20.449999999997974,10,T1,tp2,2024
2024-12-30,-1,-17.375000000001805,2,T1,opposite_p90_exit,2024
2024-12-31,1,-2.6750000000009813,2,T1,tp1,2024
2025-01-03,1,7.199999999999154,5,T1,tp2,2025
2025-01-08,-1,8.40000000000152,4,T1,tp1,2025
2025-01-09,-1,-14.600000000000499,6,T1,opposite_p90_trim,2025
2025-01-15,1,23.80599999999722,2,T1,kill_switch_132,2025
2025-01-23,-1,-1.0999999999984347,2,T1,tp1,2025
2025-01-29,-1,13.925000000001187,2,T1,tp2,2025
2025-01-30,-1,8.900000000000464,2,T1,tp2,2025
2025-02-05,1,19.27500000000038,8,T1,tp2,2025
2025-02-12,1,9.27499999999737,2,T1,tp2,2025
2025-02-19,-1,11.300000000000644,2,T1,tp2,2025
2025-03-13,-1,31.650000000004955,6,T1,tp2,2025
2025-03-17,-1,-13.000000000000899,2,T1,sl_signal2,2025
2025-03-18,1,14.000000000000458,4,T1,tp2,2025
2025-03-19,-1,22.396000000001862,8,T1,opposite_p90_exit,2025
2025-03-20,-1,38.45000000000276,8,T1,tp2,2025
2025-03-25,-1,-3.6500000000019277,4,T1,sl_signal2,2025
2025-04-01,-1,8.299999999998423,8,T1,sl_signal2,2025
2025-05-14,1,-1.150000000001203,6,T1,tp2,2025
2025-07-22,1,9.049999999999226,2,T1,tp2,2025
2025-07-24,-1,-28.74999999999761,4,T1,sl_signal2,2025
2025-08-14,-1,-12.800000000001809,2,T1,opposite_p90_trim,2025
2025-08-21,-1,-3.3249999999986883,4,T1,sl_signal2,2025
2025-09-08,1,-41.87500000000721,8,T1,sl_signal2,2025
2025-09-11,-1,-4.474999999999451,2,T1,tp1,2025
2025-09-12,1,-14.249999999997986,2,T1,sl_signal2,2025
2025-09-15,1,-13.000000000000899,2,T1,opposite_p90_trim,2025
2025-09-25,-1,-19.499999999999073,2,T1,sl_signal2,2025
2025-10-02,1,13.550000000002061,2,T1,tp2,2025
2025-10-24,1,-15.924999999998967,2,T1,tp1,2025
2025-11-03,-1,11.450000000001626,2,T1,tp2,2025
2025-11-11,1,-15.249999999997875,2,T1,sl_signal2,2025
2025-11-12,-1,-13.749999999999151,2,T1,sl_signal2,2025
2025-11-13,1,29.149999999995128,8,T1,tp2,2025
2025-11-19,1,-15.250000000000096,2,T1,sl_signal2,2025
2025-11-25,1,-1.2250000000003638,2,T1,tp1,2025
2025-12-04,1,-8.149999999997991,2,T1,hard_exit_12pm,2025
2025-12-09,1,-15.249999999997875,2,T1,sl_signal2,2025
2025-12-10,1,1.249999999999087,4,T1,sl_signal2,2025
2025-12-12,-1,-2.174999999999926,2,T1,tp1,2025
2025-12-18,1,-6.4000000000044,4,T1,tp2,2025
2025-12-19,-1,-16.575000000001115,4,T1,tp1,2025
2025-12-22,1,11.07500000000028,2,T1,tp2,2025
2025-12-26,-1,-7.375000000000686,2,T1,hard_exit_12pm,2025
2025-12-31,-1,-2.3500000000045134,4,T1,sl_signal2,2025
