side,response,type,abs_med,rate,rate2,ceiling,half_sat_abs,onset_20pct
OVERALL,decoupling,BIN,0.2176,0.2473,,,,
OVERALL,rejoin,BIN,0.2176,0.1346,,,,
OVERALL,turnover,BIN,0.2945,0.9267,,,,
OVERALL,state_change,BIN,0.2945,0.7534,,,,
OVERALL,contagion,BIN,0.2945,0.2438,,,,
OVERALL,decoupling,BIN,0.2945,0.2849,,,,
OVERALL,rejoin,BIN,0.2945,0.1288,,,,
OVERALL,turnover,BIN,0.5,0.9334,,,,
OVERALL,state_change,BIN,0.5,0.7342,,,,
OVERALL,contagion,BIN,0.5,0.263,,,,
OVERALL,decoupling,BIN,0.5,0.4,,,,
OVERALL,rejoin,BIN,0.5,0.1123,,,,
OVERALL,turnover,FIT,0.8714,,0.001,0.8714,0.001,0.0002
OVERALL,state_change,FIT,0.7137,,0.0011,0.7137,0.0011,0.0003
OVERALL,contagion,FIT,0.28,,0.0,0.28,0.0,0.0
OVERALL,decoupling,FIT,0.279,,0.0,0.279,0.0,0.0
OVERALL,rejoin,FIT,0.1394,,0.0,0.1394,0.0,0.0
UP,turnover,OVERALL_N,,,,,,
UP,state_change,OVERALL_N,,,,,,
UP,contagion,OVERALL_N,,,,,,
UP,decoupling,OVERALL_N,,,,,,
UP,rejoin,OVERALL_N,,,,,,
UP,turnover,BIN,0.0024,0.5897,,,,
UP,state_change,BIN,0.0024,0.3404,,,,
UP,contagion,BIN,0.0024,0.4149,,,,
UP,decoupling,BIN,0.0024,0.3404,,,,
UP,rejoin,BIN,0.0024,0.1489,,,,
UP,turnover,BIN,0.0205,0.5826,,,,
UP,state_change,BIN,0.0205,0.7183,,,,
UP,contagion,BIN,0.0205,0.2113,,,,
UP,decoupling,BIN,0.0205,0.3099,,,,
UP,rejoin,BIN,0.0205,0.2676,,,,
UP,turnover,BIN,0.0667,0.6822,,,,
UP,state_change,BIN,0.0667,0.4691,,,,
UP,contagion,BIN,0.0667,0.1111,,,,
UP,decoupling,BIN,0.0667,0.321,,,,
UP,rejoin,BIN,0.0667,0.2099,,,,
UP,turnover,BIN,0.0977,0.7588,,,,
UP,state_change,BIN,0.0977,0.5859,,,,
UP,contagion,BIN,0.0977,0.1313,,,,
UP,decoupling,BIN,0.0977,0.4343,,,,
UP,rejoin,BIN,0.0977,0.202,,,,
UP,turnover,BIN,0.1208,0.8254,,,,
UP,state_change,BIN,0.1208,0.6103,,,,
UP,contagion,BIN,0.1208,0.1691,,,,
UP,decoupling,BIN,0.1208,0.4853,,,,
UP,rejoin,BIN,0.1208,0.1985,,,,
UP,turnover,BIN,0.1471,0.8522,,,,
UP,state_change,BIN,0.1471,0.626,,,,
UP,contagion,BIN,0.1471,0.1679,,,,
UP,decoupling,BIN,0.1471,0.5344,,,,
UP,rejoin,BIN,0.1471,0.1908,,,,
UP,turnover,BIN,0.18,0.8499,,,,
UP,state_change,BIN,0.18,0.685,,,,
UP,contagion,BIN,0.18,0.1181,,,,
UP,decoupling,BIN,0.18,0.5591,,,,
UP,rejoin,BIN,0.18,0.1339,,,,
UP,turnover,BIN,0.2221,0.8823,,,,
UP,state_change,BIN,0.2221,0.7143,,,,
UP,contagion,BIN,0.2221,0.0714,,,,
UP,decoupling,BIN,0.2221,0.5635,,,,
UP,rejoin,BIN,0.2221,0.1905,,,,
UP,turnover,BIN,0.2969,0.9232,,,,
UP,state_change,BIN,0.2969,0.7203,,,,
UP,contagion,BIN,0.2969,0.0629,,,,
UP,decoupling,BIN,0.2969,0.5804,,,,
UP,rejoin,BIN,0.2969,0.2098,,,,
UP,turnover,BIN,0.5919,0.9371,,,,
UP,state_change,BIN,0.5919,0.6949,,,,
UP,contagion,BIN,0.5919,0.0847,,,,
UP,decoupling,BIN,0.5919,0.6949,,,,
UP,rejoin,BIN,0.5919,0.1751,,,,
UP,turnover,FIT,0.8282,,0.0013,0.8282,0.0013,0.0003
UP,state_change,FIT,0.6605,,0.0021,0.6605,0.0021,0.0005
UP,contagion,FIT,0.1543,,0.0,0.1543,0.0,0.0
UP,decoupling,FIT,0.6396,,0.0306,0.6396,0.0306,0.0076
UP,rejoin,FIT,0.1975,,0.0005,0.1975,0.0005,0.0001
DOWN,turnover,OVERALL_N,,,,,,
DOWN,state_change,OVERALL_N,,,,,,
DOWN,contagion,OVERALL_N,,,,,,
DOWN,decoupling,OVERALL_N,,,,,,
DOWN,rejoin,OVERALL_N,,,,,,
DOWN,turnover,BIN,0.0021,0.6479,,,,
DOWN,state_change,BIN,0.0021,0.524,,,,
DOWN,contagion,BIN,0.0021,0.3875,,,,
DOWN,decoupling,BIN,0.0021,0.31,,,,
DOWN,rejoin,BIN,0.0021,0.1439,,,,
DOWN,turnover,BIN,0.0252,0.7454,,,,
DOWN,state_change,BIN,0.0252,0.7007,,,,
DOWN,contagion,BIN,0.0252,0.3265,,,,
DOWN,decoupling,BIN,0.0252,0.2857,,,,
DOWN,rejoin,BIN,0.0252,0.1395,,,,
DOWN,turnover,BIN,0.0681,0.8291,,,,
DOWN,state_change,BIN,0.0681,0.6926,,,,
DOWN,contagion,BIN,0.0681,0.2862,,,,
DOWN,decoupling,BIN,0.0681,0.1484,,,,
DOWN,rejoin,BIN,0.0681,0.1307,,,,
DOWN,turnover,BIN,0.0966,0.8632,,,,
DOWN,state_change,BIN,0.0966,0.6917,,,,
DOWN,contagion,BIN,0.0966,0.3459,,,,
DOWN,decoupling,BIN,0.0966,0.1842,,,,
DOWN,rejoin,BIN,0.0966,0.109,,,,
DOWN,turnover,BIN,0.1212,0.8673,,,,
DOWN,state_change,BIN,0.1212,0.6856,,,,
DOWN,contagion,BIN,0.1212,0.3275,,,,
DOWN,decoupling,BIN,0.1212,0.1223,,,,
DOWN,rejoin,BIN,0.1212,0.1485,,,,
DOWN,turnover,BIN,0.1453,0.8974,,,,
DOWN,state_change,BIN,0.1453,0.7425,,,,
DOWN,contagion,BIN,0.1453,0.3519,,,,
DOWN,decoupling,BIN,0.1453,0.133,,,,
DOWN,rejoin,BIN,0.1453,0.1416,,,,
DOWN,turnover,BIN,0.1772,0.9171,,,,
DOWN,state_change,BIN,0.1772,0.7311,,,,
DOWN,contagion,BIN,0.1772,0.3403,,,,
DOWN,decoupling,BIN,0.1772,0.1218,,,,
DOWN,rejoin,BIN,0.1772,0.0798,,,,
DOWN,turnover,BIN,0.2174,0.9248,,,,
DOWN,state_change,BIN,0.2174,0.8067,,,,
DOWN,contagion,BIN,0.2174,0.3319,,,,
DOWN,decoupling,BIN,0.2174,0.0798,,,,
DOWN,rejoin,BIN,0.2174,0.105,,,,
DOWN,turnover,BIN,0.2944,0.929,,,,
DOWN,state_change,BIN,0.2944,0.7748,,,,
DOWN,contagion,BIN,0.2944,0.3604,,,,
DOWN,decoupling,BIN,0.2944,0.0946,,,,
DOWN,rejoin,BIN,0.2944,0.0766,,,,
DOWN,turnover,BIN,0.4757,0.9299,,,,
DOWN,state_change,BIN,0.4757,0.7713,,,,
DOWN,contagion,BIN,0.4757,0.4309,,,,
DOWN,decoupling,BIN,0.4757,0.1223,,,,
DOWN,rejoin,BIN,0.4757,0.0532,,,,
DOWN,turnover,FIT,0.8881,,0.0009,0.8881,0.0009,0.0002
DOWN,state_change,FIT,0.7406,,0.0009,0.7406,0.0009,0.0002
DOWN,contagion,FIT,0.3491,,0.0,0.3491,0.0,0.0
DOWN,decoupling,FIT,0.1602,,0.0,0.1602,0.0,0.0
DOWN,rejoin,FIT,0.1128,,0.0,0.1128,0.0,0.0
