section,coord,label,state,n,median,kruskal_across_states_p,spearman_contagion,spearman_decoupling,spearman_rejoin
DISCRIM,peer_corr,neighborhood coherence,,3647,-0.0321,0.0,0.0522,-0.0825,-0.017
STATEMED,roll_turnover_30d,membership turnover (30d),REORGANIZING,1556,1.0,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),DECOUPLED,1380,0.8235,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),TRUE_ISOLATED,124,0.8235,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),FALSE_ISOLATED,37,0.5714,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),PEER_STRESSED,62,0.8562,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),REJOINING,30,0.8235,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),REHABILITATING,94,0.8235,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),CONTAGIOUS,47,0.8889,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),LOCALLY_CONFORMING,314,0.5714,,,,
STATEMED,roll_turnover_30d,membership turnover (30d),DISLOCATED_UNCLASSIFIED,2,0.9474,,,,
DISCRIM,roll_turnover_30d,membership turnover (30d),,3646,0.9474,0.0,,,
STATEMED,entropy_30d,membership entropy (30d),REORGANIZING,1556,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),DECOUPLED,1380,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),TRUE_ISOLATED,125,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),FALSE_ISOLATED,37,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),PEER_STRESSED,62,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),REJOINING,30,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),REHABILITATING,94,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),CONTAGIOUS,47,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),LOCALLY_CONFORMING,314,3.3219,,,,
STATEMED,entropy_30d,membership entropy (30d),DISLOCATED_UNCLASSIFIED,2,3.3219,,,,
DISCRIM,entropy_30d,membership entropy (30d),,3647,3.3219,0.0,0.0218,-0.0114,0.0019
STATEMED,state_trans_rate,relational-state transition rate (chrono),REORGANIZING,1556,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),DECOUPLED,1380,0.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),TRUE_ISOLATED,125,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),FALSE_ISOLATED,37,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),PEER_STRESSED,62,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),REJOINING,30,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),REHABILITATING,94,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),CONTAGIOUS,47,1.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,state_trans_rate,relational-state transition rate (chrono),DISLOCATED_UNCLASSIFIED,2,1.0,,,,
DISCRIM,state_trans_rate,relational-state transition rate (chrono),,3647,1.0,0.0,-0.0086,-0.0339,-0.0231
STATEMED,deg_decouple,degree of decoupling (fwd 30d),REORGANIZING,1556,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),DECOUPLED,1380,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),TRUE_ISOLATED,125,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),FALSE_ISOLATED,37,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),PEER_STRESSED,62,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),REJOINING,30,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),REHABILITATING,94,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),CONTAGIOUS,47,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,deg_decouple,degree of decoupling (fwd 30d),DISLOCATED_UNCLASSIFIED,2,0.0,,,,
DISCRIM,deg_decouple,degree of decoupling (fwd 30d),,3647,0.0,0.073,-0.0909,1.0,-0.2502
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),REORGANIZING,1556,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),DECOUPLED,1380,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),TRUE_ISOLATED,125,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),FALSE_ISOLATED,37,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),PEER_STRESSED,62,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),REJOINING,30,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),REHABILITATING,94,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),CONTAGIOUS,47,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,rejoin_vel,rejoin velocity (fwd 30d),DISLOCATED_UNCLASSIFIED,2,0.5,,,,
DISCRIM,rejoin_vel,rejoin velocity (fwd 30d),,3647,0.0,0.134,-0.0515,-0.2502,1.0
STATEMED,contagion_breadth,contagion breadth (fwd 7d),REORGANIZING,1556,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),DECOUPLED,1380,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),TRUE_ISOLATED,125,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),FALSE_ISOLATED,37,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),PEER_STRESSED,62,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),REJOINING,30,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),REHABILITATING,94,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),CONTAGIOUS,47,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,contagion_breadth,contagion breadth (fwd 7d),DISLOCATED_UNCLASSIFIED,2,0.0,,,,
DISCRIM,contagion_breadth,contagion breadth (fwd 7d),,3647,0.0,0.0,1.0,-0.0909,-0.0515
STATEMED,peer_stress,peer stress (0/1),REORGANIZING,1556,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),DECOUPLED,1380,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),TRUE_ISOLATED,125,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),FALSE_ISOLATED,37,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),PEER_STRESSED,62,1.0,,,,
STATEMED,peer_stress,peer stress (0/1),REJOINING,30,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),REHABILITATING,94,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),CONTAGIOUS,47,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,peer_stress,peer stress (0/1),DISLOCATED_UNCLASSIFIED,2,0.0,,,,
DISCRIM,peer_stress,peer stress (0/1),,3647,0.0,0.0,-0.0035,0.0055,-0.049
STATEMED,peer_dispersion,peer dispersion,REORGANIZING,1556,0.042,,,,
STATEMED,peer_dispersion,peer dispersion,DECOUPLED,1380,0.0272,,,,
STATEMED,peer_dispersion,peer dispersion,TRUE_ISOLATED,125,0.0217,,,,
STATEMED,peer_dispersion,peer dispersion,FALSE_ISOLATED,37,0.0038,,,,
STATEMED,peer_dispersion,peer dispersion,PEER_STRESSED,62,0.1209,,,,
STATEMED,peer_dispersion,peer dispersion,REJOINING,30,0.0287,,,,
STATEMED,peer_dispersion,peer dispersion,REHABILITATING,94,0.0396,,,,
STATEMED,peer_dispersion,peer dispersion,CONTAGIOUS,47,0.0708,,,,
STATEMED,peer_dispersion,peer dispersion,LOCALLY_CONFORMING,314,0.0176,,,,
STATEMED,peer_dispersion,peer dispersion,DISLOCATED_UNCLASSIFIED,2,0.0704,,,,
DISCRIM,peer_dispersion,peer dispersion,,3647,0.0329,0.0,-0.0049,-0.0373,-0.0525
STATEMED,rank_health_diff,local rank-health differential,REORGANIZING,1556,0.0,,,,
STATEMED,rank_health_diff,local rank-health differential,DECOUPLED,1380,1.0,,,,
STATEMED,rank_health_diff,local rank-health differential,TRUE_ISOLATED,125,-1.0,,,,
STATEMED,rank_health_diff,local rank-health differential,FALSE_ISOLATED,37,0.0,,,,
STATEMED,rank_health_diff,local rank-health differential,PEER_STRESSED,62,-3.0,,,,
STATEMED,rank_health_diff,local rank-health differential,REJOINING,30,-1.0,,,,
STATEMED,rank_health_diff,local rank-health differential,REHABILITATING,94,0.0,,,,
STATEMED,rank_health_diff,local rank-health differential,CONTAGIOUS,47,-5.0,,,,
STATEMED,rank_health_diff,local rank-health differential,LOCALLY_CONFORMING,314,0.0,,,,
STATEMED,rank_health_diff,local rank-health differential,DISLOCATED_UNCLASSIFIED,2,-1.5,,,,
DISCRIM,rank_health_diff,local rank-health differential,,3647,0.0,0.595,-0.1715,0.2627,0.061
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),REORGANIZING,1556,-0.0002,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),DECOUPLED,1380,-0.0001,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),TRUE_ISOLATED,125,-0.0,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),FALSE_ISOLATED,37,0.0,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),PEER_STRESSED,62,-0.0115,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),REJOINING,30,-0.0002,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),REHABILITATING,94,-0.0002,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),CONTAGIOUS,47,-0.0041,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),LOCALLY_CONFORMING,314,-0.0001,,,,
STATEMED,nbr_momentum,neighborhood momentum (peer med ret),DISLOCATED_UNCLASSIFIED,2,0.0053,,,,
DISCRIM,nbr_momentum,neighborhood momentum (peer med ret),,3647,-0.0001,0.166,0.0684,-0.1115,-0.0226
STATEMED,time_since_transition,days since last relational transition,REORGANIZING,1556,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,DECOUPLED,1380,1.0,,,,
STATEMED,time_since_transition,days since last relational transition,TRUE_ISOLATED,125,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,FALSE_ISOLATED,37,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,PEER_STRESSED,62,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,REJOINING,30,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,REHABILITATING,94,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,CONTAGIOUS,47,0.0,,,,
STATEMED,time_since_transition,days since last relational transition,LOCALLY_CONFORMING,314,72.5,,,,
STATEMED,time_since_transition,days since last relational transition,DISLOCATED_UNCLASSIFIED,2,0.0,,,,
DISCRIM,time_since_transition,days since last relational transition,,3647,0.0,0.0,0.0046,0.0446,0.0201
STATEMED,persist_duration,persistence duration (days in current state),REORGANIZING,1556,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),DECOUPLED,1380,1.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),TRUE_ISOLATED,125,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),FALSE_ISOLATED,37,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),PEER_STRESSED,62,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),REJOINING,30,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),REHABILITATING,94,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),CONTAGIOUS,47,0.0,,,,
STATEMED,persist_duration,persistence duration (days in current state),LOCALLY_CONFORMING,314,72.5,,,,
STATEMED,persist_duration,persistence duration (days in current state),DISLOCATED_UNCLASSIFIED,2,0.0,,,,
DISCRIM,persist_duration,persistence duration (days in current state),,3647,0.0,0.0,0.0046,0.0446,0.0201
