aborted_date,recovery_date,days_to_recovery,recovered_as_viable,same_state_return,entropy_collapsed_first,demand_cooled_first,threshold_delta
2023-03-14,2023-03-16,2,False,False,True,False,2.136
2023-04-04,2023-04-06,2,False,False,True,False,0.755
2023-04-06,2023-04-08,2,False,False,False,True,0.725
2023-04-08,2023-04-09,1,False,False,False,True,0.333
2023-04-11,2023-04-13,2,False,False,True,True,0.168
2023-04-13,2023-04-15,2,False,False,False,True,-0.318
2023-04-15,2023-04-16,1,False,False,False,True,0.307
2023-04-16,2023-04-17,1,False,False,False,True,-0.149
2023-04-17,2023-04-18,1,False,False,False,True,-0.767
2023-04-18,2023-04-19,1,False,False,True,False,-0.572
2023-04-19,2023-04-22,3,False,False,False,True,-2.326
2023-04-22,2023-04-23,1,False,False,True,False,-0.491
2023-04-23,2023-04-25,2,False,False,True,False,-0.108
2023-04-25,2023-04-26,1,False,False,True,False,0.172
2023-04-26,2023-04-27,1,False,False,False,False,0.774
2023-04-27,2023-04-28,1,False,False,True,False,0.758
2023-04-28,2023-04-29,1,False,False,True,True,0.655
2023-07-02,2023-07-05,3,False,False,False,False,0.101
2023-07-05,2023-07-06,1,False,False,False,False,0.209
2023-07-12,2023-07-13,1,False,False,False,False,0.502
2023-07-24,2023-07-25,1,False,False,False,False,-0.038
2023-07-25,2023-07-30,4,False,False,False,False,-1.167
2023-07-30,2023-08-01,2,False,False,False,False,-0.09
2023-08-01,2023-08-02,1,False,False,False,False,0.174
2023-08-02,2023-08-05,3,False,False,False,True,3.027
2023-08-17,2023-08-19,2,False,False,False,False,-1.07
2023-08-19,2023-08-22,3,False,False,True,False,-0.651
2023-09-08,2023-09-15,6,False,False,False,True,0.476
2023-09-15,2023-09-17,1,False,False,False,False,0.619
2023-09-18,2023-09-20,2,False,False,True,False,0.841
2023-09-20,2023-09-22,2,False,False,False,True,-0.162
2023-09-22,2023-09-23,1,False,False,False,True,-0.38
2023-09-30,2023-10-01,1,False,False,False,False,0.117
2023-10-13,2023-10-14,1,False,False,True,False,0.005
2023-10-16,2023-10-18,1,False,False,True,False,0.0
2023-10-18,2023-10-25,7,False,False,False,False,4.415
2023-12-10,2023-12-12,1,False,False,True,False,-0.208
2023-12-14,2023-12-15,1,False,False,True,False,0.0
2023-12-23,2023-12-24,1,False,False,True,True,0.333
2024-01-05,2024-01-06,1,False,False,False,False,0.0
2024-01-10,2024-01-11,1,False,False,True,True,-0.038
2024-02-06,2024-02-07,1,False,False,False,False,0.018
2024-02-07,2024-02-08,1,False,False,False,False,0.007
2024-02-08,2024-02-10,2,False,False,False,False,0.363
2024-02-10,2024-02-12,2,False,False,False,True,0.098
2024-02-12,2024-02-13,1,False,False,False,False,0.149
2024-02-13,2024-02-14,1,False,False,False,False,0.11
2024-02-14,2024-02-16,2,False,False,True,False,0.205
2024-04-10,2024-04-14,4,False,False,False,True,-0.502
2024-04-14,2024-04-16,2,False,False,False,False,-0.269
2024-04-16,2024-04-17,1,False,False,True,False,-0.005
2024-04-18,2024-04-25,7,False,False,False,False,0.678
2024-05-05,2024-05-06,1,False,False,False,False,0.154
2024-05-14,2024-05-15,1,False,False,False,False,0.036
2024-05-16,2024-05-17,1,False,False,False,True,0.075
2024-05-17,2024-05-18,1,False,False,True,False,0.139
2024-05-18,2024-05-20,2,False,False,False,True,0.142
2024-05-20,2024-05-21,1,False,False,False,True,-0.011
2024-05-21,2024-05-23,2,False,False,False,True,0.009
2024-05-23,2024-05-24,1,False,False,False,True,-0.135
2024-05-25,2024-05-26,1,False,False,True,False,0.012
2024-05-26,2024-05-27,1,False,False,False,False,0.029
2024-05-27,2024-05-28,1,False,False,False,False,-0.049
2024-05-28,2024-06-01,4,False,False,False,True,-0.025
2024-06-01,2024-06-02,1,False,False,False,False,0.013
2024-06-02,2024-06-03,1,False,False,False,True,-0.117
2024-06-03,2024-06-06,3,False,False,False,False,0.117
2024-06-06,2024-06-07,1,False,False,False,False,0.094
2024-06-07,2024-06-08,1,False,False,False,True,0.064
2024-06-08,2024-06-09,1,False,False,False,True,-0.137
2024-06-12,2024-06-13,1,False,False,True,False,-0.102
2024-07-11,2024-07-17,6,False,False,False,True,0.739
2024-07-17,2024-07-18,1,False,False,True,True,0.092
2024-07-19,2024-07-20,1,False,False,True,False,0.127
2024-07-20,2024-07-21,1,False,False,True,False,0.12
2024-07-21,2024-07-22,1,False,False,False,False,0.091
2024-07-22,2024-07-26,4,False,False,False,True,-0.542
2024-07-26,2024-07-27,1,False,False,True,False,-0.024
2024-08-24,2024-08-25,1,False,False,True,False,0.165
2024-09-02,2024-09-03,1,False,False,False,False,0.009
2024-09-03,2024-09-04,1,False,False,False,True,0.133
2024-09-04,2024-09-05,1,False,False,False,False,0.284
2024-09-05,2024-09-09,4,False,False,False,True,-0.461
2024-09-09,2024-09-11,2,False,False,False,False,0.182
2024-09-11,2024-09-12,1,False,False,False,True,0.084
2024-09-12,2024-09-14,2,False,False,False,False,0.265
2024-09-14,2024-09-17,3,False,False,False,True,0.255
2024-09-17,2024-09-18,1,False,False,False,False,-0.048
2024-09-22,2024-09-23,1,False,False,True,True,-0.13
2024-09-23,2024-09-24,1,False,False,False,True,-0.053
2024-09-25,2024-09-26,1,False,False,True,False,0.096
2024-09-26,2024-09-28,2,False,False,True,False,0.246
2024-09-28,2024-10-04,6,False,False,False,True,-0.508
2024-10-04,2024-10-05,1,False,False,False,False,-0.023
2024-10-09,2024-10-10,1,False,False,True,True,-0.046
2024-10-20,2024-10-21,1,False,False,True,False,-0.041
2024-10-27,2024-10-30,3,False,False,False,False,0.184
2024-10-31,2024-11-01,1,False,False,False,True,0.049
2024-11-05,2024-11-06,1,False,False,False,False,-0.157
2024-11-08,2024-11-09,1,False,False,False,True,0.412
2024-11-09,2024-11-12,3,False,False,True,False,0.864
2024-12-20,2024-12-26,6,False,False,False,False,-0.789
2025-01-16,2025-01-17,1,False,False,False,False,0.573
2025-01-17,2025-01-18,1,False,False,False,False,0.564
2025-01-19,2025-01-22,3,False,False,True,True,0.217
2025-01-22,2025-01-23,1,False,False,False,True,-0.123
2025-01-23,2025-01-25,2,False,False,False,True,-0.197
2025-01-25,2025-01-26,1,False,False,False,False,0.139
2025-02-15,2025-02-16,1,False,False,False,True,-0.225
2025-02-16,2025-02-18,2,False,False,False,True,-0.373
2025-02-18,2025-02-21,3,False,False,True,False,0.08
2025-03-03,2025-03-05,2,False,False,False,True,0.464
2025-03-05,2025-03-08,3,False,False,False,False,0.989
2025-04-09,2025-04-10,1,False,False,False,False,0.22
2025-04-10,2025-04-12,2,False,False,True,False,0.234
2025-04-12,2025-04-13,1,False,False,True,False,0.09
2025-04-22,2025-04-23,1,False,False,False,False,0.274
2025-04-23,2025-04-24,1,False,False,False,False,0.343
2025-04-24,2025-04-25,1,False,False,False,False,0.273
2025-04-27,2025-04-28,1,False,False,False,True,0.136
2025-04-28,2025-04-29,1,False,False,False,False,0.255
2025-04-29,2025-05-01,2,False,False,False,True,0.05
2025-05-01,2025-05-02,1,False,False,True,True,-0.146
2025-05-23,2025-05-26,3,False,False,False,True,-0.267
2025-05-26,2025-05-27,1,False,False,True,False,-0.106
2025-05-27,2025-05-28,1,False,False,True,False,-0.09
2025-05-28,2025-05-29,1,False,False,True,True,-0.213
2025-05-29,2025-05-30,1,False,False,False,False,-0.217
2025-06-03,2025-06-06,3,False,False,True,True,0.06
2025-07-04,2025-07-10,6,False,False,False,False,0.222
2025-07-10,2025-07-11,1,False,False,True,False,0.123
2025-07-12,2025-07-13,1,False,False,True,True,0.466
2025-07-13,2025-07-14,1,False,False,False,False,0.513
2025-07-14,2025-07-15,1,False,False,False,True,0.398
2025-07-15,2025-07-18,3,False,False,False,False,-0.17
2025-07-18,2025-07-19,1,False,False,True,True,-0.192
2025-07-19,2025-07-20,1,False,False,True,True,-0.075
2025-07-23,2025-07-25,2,False,False,False,True,0.119
2025-07-25,2025-07-27,2,False,False,True,False,0.018
2025-08-03,2025-08-05,2,False,False,False,False,-0.015
2025-08-05,2025-08-06,1,False,False,False,False,0.067
2025-08-06,2025-08-07,1,False,False,False,False,-0.022
2025-08-07,2025-08-08,1,False,False,False,False,0.165
2025-08-10,2025-08-12,2,False,False,True,True,-0.144
2025-08-12,2025-08-14,2,False,False,False,False,-0.083
2025-08-14,2025-08-16,2,True,False,False,True,-0.324
2025-08-16,2025-08-17,1,False,False,False,False,-0.132
2025-08-28,2025-08-29,1,False,False,False,False,0.414
2025-08-29,2025-08-30,1,False,False,False,True,-0.038
2025-08-30,2025-08-31,1,False,False,False,False,0.29
2025-08-31,2025-09-02,2,False,False,False,True,0.548
2025-09-02,2025-09-04,2,False,False,False,False,0.098
2025-09-10,2025-09-11,1,False,False,True,False,0.018
2025-09-11,2025-09-13,2,False,False,False,False,0.192
2025-09-13,2025-09-15,2,False,False,False,True,0.117
2025-09-15,2025-09-17,2,False,False,False,True,0.031
2025-09-17,2025-09-20,3,False,False,True,False,0.265
2025-10-01,2025-10-06,5,False,False,False,False,1.371
2025-10-31,2025-11-01,1,False,False,True,False,-0.119
2025-12-13,2025-12-14,1,False,False,False,False,0.095
2025-12-14,2025-12-15,1,True,False,False,False,-0.022
2025-12-15,2025-12-16,1,False,False,False,False,-0.116
2025-12-24,2025-12-28,4,False,False,False,True,-0.428
2026-01-04,2026-01-07,3,False,False,False,False,1.079
2026-01-07,2026-01-13,6,False,False,False,True,-0.782
2026-01-13,2026-01-14,1,False,False,False,False,0.286
2026-01-15,2026-01-17,2,False,False,True,False,0.74
2026-01-17,2026-01-18,1,False,False,False,True,0.168
2026-03-10,2026-03-12,2,False,False,True,False,-0.125
2026-03-12,2026-03-13,1,False,False,False,True,0.229
2026-03-13,2026-03-14,1,False,False,False,True,0.198
2026-03-15,2026-03-17,2,False,False,True,False,0.241
2026-03-17,2026-03-20,3,False,False,False,True,-0.648
2026-03-20,2026-03-21,1,False,False,False,False,-0.26
2026-03-22,2026-03-24,2,False,False,True,False,-0.39
2026-03-24,2026-03-25,1,False,False,False,False,0.045
2026-03-25,2026-03-26,1,False,False,False,False,0.26
2026-03-30,2026-03-31,1,False,False,True,False,0.018
2026-04-02,2026-04-07,5,False,False,False,True,0.828
2026-04-07,2026-04-08,1,False,False,False,False,0.38
2026-04-08,2026-04-09,1,False,False,True,False,0.015
2026-04-12,2026-04-13,1,False,False,True,True,-0.162
2026-04-13,2026-04-15,2,False,False,True,True,0.026
2026-05-17,2026-05-18,1,False,False,False,True,-0.439
2026-05-18,2026-05-24,6,False,False,False,False,-0.125
2026-05-25,2026-05-26,1,False,False,True,False,0.144
2026-07-02,2026-07-03,1,False,False,False,False,0.2
2026-07-09,2026-07-11,2,False,False,False,False,-0.14
2026-07-11,2026-07-14,3,False,False,False,True,-0.301
2026-07-14,2026-07-15,1,False,False,False,False,-0.071
2026-07-15,2026-07-20,5,False,False,False,True,-0.133
2026-07-20,2026-07-22,2,False,False,False,False,0.197
2026-07-22,2026-07-25,3,False,False,False,True,0.12
2026-07-25,2026-07-27,2,False,False,False,False,0.173
2026-07-27,2026-07-30,3,True,False,False,True,-0.455
2026-07-30,2026-07-31,1,False,False,False,False,-0.019
2026-07-31,2026-08-07,7,False,False,False,True,-0.291
2026-08-07,2026-08-09,2,False,False,False,False,0.381
2026-08-12,2026-08-13,1,False,False,False,True,-0.069
2026-08-13,2026-08-14,1,False,False,False,False,-0.084
2026-08-14,2026-08-15,1,False,False,False,True,-0.109
