state,dest,mechanism,dur,persist_days,reopened_after,rank7_post,transfer_post,p1_at_exit,entropy_at_exit
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,1.0,1.615,0.857,0.592
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,1.0,1.615,0.857,0.592
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.865,0.333,1.585
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,0.75,1.095,0.667,0.918
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.351,0.333,1.585
6C_1,6C_2,EDGE_PRUNING,3.0,1,True,1.0,0.357,0.5,1.0
6C_1,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.0,0.857,0.592
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,0.875,0.338,0.571,0.985
6C_1,6C_4,EDGE_PRUNING,4.0,1,True,0.875,0.589,0.667,0.918
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.338,0.857,0.592
6C_1,6C_0,PRESSURE_CONCENTRATION,6.0,1,True,0.25,0.503,0.857,0.592
6C_1,6C_4,EDGE_PRUNING,7.0,3,True,1.0,0.573,0.8,0.722
6C_1,6C_4,PRESSURE_CONCENTRATION,3.0,2,True,1.0,0.587,0.8,0.722
6C_1,6C_0,PRESSURE_CONCENTRATION,3.0,1,True,0.875,0.398,0.857,0.592
6C_1,6C_0,PRESSURE_CONCENTRATION,5.0,1,True,1.0,0.398,0.857,0.592
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.412,0.714,1.149
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,0.5,0.853,1.0,-0.0
6C_1,6C_5,PRESSURE_CONCENTRATION,6.0,1,True,0.25,0.398,0.857,0.592
6C_2,6C_4,EDGE_PRUNING,23.0,6,True,0.0,0.701,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,12.0,7,True,0.375,0.523,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,28.0,7,True,1.0,0.157,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,37.0,7,True,0.25,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,41.0,9,True,1.0,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,23.0,7,True,1.0,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,6.0,7,True,1.0,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,10.0,7,True,1.0,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,7.0,7,True,1.0,0.519,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,21.0,6,True,1.0,0.459,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,13.0,6,True,0.875,0.089,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,8.0,9,True,1.0,0.101,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,51.0,7,True,0.75,0.101,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,15.0,6,True,1.0,0.09,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,9.0,7,True,1.0,0.338,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,3.0,7,True,1.0,0.338,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,27.0,6,True,1.0,0.296,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,15.0,7,True,0.625,0.338,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,8.0,7,True,1.0,0.417,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,3.0,7,True,1.0,0.417,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,23.0,7,True,1.0,0.43,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,27.0,6,True,1.0,0.425,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,25.0,7,True,1.0,0.417,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,20.0,10,True,1.0,0.42,1.0,-0.0
6C_2,6C_4,EDGE_PRUNING,9.0,7,True,1.0,0.417,1.0,-0.0
6C_3,6C_1,EDGE_PRUNING,4.0,2,True,1.0,0.519,0.5,1.459
6C_3,6C_4,EDGE_PRUNING,4.0,4,True,0.75,0.848,0.667,0.918
6C_3,6C_4,PRESSURE_CONCENTRATION,3.0,1,True,0.0,0.338,0.5,1.459
6C_3,6C_4,PRESSURE_CONCENTRATION,4.0,1,True,0.875,0.27,0.75,0.811
6C_3,6C_4,PRESSURE_CONCENTRATION,3.0,1,True,0.0,0.667,0.857,0.592
6C_3,6C_4,PRESSURE_CONCENTRATION,3.0,3,True,1.0,0.409,0.5,1.0
6C_3,6C_4,PRESSURE_CONCENTRATION,3.0,1,True,1.0,0.722,0.5,1.0
6C_3,6C_4,EDGE_PRUNING,3.0,6,True,1.0,0.43,1.0,-0.0
6C_4,6C_2,PRESSURE_CONCENTRATION,6.0,1,True,0.0,0.701,0.857,0.592
6C_4,6C_1,EDGE_PRUNING,7.0,2,True,1.0,0.625,0.571,1.379
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.157,0.833,0.65
6C_4,6C_1,EDGE_PRUNING,7.0,1,True,1.0,,0.429,1.449
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.519,0.833,0.65
6C_4,6C_2,EDGE_PRUNING,3.0,41,True,0.625,0.042,1.0,-0.0
6C_4,6C_5,EDGE_PRUNING,9.0,1,True,0.875,0.042,0.857,0.592
6C_4,6C_3,EDGE_PRUNING,7.0,2,True,1.0,0.519,0.714,0.863
6C_4,6C_3,PRESSURE_CONCENTRATION,4.0,2,True,1.0,,0.571,1.379
6C_4,6C_3,EDGE_PRUNING,3.0,1,True,1.0,0.233,0.6,0.971
6C_4,6C_5,EDGE_PRUNING,7.0,6,True,1.0,0.519,1.0,-0.0
6C_4,6C_5,EDGE_PRUNING,7.0,2,True,1.0,0.122,0.667,0.918
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,0.625,0.4,0.75,0.811
6C_4,6C_3,EDGE_PRUNING,4.0,2,True,1.0,0.519,0.667,0.918
6C_4,6C_5,PRESSURE_CONCENTRATION,4.0,2,True,1.0,0.042,0.714,0.863
6C_4,6C_2,EDGE_PRUNING,6.0,1,True,1.0,0.451,0.5,1.0
6C_4,6C_3,EDGE_PRUNING,4.0,1,True,1.0,0.519,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,6.0,1,True,1.0,0.11,0.833,0.65
6C_4,6C_2,PRESSURE_CONCENTRATION,6.0,1,True,0.25,0.08,0.8,0.722
6C_4,6C_3,PRESSURE_CONCENTRATION,4.0,1,True,1.0,1.844,0.857,0.592
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,0.875,0.406,0.429,1.557
6C_4,6C_3,EDGE_PRUNING,9.0,2,True,1.0,0.537,0.8,0.722
6C_4,6C_2,PRESSURE_CONCENTRATION,3.0,1,True,1.0,0.084,0.667,0.918
6C_4,6C_5,EDGE_PRUNING,7.0,3,True,0.875,0.768,0.667,0.918
6C_4,6C_5,EDGE_PRUNING,8.0,2,True,1.0,0.067,0.75,0.811
6C_4,6C_5,PRESSURE_CONCENTRATION,3.0,1,True,1.0,0.016,0.857,0.592
6C_4,6C_2,EDGE_PRUNING,6.0,1,True,1.0,0.084,0.75,0.811
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.338,1.0,-0.0
6C_4,6C_5,PRESSURE_CONCENTRATION,4.0,2,True,1.0,0.169,0.833,0.65
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.338,1.0,-0.0
6C_4,6C_2,EDGE_PRUNING,7.0,1,True,1.0,0.27,0.75,0.811
6C_4,6C_1,PRESSURE_CONCENTRATION,4.0,1,True,0.375,0.338,0.6,0.971
6C_4,6C_2,EDGE_PRUNING,6.0,1,True,1.0,0.282,0.667,0.918
6C_4,6C_3,EDGE_PRUNING,4.0,1,True,1.0,0.145,0.75,0.811
6C_4,6C_2,EDGE_PRUNING,3.0,15,True,1.0,0.0,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,0.875,0.29,0.5,1.0
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.338,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,4.0,2,True,1.0,0.338,1.0,-0.0
6C_4,6C_1,EDGE_PRUNING,3.0,1,True,0.875,0.169,0.667,1.252
6C_4,6C_3,EDGE_PRUNING,6.0,1,True,1.0,0.589,0.667,1.252
6C_4,6C_5,EDGE_PRUNING,6.0,3,True,1.0,0.338,0.75,0.811
6C_4,6C_2,PRESSURE_CONCENTRATION,4.0,1,True,0.25,0.225,0.833,0.65
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,0.75,0.479,0.8,0.722
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.399,0.8,0.722
6C_4,6C_5,EDGE_PRUNING,7.0,2,True,0.625,0.404,1.0,-0.0
6C_4,6C_5,PRESSURE_CONCENTRATION,3.0,2,True,0.25,0.384,0.714,0.863
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.429,0.5,1.0
6C_4,6C_3,EDGE_PRUNING,7.0,1,True,1.0,0.454,0.8,0.722
6C_4,6C_1,EDGE_PRUNING,3.0,1,True,1.0,0.603,0.5,1.459
6C_4,6C_3,PRESSURE_CONCENTRATION,3.0,1,True,1.0,0.394,0.857,0.592
6C_4,6C_2,PRESSURE_CONCENTRATION,6.0,1,True,0.75,0.464,0.8,0.722
6C_4,6C_3,EDGE_PRUNING,6.0,2,True,1.0,0.476,0.833,0.65
6C_4,6C_3,EDGE_PRUNING,11.0,1,True,1.0,0.459,1.0,-0.0
6C_4,6C_5,PRESSURE_CONCENTRATION,4.0,2,True,1.0,0.626,0.571,0.985
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.414,1.0,-0.0
6C_4,6C_5,EDGE_PRUNING,8.0,4,True,0.875,0.409,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,7.0,3,True,1.0,0.449,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,6.0,1,True,1.0,0.67,0.4,1.522
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.381,0.857,0.592
6C_4,6C_3,EDGE_PRUNING,10.0,2,True,1.0,0.465,0.8,0.722
6C_4,6C_3,PRESSURE_CONCENTRATION,3.0,1,True,1.0,0.649,0.75,0.811
6C_4,6C_5,EDGE_PRUNING,4.0,1,True,1.0,0.437,0.667,0.918
6C_4,6C_3,EDGE_PRUNING,5.0,1,True,1.0,0.729,0.5,1.459
6C_4,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.422,0.5,1.0
6C_4,6C_3,EDGE_PRUNING,5.0,2,True,1.0,0.449,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,3.0,1,True,1.0,0.449,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,5.0,2,True,1.0,0.459,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,3.0,2,True,1.0,0.449,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,3.0,1,True,1.0,0.43,1.0,-0.0
6C_4,6C_3,EDGE_PRUNING,7.0,2,True,1.0,0.51,0.667,0.918
6C_4,6C_1,PRESSURE_CONCENTRATION,3.0,1,True,0.625,0.644,0.6,0.971
6C_5,6C_4,EDGE_PRUNING,14.0,2,True,1.0,0.157,0.667,0.918
6C_5,6C_4,EDGE_PRUNING,23.0,2,True,1.0,0.45,0.571,1.379
6C_5,6C_2,EDGE_PRUNING,18.0,28,True,1.0,,1.0,-0.0
6C_5,6C_4,EDGE_PRUNING,10.0,1,True,1.0,0.546,0.8,0.722
6C_5,6C_1,EDGE_PRUNING,16.0,5,True,1.0,0.522,0.833,0.65
6C_5,6C_2,EDGE_PRUNING,13.0,37,True,0.25,,1.0,-0.0
6C_5,6C_4,EDGE_PRUNING,9.0,7,True,0.875,0.519,1.0,-0.0
6C_5,6C_4,EDGE_PRUNING,6.0,1,True,1.0,0.122,0.8,0.722
6C_5,6C_4,PRESSURE_CONCENTRATION,3.0,1,True,0.5,0.725,0.833,0.65
6C_5,6C_1,PRESSURE_CONCENTRATION,3.0,2,True,1.0,0.355,0.571,1.379
6C_5,6C_2,EDGE_PRUNING,7.0,3,True,1.0,0.211,0.571,0.985
6C_5,6C_4,EDGE_PRUNING,3.0,1,True,1.0,0.282,0.714,1.149
6C_5,6C_2,EDGE_PRUNING,12.0,1,True,0.875,0.415,0.857,0.592
6C_5,6C_4,EDGE_PRUNING,3.0,1,True,1.0,0.404,1.0,-0.0
6C_5,6C_2,EDGE_PRUNING,5.0,8,True,1.0,0.379,1.0,-0.0
6C_5,6C_2,PRESSURE_CONCENTRATION,3.0,3,True,1.0,0.405,0.571,0.985
6C_5,6C_1,EDGE_PRUNING,10.0,5,True,1.0,0.832,0.833,0.65
6C_5,6C_4,EDGE_PRUNING,24.0,1,True,1.0,0.398,0.5,1.0
6C_5,6C_3,EDGE_PRUNING,8.0,1,True,1.0,0.394,0.857,0.592
6C_5,6C_4,EDGE_PRUNING,4.0,7,True,1.0,0.43,1.0,-0.0
6C_5,6C_2,EDGE_PRUNING,21.0,9,True,1.0,0.379,1.0,-0.0
