cycle_id,wall_clock_utc,leg,bid,ask,spread_points,quote_age_ms
17,2026-08-16 21:45:41.562718+00:00,GBPAUD,1.90966,1.91253,287.0,0
17,2026-08-16 21:45:41.562718+00:00,GBPNZD,2.29566,2.3003,464.0,0
17,2026-08-16 21:45:41.562718+00:00,AUDNZD,1.20109,1.20384,275.0,0
18,2026-08-16 21:45:53.567532+00:00,GBPAUD,1.90958,1.91245,287.0,0
18,2026-08-16 21:45:53.567532+00:00,GBPNZD,2.29566,2.30037,471.0,0
18,2026-08-16 21:45:53.567532+00:00,AUDNZD,1.20118,1.20389,271.0,1000
19,2026-08-16 21:46:05.574110+00:00,GBPAUD,1.90958,1.91245,287.0,0
19,2026-08-16 21:46:05.574110+00:00,GBPNZD,2.29566,2.30036,470.0,0
19,2026-08-16 21:46:05.574110+00:00,AUDNZD,1.20118,1.20389,271.0,0
20,2026-08-16 21:46:17.575898+00:00,GBPAUD,1.90957,1.91244,287.0,0
20,2026-08-16 21:46:17.575898+00:00,GBPNZD,2.29566,2.30033,467.0,0
20,2026-08-16 21:46:17.575898+00:00,AUDNZD,1.20118,1.20389,271.0,7000
21,2026-08-16 21:46:29.577367+00:00,GBPAUD,1.90964,1.91251,287.0,0
21,2026-08-16 21:46:29.577367+00:00,GBPNZD,2.29566,2.30031,465.0,5000
21,2026-08-16 21:46:29.577367+00:00,AUDNZD,1.20108,1.20389,281.0,0
22,2026-08-16 21:46:41.581494+00:00,GBPAUD,1.90956,1.91243,287.0,0
22,2026-08-16 21:46:41.581494+00:00,GBPNZD,2.29566,2.30035,469.0,0
22,2026-08-16 21:46:41.581494+00:00,AUDNZD,1.20118,1.20391,273.0,0
23,2026-08-16 21:46:53.584660+00:00,GBPAUD,1.90956,1.91243,287.0,0
23,2026-08-16 21:46:53.584660+00:00,GBPNZD,2.29566,2.30039,473.0,0
23,2026-08-16 21:46:53.584660+00:00,AUDNZD,1.20118,1.20393,275.0,0
24,2026-08-16 21:47:05.588027+00:00,GBPAUD,1.90955,1.91242,287.0,0
24,2026-08-16 21:47:05.588027+00:00,GBPNZD,2.29565,2.30037,472.0,0
24,2026-08-16 21:47:05.588027+00:00,AUDNZD,1.20118,1.20393,275.0,3000
25,2026-08-16 21:47:17.590753+00:00,GBPAUD,1.90957,1.91244,287.0,0
25,2026-08-16 21:47:17.590753+00:00,GBPNZD,2.29569,2.30037,468.0,0
25,2026-08-16 21:47:17.590753+00:00,AUDNZD,1.20118,1.20393,275.0,13000
26,2026-08-16 21:47:29.597007+00:00,GBPAUD,1.90935,1.91222,287.0,0
26,2026-08-16 21:47:29.597007+00:00,GBPNZD,2.29576,2.29971,395.0,1000
26,2026-08-16 21:47:29.597007+00:00,AUDNZD,1.20118,1.20389,271.0,0
27,2026-08-16 21:47:41.602831+00:00,GBPAUD,1.90929,1.91216,287.0,0
27,2026-08-16 21:47:41.602831+00:00,GBPNZD,2.29567,2.29962,395.0,0
27,2026-08-16 21:47:41.602831+00:00,AUDNZD,1.20118,1.20387,269.0,2000
28,2026-08-16 21:47:53.607867+00:00,GBPAUD,1.90956,1.91243,287.0,0
28,2026-08-16 21:47:53.607867+00:00,GBPNZD,2.29478,2.30039,561.0,0
28,2026-08-16 21:47:53.607867+00:00,AUDNZD,1.20074,1.20389,315.0,0
29,2026-08-16 21:48:05.616162+00:00,GBPAUD,1.90957,1.91244,287.0,0
29,2026-08-16 21:48:05.616162+00:00,GBPNZD,2.29479,2.30035,556.0,2000
29,2026-08-16 21:48:05.616162+00:00,AUDNZD,1.20074,1.20385,311.0,0
30,2026-08-16 21:48:17.618038+00:00,GBPAUD,1.90955,1.91242,287.0,0
30,2026-08-16 21:48:17.618038+00:00,GBPNZD,2.29476,2.30033,557.0,0
30,2026-08-16 21:48:17.618038+00:00,AUDNZD,1.20074,1.20385,311.0,11000
31,2026-08-16 21:48:29.626436+00:00,GBPAUD,1.90965,1.91252,287.0,0
31,2026-08-16 21:48:29.626436+00:00,GBPNZD,2.29564,2.30033,469.0,1000
31,2026-08-16 21:48:29.626436+00:00,AUDNZD,1.2011,1.20384,274.0,0
32,2026-08-16 21:48:41.633313+00:00,GBPAUD,1.90957,1.91244,287.0,0
32,2026-08-16 21:48:41.633313+00:00,GBPNZD,2.29563,2.30033,470.0,0
32,2026-08-16 21:48:41.633313+00:00,AUDNZD,1.2012,1.20384,264.0,0
33,2026-08-16 21:48:53.636001+00:00,GBPAUD,1.90923,1.9121,287.0,0
33,2026-08-16 21:48:53.636001+00:00,GBPNZD,2.29562,2.29952,390.0,0
33,2026-08-16 21:48:53.636001+00:00,AUDNZD,1.2012,1.20384,264.0,14000
34,2026-08-16 21:49:05.637926+00:00,GBPAUD,1.90923,1.9121,287.0,0
34,2026-08-16 21:49:05.637926+00:00,GBPNZD,2.29562,2.29952,390.0,2000
34,2026-08-16 21:49:05.637926+00:00,AUDNZD,1.2012,1.20384,264.0,0
35,2026-08-16 21:49:17.643772+00:00,GBPAUD,1.90921,1.91208,287.0,0
35,2026-08-16 21:49:17.643772+00:00,GBPNZD,2.29561,2.29952,391.0,0
35,2026-08-16 21:49:17.643772+00:00,AUDNZD,1.2012,1.20385,265.0,0
36,2026-08-16 21:49:29.645684+00:00,GBPAUD,1.90954,1.91241,287.0,0
36,2026-08-16 21:49:29.645684+00:00,GBPNZD,2.29568,2.30023,455.0,5000
36,2026-08-16 21:49:29.645684+00:00,AUDNZD,1.20124,1.20382,258.0,0
37,2026-08-16 21:49:41.648775+00:00,GBPAUD,1.90928,1.91215,287.0,0
37,2026-08-16 21:49:41.648775+00:00,GBPNZD,2.29578,2.2995,372.0,0
37,2026-08-16 21:49:41.648775+00:00,AUDNZD,1.20124,1.20382,258.0,12000
38,2026-08-16 21:49:53.653073+00:00,GBPAUD,1.90929,1.91216,287.0,0
38,2026-08-16 21:49:53.653073+00:00,GBPNZD,2.29473,2.29962,489.0,0
38,2026-08-16 21:49:53.653073+00:00,AUDNZD,1.20073,1.20382,309.0,0
39,2026-08-16 21:50:05.656863+00:00,GBPAUD,1.90927,1.91214,287.0,0
39,2026-08-16 21:50:05.656863+00:00,GBPNZD,2.29554,2.29971,417.0,0
39,2026-08-16 21:50:05.656863+00:00,AUDNZD,1.20117,1.20388,271.0,0
40,2026-08-16 21:50:17.676947+00:00,GBPAUD,1.90909,1.91196,287.0,0
40,2026-08-16 21:50:17.676947+00:00,GBPNZD,2.29574,2.29928,354.0,0
40,2026-08-16 21:50:17.676947+00:00,AUDNZD,1.2013,1.20386,256.0,2000
1,2026-08-16 21:51:00.444040+00:00,GBPAUD,1.90906,1.91193,287.0,0
1,2026-08-16 21:51:00.444040+00:00,GBPNZD,2.29525,2.2994,415.0,0
1,2026-08-16 21:51:00.444040+00:00,AUDNZD,1.20104,1.20397,293.0,1000
2,2026-08-16 21:51:12.451616+00:00,GBPAUD,1.90907,1.91194,287.0,0
2,2026-08-16 21:51:12.451616+00:00,GBPNZD,2.29544,2.29923,379.0,0
2,2026-08-16 21:51:12.451616+00:00,AUDNZD,1.20112,1.20386,274.0,9000
3,2026-08-16 21:51:24.455550+00:00,GBPAUD,1.9091,1.91197,287.0,0
3,2026-08-16 21:51:24.455550+00:00,GBPNZD,2.29575,2.29981,406.0,0
3,2026-08-16 21:51:24.455550+00:00,AUDNZD,1.20137,1.20404,267.0,3000
4,2026-08-16 21:51:36.458779+00:00,GBPAUD,1.90916,1.91203,287.0,0
4,2026-08-16 21:51:36.458779+00:00,GBPNZD,2.29587,2.29983,396.0,0
4,2026-08-16 21:51:36.458779+00:00,AUDNZD,1.20137,1.20404,267.0,11000
5,2026-08-16 21:51:48.461718+00:00,GBPAUD,1.90907,1.91194,287.0,0
5,2026-08-16 21:51:48.461718+00:00,GBPNZD,2.29559,2.29989,430.0,0
5,2026-08-16 21:51:48.461718+00:00,AUDNZD,1.20137,1.20404,267.0,27000
6,2026-08-16 21:52:00.465366+00:00,GBPAUD,1.90914,1.91201,287.0,0
6,2026-08-16 21:52:00.465366+00:00,GBPNZD,2.29586,2.29988,402.0,0
6,2026-08-16 21:52:00.465366+00:00,AUDNZD,1.20142,1.20404,262.0,1000
7,2026-08-16 21:52:12.470918+00:00,GBPAUD,1.90929,1.91216,287.0,0
7,2026-08-16 21:52:12.470918+00:00,GBPNZD,2.29566,2.29989,423.0,0
7,2026-08-16 21:52:12.470918+00:00,AUDNZD,1.20118,1.20399,281.0,5000
8,2026-08-16 21:52:24.475709+00:00,GBPAUD,1.90912,1.91199,287.0,0
8,2026-08-16 21:52:24.475709+00:00,GBPNZD,2.29547,2.29988,441.0,9000
8,2026-08-16 21:52:24.475709+00:00,AUDNZD,1.20128,1.20399,271.0,0
9,2026-08-16 21:52:36.486254+00:00,GBPAUD,1.9092,1.91207,287.0,0
9,2026-08-16 21:52:36.486254+00:00,GBPNZD,2.29566,2.29988,422.0,0
9,2026-08-16 21:52:36.486254+00:00,AUDNZD,1.20128,1.20399,271.0,8000
10,2026-08-16 21:52:48.490231+00:00,GBPAUD,1.90915,1.91202,287.0,0
10,2026-08-16 21:52:48.490231+00:00,GBPNZD,2.29556,2.29986,430.0,0
10,2026-08-16 21:52:48.490231+00:00,AUDNZD,1.20128,1.20399,271.0,15000
11,2026-08-16 21:53:00.496350+00:00,GBPAUD,1.90915,1.91202,287.0,0
11,2026-08-16 21:53:00.496350+00:00,GBPNZD,2.29551,2.29991,440.0,0
11,2026-08-16 21:53:00.496350+00:00,AUDNZD,1.20128,1.20399,271.0,35000
12,2026-08-16 21:53:12.502977+00:00,GBPAUD,1.9092,1.91207,287.0,0
12,2026-08-16 21:53:12.502977+00:00,GBPNZD,2.29566,2.29991,425.0,0
12,2026-08-16 21:53:12.502977+00:00,AUDNZD,1.20128,1.20401,273.0,5000
13,2026-08-16 21:53:24.507265+00:00,GBPAUD,1.90907,1.91194,287.0,0
13,2026-08-16 21:53:24.507265+00:00,GBPNZD,2.29527,2.29998,471.0,0
13,2026-08-16 21:53:24.507265+00:00,AUDNZD,1.20128,1.20401,273.0,0
14,2026-08-16 21:53:36.510320+00:00,GBPAUD,1.90919,1.91206,287.0,0
14,2026-08-16 21:53:36.510320+00:00,GBPNZD,2.29544,2.3,456.0,0
14,2026-08-16 21:53:36.510320+00:00,AUDNZD,1.20123,1.20401,278.0,7000
15,2026-08-16 21:53:48.523761+00:00,GBPAUD,1.90933,1.9122,287.0,0
15,2026-08-16 21:53:48.523761+00:00,GBPNZD,2.29559,2.3,441.0,0
15,2026-08-16 21:53:48.523761+00:00,AUDNZD,1.20113,1.20401,288.0,0
16,2026-08-16 21:54:00.540904+00:00,GBPAUD,1.90881,1.91168,287.0,0
16,2026-08-16 21:54:00.540904+00:00,GBPNZD,2.29537,2.29935,398.0,0
16,2026-08-16 21:54:00.540904+00:00,AUDNZD,1.20133,1.20401,268.0,4000
17,2026-08-16 21:54:12.545992+00:00,GBPAUD,1.90886,1.91173,287.0,0
17,2026-08-16 21:54:12.545992+00:00,GBPNZD,2.2953,2.29935,405.0,0
17,2026-08-16 21:54:12.545992+00:00,AUDNZD,1.20123,1.20401,278.0,5000
18,2026-08-16 21:54:24.548424+00:00,GBPAUD,1.90877,1.91164,287.0,0
18,2026-08-16 21:54:24.548424+00:00,GBPNZD,2.29529,2.29915,386.0,0
18,2026-08-16 21:54:24.548424+00:00,AUDNZD,1.20123,1.20401,278.0,11000
19,2026-08-16 21:54:36.551653+00:00,GBPAUD,1.90876,1.91163,287.0,0
19,2026-08-16 21:54:36.551653+00:00,GBPNZD,2.29529,2.29913,384.0,0
19,2026-08-16 21:54:36.551653+00:00,AUDNZD,1.20123,1.20401,278.0,22000
20,2026-08-16 21:54:48.563206+00:00,GBPAUD,1.90885,1.91172,287.0,0
20,2026-08-16 21:54:48.563206+00:00,GBPNZD,2.29549,2.2994,391.0,0
20,2026-08-16 21:54:48.563206+00:00,AUDNZD,1.20123,1.20413,290.0,3000
21,2026-08-16 21:55:00.565656+00:00,GBPAUD,1.90877,1.91164,287.0,0
21,2026-08-16 21:55:00.565656+00:00,GBPNZD,2.29531,2.29938,407.0,0
21,2026-08-16 21:55:00.565656+00:00,AUDNZD,1.20123,1.20413,290.0,12000
22,2026-08-16 21:55:12.571099+00:00,GBPAUD,1.90873,1.9116,287.0,0
22,2026-08-16 21:55:12.571099+00:00,GBPNZD,2.2953,2.29935,405.0,0
22,2026-08-16 21:55:12.571099+00:00,AUDNZD,1.20124,1.20415,291.0,4000
23,2026-08-16 21:55:24.690876+00:00,GBPAUD,1.90882,1.91169,287.0,0
23,2026-08-16 21:55:24.690876+00:00,GBPNZD,2.2955,2.29936,386.0,0
23,2026-08-16 21:55:24.690876+00:00,AUDNZD,1.20124,1.20415,291.0,16000
24,2026-08-16 21:55:36.741320+00:00,GBPAUD,1.90874,1.91161,287.0,0
24,2026-08-16 21:55:36.741320+00:00,GBPNZD,2.29547,2.29931,384.0,0
24,2026-08-16 21:55:36.741320+00:00,AUDNZD,1.20132,1.20411,279.0,0
25,2026-08-16 21:55:48.744792+00:00,GBPAUD,1.90881,1.91168,287.0,0
25,2026-08-16 21:55:48.744792+00:00,GBPNZD,2.29565,2.29933,368.0,0
25,2026-08-16 21:55:48.744792+00:00,AUDNZD,1.20132,1.20412,280.0,3000
26,2026-08-16 21:56:00.748505+00:00,GBPAUD,1.90889,1.91176,287.0,0
26,2026-08-16 21:56:00.748505+00:00,GBPNZD,2.29566,2.29934,368.0,0
26,2026-08-16 21:56:00.748505+00:00,AUDNZD,1.20122,1.20412,290.0,0
27,2026-08-16 21:56:12.752233+00:00,GBPAUD,1.90881,1.91168,287.0,0
27,2026-08-16 21:56:12.752233+00:00,GBPNZD,2.29566,2.29942,376.0,0
27,2026-08-16 21:56:12.752233+00:00,AUDNZD,1.20132,1.20416,284.0,0
28,2026-08-16 21:56:24.755208+00:00,GBPAUD,1.9088,1.91167,287.0,0
28,2026-08-16 21:56:24.755208+00:00,GBPNZD,2.29566,2.2994,374.0,0
28,2026-08-16 21:56:24.755208+00:00,AUDNZD,1.20132,1.20416,284.0,11000
29,2026-08-16 21:56:36.757830+00:00,GBPAUD,1.90874,1.91161,287.0,0
29,2026-08-16 21:56:36.757830+00:00,GBPNZD,2.29551,2.2994,389.0,0
29,2026-08-16 21:56:36.757830+00:00,AUDNZD,1.20132,1.20416,284.0,30000
30,2026-08-16 21:56:48.760848+00:00,GBPAUD,1.90883,1.9117,287.0,0
30,2026-08-16 21:56:48.760848+00:00,GBPNZD,2.29573,2.29937,364.0,0
30,2026-08-16 21:56:48.760848+00:00,AUDNZD,1.20132,1.20414,282.0,0
31,2026-08-16 21:57:00.766078+00:00,GBPAUD,1.90883,1.9117,287.0,0
31,2026-08-16 21:57:00.766078+00:00,GBPNZD,2.29601,2.29937,336.0,0
31,2026-08-16 21:57:00.766078+00:00,AUDNZD,1.20147,1.20414,267.0,0
32,2026-08-16 21:57:12.770071+00:00,GBPAUD,1.90872,1.91159,287.0,0
32,2026-08-16 21:57:12.770071+00:00,GBPNZD,2.29576,2.29937,361.0,0
32,2026-08-16 21:57:12.770071+00:00,AUDNZD,1.20147,1.20416,269.0,10000
33,2026-08-16 21:57:24.775417+00:00,GBPAUD,1.90872,1.91159,287.0,0
33,2026-08-16 21:57:24.775417+00:00,GBPNZD,2.29576,2.29937,361.0,0
33,2026-08-16 21:57:24.775417+00:00,AUDNZD,1.20146,1.20416,270.0,0
34,2026-08-16 21:57:36.777755+00:00,GBPAUD,1.90893,1.9118,287.0,0
34,2026-08-16 21:57:36.777755+00:00,GBPNZD,2.29599,2.29938,339.0,0
34,2026-08-16 21:57:36.777755+00:00,AUDNZD,1.20143,1.20406,263.0,8000
35,2026-08-16 21:57:48.780548+00:00,GBPAUD,1.9089,1.91177,287.0,0
35,2026-08-16 21:57:48.780548+00:00,GBPNZD,2.29569,2.2993,361.0,0
35,2026-08-16 21:57:48.780548+00:00,AUDNZD,1.20127,1.20406,279.0,0
36,2026-08-16 21:58:00.784661+00:00,GBPAUD,1.90883,1.9117,287.0,0
36,2026-08-16 21:58:00.784661+00:00,GBPNZD,2.29569,2.29933,364.0,3000
36,2026-08-16 21:58:00.784661+00:00,AUDNZD,1.20137,1.20406,269.0,0
37,2026-08-16 21:58:12.801232+00:00,GBPAUD,1.90891,1.91178,287.0,0
37,2026-08-16 21:58:12.801232+00:00,GBPNZD,2.29554,2.29944,390.0,0
37,2026-08-16 21:58:12.801232+00:00,AUDNZD,1.20119,1.20412,293.0,7000
38,2026-08-16 21:58:24.824863+00:00,GBPAUD,1.90892,1.91179,287.0,0
38,2026-08-16 21:58:24.824863+00:00,GBPNZD,2.29551,2.29945,394.0,0
38,2026-08-16 21:58:24.824863+00:00,AUDNZD,1.20117,1.20411,294.0,0
39,2026-08-16 21:58:36.832149+00:00,GBPAUD,1.90884,1.91171,287.0,0
39,2026-08-16 21:58:36.832149+00:00,GBPNZD,2.29551,2.29945,394.0,14000
39,2026-08-16 21:58:36.832149+00:00,AUDNZD,1.20127,1.20411,284.0,0
40,2026-08-16 21:58:48.875542+00:00,GBPAUD,1.90888,1.91175,287.0,0
40,2026-08-16 21:58:48.875542+00:00,GBPNZD,2.29551,2.29945,394.0,24000
40,2026-08-16 21:58:48.875542+00:00,AUDNZD,1.20117,1.20416,299.0,0
1,2026-08-16 21:59:21.672017+00:00,GBPAUD,1.90889,1.91176,287.0,0
1,2026-08-16 21:59:21.672017+00:00,GBPNZD,2.29547,2.29936,389.0,0
1,2026-08-16 21:59:21.672017+00:00,AUDNZD,1.20116,1.20412,296.0,0
2,2026-08-16 21:59:33.677753+00:00,GBPAUD,1.9088,1.91167,287.0,0
2,2026-08-16 21:59:33.677753+00:00,GBPNZD,2.29534,2.29935,401.0,0
2,2026-08-16 21:59:33.677753+00:00,AUDNZD,1.20119,1.20414,295.0,5000
3,2026-08-16 21:59:45.683579+00:00,GBPAUD,1.90981,1.91268,287.0,0
3,2026-08-16 21:59:45.683579+00:00,GBPNZD,2.29607,2.30207,600.0,0
3,2026-08-16 21:59:45.683579+00:00,AUDNZD,1.20094,1.20489,395.0,0
4,2026-08-16 21:59:57.686976+00:00,GBPAUD,1.90998,1.91285,287.0,0
4,2026-08-16 21:59:57.686976+00:00,GBPNZD,2.29761,2.30361,600.0,0
4,2026-08-16 21:59:57.686976+00:00,AUDNZD,1.20165,1.2056,395.0,0
5,2026-08-16 22:00:09.691708+00:00,GBPAUD,1.9104,1.91233,193.0,0
5,2026-08-16 22:00:09.691708+00:00,GBPNZD,2.2975,2.30271,521.0,0
5,2026-08-16 22:00:09.691708+00:00,AUDNZD,1.20208,1.20468,260.0,0
6,2026-08-16 22:00:21.914256+00:00,GBPAUD,1.91025,1.91159,134.0,0
6,2026-08-16 22:00:21.914256+00:00,GBPNZD,2.29798,2.30117,319.0,0
6,2026-08-16 22:00:21.914256+00:00,AUDNZD,1.20292,1.20386,94.0,1000
7,2026-08-16 22:00:33.921088+00:00,GBPAUD,1.90952,1.91145,193.0,0
7,2026-08-16 22:00:33.921088+00:00,GBPNZD,2.29751,2.30068,317.0,0
7,2026-08-16 22:00:33.921088+00:00,AUDNZD,1.20267,1.20417,150.0,0
8,2026-08-16 22:00:45.925465+00:00,GBPAUD,1.91043,1.91056,13.0,0
8,2026-08-16 22:00:45.925465+00:00,GBPNZD,2.29768,2.29902,134.0,4000
8,2026-08-16 22:00:45.925465+00:00,AUDNZD,1.20267,1.20337,70.0,0
9,2026-08-16 22:00:58.000456+00:00,GBPAUD,1.91024,1.9104,16.0,0
9,2026-08-16 22:00:58.000456+00:00,GBPNZD,2.29748,2.29768,20.0,0
9,2026-08-16 22:00:58.000456+00:00,AUDNZD,1.20267,1.20279,12.0,2000
10,2026-08-16 22:01:10.009269+00:00,GBPAUD,1.91019,1.91035,16.0,0
10,2026-08-16 22:01:10.009269+00:00,GBPNZD,2.29754,2.29774,20.0,0
10,2026-08-16 22:01:10.009269+00:00,AUDNZD,1.20272,1.20285,13.0,1000
11,2026-08-16 22:01:22.021011+00:00,GBPAUD,1.91018,1.91031,13.0,0
11,2026-08-16 22:01:22.021011+00:00,GBPNZD,2.29752,2.29771,19.0,8000
11,2026-08-16 22:01:22.021011+00:00,AUDNZD,1.20274,1.20284,10.0,0
12,2026-08-16 22:01:34.026078+00:00,GBPAUD,1.91026,1.91041,15.0,0
12,2026-08-16 22:01:34.026078+00:00,GBPNZD,2.2977,2.29791,21.0,0
12,2026-08-16 22:01:34.026078+00:00,AUDNZD,1.20278,1.20288,10.0,0
13,2026-08-16 22:01:46.033598+00:00,GBPAUD,1.91022,1.91036,14.0,0
13,2026-08-16 22:01:46.033598+00:00,GBPNZD,2.29774,2.29795,21.0,0
13,2026-08-16 22:01:46.033598+00:00,AUDNZD,1.20283,1.20294,11.0,3000
14,2026-08-16 22:01:58.053454+00:00,GBPAUD,1.91019,1.91032,13.0,0
14,2026-08-16 22:01:58.053454+00:00,GBPNZD,2.29771,2.29789,18.0,0
14,2026-08-16 22:01:58.053454+00:00,AUDNZD,1.20283,1.20293,10.0,6000
15,2026-08-16 22:02:10.061752+00:00,GBPAUD,1.91012,1.91023,11.0,0
15,2026-08-16 22:02:10.061752+00:00,GBPNZD,2.29764,2.29782,18.0,0
15,2026-08-16 22:02:10.061752+00:00,AUDNZD,1.20284,1.20295,11.0,0
16,2026-08-16 22:02:22.066181+00:00,GBPAUD,1.91012,1.91024,12.0,0
16,2026-08-16 22:02:22.066181+00:00,GBPNZD,2.29765,2.29782,17.0,2000
16,2026-08-16 22:02:22.066181+00:00,AUDNZD,1.20284,1.20295,11.0,7000
17,2026-08-16 22:02:34.070074+00:00,GBPAUD,1.91012,1.91024,12.0,0
17,2026-08-16 22:02:34.070074+00:00,GBPNZD,2.29773,2.2979,17.0,0
