entry_time,canon_w_ga,live_w_ga,canon_w_gn,live_w_gn,canon_w_an,live_w_an
2023-08-08 08:35:00,1.07305185,1.07305185,0.96375981,0.96375981,0.96318835,0.96318835
2023-08-08 12:05:00,1.07340671,1.07340671,0.96303613,0.96303613,0.96355716,0.96355716
2023-08-10 15:25:00,1.07134774,1.07134774,0.9635371,0.9635371,0.96511516,0.96511516
2023-08-14 11:10:00,1.06789222,1.06789222,0.96568119,0.96568119,0.96642659,0.96642659
2023-08-22 09:55:00,1.07066987,1.07066987,0.96444546,0.96444546,0.96488467,0.96488467
2023-08-29 13:05:00,1.06682057,1.06682057,0.96702705,0.96702705,0.96615239,0.96615239
2023-09-13 14:40:00,1.06764748,1.06764748,0.96603508,0.96603508,0.96631744,0.96631744
2023-09-15 14:25:00,1.06426582,1.06426582,0.96804642,0.96804642,0.96768775,0.96768775
2023-09-19 11:15:00,1.06625234,1.06625234,0.96662071,0.96662071,0.96712695,0.96712695
2023-09-26 08:55:00,1.07382728,1.07382728,0.96334837,0.96334837,0.96282436,0.96282436
2023-09-26 13:50:00,1.07415713,1.07415713,0.96269435,0.96269435,0.96314852,0.96314852
2023-09-28 11:10:00,1.07561558,1.07561558,0.96190181,0.96190181,0.96248261,0.96248261
2023-10-10 11:20:00,1.08043021,1.08043021,0.96006566,0.96006566,0.95950413,0.95950413
2023-10-11 15:15:00,1.08072956,1.08072956,0.96005935,0.96005935,0.95921109,0.95921109
2023-10-12 09:40:00,1.07870745,1.07870745,0.96083508,0.96083508,0.96045747,0.96045747
2023-10-30 09:55:00,1.06398454,1.06398454,0.96762832,0.96762832,0.96838714,0.96838714
2023-11-14 10:30:00,1.06765364,1.06765364,0.96579618,0.96579618,0.96655018,0.96655018
2023-11-14 15:30:00,1.06771787,1.06771787,0.96658036,0.96658036,0.96570176,0.96570176
2023-11-15 08:45:00,1.07125874,1.07125874,0.9642822,0.9642822,0.96445906,0.96445906
2023-11-16 12:35:00,1.07009743,1.07009743,0.96539101,0.96539101,0.96451156,0.96451156
2023-11-21 10:25:00,1.06964031,1.06964031,0.9651058,0.9651058,0.96525389,0.96525389
2023-11-24 14:35:00,1.06955747,1.06955747,0.9650897,0.9650897,0.96535283,0.96535283
2023-11-28 11:50:00,1.06797256,1.06797256,0.96627341,0.96627341,0.96575403,0.96575403
2023-12-29 14:15:00,1.07328593,1.07328593,0.96294902,0.96294902,0.96376505,0.96376505
2024-01-05 11:25:00,1.07436646,1.07436646,0.96258737,0.96258737,0.96304617,0.96304617
2024-01-17 10:55:00,1.07682066,1.07682066,0.96122855,0.96122855,0.9619508,0.9619508
2024-01-24 10:30:00,1.07286639,1.07286639,0.96338332,0.96338332,0.96375029,0.96375029
2024-01-25 11:00:00,1.07328687,1.07328687,0.96297199,0.96297199,0.96374114,0.96374114
2024-02-19 09:10:00,1.08101467,1.08101467,0.95936422,0.95936422,0.95962112,0.95962112
2024-02-20 09:25:00,1.08169074,1.08169074,0.95950283,0.95950283,0.95880643,0.95880643
2024-02-27 11:05:00,1.08281241,1.08281241,0.95872374,0.95872374,0.95846385,0.95846385
2024-03-08 11:55:00,1.07572875,1.07572875,0.96262991,0.96262991,0.96164134,0.96164134
2024-03-29 14:05:00,1.06473553,1.06473553,0.9673915,0.9673915,0.96787297,0.96787297
2024-04-04 09:20:00,1.06323072,1.06323072,0.96806223,0.96806223,0.96870704,0.96870704
2024-04-11 13:50:00,1.0648723,1.0648723,0.96729392,0.96729392,0.96783378,0.96783378
2024-05-03 11:25:00,1.05883341,1.05883341,0.97100192,0.97100192,0.97016467,0.97016467
2024-05-08 14:30:00,1.06081384,1.06081384,0.96947641,0.96947641,0.96970975,0.96970975
2024-05-14 09:25:00,1.06032175,1.06032175,0.96968202,0.96968202,0.96999623,0.96999623
2024-05-17 12:50:00,1.06472437,1.06472437,0.96737627,0.96737627,0.96789936,0.96789936
2024-05-21 09:00:00,1.06343253,1.06343253,0.96795744,0.96795744,0.96861003,0.96861003
2024-06-05 08:20:00,1.07378166,1.07378166,0.96340934,0.96340934,0.962809,0.962809
2024-06-07 15:25:00,1.07330259,1.07330259,0.96287706,0.96287706,0.96382035,0.96382035
2024-06-12 11:25:00,1.07375354,1.07375354,0.96344533,0.96344533,0.96280113,0.96280113
2024-06-21 08:00:00,1.06664358,1.06664358,0.96715237,0.96715237,0.96620405,0.96620405
2024-06-25 09:45:00,1.06644328,1.06644328,0.96702548,0.96702548,0.96653124,0.96653124
2024-06-28 08:20:00,1.06258848,1.06258848,0.9683915,0.9683915,0.96902001,0.96902001
2024-07-04 09:35:00,1.05925691,1.05925691,0.97018058,0.97018058,0.97056251,0.97056251
2024-07-09 10:45:00,1.05779307,1.05779307,0.97122209,0.97122209,0.97098484,0.97098484
2024-07-25 11:30:00,1.05463658,1.05463658,0.97215572,0.97215572,0.9732077,0.9732077
2024-08-02 11:25:00,1.06224103,1.06224103,0.96931834,0.96931834,0.96844063,0.96844063
2024-08-05 14:55:00,1.0649722,1.0649722,0.96605676,0.96605676,0.96897104,0.96897104
2024-08-13 12:20:00,1.06376093,1.06376093,0.96856019,0.96856019,0.96767888,0.96767888
2024-08-20 11:30:00,1.06049305,1.06049305,0.96965446,0.96965446,0.9698525,0.9698525
2024-08-23 13:45:00,1.06339911,1.06339911,0.9685955,0.9685955,0.96800538,0.96800538
2024-09-03 13:00:00,1.066617,1.066617,0.96723376,0.96723376,0.96614924,0.96614924
2024-09-06 12:35:00,1.06938885,1.06938885,0.96499634,0.96499634,0.96561481,0.96561481
2024-09-11 15:25:00,1.06766823,1.06766823,0.96567671,0.96567671,0.96665505,0.96665505
2024-09-13 13:20:00,1.06650413,1.06650413,0.96621315,0.96621315,0.96728272,0.96728272
2024-09-20 09:30:00,1.06366461,1.06366461,0.96784814,0.96784814,0.96848725,0.96848725
2024-10-18 09:30:00,1.05490957,1.05490957,0.97276374,0.97276374,0.97232669,0.97232669
2024-10-28 11:50:00,1.05598053,1.05598053,0.97237293,0.97237293,0.97164653,0.97164653
2024-10-30 10:55:00,1.05975007,1.05975007,0.96982807,0.96982807,0.97042187,0.97042187
2024-11-05 10:10:00,1.05629873,1.05629873,0.97152632,0.97152632,0.97217495,0.97217495
2024-11-13 14:35:00,1.0574876,1.0574876,0.97096195,0.97096195,0.97155046,0.97155046
2024-11-21 09:45:00,1.05189684,1.05189684,0.97416967,0.97416967,0.9739335,0.9739335
2024-11-29 13:00:00,1.05795904,1.05795904,0.97086755,0.97086755,0.97117341,0.97117341
2024-12-18 08:00:00,1.05792859,1.05792859,0.97067902,0.97067902,0.97139239,0.97139239
2025-01-03 12:05:00,1.05321041,1.05321041,0.97363878,0.97363878,0.9731508,0.9731508
2025-01-07 09:50:00,1.05473242,1.05473242,0.97245707,0.97245707,0.97281051,0.97281051
2025-01-08 08:20:00,1.05464094,1.05464094,0.97229415,0.97229415,0.97306491,0.97306491
2025-01-10 12:45:00,1.05372918,1.05372918,0.97341842,0.97341842,0.9728524,0.9728524
2025-01-15 10:00:00,1.05529048,1.05529048,0.97205005,0.97205005,0.97265947,0.97265947
2025-01-24 12:25:00,1.05472707,1.05472707,0.97292175,0.97292175,0.97235119,0.97235119
2025-02-07 12:25:00,1.05366619,1.05366619,0.97286627,0.97286627,0.97346754,0.97346754
2025-02-13 12:20:00,1.05079208,1.05079208,0.97437346,0.97437346,0.97483446,0.97483446
2025-02-14 14:45:00,1.05230657,1.05230657,0.9743419,0.9743419,0.97335153,0.97335153
2025-03-03 15:05:00,1.0526989,1.0526989,0.97398823,0.97398823,0.97331287,0.97331287
2025-03-06 12:15:00,1.05565025,1.05565025,0.97199993,0.97199993,0.97234982,0.97234982
2025-03-07 12:05:00,1.05666997,1.05666997,0.97139971,0.97139971,0.97193032,0.97193032
2025-03-21 15:05:00,1.06307739,1.06307739,0.96825354,0.96825354,0.96866907,0.96866907
2025-03-28 13:20:00,1.05834813,1.05834813,0.97106584,0.97106584,0.97058603,0.97058603
2025-04-04 09:25:00,1.06509667,1.06509667,0.96807155,0.96807155,0.96683177,0.96683177
2025-04-11 11:30:00,1.07525233,1.07525233,0.96156312,0.96156312,0.96318454,0.96318454
2025-04-16 08:40:00,1.07440082,1.07440082,0.96209563,0.96209563,0.96350355,0.96350355
2025-04-22 09:25:00,1.07905412,1.07905412,0.96110621,0.96110621,0.95983967,0.95983967
2025-05-02 11:25:00,1.06960852,1.06960852,0.96572277,0.96572277,0.96466871,0.96466871
2025-05-13 14:50:00,1.06543919,1.06543919,0.96687644,0.96687644,0.96768437,0.96768437
2025-05-23 08:25:00,1.06728279,1.06728279,0.96681661,0.96681661,0.9659006,0.9659006
2025-07-01 13:10:00,1.07269509,1.07269509,0.96339995,0.96339995,0.96390496,0.96390496
2025-07-10 13:35:00,1.06440489,1.06440489,0.96751192,0.96751192,0.96808319,0.96808319
2025-07-15 12:50:00,1.06132373,1.06132373,0.9691203,0.9691203,0.96955598,0.96955598
2025-07-22 10:00:00,1.06160095,1.06160095,0.96938545,0.96938545,0.9690136,0.9690136
2025-09-04 13:30:00,1.05010666,1.05010666,0.9746356,0.9746356,0.97525774,0.97525774
2025-09-05 13:30:00,1.05049841,1.05049841,0.97507036,0.97507036,0.97443123,0.97443123
2025-09-10 12:45:00,1.0510812,1.0510812,0.97417367,0.97417367,0.97474513,0.97474513
2025-09-12 12:55:00,1.04870456,1.04870456,0.97589506,0.97589506,0.97540038,0.97540038
2025-09-22 13:10:00,1.04331858,1.04331858,0.97861492,0.97861492,0.97806649,0.97806649
2025-09-26 12:45:00,1.03786021,1.03786021,0.98081825,0.98081825,0.98132154,0.98132154
2025-09-30 10:40:00,1.03488933,1.03488933,0.98191779,0.98191779,0.98319289,0.98319289
2025-10-10 14:15:00,1.03574228,1.03574228,0.98274503,0.98274503,0.98151269,0.98151269
2025-10-10 14:30:00,1.03629675,1.03629675,0.9827978,0.9827978,0.98090545,0.98090545
2025-10-17 10:10:00,1.04015152,1.04015152,0.97935942,0.97935942,0.98048906,0.98048906
2025-10-21 12:30:00,1.03809584,1.03809584,0.98123665,0.98123665,0.98066751,0.98066751
2025-10-24 10:00:00,1.03951291,1.03951291,0.98004796,0.98004796,0.98043912,0.98043912
2025-10-27 08:00:00,1.03636504,1.03636504,0.98134197,0.98134197,0.98229299,0.98229299
2025-10-28 14:55:00,1.03565742,1.03565742,0.98165557,0.98165557,0.98268701,0.98268701
2025-10-30 11:40:00,1.03406667,1.03406667,0.98265022,0.98265022,0.98328311,0.98328311
2025-11-14 13:50:00,1.0287184,1.0287184,0.98492378,0.98492378,0.98635781,0.98635781
2025-11-18 09:15:00,1.03014841,1.03014841,0.9845729,0.9845729,0.98527868,0.98527868
2025-11-24 08:30:00,1.0274093,1.0274093,0.98677895,0.98677895,0.98581175,0.98581175
2025-12-02 12:05:00,1.03131065,1.03131065,0.98451492,0.98451492,0.98417443,0.98417443
2025-12-05 09:20:00,1.0294079,1.0294079,0.98497913,0.98497913,0.98561297,0.98561297
2025-12-12 13:00:00,1.0303134,1.0303134,0.98504305,0.98504305,0.98464355,0.98464355
2025-12-19 15:05:00,1.02865678,1.02865678,0.98602856,0.98602856,0.98531466,0.98531466
2026-01-06 12:35:00,1.02114333,1.02114333,0.98892291,0.98892291,0.98993376,0.98993376
2026-01-09 13:35:00,1.01875879,1.01875879,0.99075093,0.99075093,0.99049028,0.99049028
2026-01-29 08:05:00,1.02078528,1.02078528,0.9900622,0.9900622,0.98915251,0.98915251
2026-02-09 10:50:00,1.01678761,1.01678761,0.99188602,0.99188602,0.99132637,0.99132637
2026-02-17 12:55:00,1.01686073,1.01686073,0.99116108,0.99116108,0.99197819,0.99197819
2026-02-24 08:00:00,1.00863835,1.00863835,0.99597882,0.99597882,0.99538283,0.99538283
2026-03-03 08:40:00,1.00290094,1.00290094,0.99891126,0.99891126,0.9981878,0.9981878
2026-03-06 11:10:00,1.00454573,1.00454573,0.99800389,0.99800389,0.99745038,0.99745038
2026-03-13 08:35:00,0.99394377,0.99394377,1.00340686,1.00340686,1.00264937,1.00264937
2026-03-18 11:00:00,0.99230356,0.99230356,1.004106,1.004106,1.00359044,1.00359044
2026-03-23 10:05:00,0.99899975,0.99899975,1.00014446,1.00014446,1.00085579,1.00085579
2026-03-23 10:15:00,0.99867827,0.99867827,1.00013151,1.00013151,1.00119022,1.00119022
2026-03-23 14:05:00,0.99926522,0.99926522,1.00087456,1.00087456,0.99986022,0.99986022
2026-03-26 10:50:00,1.00053915,1.00053915,1.00016348,1.00016348,0.99929737,0.99929737
2026-04-02 13:35:00,0.99722886,0.99722886,1.00102033,1.00102033,1.00175082,1.00175082
2026-04-03 10:35:00,0.99427967,0.99427967,1.00302277,1.00302277,1.00269756,1.00269756
2026-04-14 10:10:00,0.99632311,0.99632311,1.00139199,1.00139199,1.00228491,1.00228491
2026-04-16 15:30:00,0.99040599,0.99040599,1.00503006,1.00503006,1.00456396,1.00456396
2026-04-17 13:45:00,0.98985006,0.98985006,1.00534818,1.00534818,1.00480175,1.00480175
2026-04-24 11:00:00,0.99025571,0.99025571,1.00521203,1.00521203,1.00453226,1.00453226
2026-04-30 11:25:00,0.98940531,0.98940531,1.00584184,1.00584184,1.00475285,1.00475285
2026-05-07 09:35:00,0.9913942,0.9913942,1.00462591,1.00462591,1.00397989,1.00397989
