plateau,chain,start,end,duration_d,release_trigger,release_z,fwd14_mkt_ret
P1_CHAIN_LIQ_NO_NATIVE,Tron,15286,15292,7,vel7,8.1431,-0.08228
P1_CHAIN_LIQ_NO_NATIVE,Tron,15297,15303,7,vel7,4.7394,-0.0043
P1_CHAIN_LIQ_NO_NATIVE,Tron,15314,15319,6,vel7,3.0249,-0.02909
P1_CHAIN_LIQ_NO_NATIVE,Tron,15354,15357,4,imp_share,2.2123,0.00191
P1_CHAIN_LIQ_NO_NATIVE,Tron,15364,15376,13,vel7,1.9263,0.01924
P1_CHAIN_LIQ_NO_NATIVE,Tron,15422,15432,11,tvl_chg7,1.2977,0.11326
P1_CHAIN_LIQ_NO_NATIVE,Tron,15450,15453,4,imp_share,1.2201,-0.00461
P1_CHAIN_LIQ_NO_NATIVE,Tron,15480,15485,6,tvl_chg7,1.7064,-0.01201
P1_CHAIN_LIQ_NO_NATIVE,Tron,15486,15493,8,imp_share,1.3127,-0.00186
P1_CHAIN_LIQ_NO_NATIVE,Tron,15540,15542,3,vel7,5.307,-0.00294
P1_CHAIN_LIQ_NO_NATIVE,Tron,15549,15555,7,vel7,1.9555,0.04945
P1_CHAIN_LIQ_NO_NATIVE,Tron,15557,15559,3,vel7,1.5757,0.02517
P1_CHAIN_LIQ_NO_NATIVE,Tron,15562,15566,5,tvl_chg7,10.0673,-0.01721
P1_CHAIN_LIQ_NO_NATIVE,Tron,15567,15569,3,vel7,2.6475,0.00146
P1_CHAIN_LIQ_NO_NATIVE,Tron,15586,15588,3,tvl_chg7,0.6542,-0.00955
P1_CHAIN_LIQ_NO_NATIVE,Tron,15595,15597,3,tvl_chg7,0.2957,-0.01825
P1_CHAIN_LIQ_NO_NATIVE,Tron,15632,15635,4,imp_share,0.7665,0.01311
P1_CHAIN_LIQ_NO_NATIVE,Tron,15636,15638,3,imp_share,1.52,0.01259
P1_CHAIN_LIQ_NO_NATIVE,Tron,15667,15669,3,tvl_chg7,0.3931,0.00919
P1_CHAIN_LIQ_NO_NATIVE,Tron,15671,15675,5,vel7,1.5338,-0.03515
P1_CHAIN_LIQ_NO_NATIVE,Tron,15703,15710,8,tvl_chg7,0.5163,-0.01004
P1_CHAIN_LIQ_NO_NATIVE,Tron,15718,15725,8,imp_share,1.3152,-0.0253
P1_CHAIN_LIQ_NO_NATIVE,Tron,15751,15754,4,imp_share,0.4823,0.00606
P1_CHAIN_LIQ_NO_NATIVE,Tron,15772,15775,4,imp_share,0.8609,0.00342
P1_CHAIN_LIQ_NO_NATIVE,Tron,15782,15795,14,imp_share,1.6045,0.00093
P1_CHAIN_LIQ_NO_NATIVE,Tron,15810,15815,6,vel7,0.2111,0.01244
P1_CHAIN_LIQ_NO_NATIVE,Tron,15842,15851,10,vel7,1.3586,0.01203
P1_CHAIN_LIQ_NO_NATIVE,Tron,15865,15871,7,imp_share,1.896,0.02159
P1_CHAIN_LIQ_NO_NATIVE,Tron,15935,15937,3,imp_share,0.834,0.00091
P1_CHAIN_LIQ_NO_NATIVE,Tron,15949,15952,4,tvl_chg7,0.5585,0.00045
P1_CHAIN_LIQ_NO_NATIVE,Tron,15956,15962,7,vel7,1.0543,-0.00136
P1_CHAIN_LIQ_NO_NATIVE,Tron,16059,16066,8,tvl_chg7,0.8296,0.0073
P1_CHAIN_LIQ_NO_NATIVE,Tron,16080,16087,8,vel7,1.1647,-0.01561
P1_CHAIN_LIQ_NO_NATIVE,Tron,16119,16123,5,imp_share,1.5113,0.03864
P1_CHAIN_LIQ_NO_NATIVE,Tron,16187,16189,3,tvl_chg7,2.0453,
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5046,5048,3,,0.0,-0.00562
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5050,5052,3,,0.0,0.00765
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5055,5058,4,,0.0,-0.00647
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5061,5101,41,imp_share,0.7044,0.01862
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5102,5124,23,vel7,0.3061,0.02102
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5125,5136,12,tvl_chg7,2.5214,-0.05184
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5144,5146,3,vel7,1.9626,-0.01478
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5149,5151,3,tvl_chg7,1.4604,-0.02463
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5152,5163,12,tvl_chg7,0.7805,0.01236
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5173,5176,4,imp_share,0.2813,0.0487
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5196,5198,3,imp_share,3.0875,0.0349
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5204,5210,7,vel7,7.2613,0.0679
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5215,5238,24,tvl_chg7,1.7946,-0.0131
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5240,5242,3,tvl_chg7,1.4647,-0.06335
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5248,5250,3,imp_share,1.4584,-0.00859
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5256,5264,9,imp_share,1.5282,0.01213
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5266,5284,19,tvl_chg7,0.7014,0.00238
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5292,5296,5,tvl_chg7,0.4923,-0.04455
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5297,5313,17,tvl_chg7,0.3541,0.05326
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5319,5342,24,tvl_chg7,0.5701,0.01184
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5347,5364,18,tvl_chg7,0.9524,-0.04159
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5381,5387,7,imp_share,3.9484,0.0034
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5388,5390,3,imp_share,4.1416,-0.07865
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5411,5417,7,imp_share,0.7527,0.01242
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5418,5422,5,tvl_chg7,0.4615,0.04064
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5433,5443,11,imp_share,0.7834,-0.03405
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5444,5459,16,imp_share,0.5983,0.00834
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5460,5471,12,vel7,0.7335,0.03922
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5473,5480,8,imp_share,1.432,0.03016
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5487,5492,6,tvl_chg7,0.618,0.03579
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5503,5505,3,imp_share,6.0003,0.02926
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5506,5514,9,imp_share,0.6097,0.05215
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5515,5529,15,vel7,1.0985,-0.00455
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5530,5532,3,vel7,0.5714,-0.02139
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5535,5548,14,imp_share,1.0197,0.00341
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5556,5559,4,imp_share,2.2241,0.01242
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5562,5565,4,imp_share,1.4706,0.02105
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5585,5588,4,vel7,0.6416,0.02191
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5589,5591,3,imp_share,2.0796,0.01482
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5601,5610,10,tvl_chg7,1.6087,0.11565
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5626,5630,5,vel7,1.2971,-0.02207
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5641,5652,12,vel7,0.6605,-0.06646
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5654,5657,4,tvl_chg7,1.0888,0.00075
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5658,5662,5,tvl_chg7,0.7584,-0.0217
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5675,5677,3,imp_share,0.8199,-0.01005
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5743,5746,4,tvl_chg7,1.3815,0.02694
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5753,5759,7,tvl_chg7,1.136,0.08171
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5767,5773,7,tvl_chg7,1.5845,0.04166
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5775,5778,4,vel7,0.6978,-0.01113
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5779,5782,4,vel7,0.7114,-0.08691
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5785,5794,10,vel7,1.6134,0.00965
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5819,5822,4,imp_share,0.6461,0.00924
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5832,5834,3,tvl_chg7,0.6237,-0.01977
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5835,5837,3,tvl_chg7,0.4862,0.0019
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5839,5842,4,vel7,1.1642,-0.01117
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5844,5846,3,imp_share,0.1989,0.00432
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5903,5908,6,vel7,1.1435,-0.00092
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5913,5916,4,imp_share,1.2729,-0.00078
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5937,5962,26,imp_share,0.1741,0.07277
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5963,5968,6,vel7,2.3703,-0.01862
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5969,5971,3,imp_share,0.9157,-0.02846
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5978,5983,6,vel7,3.1455,-0.02311
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,5992,5994,3,imp_share,1.2812,0.02589
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6007,6015,9,imp_share,0.8051,0.00962
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6030,6032,3,imp_share,0.5931,-0.0022
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6057,6060,4,tvl_chg7,0.7313,0.00242
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6072,6075,4,tvl_chg7,0.2662,0.00193
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6077,6081,5,imp_share,1.8605,-0.00544
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6102,6106,5,tvl_chg7,1.9283,-0.02751
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6108,6112,5,vel7,4.385,0.02618
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6124,6126,3,tvl_chg7,0.4362,0.00181
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6145,6148,4,imp_share,4.1658,-0.0004
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6149,6152,4,tvl_chg7,1.3461,0.00257
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6164,6166,3,vel7,0.8953,0.009
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6194,6198,5,vel7,0.9071,0.07405
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6216,6235,20,imp_share,2.5949,0.02349
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6241,6246,6,tvl_chg7,1.2016,-0.02932
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6250,6258,9,imp_share,2.9836,0.02887
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6265,6268,4,vel7,2.0374,0.03973
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6269,6275,7,tvl_chg7,1.0061,-0.03076
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6279,6281,3,imp_share,3.1891,0.00658
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6307,6348,42,tvl_chg7,2.2408,0.02811
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6358,6365,8,tvl_chg7,1.1928,-0.0326
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6372,6376,5,vel7,1.5393,-0.00354
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6384,6392,9,imp_share,0.8489,0.06596
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6400,6403,4,tvl_chg7,1.178,-0.00451
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6410,6422,13,vel7,3.3342,-0.00861
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6423,6426,4,imp_share,0.5323,-0.0216
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6466,6478,13,tvl_chg7,1.0185,0.003
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6500,6502,3,imp_share,1.6079,-0.02669
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6526,6529,4,imp_share,1.8767,-0.01201
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6554,6557,4,vel7,3.365,-0.00524
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6558,6562,5,tvl_chg7,0.6018,-0.01514
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6580,6582,3,vel7,4.7759,0.00291
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6583,6586,4,vel7,2.7161,-0.00294
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6595,6597,3,vel7,1.7626,-0.06423
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6607,6615,9,imp_share,2.3129,-0.00921
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6639,6643,5,imp_share,2.0635,0.00123
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6660,6662,3,imp_share,0.1511,0.02748
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6678,6682,5,imp_share,0.6348,0.01259
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6683,6685,3,imp_share,0.4978,-0.03263
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6711,6723,13,tvl_chg7,0.7742,0.0077
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6748,6750,3,vel7,1.8434,-0.01215
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6753,6757,5,imp_share,1.8186,0.02938
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6758,6761,4,vel7,2.2694,0.02306
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6767,6769,3,vel7,0.6094,-0.0253
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6770,6772,3,tvl_chg7,3.6649,0.0058
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6776,6778,3,tvl_chg7,0.6387,0.00216
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6780,6783,4,imp_share,0.9726,-0.00496
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6796,6800,5,tvl_chg7,0.6985,-0.00931
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6815,6817,3,vel7,2.1504,0.01815
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6826,6839,14,vel7,2.0219,0.00093
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6840,6844,5,vel7,2.0276,0.0268
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6845,6848,4,tvl_chg7,0.8859,0.00353
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6854,6857,4,vel7,2.1395,0.02537
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6859,6861,3,tvl_chg7,0.4475,0.00336
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6871,6873,3,vel7,1.9016,0.01517
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6885,6888,4,imp_share,0.5297,0.01681
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6889,6897,9,tvl_chg7,0.8245,0.00639
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6909,6917,9,tvl_chg7,1.5048,0.00622
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6932,6937,6,imp_share,2.705,-0.04173
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6966,6968,3,tvl_chg7,0.8557,-0.02029
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,6975,6984,10,imp_share,0.6473,-0.00812
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7001,7009,9,tvl_chg7,1.8765,-0.03007
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7043,7045,3,imp_share,0.9605,0.03605
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7100,7102,3,imp_share,1.367,-0.00972
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7103,7108,6,tvl_chg7,1.6857,0.0125
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7121,7123,3,imp_share,0.3414,-0.00434
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7124,7129,6,imp_share,0.6854,0.00444
P1_CHAIN_LIQ_NO_NATIVE,Ethereum,7130,7132,3,tvl_chg7,0.1829,-0.00848
P1_CHAIN_LIQ_NO_NATIVE,Solana,11353,11356,4,,0.0,0.02075
P1_CHAIN_LIQ_NO_NATIVE,Solana,11370,11376,7,imp_share,0.6113,0.09683
P1_CHAIN_LIQ_NO_NATIVE,Solana,11388,11396,9,vel7,1.5184,-6e-05
P1_CHAIN_LIQ_NO_NATIVE,Solana,11397,11399,3,imp_share,2.9794,-0.08029
P1_CHAIN_LIQ_NO_NATIVE,Solana,11449,11452,4,imp_share,1.0611,0.08486
P1_CHAIN_LIQ_NO_NATIVE,Solana,11472,11476,5,imp_share,1.1602,-0.00143
P1_CHAIN_LIQ_NO_NATIVE,Solana,11483,11486,4,imp_share,0.5589,-0.04438
P1_CHAIN_LIQ_NO_NATIVE,Solana,11495,11504,10,vel7,1.8631,0.01429
P1_CHAIN_LIQ_NO_NATIVE,Solana,11507,11510,4,tvl_chg7,0.3182,-0.02285
P1_CHAIN_LIQ_NO_NATIVE,Solana,11511,11513,3,tvl_chg7,0.0525,-0.10192
P1_CHAIN_LIQ_NO_NATIVE,Solana,11522,11527,6,tvl_chg7,0.6306,0.03541
P1_CHAIN_LIQ_NO_NATIVE,Solana,11536,11538,3,imp_share,1.1912,-0.00947
P1_CHAIN_LIQ_NO_NATIVE,Solana,11542,11545,4,imp_share,0.6824,0.02108
P1_CHAIN_LIQ_NO_NATIVE,Solana,11550,11556,7,imp_share,0.6676,0.00694
P1_CHAIN_LIQ_NO_NATIVE,Solana,11563,11565,3,imp_share,0.6716,-0.00455
P1_CHAIN_LIQ_NO_NATIVE,Solana,11566,11568,3,imp_share,0.6756,-0.02139
P1_CHAIN_LIQ_NO_NATIVE,Solana,11577,11579,3,imp_share,2.5628,-0.09001
