relationship,state,state_days,kind,uncond_best_lag,uncond_corr,uncond_p,cond_corr,cond_p,corr_delta,n,classification,workstream,fdr_q
VEL 26-50->51-100,SC_OUTFLOW,646,BAND,7,-0.1383,0.005,0.0355,0.6318,0.1738,620,REVERSED,D,0.7005
VEL 26-50->51-100,CHAIN_EXPANDING,1203,BAND,7,-0.1383,0.005,0.0677,0.0945,0.206,1141,REVERSED,D,0.1732
VEL 26-50->51-100,CHAIN_CONTRACTING,993,BAND,7,-0.1383,0.005,0.0666,0.0398,0.2048,944,REVERSED,D,0.0876
VEL 26-50->51-100,RISK_ON,1197,BAND,7,-0.1383,0.005,-0.2033,0.0199,-0.0651,1142,SAME_SIGN,D,0.0521
VEL 26-50->51-100,RISK_OFF,969,BAND,7,-0.1383,0.005,-0.0787,0.1194,0.0596,924,LOST,D,0.2021
VEL 51-100->101-200,BTC_UP,1127,BAND,1,0.1333,0.005,0.4227,0.005,0.2894,1083,GAINED,D,0.0239
VEL 51-100->101-200,BTC_DOWN,962,BAND,1,0.1333,0.005,0.6267,0.01,0.4934,931,GAINED,D,0.0324
VEL 51-100->101-200,ETH_STRONG,947,BAND,1,0.1333,0.005,0.4727,0.005,0.3394,924,GAINED,D,0.0239
VEL 51-100->101-200,ETH_WEAK,1142,BAND,1,0.1333,0.005,0.5834,0.005,0.4501,1090,GAINED,D,0.0239
VEL 51-100->101-200,VOL_HIGH,656,BAND,1,0.1333,0.005,0.6731,0.005,0.5398,624,GAINED,D,0.0239
VEL 51-100->101-200,VOL_LOW,864,BAND,1,0.1333,0.005,0.4729,0.005,0.3396,843,GAINED,D,0.0239
VEL 51-100->101-200,BREADTH_EXPANDING,715,BAND,1,0.1333,0.005,0.4852,0.005,0.3519,687,GAINED,D,0.0239
VEL 51-100->101-200,BREADTH_CONTRACTING,1481,BAND,1,0.1333,0.005,0.0921,0.0149,-0.0412,1421,SAME_SIGN,D,0.0431
VEL 51-100->101-200,CONC_RISING,1112,BAND,1,0.1333,0.005,0.1048,0.01,-0.0285,1068,SAME_SIGN,D,0.0324
VEL 51-100->101-200,CONC_FALLING,1077,BAND,1,0.1333,0.005,0.3934,0.01,0.2601,1040,GAINED,D,0.0324
VEL 51-100->101-200,SC_INFLOW,1550,BAND,1,0.1333,0.005,0.1215,0.005,-0.0118,1484,SAME_SIGN,D,0.0239
VEL 51-100->101-200,SC_OUTFLOW,646,BAND,1,0.1333,0.005,0.397,0.0149,0.2637,625,GAINED,D,0.0431
VEL 51-100->101-200,CHAIN_EXPANDING,1203,BAND,1,0.1333,0.005,0.4094,0.005,0.2761,1152,GAINED,D,0.0239
VEL 51-100->101-200,CHAIN_CONTRACTING,993,BAND,1,0.1333,0.005,0.0343,0.0448,-0.099,956,SAME_SIGN,D,0.093
VEL 51-100->101-200,RISK_ON,1197,BAND,1,0.1333,0.005,0.0436,0.0348,-0.0897,1152,SAME_SIGN,D,0.0814
VEL 51-100->101-200,RISK_OFF,969,BAND,1,0.1333,0.005,0.583,0.005,0.4497,934,GAINED,D,0.0239
VEL 101-200->201-300,BTC_UP,1127,BAND,7,-0.0727,0.0448,0.0211,0.5224,0.0938,1074,REVERSED,D,0.6246
VEL 101-200->201-300,BTC_DOWN,962,BAND,7,-0.0727,0.0448,-0.0025,0.9254,0.0702,924,LOST,D,0.9339
VEL 101-200->201-300,ETH_STRONG,947,BAND,7,-0.0727,0.0448,0.0568,0.1294,0.1294,919,REVERSED,D,0.2124
VEL 101-200->201-300,ETH_WEAK,1142,BAND,7,-0.0727,0.0448,-0.0078,0.796,0.0649,1079,LOST,D,0.8312
VEL 101-200->201-300,VOL_HIGH,656,BAND,7,-0.0727,0.0448,-0.0328,0.4876,0.0399,618,LOST,D,0.596
VEL 101-200->201-300,VOL_LOW,864,BAND,7,-0.0727,0.0448,0.0371,0.3234,0.1098,838,REVERSED,D,0.4392
VEL 101-200->201-300,BREADTH_EXPANDING,715,BAND,7,-0.0727,0.0448,0.041,0.3682,0.1137,682,REVERSED,D,0.471
