event,window_d,precursor,precursor_desc,n_events,n_controls,event_median,control_median,diff,wilcoxon_p,fdr_q
EXIT,3,chain_tvl_med_chg7,median chain TVL 7D change,125,495,0.01081,0.005,0.00581,0.0884,0.3127
EXIT,7,btc_dom_chg30,btc_dominance 30D change,125,495,0.0099,0.00896,0.00093,0.1779,0.4448
EXIT,7,btc_ret30,BTC 30D return,124,491,0.04793,0.0288,0.01913,0.0081,0.0526
EXIT,7,btc_ret7,BTC 7D return,125,492,0.01904,0.01318,0.00586,0.1258,0.3803
EXIT,7,top3_share,top-3 mcap share,125,495,0.72292,0.72189,0.00103,0.5402,0.7803
EXIT,7,top3_share_chg7,top-3 share 7D change,125,495,0.00193,0.00159,0.00034,0.2871,0.5655
EXIT,7,breadth30,top500 breadth 30D,125,495,0.36514,0.31486,0.05029,0.0094,0.0582
EXIT,7,disp30,top500 dispersion 30D,124,491,0.30114,0.29276,0.00839,0.2444,0.5295
EXIT,7,sc_chg30,stablecoin 30D change,125,495,0.02228,0.0234,-0.00113,0.9621,0.9878
EXIT,7,eth_rel30,ETH/BTC rel 30D,124,491,-0.04051,-0.0384,-0.00211,0.745,0.9312
EXIT,7,alt_share,total alt share,125,495,0.45314,0.45819,-0.00504,0.5622,0.7859
EXIT,7,eth_share,ETH mcap share,125,495,0.13397,0.13365,0.00032,0.9359,0.9878
EXIT,7,vol_med,median vol 30D,124,485,0.04513,0.04491,0.00022,0.785,0.9368
EXIT,7,chain_tvl_med_chg7,median chain TVL 7D change,125,495,0.01044,0.00318,0.00727,0.2147,0.5075
EXIT,14,btc_dom_chg30,btc_dominance 30D change,125,495,0.00892,0.0081,0.00082,0.3518,0.6511
EXIT,14,btc_ret30,BTC 30D return,124,490,0.04251,0.02578,0.01673,0.0944,0.3229
EXIT,14,btc_ret7,BTC 7D return,125,495,0.01522,0.01217,0.00305,0.1703,0.4448
EXIT,14,top3_share,top-3 mcap share,125,495,0.71996,0.72089,-0.00093,0.7366,0.9297
EXIT,14,top3_share_chg7,top-3 share 7D change,125,495,0.0017,0.00166,4e-05,0.501,0.7788
EXIT,14,breadth30,top500 breadth 30D,125,495,0.33186,0.30229,0.02957,0.0317,0.1421
EXIT,14,disp30,top500 dispersion 30D,124,490,0.30704,0.29639,0.01065,0.4182,0.7153
EXIT,14,sc_chg30,stablecoin 30D change,125,495,0.02394,0.02351,0.00043,0.9408,0.9878
EXIT,14,eth_rel30,ETH/BTC rel 30D,124,490,-0.04092,-0.04231,0.00139,0.965,0.9878
EXIT,14,alt_share,total alt share,125,495,0.45432,0.45533,-0.00102,0.6788,0.8824
EXIT,14,eth_share,ETH mcap share,125,495,0.13399,0.13574,-0.00176,0.9621,0.9878
EXIT,14,vol_med,median vol 30D,124,486,0.04524,0.04533,-9e-05,0.8292,0.9711
EXIT,14,chain_tvl_med_chg7,median chain TVL 7D change,125,495,0.00511,0.00338,0.00173,0.2599,0.545
EXIT,30,btc_dom_chg30,btc_dominance 30D change,125,495,0.00862,0.0065,0.00211,0.2726,0.5625
EXIT,30,btc_ret30,BTC 30D return,123,488,0.02434,0.02018,0.00415,0.2272,0.5182
EXIT,30,btc_ret7,BTC 7D return,125,495,0.01236,0.00801,0.00435,0.0112,0.0662
EXIT,30,top3_share,top-3 mcap share,125,495,0.72115,0.72075,0.0004,0.6336,0.858
EXIT,30,top3_share_chg7,top-3 share 7D change,125,495,0.00143,0.00127,0.00016,0.6548,0.8776
EXIT,30,breadth30,top500 breadth 30D,125,495,0.35947,0.303,0.05647,0.0987,0.329
EXIT,30,disp30,top500 dispersion 30D,123,488,0.32495,0.30514,0.01982,0.8103,0.9576
EXIT,30,sc_chg30,stablecoin 30D change,125,495,0.02391,0.02328,0.00064,0.9199,0.9878
EXIT,30,eth_rel30,ETH/BTC rel 30D,123,488,-0.03337,-0.03151,-0.00187,0.5284,0.7788
EXIT,30,alt_share,total alt share,125,495,0.45514,0.45545,-0.00031,0.6981,0.8973
EXIT,30,eth_share,ETH mcap share,125,495,0.13492,0.13557,-0.00065,0.884,0.9878
EXIT,30,vol_med,median vol 30D,124,488,0.0461,0.04635,-0.00024,0.8836,0.9878
EXIT,30,chain_tvl_med_chg7,median chain TVL 7D change,125,495,0.00372,0.00096,0.00275,0.0882,0.3127
