mcell,metric,age_effect_sign,n_young,n_mature,frac_same_sign,consistency,verdict
LH_HA_HE,propagation,,7,21,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_HA_HE,reentry,,7,21,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_HA_HE,rank_recruitment,,7,21,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LH_HA_HE,dir_entropy,,7,21,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_HE,propagation,1.0,18,30,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_HE,reentry,-1.0,18,30,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_HE,rank_recruitment,1.0,18,30,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LH_LA_HE,dir_entropy,1.0,18,30,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_LE,propagation,-1.0,33,28,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_LE,reentry,-1.0,33,28,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LH_LA_LE,rank_recruitment,1.0,33,28,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LH_LA_LE,dir_entropy,-1.0,33,28,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_HE,propagation,-1.0,15,74,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_HE,reentry,1.0,15,74,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_HE,rank_recruitment,-1.0,15,74,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LL_HA_HE,dir_entropy,-1.0,15,74,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_LE,propagation,-1.0,14,114,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_LE,reentry,-1.0,14,114,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_HA_LE,rank_recruitment,-1.0,14,114,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LL_HA_LE,dir_entropy,-1.0,14,114,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_HE,propagation,1.0,42,91,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_HE,reentry,1.0,42,91,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_HE,rank_recruitment,-1.0,42,91,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LL_LA_HE,dir_entropy,1.0,42,91,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_LE,propagation,-1.0,32,190,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_LE,reentry,-1.0,32,190,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
LL_LA_LE,rank_recruitment,1.0,32,190,0.5384615384615384,CELL_SPECIFIC,AGE_CONSISTENCY_MAPPED
LL_LA_LE,dir_entropy,-1.0,32,190,0.6153846153846154,STATE_LOCAL,AGE_CONSISTENCY_MAPPED
