question,coordinate,statistic,value,n,p_fdr
Q4_stall_before_failure,breadth_accel,median_tp7,0.068,96,
Q4_stall_before_failure,breadth_accel,median_success_tp7,-0.038,27,
Q5_accel_beyond_level,level,test_auc,0.8826,37,0.002
Q5_accel_beyond_level,level,test_logloss,0.33134,37,
Q5_accel_beyond_level,level,delta_logloss_vs_prev,,37,
Q5_accel_beyond_level,level+vel,test_auc,0.8788,37,0.002
Q5_accel_beyond_level,level+vel,test_logloss,0.32986,37,
Q5_accel_beyond_level,level+vel,delta_logloss_vs_prev,0.00147,37,
Q5_accel_beyond_level,level+vel+accel,test_auc,0.8864,37,0.002
Q5_accel_beyond_level,level+vel+accel,test_logloss,0.32955,37,
Q5_accel_beyond_level,level+vel+accel,delta_logloss_vs_prev,0.00031,37,
Q6_late_decay,breadth30,median_chg_conf_to_end,0.004,19,
Q6_late_decay,breadth30,median_chg_end_to_end5,-0.02,19,
Q7_class_signature,EARLY_SNAPBACK,median_breadth_tp0,0.197,28,
Q7_class_signature,EARLY_SNAPBACK,median_breadth_tp1,0.319,28,
Q7_class_signature,EARLY_SNAPBACK,median_breadth_tp3,0.339,28,
Q7_class_signature,EARLY_SNAPBACK,median_breadth_tp7,0.353,28,
Q7_class_signature,EARLY_SNAPBACK,median_breadth_tp14,0.613,28,
Q7_class_signature,BREADTH_FADE,median_breadth_tp0,0.286,23,
Q7_class_signature,BREADTH_FADE,median_breadth_tp1,0.278,23,
Q7_class_signature,BREADTH_FADE,median_breadth_tp3,0.198,23,
Q7_class_signature,BREADTH_FADE,median_breadth_tp7,0.118,23,
Q7_class_signature,BREADTH_FADE,median_breadth_tp14,0.146,23,
Q7_class_signature,MIXED,median_breadth_tp0,0.178,44,
Q7_class_signature,MIXED,median_breadth_tp1,0.193,44,
Q7_class_signature,MIXED,median_breadth_tp3,0.191,44,
Q7_class_signature,MIXED,median_breadth_tp7,0.183,44,
Q7_class_signature,MIXED,median_breadth_tp14,0.181,42,
Q7_class_signature,SUCCESS,median_breadth_tp0,0.762,27,
Q7_class_signature,SUCCESS,median_breadth_tp1,0.758,27,
Q7_class_signature,SUCCESS,median_breadth_tp3,0.746,27,
Q7_class_signature,SUCCESS,median_breadth_tp7,0.774,27,
Q7_class_signature,SUCCESS,median_breadth_tp14,0.73,27,
