event_id,is_success,first_destination,axis_tp0,breadth_tp0,vel_tp0,rank_axis_tp0,axis_tp1,breadth_tp1,vel_tp1,rank_axis_tp1,axis_tp2,breadth_tp2,vel_tp2,rank_axis_tp2,axis_tp3,breadth_tp3,vel_tp3,rank_axis_tp3,axis_tp5,breadth_tp5,vel_tp5,rank_axis_tp5,axis_tp7,breadth_tp7,vel_tp7,rank_axis_tp7,axis_tp10,breadth_tp10,vel_tp10,rank_axis_tp10,axis_tp14,breadth_tp14,vel_tp14,rank_axis_tp14,axis_tp21,breadth_tp21,vel_tp21,rank_axis_tp21,axis_tp30,breadth_tp30,vel_tp30,rank_axis_tp30
EXIT_029,0,BTC_CONCENTRATION,BREADTH_FADING,0.202,-0.312,RANK_STALL,BREADTH_FADING,0.26,-0.228,RANK_STALL,BREADTH_FADING,0.282,-0.044,RANK_STALL,BREADTH_FADING,0.234,-0.154,RANK_STALL,BREADTH_STABLE,0.192,-0.01,RANK_DETERIORATING,BREADTH_FADING,0.15,-0.132,RANK_DETERIORATING,BREADTH_FADING,0.086,-0.106,RANK_DETERIORATING,BREADTH_FADING,0.066,-0.044,RANK_STALL,BREADTH_EXPANDING,0.128,0.07,RANK_DETERIORATING,BREADTH_EXPANDING,0.134,0.036,RANK_STALL
EXIT_030,0,MIXED_NO_CLEAR_ROUTE,BREADTH_FADING,0.15,-0.132,RANK_DETERIORATING,BREADTH_FADING,0.134,-0.1,RANK_DETERIORATING,BREADTH_FADING,0.11,-0.11,RANK_STALL,BREADTH_FADING,0.086,-0.106,RANK_DETERIORATING,BREADTH_FADING,0.076,-0.074,RANK_STALL,BREADTH_FADING,0.066,-0.044,RANK_STALL,BREADTH_STABLE,0.08,0.004,RANK_STALL,BREADTH_EXPANDING,0.128,0.07,RANK_DETERIORATING,BREADTH_EXPANDING,0.13,0.034,RANK_STALL,BREADTH_STABLE,0.1,-0.018,RANK_STALL
EXIT_031,0,BTC_CONCENTRATION,BREADTH_FADING,0.0,-0.242,RANK_STALL,BREADTH_EXPANDING,0.268,0.07,RANK_DETERIORATING,BREADTH_EXPANDING,0.218,0.038,RANK_DETERIORATING,BREADTH_EXPANDING,0.252,0.124,RANK_DETERIORATING,BREADTH_STABLE,0.0,0.0,RANK_STALL,BREADTH_EXPANDING,0.376,0.158,RANK_STALL,BREADTH_EXPANDING,0.762,0.762,RANK_STALL,BREADTH_EXPANDING,0.82,0.456,RANK_DETERIORATING,BREADTH_FADING,0.542,-0.226,RANK_RECRUITING,BREADTH_FADING,0.372,-0.046,RANK_STALL
EXIT_032,0,BTC_CONCENTRATION,BREADTH_STABLE,0.0,0.0,RANK_STALL,BREADTH_FADING,0.214,-0.054,RANK_STALL,BREADTH_EXPANDING,0.376,0.158,RANK_STALL,BREADTH_EXPANDING,0.36,0.108,RANK_STALL,BREADTH_EXPANDING,0.762,0.762,RANK_STALL,BREADTH_FADING,0.0,-0.376,RANK_STALL,BREADTH_EXPANDING,0.788,0.026,RANK_DETERIORATING,BREADTH_FADING,0.72,-0.1,RANK_STALL,BREADTH_FADING,0.384,-0.158,RANK_STALL,BREADTH_STABLE,0.376,0.004,RANK_STALL
EXIT_033,1,LARGE_ALT_ROTATION,BREADTH_FADING,0.0,-0.376,RANK_STALL,BREADTH_EXPANDING,0.824,0.464,RANK_DETERIORATING,BREADTH_EXPANDING,0.82,0.456,RANK_DETERIORATING,BREADTH_EXPANDING,0.788,0.026,RANK_DETERIORATING,BREADTH_EXPANDING,0.73,0.73,RANK_STALL,BREADTH_FADING,0.72,-0.1,RANK_STALL,BREADTH_FADING,0.458,-0.272,RANK_STALL,BREADTH_FADING,0.384,-0.158,RANK_STALL,BREADTH_FADING,0.3,-0.102,RANK_STALL,BREADTH_FADING,0.24,-0.154,RANK_STALL
EXIT_034,0,MIXED_NO_CLEAR_ROUTE,BREADTH_EXPANDING,0.788,0.026,RANK_DETERIORATING,BREADTH_EXPANDING,0.768,0.026,RANK_DETERIORATING,BREADTH_EXPANDING,0.73,0.73,RANK_STALL,BREADTH_FADING,0.736,-0.088,RANK_STALL,BREADTH_FADING,0.646,-0.142,RANK_STALL,BREADTH_FADING,0.458,-0.272,RANK_STALL,BREADTH_FADING,0.418,-0.228,RANK_STALL,BREADTH_STABLE,0.328,-0.004,RANK_STALL,BREADTH_EXPANDING,0.424,0.154,RANK_STALL,BREADTH_FADING,0.108,-0.094,RANK_STALL
EXIT_035,0,BTC_CONCENTRATION,BREADTH_FADING,0.382,-0.02,RANK_STALL,BREADTH_FADING,0.446,-0.022,RANK_STALL,BREADTH_FADING,0.0,-0.414,RANK_STALL,BREADTH_EXPANDING,0.722,0.306,RANK_DETERIORATING,BREADTH_EXPANDING,0.592,0.21,RANK_DETERIORATING,BREADTH_EXPANDING,0.446,0.446,RANK_STALL,BREADTH_FADING,0.484,-0.108,RANK_STALL,BREADTH_FADING,0.0,-0.456,RANK_STALL,BREADTH_EXPANDING,0.564,0.172,RANK_STALL,BREADTH_EXPANDING,0.826,0.826,RANK_STALL
EXIT_036,0,BTC_CONCENTRATION,BREADTH_FADING,0.0,-0.456,RANK_STALL,BREADTH_FADING,0.408,-0.076,RANK_STALL,BREADTH_STABLE,0.392,0.016,RANK_STALL,BREADTH_FADING,0.0,-0.438,RANK_STALL,BREADTH_EXPANDING,0.34,0.34,RANK_STALL,BREADTH_EXPANDING,0.564,0.172,RANK_STALL,BREADTH_EXPANDING,0.772,0.432,RANK_DETERIORATING,BREADTH_EXPANDING,0.782,0.072,RANK_STALL,BREADTH_EXPANDING,0.866,0.04,RANK_DETERIORATING,BREADTH_STABLE,0.876,-0.006,RANK_DETERIORATING
EXIT_037,0,BTC_CONCENTRATION,BREADTH_FADING,0.0,-0.438,RANK_STALL,BREADTH_FADING,0.378,-0.08,RANK_STALL,BREADTH_EXPANDING,0.34,0.34,RANK_STALL,BREADTH_STABLE,0.41,0.002,RANK_STALL,BREADTH_EXPANDING,0.586,0.586,RANK_STALL,BREADTH_EXPANDING,0.772,0.432,RANK_DETERIORATING,BREADTH_EXPANDING,0.77,0.184,RANK_STALL,BREADTH_FADING,0.734,-0.064,RANK_STALL,BREADTH_EXPANDING,0.864,0.024,RANK_STALL,BREADTH_STABLE,0.872,-0.006,RANK_DETERIORATING
EXIT_038,0,BTC_CONCENTRATION,BREADTH_FADING,0.0,-0.41,RANK_STALL,BREADTH_EXPANDING,0.798,0.234,RANK_DETERIORATING,BREADTH_EXPANDING,0.77,0.184,RANK_STALL,BREADTH_EXPANDING,0.782,0.072,RANK_STALL,BREADTH_EXPANDING,0.826,0.826,RANK_STALL,BREADTH_EXPANDING,0.838,0.068,RANK_DETERIORATING,BREADTH_EXPANDING,0.866,0.04,RANK_DETERIORATING,BREADTH_EXPANDING,0.882,0.03,RANK_STALL,BREADTH_STABLE,0.868,-0.006,RANK_DETERIORATING,BREADTH_FADING,0.768,-0.044,RANK_DETERIORATING
