axis,lattice,seq,n_events,n_seq_events,condition,p_raw,p_fdr,significant_fdr
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,125,14,SUBPERIOD,0.622114,0.78043,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,BTC_UP,1.0,1.0,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,VOL_HIGH,0.016211,0.071821,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,BREADTH_EXPANDING,0.13412,0.257923,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,ETH_STRONG,0.169505,0.310611,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,RISK_ON,0.693229,0.837176,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,CONC_RISING,0.195717,0.337443,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,123,10,SUBPERIOD,0.361299,0.533564,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,BTC_UP,1.0,1.0,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,VOL_HIGH,0.005957,0.03861,True
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,BREADTH_EXPANDING,0.072091,0.181524,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,ETH_STRONG,0.097135,0.214816,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,RISK_ON,0.894326,0.974248,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,CONC_RISING,0.060128,0.167089,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,123,11,SUBPERIOD,0.667908,0.817265,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,BTC_UP,0.764793,0.891491,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,VOL_HIGH,0.002102,0.020234,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,BREADTH_EXPANDING,0.07143,0.181163,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,ETH_STRONG,0.055551,0.159368,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,RISK_ON,0.406716,0.585805,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,CONC_RISING,0.001469,0.019035,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,25,SUBPERIOD,0.97159,1.0,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,BTC_UP,0.156662,0.29262,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,VOL_HIGH,0.007284,0.041793,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,BREADTH_EXPANDING,0.030283,0.107061,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,ETH_STRONG,0.126258,0.249663,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,RISK_ON,0.460686,0.634748,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,CONC_RISING,0.097588,0.214816,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,SUBPERIOD,0.540924,0.719861,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,BTC_UP,0.49532,0.669351,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,VOL_HIGH,0.001686,0.019035,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,BREADTH_EXPANDING,0.031746,0.107875,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,ETH_STRONG,0.199029,0.340763,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,RISK_ON,1.0,1.0,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,CONC_RISING,0.066288,0.178468,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,12,SUBPERIOD,0.450499,0.630699,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,BTC_UP,0.356883,0.529276,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,VOL_HIGH,0.000105,0.00525,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,BREADTH_EXPANDING,0.130839,0.254409,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,ETH_STRONG,0.000253,0.006325,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,RISK_ON,1.0,1.0,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,CONC_RISING,0.257372,0.413212,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,33,SUBPERIOD,0.165279,0.306072,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,BTC_UP,0.599748,0.763316,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,VOL_HIGH,0.007137,0.041632,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,BREADTH_EXPANDING,0.13412,0.257923,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,ETH_STRONG,0.022853,0.089871,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,RISK_ON,1.0,1.0,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,CONC_RISING,0.101464,0.216045,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,10,SUBPERIOD,0.173698,0.313373,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,BTC_UP,0.457878,0.633428,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,VOL_HIGH,0.005957,0.03861,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,BREADTH_EXPANDING,0.037899,0.121694,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,ETH_STRONG,0.097135,0.214816,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,RISK_ON,0.894326,0.974248,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,CONC_RISING,0.751737,0.87996,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,11,SUBPERIOD,0.646303,0.799315,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,BTC_UP,0.862055,0.96519,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,VOL_HIGH,0.007137,0.041632,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,BREADTH_EXPANDING,0.217063,0.361772,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,ETH_STRONG,0.050013,0.149612,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,RISK_ON,0.693229,0.837176,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,CONC_RISING,0.045178,0.139137,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,123,10,SUBPERIOD,0.85897,0.96519,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,BTC_UP,0.59049,0.759822,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,VOL_HIGH,0.000552,0.010733,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,BREADTH_EXPANDING,0.109002,0.224416,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,ETH_STRONG,0.0596,0.167089,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,RISK_ON,0.69366,0.837176,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,CONC_RISING,0.005914,0.03861,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,123,15,SUBPERIOD,0.550252,0.729501,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,BTC_UP,0.589732,0.759822,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,VOL_HIGH,0.002038,0.020234,True
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,BREADTH_EXPANDING,0.037221,0.120624,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,ETH_STRONG,0.077962,0.191844,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,RISK_ON,0.569399,0.743618,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,CONC_RISING,0.000669,0.012324,True
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,125,23,SUBPERIOD,0.83425,0.951099,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,BTC_UP,0.661458,0.812317,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,VOL_HIGH,0.001308,0.019035,True
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,BREADTH_EXPANDING,0.056199,0.159916,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,ETH_STRONG,0.126258,0.249663,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,RISK_ON,0.734642,0.862835,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,CONC_RISING,0.097588,0.214816,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,125,14,SUBPERIOD,0.853158,0.96519,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,BTC_UP,0.070014,0.178868,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,VOL_HIGH,0.009486,0.050305,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,BREADTH_EXPANDING,0.017323,0.07394,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,ETH_STRONG,0.001528,0.019035,True
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,RISK_ON,0.38886,0.564734,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,CONC_RISING,0.144103,0.275607,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,125,20,SUBPERIOD,0.929161,0.997754,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,BTC_UP,0.508939,0.68511,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,VOL_HIGH,0.000129,0.00525,True
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,BREADTH_EXPANDING,0.101175,0.216045,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,ETH_STRONG,0.021855,0.088945,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,RISK_ON,0.92386,0.997754,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,CONC_RISING,0.191828,0.335699,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,125,22,SUBPERIOD,0.093026,0.214205,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,BTC_UP,0.390772,0.565166,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,VOL_HIGH,0.005712,0.03861,True
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,BREADTH_EXPANDING,0.027375,0.103024,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,ETH_STRONG,0.00454,0.034543,True
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,RISK_ON,0.574671,0.747689,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,CONC_RISING,0.068422,0.178868,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,123,24,SUBPERIOD,0.712505,0.84822,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,123,12,BTC_UP,0.786703,0.908733,False
