axis,lattice,seq,n_events,expected,lift,lift_ci5,lift_ci95,n_subperiods,sp_2020-2021,sp_2022,sp_2023,sp_2024,sp_2025-2026,p_success,p_reentry,p_mixed,chi2,p_raw,p_fdr,significant_fdr
breadth,0-1-3,BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,4,3.8,1.052,0.263,2.104,3,0,1,1,0,2,0.0,1.0,0.0,0.01,0.918951,0.984299,False
breadth,0-1-3,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,6,5.44,1.102,0.367,1.837,2,0,0,1,0,5,0.167,0.167,0.667,0.057,0.811372,0.976776,False
breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_FADING,4,2.12,1.89,0.472,3.779,3,1,0,0,1,2,0.0,0.25,0.75,1.675,0.19554,0.707622,False
breadth,0-1-3,BREADTH_STABLE->BREADTH_STABLE->BREADTH_STABLE,4,0.6,6.614,1.653,13.228,3,1,0,1,2,0,0.75,0.25,0.0,19.06,1.3e-05,0.000694,True
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,5,6.65,0.752,0.301,1.353,4,1,1,0,1,2,0.2,0.2,0.2,0.41,0.522098,0.946276,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,10,8.66,1.155,0.577,1.732,4,0,2,1,3,4,0.6,0.2,0.2,0.207,0.649255,0.946276,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,5,6.52,0.767,0.307,1.38,3,1,0,0,2,2,0.0,0.6,0.4,0.356,0.550987,0.946276,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,12,8.49,1.413,0.824,2.119,4,0,3,3,2,4,0.667,0.167,0.167,1.446,0.229138,0.76071,False
breadth,0-14-30,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,6,3.33,1.801,0.6,3.002,4,2,0,2,1,1,0.167,0.333,0.5,2.138,0.14371,0.599951,False
breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,9,7.98,1.128,0.62,1.754,4,1,2,0,1,5,0.0,0.556,0.444,0.13,0.718314,0.976776,False
breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,7,10.39,0.673,0.289,1.155,3,0,0,2,1,4,0.0,0.571,0.429,1.108,0.292483,0.872732,False
breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,8,4.45,1.796,0.898,2.918,3,0,0,3,2,3,0.125,0.375,0.5,2.822,0.09298,0.477814,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,11,7.83,1.405,0.767,1.923,4,0,2,4,3,2,0.091,0.545,0.364,1.286,0.256817,0.833529,False
breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,8,10.19,0.785,0.392,1.182,4,1,1,1,5,0,0.25,0.25,0.5,0.472,0.491987,0.946276,False
breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,3,3.07,0.977,0.0,1.955,1,0,0,0,3,0,0.0,1.0,0.0,0.002,0.968311,0.99905,False
breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,4,4.0,1.001,0.25,1.751,3,1,0,0,2,1,0.0,0.0,1.0,0.0,0.99905,0.99905,False
breadth,0-14-30,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,6,3.55,1.692,0.564,2.819,4,0,1,1,1,3,0.167,0.333,0.5,1.696,0.19278,0.707622,False
breadth,0-14-30,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,5,4.62,1.082,0.433,1.959,2,0,0,0,1,4,0.0,0.6,0.4,0.031,0.859471,0.984299,False
breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,3,4.53,0.662,0.221,1.545,3,1,0,1,1,0,0.667,0.333,0.0,0.517,0.472076,0.946276,False
breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,6,1.94,3.09,1.545,5.15,3,1,0,1,0,4,0.0,0.5,0.5,8.482,0.003586,0.04498,True
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,12,7.22,1.661,0.969,2.492,5,1,3,3,2,3,0.5,0.25,0.25,3.159,0.075498,0.417714,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,4,5.58,0.717,0.179,1.255,3,1,0,0,2,1,0.0,0.5,0.25,0.445,0.504583,0.946276,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,4,3.04,1.315,0.329,2.302,4,1,1,1,0,1,0.75,0.25,0.0,0.302,0.582492,0.946276,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,7,10.34,0.677,0.29,1.068,4,1,0,1,4,1,0.286,0.429,0.286,1.08,0.298696,0.877123,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,8,7.98,1.002,0.501,1.628,3,0,1,1,0,6,0.25,0.375,0.25,0.0,0.995301,0.99905,False
breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,4,4.35,0.919,0.23,1.608,2,0,0,0,1,3,0.0,0.5,0.5,0.029,0.865081,0.984299,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,11,8.83,1.246,0.68,1.926,4,1,0,4,4,2,0.182,0.727,0.091,0.534,0.464804,0.946276,False
breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,5,6.81,0.734,0.286,1.174,3,0,0,1,3,1,0.2,0.8,0.0,0.483,0.486954,0.946276,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,13,12.64,1.028,0.633,1.503,5,1,2,1,5,4,0.0,0.308,0.692,0.01,0.919418,0.984299,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,14,9.76,1.435,0.917,2.055,5,1,1,4,5,3,0.071,0.5,0.429,1.845,0.174404,0.680858,False
breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,5,5.32,0.939,0.376,1.691,4,1,1,0,1,2,0.0,0.0,1.0,0.02,0.888913,0.984299,False
breadth,0-3-7,BREADTH_FADING->BREADTH_STABLE->BREADTH_STABLE,3,1.52,1.973,0.0,3.946,1,0,0,0,0,3,0.0,0.333,0.667,1.439,0.230269,0.76071,False
breadth,0-3-7,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,4,4.01,0.997,0.249,1.994,2,0,1,0,0,3,0.0,1.0,0.0,0.0,0.994902,0.99905,False
breadth,0-3-7,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,3,3.1,0.968,0.0,1.937,3,0,0,1,1,1,0.0,0.667,0.333,0.003,0.955776,0.99905,False
breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,5,5.75,0.87,0.348,1.566,3,1,0,1,0,3,0.2,0.2,0.6,0.097,0.755758,0.976776,False
breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,4,4.44,0.902,0.225,1.804,2,1,0,0,0,3,0.0,0.5,0.5,0.043,0.836284,0.979193,False
breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,3,2.42,1.24,0.0,2.48,2,0,0,0,1,2,0.0,0.0,1.0,0.139,0.70884,0.976776,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,8,8.51,0.94,0.353,1.417,3,0,2,0,4,2,0.625,0.125,0.25,0.03,0.862042,0.984299,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,8,8.34,0.959,0.479,1.438,5,1,2,3,1,1,0.5,0.25,0.25,0.014,0.905407,0.984299,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,5,3.27,1.528,0.306,2.751,4,1,0,1,2,1,0.0,0.8,0.2,0.913,0.33938,0.904232,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,5,6.81,0.735,0.294,1.322,3,2,1,0,0,2,0.4,0.2,0.0,0.479,0.488882,0.946276,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,6,6.67,0.899,0.3,1.498,2,0,0,0,1,5,0.333,0.5,0.167,0.068,0.794003,0.976776,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,3,2.62,1.146,0.382,2.292,3,0,0,1,1,1,0.0,0.333,0.667,0.056,0.8131,0.976776,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_EXPANDING,4,3.71,1.078,0.269,1.886,2,0,0,1,0,3,0.25,0.5,0.25,0.022,0.881206,0.984299,False
breadth,0-7-14,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,5,3.64,1.373,0.275,2.197,4,0,1,1,2,1,0.6,0.2,0.2,0.508,0.476214,0.946276,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,10,10.21,0.98,0.49,1.469,4,0,1,4,2,3,0.1,0.6,0.3,0.004,0.948041,0.99905,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,11,10.01,1.099,0.599,1.598,5,1,1,2,5,2,0.091,0.364,0.545,0.098,0.754828,0.976776,False
breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,3,3.93,0.764,0.242,1.528,2,1,0,0,2,0,0.0,1.0,0.0,0.219,0.64018,0.946276,False
breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,8,8.17,0.98,0.484,1.592,4,1,0,1,2,4,0.0,0.625,0.375,0.003,0.95352,0.99905,False
breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,9,8.01,1.124,0.618,1.623,3,0,2,4,3,0,0.222,0.556,0.222,0.122,0.726354,0.976776,False
breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,4,3.14,1.273,0.318,2.547,2,0,0,0,3,1,0.0,0.5,0.5,0.235,0.627894,0.946276,False
breadth,0-7-14,BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,6,4.45,1.347,0.449,2.256,2,0,1,0,0,5,0.0,0.167,0.833,0.536,0.464003,0.946276,False
breadth,0-7-14,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,6,4.54,1.322,0.661,2.204,3,0,1,1,0,4,0.167,0.667,0.167,0.472,0.492173,0.946276,False
breadth,0-7-14,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,3,4.45,0.674,0.225,1.573,2,1,0,0,0,2,0.0,0.667,0.333,0.472,0.491919,0.946276,False
breadth,0-7-14,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,6,3.56,1.685,0.562,2.809,4,1,0,1,1,3,0.167,0.5,0.333,1.673,0.19589,0.707622,False
breadth,0-7-14,BREADTH_STABLE->BREADTH_STABLE->BREADTH_EXPANDING,3,1.98,1.515,0.505,3.031,2,0,0,0,1,2,0.0,0.0,1.0,0.526,0.4684,0.946276,False
canonical,0-1-3,LARGE_ALT_ROTATION->LARGE_ALT_ROTATION->LARGE_ALT_ROTATION,3,0.02,162.76,54.253,325.521,1,0,0,3,0,0,0.667,0.0,0.333,12.5,0.000407,0.010756,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,25,13.35,1.873,1.348,2.401,5,3,2,5,7,8,0.0,0.92,0.08,10.167,0.00143,0.026696,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,14,16.45,0.851,0.544,1.215,5,1,2,1,6,4,0.071,0.714,0.214,0.366,0.545105,0.946276,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,12,15.8,0.759,0.443,1.076,4,1,0,2,2,7,0.0,0.583,0.417,0.915,0.338854,0.904232,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->ETH_BROADENING,3,1.1,2.721,0.907,5.442,2,2,0,0,0,1,1.0,0.0,0.0,3.266,0.07073,0.408908,False
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,33,19.48,1.694,1.284,2.105,5,3,4,3,6,17,0.0,0.212,0.758,9.389,0.002182,0.036697,True
canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,3,1.1,2.721,0.907,5.442,2,1,0,0,2,0,0.0,0.0,1.0,3.266,0.07073,0.408908,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->ETH_BROADENING,3,0.78,3.859,1.286,7.719,3,1,0,1,0,1,0.667,0.333,0.0,6.356,0.011701,0.10308,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->MIXED_NO_CLEAR_ROUTE,4,3.98,1.004,0.251,1.757,4,1,1,0,1,1,0.75,0.25,0.0,0.0,0.9935,0.99905,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,6,3.34,1.795,0.598,2.992,3,0,1,2,3,0,0.0,0.833,0.167,2.113,0.146054,0.599951,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,10,9.19,1.088,0.544,1.523,3,2,0,0,2,6,0.0,0.6,0.4,0.071,0.789784,0.976776,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->ETH_BROADENING,3,2.23,1.346,0.449,2.693,1,0,0,0,0,3,0.0,0.333,0.667,0.267,0.605182,0.946276,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->LARGE_ALT_ROTATION,3,1.95,1.539,0.513,3.59,3,0,1,1,1,0,0.0,0.667,0.333,0.566,0.451971,0.946276,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MID_CAP_ROTATION,3,1.67,1.795,0.598,3.59,2,0,0,0,1,2,0.0,1.0,0.0,1.056,0.304017,0.878799,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,11,11.42,0.963,0.525,1.489,5,1,1,3,1,5,0.0,0.545,0.455,0.015,0.901078,0.984299,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->CAPITAL_EXIT->CAPITAL_EXIT,3,0.13,23.157,0.0,54.032,2,0,1,0,0,2,0.0,0.0,0.667,12.5,0.000407,0.010756,True
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,10,8.34,1.2,0.6,1.799,5,1,1,1,2,5,0.0,0.6,0.4,0.332,0.564571,0.946276,False
canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,15,10.36,1.448,0.965,1.936,4,2,0,2,6,5,0.067,0.267,0.667,2.081,0.149177,0.599951,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,23,13.35,1.723,1.273,2.251,5,3,1,5,6,8,0.0,0.957,0.043,6.976,0.008263,0.086327,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,14,11.99,1.168,0.751,1.589,5,1,1,2,3,7,0.0,0.571,0.429,0.338,0.561109,0.946276,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,20,16.45,1.215,0.851,1.641,5,2,3,3,5,7,0.05,0.65,0.3,0.764,0.382106,0.930126,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,22,14.78,1.489,1.015,1.963,5,1,1,1,6,13,0.0,0.182,0.818,3.532,0.060182,0.371122,False
canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,4,1.34,2.978,0.744,5.956,4,1,1,0,1,1,0.0,0.0,0.75,5.255,0.021886,0.184041,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->BROAD_RISK_EXPANSION,4,1.17,3.431,0.858,6.004,4,1,1,0,1,1,1.0,0.0,0.0,6.888,0.008676,0.086327,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,3,4.66,0.643,0.0,1.286,3,0,1,0,1,1,0.333,0.667,0.0,0.594,0.441027,0.946276,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,24,13.37,1.795,1.272,2.319,5,3,1,6,6,8,0.0,0.792,0.208,8.452,0.003647,0.04498,True
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,12,12.13,0.99,0.573,1.402,5,2,2,1,2,5,0.0,0.917,0.083,0.001,0.97111,0.99905,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,13,11.98,1.085,0.668,1.591,3,0,1,0,2,10,0.0,0.385,0.615,0.087,0.767567,0.976776,False
canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,18,10.86,1.657,1.013,2.209,4,1,0,2,8,7,0.0,0.222,0.778,4.689,0.030355,0.242131,False
micro,0-1-3,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,13,4.16,3.126,1.683,4.569,5,3,2,3,2,3,0.385,0.231,0.308,18.796,1.5e-05,0.000694,True
micro,0-1-3,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,9,6.68,1.348,0.599,2.097,4,0,1,1,3,4,0.222,0.333,0.333,0.809,0.368373,0.930126,False
micro,0-1-3,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,8,7.42,1.079,0.539,1.618,4,1,0,1,2,4,0.25,0.625,0.125,0.046,0.830672,0.979193,False
micro,0-1-3,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,9,5.91,1.523,0.677,2.208,4,1,0,3,4,1,0.222,0.667,0.111,1.616,0.203664,0.707622,False
micro,0-1-3,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,3,9.49,0.316,0.0,0.632,2,0,0,0,2,1,0.0,0.0,1.0,4.435,0.035201,0.242131,False
micro,0-1-3,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,5,6.57,0.761,0.152,1.371,3,0,0,1,3,1,0.0,0.8,0.2,0.374,0.541015,0.946276,False
micro,0-1-3,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,20,10.54,1.897,1.418,2.656,5,1,4,4,5,6,0.0,0.35,0.65,8.489,0.003574,0.04498,True
micro,0-1-3,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,1.21,2.48,0.0,4.96,3,0,1,1,0,1,0.0,1.0,0.0,2.65,0.103545,0.504101,False
micro,0-1-3,BREADTH_FADE->BREADTH_FADE->RANK_RECRUITMENT,3,1.9,1.578,0.526,3.683,2,0,0,1,2,0,0.333,0.667,0.0,0.636,0.425291,0.946276,False
micro,0-1-3,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,3,2.32,1.294,0.431,2.587,2,2,0,0,1,0,0.0,0.667,0.333,0.2,0.654721,0.946276,False
micro,0-1-3,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,3,2.54,1.182,0.374,2.364,1,0,0,0,0,3,0.0,0.333,0.667,0.084,0.771608,0.976776,False
micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,3,4.09,0.734,0.245,1.467,3,1,1,0,0,1,0.0,0.333,0.0,0.29,0.590173,0.946276,False
micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,4,5.19,0.77,0.193,1.54,3,0,2,0,1,1,1.0,0.0,0.0,0.275,0.600273,0.946276,False
micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->RANK_RECRUITMENT,6,1.99,3.016,1.508,5.027,3,1,0,0,2,3,0.5,0.333,0.167,8.086,0.00446,0.051569,False
micro,0-14-30,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,4,4.46,0.897,0.224,1.569,3,1,0,0,1,2,0.0,0.5,0.5,0.048,0.827279,0.979193,False
micro,0-14-30,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,7,5.67,1.235,0.529,1.941,4,0,1,2,1,3,0.571,0.286,0.143,0.314,0.57534,0.946276,False
micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,6,5.7,1.052,0.351,1.929,4,1,1,0,1,3,0.0,0.5,0.5,0.015,0.901099,0.984299,False
micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,6,7.24,0.828,0.407,1.38,3,0,0,2,1,3,0.0,0.5,0.5,0.214,0.643784,0.946276,False
micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,3,1.23,2.433,0.811,4.866,2,0,0,1,0,2,0.0,0.0,1.0,2.532,0.111584,0.529309,False
micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,3,1.85,1.622,0.541,3.244,2,0,0,2,1,0,0.333,0.667,0.0,0.715,0.397668,0.946276,False
micro,0-14-30,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,10,6.22,1.607,0.964,2.411,4,0,2,3,3,2,0.0,0.6,0.4,2.294,0.129834,0.585836,False
micro,0-14-30,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,8,7.9,1.012,0.38,1.645,4,1,1,1,5,0,0.25,0.25,0.5,0.001,0.972541,0.99905,False
micro,0-14-30,RANK_RECRUITMENT->RANK_RECRUITMENT->BREADTH_FADE,3,0.48,6.271,2.09,12.541,2,0,2,0,1,0,1.0,0.0,0.0,12.5,0.000407,0.010756,True
micro,0-3-7,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,8,4.53,1.767,0.883,2.65,5,1,2,2,1,2,0.375,0.25,0.375,2.661,0.102806,0.504101,False
micro,0-3-7,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,3,3.88,0.773,0.0,1.546,3,1,0,0,1,1,0.0,0.333,0.333,0.2,0.654576,0.946276,False
micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,7,7.27,0.963,0.413,1.513,4,1,0,1,4,1,0.286,0.429,0.286,0.01,0.920453,0.984299,False
micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,7,6.23,1.123,0.642,1.765,3,0,1,1,0,5,0.286,0.429,0.143,0.095,0.75796,0.976776,False
micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,3,1.63,1.838,0.613,3.677,1,0,0,0,0,3,0.0,0.333,0.667,1.147,0.284176,0.872732,False
micro,0-3-7,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,8,6.44,1.243,0.622,1.865,4,1,0,3,3,1,0.0,0.875,0.125,0.381,0.537298,0.946276,False
micro,0-3-7,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,4,5.52,0.725,0.181,1.269,3,0,0,1,2,1,0.25,0.75,0.0,0.417,0.518665,0.946276,False
micro,0-3-7,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,12,10.33,1.162,0.678,1.651,5,1,2,1,4,4,0.0,0.333,0.667,0.27,0.603341,0.946276,False
micro,0-3-7,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,12,8.85,1.355,0.791,2.146,5,1,1,3,4,3,0.0,0.5,0.5,1.118,0.290434,0.872732,False
micro,0-3-7,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,1.69,1.779,0.0,3.558,2,0,0,0,1,2,0.0,0.0,1.0,1.023,0.311824,0.882638,False
micro,0-7-14,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,4,5.19,0.77,0.193,1.348,3,0,1,0,2,1,0.75,0.25,0.0,0.275,0.600273,0.946276,False
micro,0-7-14,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,6,5.67,1.059,0.353,1.765,5,1,1,2,1,1,0.333,0.333,0.333,0.02,0.88857,0.984299,False
