seq_id,sample,axis,lattice,seq,n_effective,n_subperiods,lift,p_fdr,p_success,p_reentry,trivial_persistence,classification
E:breadth:0-14-30:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,5,4,0.752,0.946276,0.2,0.2,1,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,10,4,1.155,0.946276,0.6,0.2,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-14-30:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,5,3,0.767,0.946276,0.0,0.6,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,12,4,1.413,0.76071,0.667,0.167,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-14-30:BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,6,4,1.801,0.599951,0.167,0.333,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,9,4,1.128,0.976776,0.0,0.556,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,7,3,0.673,0.872732,0.0,0.571,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,8,3,1.796,0.477814,0.125,0.375,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,11,4,1.405,0.833529,0.091,0.545,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-14-30:BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,8,4,0.785,0.946276,0.25,0.25,1,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,3,1,0.977,0.99905,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_FADING->BREADTH_STABLE->BREADTH_FADING,4,3,1.001,0.99905,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-14-30,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,6,4,1.692,0.707622,0.167,0.333,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,5,2,1.082,0.984299,0.0,0.6,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,3,3,0.662,0.946276,0.667,0.333,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-14-30:BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-14-30,BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,6,3,3.09,0.04498,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,12,5,1.661,0.417714,0.5,0.25,1,DESCRIPTIVE_SEQUENCE
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,4,3,0.717,0.946276,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,4,4,1.315,0.946276,0.75,0.25,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,7,4,0.677,0.877123,0.286,0.429,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,8,3,1.002,0.99905,0.25,0.375,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-3-7,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,4,2,0.919,0.984299,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,11,4,1.246,0.946276,0.182,0.727,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-3-7:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,5,3,0.734,0.946276,0.2,0.8,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,13,5,1.028,0.984299,0.0,0.308,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-3-7:BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,14,5,1.435,0.680858,0.071,0.5,1,DESCRIPTIVE_SEQUENCE
E:breadth:0-3-7:BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,5,4,0.939,0.984299,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_FADING->BREADTH_STABLE->BREADTH_STABLE,EVENT,breadth,0-3-7,BREADTH_FADING->BREADTH_STABLE->BREADTH_STABLE,3,1,1.973,0.76071,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,4,2,0.997,0.99905,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,3,3,0.968,0.99905,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_EXPANDING,5,3,0.87,0.976776,0.2,0.2,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,4,2,0.902,0.979193,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-3-7:BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-3-7,BREADTH_STABLE->BREADTH_FADING->BREADTH_STABLE,3,2,1.24,0.976776,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_EXPANDING,8,3,0.94,0.984299,0.625,0.125,1,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_FADING,8,5,0.959,0.984299,0.5,0.25,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_EXPANDING->BREADTH_STABLE,5,4,1.528,0.904232,0.0,0.8,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_EXPANDING,5,3,0.735,0.946276,0.4,0.2,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_FADING,6,2,0.899,0.976776,0.333,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_FADING->BREADTH_STABLE,3,3,1.146,0.976776,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_EXPANDING,4,2,1.078,0.984299,0.25,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_EXPANDING->BREADTH_STABLE->BREADTH_FADING,5,4,1.373,0.946276,0.6,0.2,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_EXPANDING,10,4,0.98,0.99905,0.1,0.6,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-7-14:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_FADING,11,5,1.099,0.976776,0.091,0.364,0,DESCRIPTIVE_SEQUENCE
E:breadth:0-7-14:BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_EXPANDING->BREADTH_STABLE,3,2,0.764,0.946276,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_EXPANDING,8,4,0.98,0.99905,0.0,0.625,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_FADING,9,3,1.124,0.976776,0.222,0.556,1,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_FADING->BREADTH_STABLE,4,2,1.273,0.946276,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_FADING->BREADTH_STABLE->BREADTH_EXPANDING,6,2,1.347,0.946276,0.0,0.167,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_EXPANDING,6,3,1.322,0.946276,0.167,0.667,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_STABLE->BREADTH_EXPANDING->BREADTH_FADING,3,2,0.674,0.946276,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,EVENT,breadth,0-7-14,BREADTH_STABLE->BREADTH_FADING->BREADTH_FADING,6,4,1.685,0.707622,0.167,0.5,0,LOW_SAMPLE_CURIOSITY
E:breadth:0-7-14:BREADTH_STABLE->BREADTH_STABLE->BREADTH_EXPANDING,EVENT,breadth,0-7-14,BREADTH_STABLE->BREADTH_STABLE->BREADTH_EXPANDING,3,2,1.515,0.946276,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-1-3:LARGE_ALT_ROTATION->LARGE_ALT_ROTATION->LARGE_ALT_ROTATION,EVENT,canonical,0-1-3,LARGE_ALT_ROTATION->LARGE_ALT_ROTATION->LARGE_ALT_ROTATION,3,1,162.76,0.010756,0.667,0.0,1,LOW_SAMPLE_CURIOSITY
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,25,5,1.873,0.026696,0.0,0.92,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,14,5,0.851,0.946276,0.071,0.714,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,12,4,0.759,0.904232,0.0,0.583,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->ETH_BROADENING,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->ETH_BROADENING,3,2,2.721,0.408908,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,33,5,1.694,0.036697,0.0,0.212,1,DESCRIPTIVE_SEQUENCE
E:canonical:0-1-3:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,EVENT,canonical,0-1-3,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,3,2,2.721,0.408908,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->ETH_BROADENING,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->ETH_BROADENING,3,3,3.859,0.10308,0.667,0.333,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->MIXED_NO_CLEAR_ROUTE,4,4,1.004,0.99905,0.75,0.25,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,6,3,1.795,0.599951,0.0,0.833,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,10,3,1.088,0.976776,0.0,0.6,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->ETH_BROADENING,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->ETH_BROADENING,3,1,1.346,0.946276,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->LARGE_ALT_ROTATION,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->LARGE_ALT_ROTATION,3,3,1.539,0.946276,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MID_CAP_ROTATION,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MID_CAP_ROTATION,3,2,1.795,0.878799,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,11,5,0.963,0.984299,0.0,0.545,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->CAPITAL_EXIT->CAPITAL_EXIT,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->CAPITAL_EXIT->CAPITAL_EXIT,3,2,23.157,0.010756,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,10,5,1.2,0.946276,0.0,0.6,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-14-30:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-14-30,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,15,4,1.448,0.599951,0.067,0.267,1,DESCRIPTIVE_SEQUENCE
E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,EVENT,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,23,5,1.723,0.086327,0.0,0.957,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,14,5,1.168,0.946276,0.0,0.571,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,EVENT,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,20,5,1.215,0.930126,0.05,0.65,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,22,5,1.489,0.371122,0.0,0.182,1,DESCRIPTIVE_SEQUENCE
E:canonical:0-3-7:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,EVENT,canonical,0-3-7,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->STABLECOIN_PARKING,4,4,2.978,0.184041,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->BROAD_RISK_EXPANSION,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BROAD_RISK_EXPANSION->BROAD_RISK_EXPANSION,4,4,3.431,0.086327,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BROAD_RISK_EXPANSION,3,3,0.643,0.946276,0.333,0.667,0,LOW_SAMPLE_CURIOSITY
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->BTC_CONCENTRATION,24,5,1.795,0.04498,0.0,0.792,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION->MIXED_NO_CLEAR_ROUTE,12,5,0.99,0.99905,0.0,0.917,0,DESCRIPTIVE_SEQUENCE
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->BTC_CONCENTRATION,13,3,1.085,0.976776,0.0,0.385,0,DESCRIPTIVE_SEQUENCE
