symbol,gap_start,gap_end,gap_hours,classification
EURGBP,2026-02-20 19:00:00+00:00,2026-02-20 19:00:00+00:00,1,minor_gap
EURGBP,2026-02-27 19:00:00+00:00,2026-02-27 19:00:00+00:00,1,minor_gap
EURGBP,2026-03-06 19:00:00+00:00,2026-03-06 19:00:00+00:00,1,minor_gap
EURJPY,2023-11-10 19:00:00+00:00,2023-11-10 19:00:00+00:00,1,minor_gap
EURJPY,2023-11-17 19:00:00+00:00,2023-11-17 19:00:00+00:00,1,minor_gap
EURJPY,2023-11-24 19:00:00+00:00,2023-11-24 19:00:00+00:00,1,minor_gap
EURJPY,2023-12-01 19:00:00+00:00,2023-12-01 19:00:00+00:00,1,minor_gap
EURJPY,2023-12-08 19:00:00+00:00,2023-12-08 19:00:00+00:00,1,minor_gap
EURJPY,2023-12-15 19:00:00+00:00,2023-12-15 19:00:00+00:00,1,minor_gap
EURJPY,2023-12-22 19:00:00+00:00,2023-12-22 19:00:00+00:00,1,minor_gap
EURJPY,2023-12-25 06:00:00+00:00,2023-12-25 13:00:00+00:00,8,small_gap
EURJPY,2023-12-29 19:00:00+00:00,2023-12-29 19:00:00+00:00,1,minor_gap
EURJPY,2024-01-01 00:00:00+00:00,2024-01-01 13:00:00+00:00,14,small_gap
EURJPY,2024-01-05 19:00:00+00:00,2024-01-05 19:00:00+00:00,1,minor_gap
EURJPY,2024-01-12 19:00:00+00:00,2024-01-12 19:00:00+00:00,1,minor_gap
EURJPY,2024-01-19 19:00:00+00:00,2024-01-19 19:00:00+00:00,1,minor_gap
EURJPY,2024-01-26 19:00:00+00:00,2024-01-26 19:00:00+00:00,1,minor_gap
EURJPY,2024-02-02 19:00:00+00:00,2024-02-02 19:00:00+00:00,1,minor_gap
EURJPY,2024-02-09 19:00:00+00:00,2024-02-09 19:00:00+00:00,1,minor_gap
EURJPY,2024-02-16 19:00:00+00:00,2024-02-16 19:00:00+00:00,1,minor_gap
EURJPY,2024-02-23 19:00:00+00:00,2024-02-23 19:00:00+00:00,1,minor_gap
EURJPY,2024-03-01 19:00:00+00:00,2024-03-01 19:00:00+00:00,1,minor_gap
EURJPY,2024-03-08 19:00:00+00:00,2024-03-08 19:00:00+00:00,1,minor_gap
EURJPY,2024-09-10 03:00:00+00:00,2024-09-10 06:00:00+00:00,4,small_gap
EURJPY,2024-11-08 19:00:00+00:00,2024-11-08 19:00:00+00:00,1,minor_gap
EURJPY,2024-11-15 19:00:00+00:00,2024-11-15 19:00:00+00:00,1,minor_gap
EURJPY,2024-11-22 19:00:00+00:00,2024-11-22 19:00:00+00:00,1,minor_gap
EURJPY,2024-11-29 19:00:00+00:00,2024-11-29 19:00:00+00:00,1,minor_gap
EURJPY,2024-12-06 19:00:00+00:00,2024-12-06 19:00:00+00:00,1,minor_gap
EURJPY,2024-12-13 19:00:00+00:00,2024-12-13 19:00:00+00:00,1,minor_gap
EURJPY,2024-12-20 19:00:00+00:00,2024-12-20 19:00:00+00:00,1,minor_gap
