patch,prob,subperiod,forcing_threshold,gain,ceiling,n,activation_rate,saturation,verdict,f50_sd_units,patch_verdict
1501-2000,0.5,2024,2.141248768457542,0.3723546691107908,0.47058823529411764,338.0,0.3025210084033613,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.5,2025-2026,1.4349528532054585,0.4267065943056658,0.38333333333333336,600.0,0.26,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.75,2020-2021,7.122407073311317,0.37941013726242334,0.6326530612244898,486.0,0.4430379746835443,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.75,2022,9.543155875342677,0.13405639521909568,0.6451612903225806,308.0,0.39349112426035504,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.75,2023,2.3588997234877604,0.490669286239589,0.625,311.0,0.36046511627906974,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.75,2024,4.706495044829518,0.3723546691107908,0.47058823529411764,338.0,0.3025210084033613,,RANK_THRESHOLD_DRIFT_DONE,,
1501-2000,0.75,2025-2026,3.166584901422196,0.4267065943056658,0.38333333333333336,600.0,0.26,,RANK_THRESHOLD_DRIFT_DONE,,
26-100,,,,,,,,,DEEP_THRESHOLDS_DRIFT,,STATIONARY_SATURATED
101-250,,,,,,,,,DEEP_THRESHOLDS_DRIFT,,STATIONARY_SATURATED
251-500,,,,,,,,,DEEP_THRESHOLDS_DRIFT,,STATIONARY_SATURATED
501-750,,,,,,,,,DEEP_THRESHOLDS_DRIFT,,STATIONARY_SATURATED
751-1000,,,,,,,,,DEEP_THRESHOLDS_DRIFT,,STATIONARY_SATURATED
1001-1500,,,,,,,,,DEEP_THRESHOLDS_DRIFT,0.684202281372552,DRIFT
1501-2000,,,,,,,,,DEEP_THRESHOLDS_DRIFT,0.49619673605602405,STATIONARY
