analysis_label,proxy,pool_level_analysis,chain,driver,outcome,lead_days,corr,boot_ci_low,boot_ci_high,raw_p,n
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,-14.0,0.0139,-0.0353,0.0613,0.6647,1776.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,-7.0,0.0369,-0.0112,0.1052,0.2655,1776.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,-3.0,0.0567,-0.0345,0.1263,0.1038,1776.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,-1.0,0.0092,-0.1001,0.0797,0.7864,1776.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,1.0,-0.0477,-0.1258,0.0205,0.1876,1775.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,3.0,-0.0825,-0.2003,0.0028,0.0359,1773.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,7.0,-0.0647,-0.2008,0.0402,0.0659,1769.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,14.0,0.0595,-0.0106,0.1359,0.1118,1762.0
,,,Solana,meteora_tvl_chg_7d,solana_median_vel7,30.0,-0.0055,-0.077,0.0477,0.8902,1746.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,-30.0,-0.0685,-0.1943,0.0599,0.2116,1811.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,-14.0,-0.0535,-0.1497,0.1223,0.3533,1811.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,-7.0,-0.0375,-0.154,0.133,0.5669,1811.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,-3.0,-0.0203,-0.1496,0.1254,0.7525,1811.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,-1.0,-0.0144,-0.1374,0.1575,0.8403,1811.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,1.0,-0.0121,-0.1435,0.1553,0.8503,1810.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,3.0,-0.0045,-0.1237,0.184,0.9361,1808.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,7.0,0.0018,-0.1194,0.1581,0.982,1804.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,14.0,-0.0434,-0.1254,0.0741,0.521,1797.0
,,,Solana,meteora_tvl_chg_7d,solana_mcap_share,30.0,-0.0098,-0.0964,0.0911,0.8782,1781.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,-30.0,-0.092,-0.1748,0.0425,0.0719,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,-14.0,-0.0814,-0.1759,0.0594,0.0898,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,-7.0,-0.0807,-0.1611,0.0581,0.0938,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,-3.0,-0.0809,-0.1658,0.0604,0.0978,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,-1.0,-0.0804,-0.1701,0.0782,0.0838,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,1.0,-0.0798,-0.1497,0.0572,0.0958,1787.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,3.0,-0.0794,-0.1579,0.0774,0.1018,1785.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,7.0,-0.0794,-0.1561,0.0656,0.0838,1781.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,14.0,-0.0797,-0.1518,0.0812,0.0878,1774.0
,,,Solana,meteora_tvl_chg_30d,solana_n_top500,30.0,-0.0727,-0.1543,0.0357,0.1238,1758.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,-30.0,0.0563,-0.027,0.0971,0.1796,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,-14.0,0.05,-0.0339,0.0883,0.2595,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,-7.0,0.04,-0.0019,0.0964,0.3473,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,-3.0,0.0569,-0.0287,0.1015,0.1956,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,-1.0,0.0211,-0.0483,0.0758,0.5908,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,1.0,-0.0005,-0.0603,0.0657,0.994,1787.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,3.0,0.0119,-0.0898,0.0527,0.7764,1785.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,7.0,0.0416,-0.1029,0.0566,0.3533,1781.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,14.0,0.004,-0.032,0.0783,0.9341,1774.0
,,,Solana,meteora_tvl_chg_30d,solana_improving_share,30.0,0.0264,-0.0716,0.0602,0.525,1758.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,-30.0,0.0292,-0.0183,0.0804,0.3014,1753.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,-14.0,-0.0016,-0.0731,0.0623,0.9162,1753.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,-7.0,0.0036,-0.0849,0.0718,0.8403,1753.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,-3.0,0.0115,-0.1074,0.0762,0.6587,1753.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,-1.0,-0.0024,-0.1196,0.0536,0.9281,1753.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,1.0,-0.0072,-0.1331,0.032,0.7725,1752.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,3.0,-0.0048,-0.1726,0.0278,0.8603,1750.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,7.0,0.0191,-0.1185,0.0351,0.503,1746.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,14.0,0.0027,-0.0511,0.0681,0.9022,1739.0
,,,Solana,meteora_tvl_chg_30d,solana_median_vel7,30.0,-0.0022,-0.0939,0.0146,0.9281,1723.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,-30.0,-0.0877,-0.2244,0.1475,0.2096,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,-14.0,-0.0607,-0.1734,0.2161,0.3353,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,-7.0,-0.0559,-0.1332,0.1991,0.3872,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,-3.0,-0.0511,-0.1398,0.2118,0.4471,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,-1.0,-0.0486,-0.1362,0.1994,0.493,1788.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,1.0,-0.047,-0.1198,0.176,0.5369,1787.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,3.0,-0.0441,-0.1057,0.174,0.5349,1785.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,7.0,-0.0398,-0.0967,0.1751,0.5948,1781.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,14.0,-0.0411,-0.1004,0.1352,0.5988,1774.0
,,,Solana,meteora_tvl_chg_30d,solana_mcap_share,30.0,-0.0293,-0.0904,0.124,0.7565,1758.0
,,,Solana,meteora_log_tvl,solana_n_top500,-30.0,0.7782,0.7238,0.8847,0.0739,1819.0
,,,Solana,meteora_log_tvl,solana_n_top500,-14.0,0.7792,0.7095,0.8816,0.0938,1819.0
,,,Solana,meteora_log_tvl,solana_n_top500,-7.0,0.7815,0.7157,0.8815,0.1098,1819.0
,,,Solana,meteora_log_tvl,solana_n_top500,-3.0,0.7823,0.7128,0.8923,0.0798,1819.0
,,,Solana,meteora_log_tvl,solana_n_top500,-1.0,0.7825,0.7024,0.8817,0.0938,1819.0
,,,Solana,meteora_log_tvl,solana_n_top500,1.0,0.7827,0.7156,0.8707,0.0898,1818.0
,,,Solana,meteora_log_tvl,solana_n_top500,3.0,0.7832,0.7176,0.8577,0.1198,1816.0
,,,Solana,meteora_log_tvl,solana_n_top500,7.0,0.7841,0.7183,0.8831,0.0938,1812.0
,,,Solana,meteora_log_tvl,solana_n_top500,14.0,0.7852,0.7092,0.886,0.0778,1805.0
,,,Solana,meteora_log_tvl,solana_n_top500,30.0,0.7887,0.7126,0.8746,0.1018,1789.0
,,,Solana,meteora_log_tvl,solana_improving_share,-30.0,0.1002,0.0254,0.1794,0.1158,1819.0
,,,Solana,meteora_log_tvl,solana_improving_share,-14.0,0.0994,0.0228,0.1752,0.1058,1819.0
,,,Solana,meteora_log_tvl,solana_improving_share,-7.0,0.0973,0.0289,0.1868,0.1717,1819.0
,,,Solana,meteora_log_tvl,solana_improving_share,-3.0,0.0978,0.0316,0.1877,0.1756,1819.0
,,,Solana,meteora_log_tvl,solana_improving_share,-1.0,0.0973,0.0217,0.174,0.1996,1819.0
,,,Solana,meteora_log_tvl,solana_improving_share,1.0,0.0918,0.0185,0.1755,0.2515,1818.0
,,,Solana,meteora_log_tvl,solana_improving_share,3.0,0.0861,0.0055,0.1682,0.2735,1816.0
,,,Solana,meteora_log_tvl,solana_improving_share,7.0,0.0847,0.0039,0.1683,0.2814,1812.0
,,,Solana,meteora_log_tvl,solana_improving_share,14.0,0.09,0.0175,0.1716,0.2395,1805.0
,,,Solana,meteora_log_tvl,solana_improving_share,30.0,0.0935,0.0196,0.1821,0.1796,1789.0
,,,Solana,meteora_log_tvl,solana_median_vel7,-30.0,-0.0348,-0.0987,0.0337,0.0918,1783.0
,,,Solana,meteora_log_tvl,solana_median_vel7,-14.0,-0.0391,-0.0926,0.0336,0.0579,1784.0
,,,Solana,meteora_log_tvl,solana_median_vel7,-7.0,-0.041,-0.1093,0.0358,0.0339,1784.0
,,,Solana,meteora_log_tvl,solana_median_vel7,-3.0,-0.0409,-0.1018,0.0283,0.0599,1784.0
,,,Solana,meteora_log_tvl,solana_median_vel7,-1.0,-0.0428,-0.1157,0.0258,0.018,1784.0
,,,Solana,meteora_log_tvl,solana_median_vel7,1.0,-0.047,-0.1118,0.0215,0.01,1783.0
,,,Solana,meteora_log_tvl,solana_median_vel7,3.0,-0.0496,-0.1171,0.0283,0.004,1781.0
,,,Solana,meteora_log_tvl,solana_median_vel7,7.0,-0.0458,-0.1101,0.0322,0.018,1777.0
,,,Solana,meteora_log_tvl,solana_median_vel7,14.0,-0.0353,-0.0999,0.0232,0.0958,1770.0
,,,Solana,meteora_log_tvl,solana_median_vel7,30.0,-0.0392,-0.1037,0.0238,0.0898,1754.0
,,,Solana,meteora_log_tvl,solana_mcap_share,-30.0,0.6977,0.5832,0.8026,0.012,1819.0
,,,Solana,meteora_log_tvl,solana_mcap_share,-14.0,0.7114,0.6004,0.8187,0.002,1819.0
,,,Solana,meteora_log_tvl,solana_mcap_share,-7.0,0.7146,0.5925,0.7998,0.002,1819.0
,,,Solana,meteora_log_tvl,solana_mcap_share,-3.0,0.7163,0.5866,0.8287,0.002,1819.0
,,,Solana,meteora_log_tvl,solana_mcap_share,-1.0,0.7169,0.5885,0.8056,0.002,1819.0
,,,Solana,meteora_log_tvl,solana_mcap_share,1.0,0.716,0.5898,0.8103,0.002,1818.0
,,,Solana,meteora_log_tvl,solana_mcap_share,3.0,0.7157,0.5979,0.8201,0.002,1816.0
,,,Solana,meteora_log_tvl,solana_mcap_share,7.0,0.714,0.5922,0.8043,0.002,1812.0
,,,Solana,meteora_log_tvl,solana_mcap_share,14.0,0.7081,0.5884,0.8013,0.002,1805.0
,,,Solana,meteora_log_tvl,solana_mcap_share,30.0,0.7038,0.5899,0.8013,0.002,1789.0
