metric,band_a_earlier_rank,band_b_later_rank,best_lag_days_a_leads_b,best_corr,boot_ci_low,boot_ci_high,raw_p,n_days,fdr_q
volume_share,11-25,101-200,-14,0.1285,0.0261,0.2746,0.501,2182.0,0.526
volume_share,11-25,201-300,-2,-0.1315,-0.273,-0.0096,0.3812,2194.0,0.4213
volume_share,11-25,301-500,-1,-0.0588,-0.1695,0.0686,0.6567,2195.0,0.6567
volume_share,26-50,51-100,-11,0.1727,0.0983,0.363,0.014,2185.0,0.0226
volume_share,26-50,101-200,3,0.2502,0.1481,0.4053,0.01,2193.0,0.0175
volume_share,26-50,201-300,4,0.1735,0.0741,0.2596,0.0379,2192.0,0.0497
volume_share,26-50,301-500,0,0.1815,0.066,0.2841,0.0379,2196.0,0.0497
volume_share,51-100,101-200,-1,0.1603,0.0845,0.3692,0.006,2195.0,0.0115
volume_share,51-100,201-300,8,0.1959,0.1005,0.3368,0.002,2188.0,0.0042
volume_share,51-100,301-500,-12,0.199,0.1388,0.3349,0.002,2184.0,0.0042
volume_share,101-200,201-300,0,0.2747,0.1389,0.4631,0.002,2196.0,0.0042
volume_share,101-200,301-500,0,0.3904,0.214,0.6158,0.002,2196.0,0.0042
volume_share,201-300,301-500,0,0.4936,0.3991,0.5988,0.002,2196.0,0.0042
