band,horizon,measure,count,n,prob,ci95_low,ci95_high
26-50,14D,up_two_plus_bands,4,52995,8e-05,3e-05,0.00019
26-50,14D,down_one_band,4502,52995,0.08495,0.08261,0.08736
26-50,14D,leave_top500,0,52995,0.0,-0.0,7e-05
26-50,30D,stay,42019,52118,0.80623,0.80281,0.8096
26-50,30D,up_one_band,3268,52118,0.0627,0.06065,0.06482
26-50,30D,up_two_plus_bands,18,52118,0.00035,0.00022,0.00055
26-50,30D,down_one_band,6605,52118,0.12673,0.1239,0.12962
26-50,30D,leave_top500,0,52118,0.0,0.0,7e-05
51-100,1D,stay,104005,107959,0.96337,0.96224,0.96448
51-100,1D,up_one_band,1315,107959,0.01218,0.01154,0.01285
51-100,1D,up_two_plus_bands,5,107959,5e-05,2e-05,0.00011
51-100,1D,down_one_band,2588,107959,0.02397,0.02308,0.0249
51-100,1D,leave_top500,0,107959,0.0,-0.0,4e-05
51-100,3D,stay,101187,107684,0.93967,0.93823,0.94107
51-100,3D,up_one_band,2098,107684,0.01948,0.01867,0.02033
51-100,3D,up_two_plus_bands,7,107684,7e-05,3e-05,0.00013
51-100,3D,down_one_band,4319,107684,0.04011,0.03895,0.0413
51-100,3D,leave_top500,0,107684,0.0,0.0,4e-05
51-100,7D,stay,97375,107053,0.9096,0.90786,0.9113
51-100,7D,up_one_band,3065,107053,0.02863,0.02765,0.02965
51-100,7D,up_two_plus_bands,6,107053,6e-05,3e-05,0.00012
51-100,7D,down_one_band,6472,107053,0.06046,0.05904,0.0619
51-100,7D,leave_top500,0,107053,0.0,-0.0,4e-05
51-100,14D,stay,92430,105937,0.8725,0.87048,0.87449
51-100,14D,up_one_band,4133,105937,0.03901,0.03786,0.0402
51-100,14D,up_two_plus_bands,20,105937,0.00019,0.00012,0.00029
51-100,14D,down_one_band,9100,105937,0.0859,0.08423,0.0876
51-100,14D,leave_top500,0,105937,0.0,0.0,4e-05
51-100,30D,stay,84439,104095,0.81117,0.80878,0.81354
51-100,30D,up_one_band,5651,104095,0.05429,0.05293,0.05568
51-100,30D,up_two_plus_bands,116,104095,0.00111,0.00093,0.00134
51-100,30D,down_one_band,13363,104095,0.12837,0.12635,0.13042
51-100,30D,leave_top500,0,104095,0.0,-0.0,4e-05
101-200,1D,stay,208791,215854,0.96728,0.96652,0.96802
101-200,1D,up_one_band,2495,215854,0.01156,0.01112,0.01202
101-200,1D,up_two_plus_bands,12,215854,6e-05,3e-05,0.0001
101-200,1D,down_one_band,3697,215854,0.01713,0.01659,0.01768
101-200,1D,leave_top500,0,215854,0.0,0.0,2e-05
101-200,3D,stay,203614,215296,0.94574,0.94477,0.94669
101-200,3D,up_one_band,4039,215296,0.01876,0.0182,0.01934
101-200,3D,up_two_plus_bands,24,215296,0.00011,7e-05,0.00017
101-200,3D,down_one_band,6014,215296,0.02793,0.02725,0.02864
101-200,3D,leave_top500,0,215296,0.0,0.0,2e-05
101-200,7D,stay,196531,214006,0.91834,0.91718,0.9195
101-200,7D,up_one_band,5800,214006,0.0271,0.02642,0.0278
101-200,7D,up_two_plus_bands,47,214006,0.00022,0.00017,0.00029
101-200,7D,down_one_band,8985,214006,0.04198,0.04114,0.04284
101-200,7D,leave_top500,0,214006,0.0,0.0,2e-05
101-200,14D,stay,187211,211750,0.88411,0.88274,0.88547
101-200,14D,up_one_band,7819,211750,0.03693,0.03613,0.03774
101-200,14D,up_two_plus_bands,105,211750,0.0005,0.00041,0.0006
101-200,14D,down_one_band,12399,211750,0.05855,0.05756,0.05956
101-200,14D,leave_top500,0,211750,0.0,0.0,2e-05
101-200,30D,stay,172016,207932,0.82727,0.82564,0.82889
101-200,30D,up_one_band,10693,207932,0.05143,0.05048,0.05238
101-200,30D,up_two_plus_bands,275,207932,0.00132,0.00118,0.00149
101-200,30D,down_one_band,17257,207932,0.08299,0.08182,0.08419
101-200,30D,leave_top500,0,207932,0.0,0.0,2e-05
201-300,1D,stay,197372,211540,0.93302,0.93195,0.93408
201-300,1D,up_one_band,3443,211540,0.01628,0.01575,0.01682
201-300,1D,up_two_plus_bands,95,211540,0.00045,0.00037,0.00055
201-300,1D,down_one_band,10630,211540,0.05025,0.04933,0.05119
201-300,1D,leave_top500,0,211540,0.0,0.0,2e-05
201-300,3D,stay,188508,210015,0.89759,0.89629,0.89888
201-300,3D,up_one_band,5354,210015,0.02549,0.02483,0.02618
201-300,3D,up_two_plus_bands,219,210015,0.00104,0.00091,0.00119
201-300,3D,down_one_band,15934,210015,0.07587,0.07475,0.07701
201-300,3D,leave_top500,0,210015,0.0,0.0,2e-05
201-300,7D,stay,177447,207543,0.85499,0.85347,0.8565
201-300,7D,up_one_band,7497,207543,0.03612,0.03533,0.03693
201-300,7D,up_two_plus_bands,439,207543,0.00212,0.00193,0.00232
201-300,7D,down_one_band,22160,207543,0.10677,0.10545,0.10811
201-300,7D,leave_top500,0,207543,0.0,0.0,2e-05
201-300,14D,stay,163203,203499,0.80198,0.80025,0.80371
201-300,14D,up_one_band,9852,203499,0.04841,0.04749,0.04935
201-300,14D,up_two_plus_bands,776,203499,0.00381,0.00355,0.00409
201-300,14D,down_one_band,29668,203499,0.14579,0.14426,0.14733
201-300,14D,leave_top500,0,203499,0.0,0.0,2e-05
201-300,30D,stay,142910,197367,0.72408,0.72211,0.72605
201-300,30D,up_one_band,12952,197367,0.06562,0.06454,0.06672
201-300,30D,up_two_plus_bands,1380,197367,0.00699,0.00663,0.00737
201-300,30D,down_one_band,40125,197367,0.2033,0.20153,0.20508
201-300,30D,leave_top500,0,197367,0.0,0.0,2e-05
301-500,1D,stay,401863,413002,0.97303,0.97253,0.97352
301-500,1D,up_one_band,10169,413002,0.02462,0.02415,0.0251
301-500,1D,up_two_plus_bands,970,413002,0.00235,0.00221,0.0025
301-500,1D,down_one_band,0,413002,0.0,0.0,1e-05
301-500,1D,leave_top500,0,413002,0.0,0.0,1e-05
301-500,3D,stay,386174,402412,0.95965,0.95904,0.96025
301-500,3D,up_one_band,14430,402412,0.03586,0.03529,0.03644
301-500,3D,up_two_plus_bands,1808,402412,0.00449,0.00429,0.0047
301-500,3D,down_one_band,0,402412,0.0,0.0,1e-05
301-500,3D,leave_top500,0,402412,0.0,0.0,1e-05
301-500,7D,stay,366162,387665,0.94453,0.94381,0.94525
301-500,7D,up_one_band,18518,387665,0.04777,0.0471,0.04844
301-500,7D,up_two_plus_bands,2985,387665,0.0077,0.00743,0.00798
301-500,7D,down_one_band,0,387665,0.0,0.0,1e-05
301-500,7D,leave_top500,0,387665,0.0,0.0,1e-05
301-500,14D,stay,340070,367341,0.92576,0.92491,0.9266
301-500,14D,up_one_band,22828,367341,0.06214,0.06137,0.06293
301-500,14D,up_two_plus_bands,4443,367341,0.0121,0.01175,0.01245
301-500,14D,down_one_band,0,367341,0.0,-0.0,1e-05
301-500,14D,leave_top500,0,367341,0.0,-0.0,1e-05
301-500,30D,stay,300512,334458,0.8985,0.89748,0.89952
301-500,30D,up_one_band,26684,334458,0.07978,0.07887,0.08071
301-500,30D,up_two_plus_bands,7262,334458,0.02171,0.02122,0.02221
301-500,30D,down_one_band,0,334458,0.0,0.0,1e-05
301-500,30D,leave_top500,0,334458,0.0,0.0,1e-05
