episode_type,source,raw_episodes,effective_clusters
SECTOR,ronin-ecosystem,74,21
SECTOR,rootstock-rsk-ecosystem,29,12
SECTOR,rpos,65,37
SECTOR,rsk-rbtc-ecosystem,19,9
SECTOR,runes,87,32
SECTOR,runes-ecosystem,51,21
SECTOR,scaling,262,88
SECTOR,scroll-ecosys,4,2
SECTOR,scroll-ecosystem,57,21
SECTOR,scrypt,215,90
SECTOR,search-engine,48,20
SECTOR,sec-cftc-digital-commodities,3,3
SECTOR,sec-cftc-token-taxonomy,3,3
SECTOR,sec-security-token,39,17
SECTOR,secret-ecosystem,57,20
SECTOR,seedify,62,22
SECTOR,sei-ecosystem,126,43
SECTOR,seigniorage,173,74
SECTOR,services,279,82
SECTOR,sha-256,102,57
SECTOR,sha-512,91,42
SECTOR,sharding,49,19
SECTOR,sharing-economy,218,81
SECTOR,shima-capital,51,14
SECTOR,sidechain,197,61
SECTOR,sino-global-capital,52,31
SECTOR,skyvision-capital-portfolio,127,48
SECTOR,smart-contracts,239,81
SECTOR,soccer,16,8
SECTOR,social-money,94,48
SECTOR,social-token,167,74
SECTOR,software,86,36
SECTOR,solana-ecosystem,244,74
SECTOR,somnia-ecosystem,24,6
SECTOR,soneium-ecosystem,29,19
SECTOR,sonic-ecosystem,51,18
SECTOR,sora-ecosystem,52,18
SECTOR,spartan-group,227,64
SECTOR,sports,216,75
SECTOR,stablecoin,196,83
SECTOR,stablecoin-algorithmically-stabilized,41,21
SECTOR,stablecoin-asset-backed,30,15
SECTOR,stablecoin-protocol,22,10
SECTOR,stacks-ecosystem,11,10
SECTOR,staking,281,93
SECTOR,standard-crypto-portfolio,132,36
SECTOR,starknet-ecosystem,42,19
SECTOR,startup-memes,33,12
SECTOR,state-channel,206,70
SECTOR,state-channels,53,13
SECTOR,stellar,5,4
SECTOR,stellar-ecosystem,47,20
SECTOR,storage,239,68
SECTOR,store-of-value,251,79
SECTOR,story-ecosystem,15,7
SECTOR,substrate,268,85
SECTOR,sui-ecosystem,97,28
SECTOR,sun-pump-ecosystem,18,11
SECTOR,superstarter,157,60
SECTOR,synthetic-protocols,4,2
SECTOR,synthetics,219,78
SECTOR,taiko-ecosystem,63,21
SECTOR,tap-to-earn,80,27
SECTOR,technology,23,8
SECTOR,telegram-bot,105,34
SECTOR,telos-ecosystem,13,11
SECTOR,terminal-of-truths,57,23
SECTOR,terra-ecosystem,176,61
SECTOR,tezos-ecosystem,57,23
SECTOR,thorchain-ecosystem,18,7
SECTOR,three-arrows-capital-portfolio,200,81
SECTOR,timestamping,8,6
SECTOR,token,192,63
SECTOR,tokenfi-launchpad,72,33
SECTOR,tokenized-assets,41,15
SECTOR,tokenized-commodities,26,14
SECTOR,tokenized-etfs,13,5
SECTOR,tokenized-gold,115,52
SECTOR,tokenized-real-estate,4,2
SECTOR,tokenized-stock,36,16
SECTOR,toncoin-ecosystem,123,43
SECTOR,tourism,71,28
SECTOR,tpos,19,7
SECTOR,trading-card-game,28,12
SECTOR,transport,2,1
SECTOR,tron-ecosystem,166,72
SECTOR,tron-memes,16,10
SECTOR,tron20-ecosystem,47,21
