driver,risk_metric,lead_days,corr,boot_ci_low,boot_ci_high,raw_p,n,direction,fdr_q
sc_chg_1d,eth_btc_rel_7d,30,0.0464,-0.0224,0.1234,0.1297,2121.0,STABLECOIN_LEADS,0.2731
sc_chg_1d,small_rel30,-30,-0.0756,-0.2701,0.1271,0.0699,2059.0,RISK_LEADS,0.1645
sc_chg_1d,small_rel30,-14,0.0201,-0.1135,0.1694,0.6647,2075.0,RISK_LEADS,0.782
sc_chg_1d,small_rel30,-7,0.0404,-0.1034,0.201,0.4032,2082.0,RISK_LEADS,0.5973
sc_chg_1d,small_rel30,-3,0.036,-0.0879,0.2014,0.4631,2086.0,RISK_LEADS,0.6258
sc_chg_1d,small_rel30,-1,0.0323,-0.1213,0.1972,0.499,2088.0,RISK_LEADS,0.6449
sc_chg_1d,small_rel30,1,0.0281,-0.1268,0.1791,0.5389,2089.0,STABLECOIN_LEADS,0.671
sc_chg_1d,small_rel30,3,0.0211,-0.1304,0.1737,0.6707,2089.0,STABLECOIN_LEADS,0.7844
sc_chg_1d,small_rel30,7,0.0405,-0.1297,0.1881,0.3473,2089.0,STABLECOIN_LEADS,0.5557
sc_chg_1d,small_rel30,14,0.0364,-0.0931,0.136,0.4192,2089.0,STABLECOIN_LEADS,0.6075
sc_chg_1d,small_rel30,30,0.0483,-0.0467,0.1464,0.3194,2089.0,STABLECOIN_LEADS,0.5402
sc_chg_7d,pos_ret_share,-30,0.0275,0.0029,0.0594,0.1617,2166.0,RISK_LEADS,0.3202
sc_chg_7d,pos_ret_share,-14,0.0606,0.0288,0.0903,0.002,2182.0,RISK_LEADS,0.0286
sc_chg_7d,pos_ret_share,-7,0.0778,0.0374,0.1155,0.002,2189.0,RISK_LEADS,0.0286
sc_chg_7d,pos_ret_share,-3,0.0469,0.0076,0.0819,0.018,2193.0,RISK_LEADS,0.072
sc_chg_7d,pos_ret_share,-1,0.0146,-0.0224,0.0513,0.4471,2195.0,RISK_LEADS,0.6167
sc_chg_7d,pos_ret_share,1,0.0135,-0.0178,0.0492,0.477,2195.0,STABLECOIN_LEADS,0.636
sc_chg_7d,pos_ret_share,3,0.0035,-0.0302,0.0445,0.8463,2193.0,STABLECOIN_LEADS,0.8725
sc_chg_7d,pos_ret_share,7,0.0182,-0.0072,0.0517,0.3693,2189.0,STABLECOIN_LEADS,0.5682
sc_chg_7d,pos_ret_share,14,-0.0015,-0.0321,0.0291,0.9202,2182.0,STABLECOIN_LEADS,0.9295
sc_chg_7d,pos_ret_share,30,0.0319,-0.0075,0.0724,0.1078,2166.0,STABLECOIN_LEADS,0.2396
sc_chg_7d,alt_breadth_30d,-30,0.1755,0.0233,0.3294,0.02,2166.0,RISK_LEADS,0.0769
sc_chg_7d,alt_breadth_30d,-14,0.2528,0.1441,0.3635,0.002,2182.0,RISK_LEADS,0.0286
sc_chg_7d,alt_breadth_30d,-7,0.2456,0.1198,0.3478,0.008,2189.0,RISK_LEADS,0.0513
sc_chg_7d,alt_breadth_30d,-3,0.2508,0.1542,0.3596,0.006,2193.0,RISK_LEADS,0.0444
sc_chg_7d,alt_breadth_30d,-1,0.2471,0.1252,0.3535,0.01,2195.0,RISK_LEADS,0.0513
sc_chg_7d,alt_breadth_30d,1,0.2328,0.1139,0.3402,0.014,2195.0,STABLECOIN_LEADS,0.0596
sc_chg_7d,alt_breadth_30d,3,0.2206,0.0794,0.3478,0.022,2193.0,STABLECOIN_LEADS,0.0786
sc_chg_7d,alt_breadth_30d,7,0.2016,0.0741,0.3343,0.01,2189.0,STABLECOIN_LEADS,0.0513
sc_chg_7d,alt_breadth_30d,14,0.1685,0.0311,0.2909,0.0439,2182.0,STABLECOIN_LEADS,0.1186
sc_chg_7d,alt_breadth_30d,30,0.0436,-0.1086,0.184,0.6866,2166.0,STABLECOIN_LEADS,0.7938
sc_chg_7d,btc_ret_1d,-30,0.0503,0.0177,0.0901,0.0758,2131.0,RISK_LEADS,0.1743
sc_chg_7d,btc_ret_1d,-14,0.0728,0.0195,0.123,0.01,2147.0,RISK_LEADS,0.0513
sc_chg_7d,btc_ret_1d,-7,0.1221,0.0488,0.185,0.002,2154.0,RISK_LEADS,0.0286
sc_chg_7d,btc_ret_1d,-3,0.0873,0.0185,0.1544,0.006,2158.0,RISK_LEADS,0.0444
sc_chg_7d,btc_ret_1d,-1,0.0333,-0.0191,0.0919,0.2535,2160.0,RISK_LEADS,0.4447
sc_chg_7d,btc_ret_1d,1,0.0269,-0.0178,0.0756,0.3313,2161.0,STABLECOIN_LEADS,0.5476
sc_chg_7d,btc_ret_1d,3,0.0286,-0.0144,0.081,0.3034,2159.0,STABLECOIN_LEADS,0.5231
sc_chg_7d,btc_ret_1d,7,0.0075,-0.0479,0.0579,0.7964,2155.0,STABLECOIN_LEADS,0.8428
sc_chg_7d,btc_ret_1d,14,-0.009,-0.0436,0.0319,0.7824,2148.0,STABLECOIN_LEADS,0.8409
sc_chg_7d,btc_ret_1d,30,0.0692,-0.0213,0.1473,0.0379,2132.0,STABLECOIN_LEADS,0.1083
sc_chg_7d,eth_btc_rel_7d,-30,0.1254,0.0066,0.2321,0.0259,2114.0,RISK_LEADS,0.0863
sc_chg_7d,eth_btc_rel_7d,-14,0.1487,-0.0045,0.2787,0.014,2130.0,RISK_LEADS,0.0596
sc_chg_7d,eth_btc_rel_7d,-7,0.1653,0.0342,0.2836,0.006,2137.0,RISK_LEADS,0.0444
sc_chg_7d,eth_btc_rel_7d,-3,0.1717,-0.0241,0.3437,0.004,2141.0,RISK_LEADS,0.04
sc_chg_7d,eth_btc_rel_7d,-1,0.1603,-0.0291,0.349,0.01,2143.0,RISK_LEADS,0.0513
sc_chg_7d,eth_btc_rel_7d,1,0.1499,-0.0192,0.3209,0.02,2144.0,STABLECOIN_LEADS,0.0769
sc_chg_7d,eth_btc_rel_7d,3,0.1329,-0.0477,0.2712,0.024,2144.0,STABLECOIN_LEADS,0.0828
sc_chg_7d,eth_btc_rel_7d,7,0.1087,-0.0299,0.2514,0.0559,2144.0,STABLECOIN_LEADS,0.1397
sc_chg_7d,eth_btc_rel_7d,14,0.1279,-0.0661,0.3437,0.0319,2137.0,STABLECOIN_LEADS,0.0952
sc_chg_7d,eth_btc_rel_7d,30,0.0346,-0.1336,0.2525,0.511,2121.0,STABLECOIN_LEADS,0.651
sc_chg_7d,small_rel30,-30,-0.1174,-0.4432,0.1956,0.1517,2059.0,RISK_LEADS,0.3034
sc_chg_7d,small_rel30,-14,0.0665,-0.2038,0.3194,0.4172,2075.0,RISK_LEADS,0.6075
sc_chg_7d,small_rel30,-7,0.0619,-0.1881,0.32,0.4671,2082.0,RISK_LEADS,0.627
sc_chg_7d,small_rel30,-3,0.032,-0.2796,0.3152,0.7425,2086.0,RISK_LEADS,0.8333
sc_chg_7d,small_rel30,-1,0.0222,-0.2743,0.3321,0.7884,2088.0,RISK_LEADS,0.8409
sc_chg_7d,small_rel30,1,0.0225,-0.3206,0.3226,0.7465,2089.0,STABLECOIN_LEADS,0.8333
sc_chg_7d,small_rel30,3,0.0264,-0.2729,0.306,0.7525,2089.0,STABLECOIN_LEADS,0.8333
sc_chg_7d,small_rel30,7,0.0516,-0.1633,0.2912,0.5449,2089.0,STABLECOIN_LEADS,0.671
sc_chg_7d,small_rel30,14,0.0687,-0.1032,0.2405,0.4192,2089.0,STABLECOIN_LEADS,0.6075
sc_chg_7d,small_rel30,30,0.057,-0.1219,0.2489,0.489,2089.0,STABLECOIN_LEADS,0.6434
sc_chg_30d,pos_ret_share,-30,0.0607,0.0288,0.092,0.002,2166.0,RISK_LEADS,0.0286
sc_chg_30d,pos_ret_share,-14,0.0454,0.0085,0.0773,0.0379,2182.0,RISK_LEADS,0.1083
sc_chg_30d,pos_ret_share,-7,0.0314,-0.0003,0.0667,0.1417,2189.0,RISK_LEADS,0.2892
sc_chg_30d,pos_ret_share,-3,0.0235,-0.0126,0.0577,0.2236,2193.0,RISK_LEADS,0.4141
sc_chg_30d,pos_ret_share,-1,0.0144,-0.0147,0.0515,0.3912,2195.0,RISK_LEADS,0.5883
sc_chg_30d,pos_ret_share,1,0.0169,-0.0115,0.0487,0.3852,2195.0,STABLECOIN_LEADS,0.5867
sc_chg_30d,pos_ret_share,3,0.0196,-0.0177,0.0571,0.3453,2193.0,STABLECOIN_LEADS,0.5557
sc_chg_30d,pos_ret_share,7,0.0232,-0.0136,0.0568,0.2934,2189.0,STABLECOIN_LEADS,0.5103
sc_chg_30d,pos_ret_share,14,0.0145,-0.018,0.0485,0.4311,2182.0,STABLECOIN_LEADS,0.6099
sc_chg_30d,pos_ret_share,30,0.0116,-0.0216,0.0476,0.5469,2166.0,STABLECOIN_LEADS,0.671
sc_chg_30d,alt_breadth_30d,-30,0.275,0.1205,0.4047,0.002,2166.0,RISK_LEADS,0.0286
sc_chg_30d,alt_breadth_30d,-14,0.2786,0.1472,0.412,0.006,2182.0,RISK_LEADS,0.0444
sc_chg_30d,alt_breadth_30d,-7,0.2511,0.1231,0.3859,0.002,2189.0,RISK_LEADS,0.0286
sc_chg_30d,alt_breadth_30d,-3,0.2293,0.0971,0.3646,0.0259,2193.0,RISK_LEADS,0.0863
sc_chg_30d,alt_breadth_30d,-1,0.2136,0.0989,0.3403,0.022,2195.0,RISK_LEADS,0.0786
sc_chg_30d,alt_breadth_30d,1,0.1954,0.0157,0.3344,0.0439,2195.0,STABLECOIN_LEADS,0.1186
sc_chg_30d,alt_breadth_30d,3,0.1799,0.0152,0.3219,0.0479,2193.0,STABLECOIN_LEADS,0.1213
sc_chg_30d,alt_breadth_30d,7,0.1492,-0.0319,0.317,0.1397,2189.0,STABLECOIN_LEADS,0.288
sc_chg_30d,alt_breadth_30d,14,0.1003,-0.032,0.2844,0.3533,2182.0,STABLECOIN_LEADS,0.5564
sc_chg_30d,alt_breadth_30d,30,0.0355,-0.1539,0.1961,0.7625,2166.0,STABLECOIN_LEADS,0.8333
sc_chg_30d,btc_ret_1d,-30,0.0849,0.0355,0.1448,0.01,2131.0,RISK_LEADS,0.0513
sc_chg_30d,btc_ret_1d,-14,0.0658,0.0086,0.1278,0.0359,2147.0,RISK_LEADS,0.1056
sc_chg_30d,btc_ret_1d,-7,0.0444,-0.0132,0.1178,0.1277,2154.0,RISK_LEADS,0.2717
sc_chg_30d,btc_ret_1d,-3,0.0271,-0.0244,0.0891,0.4251,2158.0,RISK_LEADS,0.6099
sc_chg_30d,btc_ret_1d,-1,0.011,-0.0483,0.0722,0.7625,2160.0,RISK_LEADS,0.8333
sc_chg_30d,btc_ret_1d,1,0.0097,-0.0462,0.0618,0.7864,2161.0,STABLECOIN_LEADS,0.8409
sc_chg_30d,btc_ret_1d,3,0.0168,-0.0466,0.0689,0.6747,2159.0,STABLECOIN_LEADS,0.7845
sc_chg_30d,btc_ret_1d,7,0.0217,-0.0301,0.0826,0.483,2155.0,STABLECOIN_LEADS,0.6397
sc_chg_30d,btc_ret_1d,14,0.0227,-0.0391,0.0819,0.4551,2148.0,STABLECOIN_LEADS,0.6192
sc_chg_30d,btc_ret_1d,30,0.0245,-0.0326,0.0799,0.503,2132.0,STABLECOIN_LEADS,0.6449
sc_chg_30d,eth_btc_rel_7d,-30,0.1782,0.0173,0.3017,0.002,2114.0,RISK_LEADS,0.0286
sc_chg_30d,eth_btc_rel_7d,-14,0.1716,-0.0146,0.3409,0.012,2130.0,RISK_LEADS,0.0545
sc_chg_30d,eth_btc_rel_7d,-7,0.1692,-0.0288,0.3432,0.012,2137.0,RISK_LEADS,0.0545
sc_chg_30d,eth_btc_rel_7d,-3,0.1637,-0.0492,0.3374,0.024,2141.0,RISK_LEADS,0.0828
sc_chg_30d,eth_btc_rel_7d,-1,0.1557,-0.039,0.3228,0.0319,2143.0,RISK_LEADS,0.0952
sc_chg_30d,eth_btc_rel_7d,1,0.1497,-0.0406,0.3121,0.0419,2144.0,STABLECOIN_LEADS,0.1164
sc_chg_30d,eth_btc_rel_7d,3,0.1424,-0.0311,0.3251,0.0619,2144.0,STABLECOIN_LEADS,0.1528
sc_chg_30d,eth_btc_rel_7d,7,0.1209,-0.0777,0.2909,0.0639,2144.0,STABLECOIN_LEADS,0.1559
sc_chg_30d,eth_btc_rel_7d,14,0.0909,-0.0504,0.2588,0.1517,2137.0,STABLECOIN_LEADS,0.3034
sc_chg_30d,eth_btc_rel_7d,30,0.0579,-0.1129,0.1845,0.3673,2121.0,STABLECOIN_LEADS,0.5682
sc_chg_30d,small_rel30,-30,0.0021,-0.3219,0.3663,0.9741,2059.0,RISK_LEADS,0.9741
sc_chg_30d,small_rel30,-14,0.0558,-0.262,0.3489,0.5689,2075.0,RISK_LEADS,0.6896
sc_chg_30d,small_rel30,-7,0.0543,-0.232,0.317,0.6088,2082.0,RISK_LEADS,0.7335
sc_chg_30d,small_rel30,-3,0.0564,-0.232,0.3032,0.5569,2086.0,RISK_LEADS,0.6791
sc_chg_30d,small_rel30,-1,0.0628,-0.2535,0.2959,0.5409,2088.0,RISK_LEADS,0.671
sc_chg_30d,small_rel30,1,0.0707,-0.1893,0.323,0.503,2089.0,STABLECOIN_LEADS,0.6449
sc_chg_30d,small_rel30,3,0.0765,-0.2066,0.3254,0.4371,2089.0,STABLECOIN_LEADS,0.6099
sc_chg_30d,small_rel30,7,0.0865,-0.142,0.2764,0.3673,2089.0,STABLECOIN_LEADS,0.5682
sc_chg_30d,small_rel30,14,0.0817,-0.1649,0.276,0.3533,2089.0,STABLECOIN_LEADS,0.5564
sc_chg_30d,small_rel30,30,0.0292,-0.2926,0.2754,0.8463,2089.0,STABLECOIN_LEADS,0.8725
sc_accel,pos_ret_share,-30,-0.0189,-0.0559,0.0199,0.3273,2166.0,RISK_LEADS,0.5455
sc_accel,pos_ret_share,-14,-0.0191,-0.0567,0.0158,0.3214,2182.0,RISK_LEADS,0.5402
sc_accel,pos_ret_share,-7,0.0861,0.0287,0.1341,0.002,2189.0,RISK_LEADS,0.0286
sc_accel,pos_ret_share,-3,0.0499,0.021,0.0851,0.0279,2193.0,RISK_LEADS,0.09
sc_accel,pos_ret_share,-1,0.0019,-0.0279,0.0326,0.9182,2195.0,RISK_LEADS,0.9295
sc_accel,pos_ret_share,1,0.007,-0.0289,0.0435,0.7904,2195.0,STABLECOIN_LEADS,0.8409
sc_accel,pos_ret_share,3,-0.0185,-0.0526,0.0156,0.4012,2193.0,STABLECOIN_LEADS,0.5973
sc_accel,pos_ret_share,7,0.023,-0.0085,0.0576,0.2435,2189.0,STABLECOIN_LEADS,0.4387
sc_accel,pos_ret_share,14,-0.0242,-0.0573,0.0033,0.2515,2182.0,STABLECOIN_LEADS,0.4447
sc_accel,pos_ret_share,30,0.0559,0.0164,0.0942,0.012,2166.0,STABLECOIN_LEADS,0.0545
sc_accel,alt_breadth_30d,-30,-0.0718,-0.125,0.002,0.002,2166.0,RISK_LEADS,0.0286
sc_accel,alt_breadth_30d,-14,0.0089,-0.0607,0.0729,0.7345,2182.0,RISK_LEADS,0.8333
sc_accel,alt_breadth_30d,-7,0.0076,-0.0655,0.0922,0.7485,2189.0,RISK_LEADS,0.8333
sc_accel,alt_breadth_30d,-3,0.0504,-0.0374,0.1332,0.0479,2193.0,RISK_LEADS,0.1213
sc_accel,alt_breadth_30d,-1,0.0498,-0.0226,0.1184,0.0299,2195.0,RISK_LEADS,0.092
sc_accel,alt_breadth_30d,1,0.0395,-0.0229,0.1099,0.1118,2195.0,STABLECOIN_LEADS,0.2404
sc_accel,alt_breadth_30d,3,0.0319,-0.0315,0.1114,0.1737,2193.0,STABLECOIN_LEADS,0.334
sc_accel,alt_breadth_30d,7,0.0369,-0.0319,0.1141,0.1357,2189.0,STABLECOIN_LEADS,0.2827
sc_accel,alt_breadth_30d,14,0.0533,-0.0239,0.1203,0.018,2182.0,STABLECOIN_LEADS,0.072
sc_accel,alt_breadth_30d,30,0.0191,-0.0502,0.0801,0.4371,2166.0,STABLECOIN_LEADS,0.6099
sc_accel,btc_ret_1d,-30,-0.0078,-0.0583,0.0465,0.7046,2131.0,RISK_LEADS,0.8098
sc_accel,btc_ret_1d,-14,-0.0538,-0.1024,-0.0074,0.008,2147.0,RISK_LEADS,0.0513
sc_accel,btc_ret_1d,-7,0.1126,0.0624,0.1573,0.002,2154.0,RISK_LEADS,0.0286
sc_accel,btc_ret_1d,-3,0.0819,0.0111,0.1483,0.004,2158.0,RISK_LEADS,0.04
sc_accel,btc_ret_1d,-1,0.0184,-0.036,0.0712,0.3872,2160.0,RISK_LEADS,0.5867
sc_accel,btc_ret_1d,1,0.034,-0.0071,0.084,0.0719,2161.0,STABLECOIN_LEADS,0.1672
sc_accel,btc_ret_1d,3,0.0461,0.0013,0.0871,0.0279,2159.0,STABLECOIN_LEADS,0.09
sc_accel,btc_ret_1d,7,0.0209,-0.0229,0.0587,0.3413,2155.0,STABLECOIN_LEADS,0.5557
sc_accel,btc_ret_1d,14,-0.0157,-0.0538,0.031,0.4551,2148.0,STABLECOIN_LEADS,0.6192
sc_accel,btc_ret_1d,30,0.0721,-0.0001,0.1445,0.004,2132.0,STABLECOIN_LEADS,0.04
sc_accel,eth_btc_rel_7d,-30,-0.0475,-0.1193,0.0269,0.2295,2114.0,RISK_LEADS,0.4173
sc_accel,eth_btc_rel_7d,-14,-0.0152,-0.1168,0.0653,0.6547,2130.0,RISK_LEADS,0.7748
sc_accel,eth_btc_rel_7d,-7,0.0022,-0.1074,0.123,0.9641,2137.0,RISK_LEADS,0.9689
sc_accel,eth_btc_rel_7d,-3,0.0519,-0.0242,0.1344,0.1916,2141.0,RISK_LEADS,0.3615
sc_accel,eth_btc_rel_7d,-1,0.0636,-0.0359,0.1719,0.1118,2143.0,RISK_LEADS,0.2404
sc_accel,eth_btc_rel_7d,1,0.0512,-0.0442,0.1359,0.1677,2144.0,STABLECOIN_LEADS,0.3256
sc_accel,eth_btc_rel_7d,3,0.0165,-0.066,0.1136,0.6427,2144.0,STABLECOIN_LEADS,0.7697
sc_accel,eth_btc_rel_7d,7,-0.0288,-0.1133,0.0639,0.4391,2144.0,STABLECOIN_LEADS,0.6099
sc_accel,eth_btc_rel_7d,14,0.0067,-0.1017,0.1055,0.8343,2137.0,STABLECOIN_LEADS,0.8725
sc_accel,eth_btc_rel_7d,30,0.0263,-0.0534,0.1032,0.493,2121.0,STABLECOIN_LEADS,0.6444
sc_accel,small_rel30,-30,-0.1098,-0.2485,0.0199,0.002,2059.0,RISK_LEADS,0.0286
sc_accel,small_rel30,-14,0.0028,-0.1032,0.0991,0.9082,2075.0,RISK_LEADS,0.9267
sc_accel,small_rel30,-7,0.0542,-0.0702,0.1806,0.0659,2082.0,RISK_LEADS,0.1569
sc_accel,small_rel30,-3,0.0202,-0.1157,0.1247,0.4311,2086.0,RISK_LEADS,0.6099
sc_accel,small_rel30,-1,-0.0061,-0.1239,0.1051,0.7844,2088.0,RISK_LEADS,0.8409
sc_accel,small_rel30,1,-0.0269,-0.1517,0.122,0.3114,2089.0,STABLECOIN_LEADS,0.5323
sc_accel,small_rel30,3,-0.0353,-0.1499,0.0956,0.1876,2089.0,STABLECOIN_LEADS,0.3573
sc_accel,small_rel30,7,-0.0147,-0.1389,0.1119,0.5309,2089.0,STABLECOIN_LEADS,0.6678
sc_accel,small_rel30,14,-0.0142,-0.0851,0.0612,0.523,2089.0,STABLECOIN_LEADS,0.662
sc_accel,small_rel30,30,0.056,-0.0412,0.1512,0.0479,2089.0,STABLECOIN_LEADS,0.1213
