peer_family,relational_state,horizon_d,n,n_with_future,relational_state_persistence_cond,exact_membership_jaccard_cond,rel_vs_member_ratio,relational_state_persistence_uncond
BEHAVIORAL_10,PEER_STRESSED,7,83,10,0.2,0.1292,1.5476,0.0044
BEHAVIORAL_10,REJOINING,7,44,4,0.0,0.6004,,0.0025
BEHAVIORAL_10,REHABILITATING,7,68,5,0.0,0.3294,,0.0025
BEHAVIORAL_10,CONTAGIOUS,7,58,4,0.0,0.2569,,0.0019
BEHAVIORAL_10,LOCALLY_CONFORMING,7,283,38,0.8158,0.4697,1.7368,0.0134
BEHAVIORAL_10,REORGANIZING,14,2041,56,0.2857,0.1039,2.7512,0.0069
BEHAVIORAL_10,DECOUPLED,14,868,47,0.7447,0.2029,3.6709,0.017
BEHAVIORAL_10,TRUE_ISOLATED,14,151,5,0.0,0.1347,,0.0055
BEHAVIORAL_10,FALSE_ISOLATED,14,51,7,0.0,0.5347,,0.0016
BEHAVIORAL_10,PEER_STRESSED,14,83,1,0.0,0.3333,,0.0019
BEHAVIORAL_10,REJOINING,14,44,3,0.0,0.4672,,0.0008
BEHAVIORAL_10,REHABILITATING,14,68,7,0.0,0.3395,,0.0016
BEHAVIORAL_10,CONTAGIOUS,14,58,1,0.0,0.0526,,0.0003
BEHAVIORAL_10,LOCALLY_CONFORMING,14,283,35,0.7429,0.4409,1.6848,0.0088
BEHAVIORAL_10,REORGANIZING,30,2041,40,0.4,0.1067,3.7505,0.008
BEHAVIORAL_10,DECOUPLED,30,868,39,0.7179,0.1705,4.2104,0.0121
BEHAVIORAL_10,TRUE_ISOLATED,30,151,7,0.0,0.2309,,0.0016
BEHAVIORAL_10,FALSE_ISOLATED,30,51,5,0.2,0.538,0.3718,0.0022
BEHAVIORAL_10,PEER_STRESSED,30,83,2,0.0,0.0556,,0.0005
BEHAVIORAL_10,REJOINING,30,44,4,0.0,0.3672,,0.0008
BEHAVIORAL_10,REHABILITATING,30,68,1,0.0,0.5385,,0.0019
BEHAVIORAL_10,CONTAGIOUS,30,58,1,0.0,0.0,,0.0
BEHAVIORAL_10,LOCALLY_CONFORMING,30,283,26,0.6154,0.377,1.6324,0.0071
BEHAVIORAL_10,REORGANIZING,60,2041,35,0.2857,0.0763,3.7442,0.0052
BEHAVIORAL_10,DECOUPLED,60,868,22,0.6818,0.1926,3.5408,0.0101
BEHAVIORAL_10,TRUE_ISOLATED,60,151,2,0.0,0.25,,0.0005
BEHAVIORAL_10,FALSE_ISOLATED,60,51,1,0.0,0.0526,,0.0005
BEHAVIORAL_10,PEER_STRESSED,60,83,2,0.0,0.0,,0.0008
BEHAVIORAL_10,REJOINING,60,44,2,0.0,0.0819,,0.0005
BEHAVIORAL_10,REHABILITATING,60,68,2,0.0,0.2132,,0.0003
BEHAVIORAL_10,CONTAGIOUS,60,58,3,0.0,0.1111,,0.0003
BEHAVIORAL_10,LOCALLY_CONFORMING,60,283,18,0.7222,0.2656,2.7194,0.0055
CORR_60_10,REORGANIZING,1,2577,149,0.1208,0.3598,0.3357,0.0087
CORR_60_10,LOCALLY_CONFORMING,1,991,107,0.8785,0.3858,2.2771,0.0631
CORR_60_10,REORGANIZING,3,2577,191,0.1047,0.3415,0.3067,0.0101
CORR_60_10,LOCALLY_CONFORMING,3,991,133,0.8797,0.3565,2.4678,0.0807
CORR_60_10,REORGANIZING,7,2577,131,0.1756,0.2152,0.8157,0.0087
CORR_60_10,LOCALLY_CONFORMING,7,991,103,0.9223,0.2502,3.6871,0.0569
CORR_60_10,REORGANIZING,14,2577,91,0.2527,0.1378,1.8342,0.0095
CORR_60_10,LOCALLY_CONFORMING,14,991,68,0.8382,0.1734,4.8351,0.035
CORR_60_10,REORGANIZING,30,2577,69,0.4203,0.0912,4.6065,0.0115
CORR_60_10,LOCALLY_CONFORMING,30,991,54,0.7778,0.091,8.5471,0.023
CORR_60_10,REORGANIZING,60,2577,53,0.566,0.0225,25.1344,0.0121
CORR_60_10,LOCALLY_CONFORMING,60,991,32,0.5938,0.029,20.4984,0.0118
CORR_120_10,REORGANIZING,1,2118,121,0.0413,0.5903,0.07,0.0038
CORR_120_10,LOCALLY_CONFORMING,1,1310,134,0.9403,0.5472,1.7183,0.0706
CORR_120_10,REORGANIZING,3,2118,153,0.0458,0.5625,0.0813,0.0047
CORR_120_10,LOCALLY_CONFORMING,3,1310,168,0.9464,0.534,1.7723,0.089
CORR_120_10,REORGANIZING,7,2118,108,0.0556,0.439,0.1265,0.0035
CORR_120_10,LOCALLY_CONFORMING,7,1310,122,0.9508,0.426,2.2322,0.0636
CORR_120_10,REORGANIZING,14,2118,81,0.1111,0.2975,0.3735,0.0047
CORR_120_10,LOCALLY_CONFORMING,14,1310,76,0.9079,0.2665,3.4068,0.0411
CORR_120_10,REORGANIZING,30,2118,46,0.1522,0.2081,0.7314,0.0061
CORR_120_10,LOCALLY_CONFORMING,30,1310,74,0.8108,0.1779,4.5574,0.0289
CORR_120_10,REORGANIZING,60,2118,39,0.3077,0.0698,4.4082,0.0085
CORR_120_10,LOCALLY_CONFORMING,60,1310,45,0.6222,0.1039,5.9858,0.016
STATE,REORGANIZING,1,2288,128,0.3438,0.1986,1.7312,0.0217
STATE,DECOUPLED,1,745,61,0.6066,0.2372,2.5569,0.032
STATE,TRUE_ISOLATED,1,44,7,0.0,0.3445,,0.0021
STATE,FALSE_ISOLATED,1,30,8,0.0,0.0714,,0.0026
STATE,PEER_STRESSED,1,29,1,0.0,0.0,,0.0009
STATE,REJOINING,1,23,2,0.0,0.0752,,0.0006
STATE,REHABILITATING,1,43,8,0.0,0.3046,,0.0009
STATE,CONTAGIOUS,1,28,0,,,,0.0003
STATE,LOCALLY_CONFORMING,1,173,19,0.4211,0.1984,2.122,0.0076
STATE,REORGANIZING,3,2288,161,0.3478,0.1763,1.9728,0.0267
STATE,DECOUPLED,3,745,70,0.6286,0.2242,2.803,0.0385
STATE,TRUE_ISOLATED,3,44,7,0.0,0.3445,,0.0024
STATE,FALSE_ISOLATED,3,30,8,0.0,0.0714,,0.0032
STATE,PEER_STRESSED,3,29,3,0.0,0.0222,,0.0009
STATE,REJOINING,3,23,3,0.0,0.1361,,0.0006
STATE,REHABILITATING,3,43,12,0.0,0.2204,,0.0015
STATE,CONTAGIOUS,3,28,0,,,,0.0003
STATE,LOCALLY_CONFORMING,3,173,28,0.5,0.1725,2.8981,0.0118
STATE,REORGANIZING,7,2288,108,0.3333,0.1114,2.9928,0.0197
STATE,DECOUPLED,7,745,45,0.5556,0.1225,4.5341,0.025
STATE,TRUE_ISOLATED,7,44,8,0.0,0.1415,,0.0015
STATE,FALSE_ISOLATED,7,30,2,0.0,0.1405,,0.0029
STATE,PEER_STRESSED,7,29,4,0.0,0.0167,,0.0009
STATE,REJOINING,7,23,5,0.0,0.2109,,0.0
STATE,REHABILITATING,7,43,11,0.0909,0.1621,0.5609,0.0015
STATE,CONTAGIOUS,7,28,0,,,,0.0
STATE,LOCALLY_CONFORMING,7,173,24,0.5,0.0998,5.0109,0.0094
STATE,REORGANIZING,14,2288,70,0.4714,0.0754,6.2528,0.0153
STATE,DECOUPLED,14,745,28,0.5714,0.1193,4.7879,0.0118
STATE,TRUE_ISOLATED,14,44,4,0.0,0.0785,,0.0012
STATE,FALSE_ISOLATED,14,30,5,0.2,0.0781,2.5603,0.0015
STATE,PEER_STRESSED,14,29,3,0.0,0.0392,,0.0003
STATE,REJOINING,14,23,1,0.0,0.0448,,0.0006
STATE,REHABILITATING,14,43,2,0.0,0.2198,,0.0012
STATE,CONTAGIOUS,14,28,3,0.0,0.1074,,0.0003
STATE,LOCALLY_CONFORMING,14,173,19,0.5263,0.1524,3.4525,0.0076
STATE,REORGANIZING,30,2288,56,0.3929,0.0887,4.4295,0.0109
STATE,DECOUPLED,30,745,21,0.7143,0.1081,6.6053,0.0103
STATE,TRUE_ISOLATED,30,44,3,0.0,0.1468,,0.0009
STATE,FALSE_ISOLATED,30,30,5,0.0,0.088,,0.0009
STATE,PEER_STRESSED,30,29,2,0.0,0.0,,0.0012
STATE,REJOINING,30,23,0,,,,0.0009
STATE,REHABILITATING,30,43,4,0.0,0.0285,,0.0018
STATE,CONTAGIOUS,30,28,2,0.0,0.0,,0.0006
STATE,LOCALLY_CONFORMING,30,173,17,0.4118,0.1433,2.8734,0.005
STATE,REORGANIZING,60,2288,38,0.6579,0.0485,13.5516,0.01
STATE,DECOUPLED,60,745,16,0.5625,0.0661,8.5122,0.0068
STATE,TRUE_ISOLATED,60,44,3,0.0,0.0225,,0.0003
STATE,FALSE_ISOLATED,60,30,1,0.0,0.05,,0.0018
STATE,PEER_STRESSED,60,29,2,0.0,0.0625,,0.0003
STATE,REJOINING,60,23,2,0.0,0.2351,,0.0
STATE,REHABILITATING,60,43,2,0.0,0.1601,,0.0003
STATE,CONTAGIOUS,60,28,1,1.0,0.1579,6.3333,0.0003
STATE,LOCALLY_CONFORMING,60,173,8,0.125,0.1105,1.1317,0.0018
HYBRID_10,REORGANIZING,1,1556,67,0.0448,0.4721,0.0948,0.0025
HYBRID_10,DECOUPLED,1,1380,112,0.8839,0.5423,1.6301,0.045
HYBRID_10,TRUE_ISOLATED,1,125,14,0.0,0.5786,,0.0016
HYBRID_10,FALSE_ISOLATED,1,37,6,0.0,0.6655,,0.0011
HYBRID_10,PEER_STRESSED,1,62,4,0.0,0.6971,,0.0022
HYBRID_10,REJOINING,1,30,0,,,,0.0003
HYBRID_10,REHABILITATING,1,94,6,0.0,0.7261,,0.0019
HYBRID_10,CONTAGIOUS,1,47,1,0.0,0.6667,,0.0019
HYBRID_10,LOCALLY_CONFORMING,1,314,48,0.8958,0.7205,1.2434,0.0145
HYBRID_10,DISLOCATED_UNCLASSIFIED,1,2,1,0.0,0.6667,,0.0
HYBRID_10,REORGANIZING,3,1556,86,0.0465,0.4496,0.1035,0.0033
HYBRID_10,DECOUPLED,3,1380,144,0.8819,0.5241,1.6827,0.0562
HYBRID_10,TRUE_ISOLATED,3,125,15,0.0,0.5845,,0.003
HYBRID_10,FALSE_ISOLATED,3,37,7,0.0,0.6657,,0.0014
HYBRID_10,PEER_STRESSED,3,62,5,0.0,0.5799,,0.0027
HYBRID_10,REJOINING,3,30,0,,,,0.0008
HYBRID_10,REHABILITATING,3,94,8,0.0,0.7302,,0.0025
HYBRID_10,CONTAGIOUS,3,47,1,0.0,0.6667,,0.0025
HYBRID_10,LOCALLY_CONFORMING,3,314,62,0.8387,0.7167,1.1702,0.0178
HYBRID_10,DISLOCATED_UNCLASSIFIED,3,2,1,0.0,0.6667,,0.0
HYBRID_10,REORGANIZING,7,1556,62,0.0323,0.3927,0.0822,0.0016
HYBRID_10,DECOUPLED,7,1380,109,0.9174,0.4499,2.0392,0.0392
HYBRID_10,TRUE_ISOLATED,7,125,4,0.0,0.4013,,0.0038
HYBRID_10,FALSE_ISOLATED,7,37,3,0.0,0.7677,,0.0008
HYBRID_10,PEER_STRESSED,7,62,3,0.0,0.2536,,0.0025
HYBRID_10,REJOINING,7,30,1,0.0,0.6667,,0.0008
HYBRID_10,REHABILITATING,7,94,5,0.0,0.5351,,0.0016
HYBRID_10,CONTAGIOUS,7,47,4,0.25,0.3294,0.759,0.0014
HYBRID_10,LOCALLY_CONFORMING,7,314,48,0.75,0.6161,1.2173,0.0137
HYBRID_10,DISLOCATED_UNCLASSIFIED,7,2,0,,,,0.0
HYBRID_10,REORGANIZING,14,1556,44,0.0682,0.2761,0.2469,0.0033
HYBRID_10,DECOUPLED,14,1380,59,0.7288,0.3435,2.1216,0.0211
HYBRID_10,TRUE_ISOLATED,14,125,3,0.0,0.3231,,0.0041
HYBRID_10,FALSE_ISOLATED,14,37,3,0.0,0.5446,,0.0005
HYBRID_10,PEER_STRESSED,14,62,2,0.5,0.2917,1.7143,0.0008
HYBRID_10,REJOINING,14,30,2,0.0,0.4359,,0.0
HYBRID_10,REHABILITATING,14,94,2,0.0,0.5385,,0.0025
HYBRID_10,CONTAGIOUS,14,47,5,0.0,0.2612,,0.0005
HYBRID_10,LOCALLY_CONFORMING,14,314,42,0.8571,0.5578,1.5367,0.0115
HYBRID_10,DISLOCATED_UNCLASSIFIED,14,2,0,,,,0.0
HYBRID_10,REORGANIZING,30,1556,23,0.087,0.1996,0.4356,0.0027
HYBRID_10,DECOUPLED,30,1380,49,0.8163,0.2472,3.3018,0.0159
HYBRID_10,TRUE_ISOLATED,30,125,3,0.0,0.207,,0.0011
HYBRID_10,FALSE_ISOLATED,30,37,2,0.0,0.6783,,0.0019
HYBRID_10,PEER_STRESSED,30,62,4,0.25,0.1438,1.7386,0.0003
HYBRID_10,REJOINING,30,30,1,0.0,0.6667,,0.0003
HYBRID_10,REHABILITATING,30,94,7,0.0,0.29,,0.0014
HYBRID_10,CONTAGIOUS,30,47,0,,,,0.0005
HYBRID_10,LOCALLY_CONFORMING,30,314,36,0.8056,0.4989,1.6147,0.0101
HYBRID_10,DISLOCATED_UNCLASSIFIED,30,2,0,,,,0.0
HYBRID_10,REORGANIZING,60,1556,17,0.2941,0.161,1.8265,0.0027
HYBRID_10,DECOUPLED,60,1380,40,0.825,0.1893,4.3583,0.0112
HYBRID_10,TRUE_ISOLATED,60,125,1,0.0,0.0,,0.0011
HYBRID_10,FALSE_ISOLATED,60,37,1,0.0,0.4286,,0.0016
HYBRID_10,PEER_STRESSED,60,62,3,0.0,0.0588,,0.0005
HYBRID_10,REJOINING,60,30,3,0.0,0.4057,,0.0
HYBRID_10,REHABILITATING,60,94,2,0.0,0.2222,,0.0011
HYBRID_10,CONTAGIOUS,60,47,1,0.0,0.0,,0.0005
HYBRID_10,LOCALLY_CONFORMING,60,314,19,0.5789,0.3273,1.7687,0.0049
HYBRID_10,DISLOCATED_UNCLASSIFIED,60,2,0,,,,0.0
