event_index,ret_1d,rank_band,BEHAVIORAL_10_label,CORR_60_10_label,CORR_120_10_label,STATE_label,HYBRID_10_label,n_families_true,consensus,final_class
211511,0.036908474,26-100,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
211525,0.34360158,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211530,0.11081345,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211548,0.06519568,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211551,0.19266194,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211578,124.23985,26-100,TRUE_UP_LONER,NO_PEERS,NO_PEERS,TRUE_UP_LONER,TRUE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
212587,0.03670466,101-250,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
212589,0.058610745,101-250,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
212602,0.15679394,101-250,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
212708,0.0006393006,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
212712,0.0006082998,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
212717,0.00045688386,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
212725,0.00031535307,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
212917,3.4278665,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
213093,0.22885814,1501-2000,TRUE_UP_LONER,NO_PEERS,NO_PEERS,TRUE_UP_LONER,TRUE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
213334,0.6131426,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
213413,0.029995602,251-500,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
213417,0.03719576,251-500,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,NO_PEERS,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
213586,0.15317897,26-100,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,NO_PEERS,TRUE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
213616,0.9914453,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
213631,0.12270702,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
213675,1.0929812,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
213676,1.6692387,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
213866,0.16574562,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
214178,0.15123568,26-100,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
214229,0.11709697,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
214280,0.18389185,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
214293,0.18236162,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
214386,0.14840248,26-100,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
214878,0.25019082,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
