date,direction,variant,entry,sl,tp,activation,body_pips,pnl,result
2023-09-12,LONG,INITIAL,1.07145,1.07112,1.07237,1.07237,5.7,9.2,TP
2023-09-13,SHORT,INITIAL,1.07442,1.07594,1.07431,1.07431,7.4,1.1,TP
2023-09-15,SHORT,INITIAL,1.0664,1.06655,1.06563,1.06563,4.2,-1.5,SL
2023-09-18,SHORT,INITIAL,1.06724,1.06749,1.06624,1.06624,5.7,10.0,TP
2023-09-19,SHORT,INITIAL,1.06984,1.06996,1.06864,1.06864,6.0,-1.2,SL
2023-09-20,SHORT,INITIAL,1.06943,1.06962,1.06852,1.06852,5.0,-1.9,SL
2023-09-21,LONG,INITIAL,1.06357,1.06326,1.06447,1.06447,5.5,-3.1,SL
2023-09-22,SHORT,INITIAL,1.06531,1.06618,1.06442,1.06442,8.0,-2.3,EOD
2023-09-25,LONG,INITIAL,1.06359,1.0635,1.06449,1.06449,4.5,-0.9,SL
2023-09-26,LONG,INITIAL,1.05714,1.05704,1.05825,1.05825,5.5,-1.0,SL
2023-09-27,SHORT,INITIAL,1.05675,1.05683,1.05593,1.05593,4.1,-0.8,SL
2023-09-28,LONG,INITIAL,1.05311,1.05202,1.05448,1.05448,11.2,-10.9,SL
2023-09-29,SHORT,INITIAL,1.05934,1.05984,1.05852,1.05852,6.0,-5.0,SL
2023-10-02,LONG,INITIAL,1.0576,1.05737,1.05845,1.05845,4.9,-2.3,SL
2023-10-03,SHORT,INITIAL,1.04712,1.04764,1.04656,1.04656,4.9,-5.2,SL
2023-10-04,SHORT,INITIAL,1.05155,1.05171,1.05021,1.05021,6.8,13.4,TP
2023-10-06,SHORT,INITIAL,1.05542,1.05553,1.05428,1.05428,5.7,-1.1,SL
2023-10-09,LONG,INITIAL,1.05309,1.05276,1.05445,1.05445,7.7,-3.3,SL
2023-10-10,SHORT,INITIAL,1.05812,1.05824,1.05679,1.05679,6.6,-1.2,SL
2023-10-11,SHORT,INITIAL,1.06217,1.06238,1.06091,1.06091,6.7,12.6,TP
2023-10-11,LONG,CASCADE,1.05958,1.05875,1.05999,1.05999,7.4,4.1,TP
2023-10-12,LONG,INITIAL,1.06169,1.06153,1.06283,1.06283,5.9,-1.6,SL
2023-10-13,SHORT,INITIAL,1.05437,1.05451,1.05288,1.05288,7.4,6.2,EOD
2023-10-16,SHORT,INITIAL,1.05346,1.05384,1.05294,1.05294,4.1,5.2,TP
2023-10-17,SHORT,INITIAL,1.05667,1.05687,1.05474,1.05474,9.7,-2.0,SL
2023-10-18,LONG,INITIAL,1.05699,1.05679,1.05789,1.05789,5.0,-2.0,SL
2023-10-19,SHORT,INITIAL,1.05492,1.05523,1.05371,1.05371,6.9,-3.1,SL
2023-10-24,LONG,INITIAL,1.06678,1.0662,1.06778,1.06778,7.2,-5.8,SL
2023-10-24,LONG,INITIAL,1.06167,1.06154,1.0629,1.0629,6.2,-1.3,SL
2023-10-25,LONG,INITIAL,1.05904,1.05887,1.05988,1.05988,4.6,-1.7,SL
2023-10-27,LONG,INITIAL,1.05581,1.05541,1.05644,1.05644,4.7,-4.0,SL
2023-10-30,LONG,INITIAL,1.05512,1.05483,1.05597,1.05597,5.2,-2.9,SL
2023-10-31,SHORT,INITIAL,1.0633,1.06356,1.06222,1.06222,6.1,-2.6,SL
2023-11-02,SHORT,INITIAL,1.06138,1.0615,1.05994,1.05994,7.1,-1.2,SL
2023-11-02,SHORT,INITIAL,1.06494,1.06563,1.06418,1.06418,6.6,-6.9,SL
2023-11-06,SHORT,INITIAL,1.07494,1.07509,1.07403,1.07403,4.8,-1.5,SL
2023-11-09,LONG,INITIAL,1.06928,1.06915,1.07034,1.07034,5.4,-1.3,SL
2023-11-10,SHORT,INITIAL,1.06762,1.06785,1.06644,1.06644,6.4,11.8,TP
2023-11-13,LONG,INITIAL,1.06803,1.06797,1.06931,1.06931,6.1,-0.6,SL
2023-11-14,SHORT,INITIAL,1.07204,1.07228,1.07076,1.07076,6.9,-2.4,SL
2023-11-15,LONG,INITIAL,1.08653,1.08648,1.08743,1.08743,4.3,-0.5,SL
2023-11-17,SHORT,INITIAL,1.08617,1.08634,1.08531,1.08531,4.7,-1.7,SL
2023-11-20,SHORT,INITIAL,1.09357,1.09371,1.09226,1.09226,6.6,-1.4,SL
2023-11-20,LONG,CASCADE,1.09263,1.09258,1.09339,1.09339,4.8,7.6,TP
2023-11-21,LONG,INITIAL,1.09459,1.09428,1.09562,1.09562,6.1,-3.1,SL
2023-11-22,LONG,INITIAL,1.09008,1.09,1.09099,1.09099,4.5,-0.8,SL
2023-11-22,SHORT,INITIAL,1.09147,1.0916,1.08977,1.08977,8.3,-1.3,SL
2023-11-23,LONG,INITIAL,1.09075,1.08974,1.09084,1.09084,5.0,0.9,TP
2023-11-23,LONG,CASCADE,1.0911,1.09085,1.09169,1.09169,5.0,-2.5,SL
2023-11-24,SHORT,INITIAL,1.09153,1.09216,1.09093,1.09093,5.6,6.0,TP
2023-11-28,SHORT,INITIAL,1.09504,1.09511,1.09405,1.09405,4.8,-0.7,SL
2023-11-29,LONG,INITIAL,1.09855,1.09845,1.09959,1.09959,5.2,-1.0,SL
2023-12-04,SHORT,INITIAL,1.08761,1.08815,1.08626,1.08626,8.6,13.5,TP
2023-12-05,LONG,INITIAL,1.08203,1.0819,1.08293,1.08293,4.7,-1.3,SL
2023-12-07,LONG,INITIAL,1.07654,1.07624,1.0776,1.0776,6.2,10.6,TP
2023-12-08,LONG,INITIAL,1.07696,1.07691,1.07801,1.07801,5.0,-0.5,SL
2023-12-11,LONG,INITIAL,1.07562,1.07537,1.07649,1.07649,5.1,8.7,TP
2023-12-12,LONG,INITIAL,1.07884,1.07821,1.07968,1.07968,6.7,-6.3,SL
2023-12-14,SHORT,INITIAL,1.09428,1.09503,1.0936,1.0936,6.5,0.0,EOD
2023-12-15,LONG,INITIAL,1.09583,1.0953,1.09671,1.09671,6.4,-5.3,SL
2023-12-19,SHORT,INITIAL,1.09466,1.09493,1.09346,1.09346,6.7,12.0,TP
2023-12-20,LONG,INITIAL,1.09516,1.09497,1.09642,1.09642,6.6,-1.9,SL
2023-12-21,LONG,INITIAL,1.09372,1.0935,1.09449,1.09449,4.5,7.7,TP
2023-12-22,SHORT,INITIAL,1.10074,1.10098,1.09988,1.09988,5.0,-2.4,SL
2023-12-28,SHORT,INITIAL,1.11231,1.11261,1.11144,1.11144,5.3,8.7,TP
2023-12-29,LONG,INITIAL,1.10591,1.10582,1.10703,1.10703,5.5,-0.9,SL
2023-12-29,LONG,INITIAL,1.10516,1.10487,1.1063,1.1063,6.5,-2.9,SL
2024-01-02,LONG,INITIAL,1.10002,1.09993,1.10195,1.10195,9.2,-0.9,SL
2024-01-03,LONG,INITIAL,1.09333,1.09283,1.09391,1.09391,4.9,-5.0,SL
2024-01-04,SHORT,INITIAL,1.09532,1.09566,1.09454,1.09454,5.1,-3.4,SL
2024-01-04,LONG,CASCADE,1.09389,1.09356,1.09455,1.09455,5.9,6.6,TP
2024-01-05,LONG,INITIAL,1.09147,1.09134,1.09242,1.09242,4.9,-1.3,SL
2024-01-05,LONG,CASCADE,1.08976,1.08965,1.09067,1.09067,6.1,-1.1,SL
2024-01-08,SHORT,INITIAL,1.09538,1.09551,1.09395,1.09395,7.1,-1.3,SL
2024-01-09,LONG,INITIAL,1.09423,1.09385,1.09493,1.09493,4.9,7.0,TP
2024-01-10,SHORT,INITIAL,1.09477,1.09492,1.09386,1.09386,4.8,-1.5,SL
2024-01-11,SHORT,INITIAL,1.09858,1.09887,1.09797,1.09797,4.1,6.1,TP
2024-01-16,LONG,INITIAL,1.09024,1.08999,1.09116,1.09116,5.3,-2.5,SL
2024-01-17,SHORT,INITIAL,1.08821,1.08847,1.08746,1.08746,4.6,7.5,TP
2024-01-18,LONG,INITIAL,1.08699,1.0867,1.08795,1.08795,5.7,-2.9,SL
2024-01-23,LONG,INITIAL,1.08979,1.08946,1.09078,1.09078,6.0,-3.3,SL
2024-01-24,SHORT,INITIAL,1.0916,1.09188,1.08975,1.08975,9.7,-2.8,SL
2024-01-25,SHORT,INITIAL,1.0892,1.09005,1.08902,1.08902,4.7,1.8,TP
2024-01-26,LONG,INITIAL,1.08252,1.08247,1.08339,1.08339,4.2,-0.5,SL
2024-01-29,LONG,INITIAL,1.0828,1.08218,1.08379,1.08379,7.3,-6.2,SL
2024-01-30,SHORT,INITIAL,1.08394,1.08401,1.08269,1.08269,6.0,-0.7,SL
2024-01-31,SHORT,INITIAL,1.08372,1.08428,1.08325,1.08325,4.7,-5.6,SL
2024-02-01,LONG,INITIAL,1.07865,1.07847,1.07959,1.07959,5.1,-1.8,SL
2024-02-01,SHORT,CASCADE,1.07981,1.08,1.07916,1.07916,5.0,-1.9,SL
2024-02-02,SHORT,INITIAL,1.08873,1.08912,1.08804,1.08804,4.9,6.9,TP
2024-02-05,LONG,INITIAL,1.07667,1.07635,1.07778,1.07778,6.5,-3.2,SL
2024-02-09,LONG,INITIAL,1.07679,1.07623,1.07755,1.07755,6.0,-5.6,SL
2024-02-12,LONG,INITIAL,1.07894,1.0788,1.07983,1.07983,4.7,-1.4,SL
2024-02-13,LONG,INITIAL,1.07611,1.07555,1.07683,1.07683,5.8,7.2,TP
2024-02-14,LONG,INITIAL,1.07007,1.06944,1.07094,1.07094,6.8,8.7,TP
2024-02-20,SHORT,INITIAL,1.08016,1.08036,1.07869,1.07869,7.6,-2.0,SL
2024-02-22,LONG,INITIAL,1.08313,1.08223,1.08659,1.08659,19.8,-9.0,SL
2024-03-01,SHORT,INITIAL,1.08235,1.08252,1.08142,1.08142,5.0,9.3,TP
2024-03-21,LONG,INITIAL,1.0917,1.09062,1.09205,1.09205,6.5,-10.8,SL
2024-03-22,LONG,INITIAL,1.0812,1.0807,1.08189,1.08189,5.4,6.9,TP
2024-03-25,SHORT,INITIAL,1.08337,1.08347,1.08222,1.08222,5.7,3.1,EOD
2024-03-27,LONG,INITIAL,1.08178,1.0817,1.08273,1.08273,4.7,-0.8,SL
2024-04-02,SHORT,INITIAL,1.07522,1.0755,1.07425,1.07425,5.7,3.2,EOD
2024-04-11,LONG,INITIAL,1.07199,1.07186,1.07395,1.07395,9.5,-1.3,SL
2024-04-12,LONG,INITIAL,1.0639,1.06319,1.0646,1.0646,6.4,-0.9,EOD
2024-04-19,SHORT,INITIAL,1.06449,1.06477,1.06387,1.06387,4.1,-2.8,SL
2024-04-19,SHORT,INITIAL,1.067,1.06708,1.06576,1.06576,6.0,-0.8,SL
2024-04-22,LONG,INITIAL,1.06443,1.06432,1.06577,1.06577,6.6,-1.1,SL
2024-04-23,LONG,INITIAL,1.06626,1.06613,1.06738,1.06738,5.7,-1.3,SL
2024-04-24,LONG,INITIAL,1.06895,1.06854,1.06962,1.06962,4.9,-4.1,SL
2024-04-29,LONG,INITIAL,1.07075,1.07033,1.07163,1.07163,5.9,-4.2,SL
2024-05-02,SHORT,INITIAL,1.07217,1.07264,1.07169,1.07169,4.3,-4.7,SL
2024-05-03,SHORT,INITIAL,1.07407,1.07455,1.07349,1.07349,4.8,-4.8,SL
2024-05-10,LONG,INITIAL,1.07676,1.07668,1.07778,1.07778,5.0,-0.8,SL
2024-05-16,LONG,INITIAL,1.08683,1.08666,1.08767,1.08767,4.6,-1.7,SL
2024-05-23,SHORT,INITIAL,1.0846,1.08498,1.08245,1.08245,11.5,-3.8,SL
2024-05-29,SHORT,INITIAL,1.0847,1.08487,1.0837,1.0837,5.3,-1.7,SL
2024-05-30,SHORT,INITIAL,1.08252,1.08273,1.08073,1.08073,9.1,-2.1,SL
2024-05-31,SHORT,INITIAL,1.08504,1.08526,1.08394,1.08394,6.0,-2.2,SL
2024-06-03,LONG,INITIAL,1.0836,1.08355,1.08458,1.08458,4.7,-0.5,SL
2024-06-04,LONG,INITIAL,1.08776,1.08769,1.08879,1.08879,5.0,-0.7,SL
2024-06-10,LONG,INITIAL,1.07432,1.07401,1.07507,1.07507,4.8,-3.1,SL
2024-06-11,LONG,INITIAL,1.07276,1.07248,1.07486,1.07486,10.8,-2.8,SL
2024-06-12,SHORT,INITIAL,1.07515,1.07523,1.07417,1.07417,4.8,-0.8,SL
2024-06-14,SHORT,INITIAL,1.07001,1.07009,1.06844,1.06844,7.5,-0.8,SL
2024-06-21,LONG,INITIAL,1.0704,1.07019,1.07127,1.07127,4.9,-2.1,SL
2024-07-01,LONG,INITIAL,1.07592,1.0754,1.0765,1.0765,5.0,-5.2,SL
2024-07-03,SHORT,INITIAL,1.07621,1.07643,1.07524,1.07524,5.4,-2.2,SL
2024-07-16,LONG,INITIAL,1.08916,1.08821,1.08938,1.08938,5.3,-9.5,SL
2024-07-17,SHORT,INITIAL,1.09322,1.0934,1.09193,1.09193,6.7,-1.8,SL
2024-07-29,LONG,INITIAL,1.08426,1.08415,1.08523,1.08523,4.9,-1.1,SL
2024-07-30,SHORT,INITIAL,1.08343,1.08351,1.08234,1.08234,5.3,-0.8,SL
2024-07-31,LONG,INITIAL,1.08131,1.08057,1.0818,1.0818,5.6,4.9,TP
2024-08-01,LONG,INITIAL,1.08046,1.08035,1.08176,1.08176,6.4,-1.1,SL
2024-08-02,SHORT,INITIAL,1.0891,1.08965,1.08644,1.08644,14.6,0.0,EOD
2024-08-05,SHORT,INITIAL,1.09802,1.0982,1.09591,1.09591,10.4,-1.8,SL
2024-08-06,LONG,INITIAL,1.09084,1.09057,1.09259,1.09259,9.2,-2.7,SL
2024-08-08,LONG,INITIAL,1.08975,1.08903,1.09057,1.09057,7.0,0.0,EOD
2024-08-20,SHORT,INITIAL,1.10854,1.10882,1.10772,1.10772,5.0,-2.8,SL
2024-08-27,LONG,INITIAL,1.11544,1.11533,1.11702,1.11702,7.7,-1.1,SL
2024-08-28,LONG,INITIAL,1.1147,1.11408,1.11544,1.11544,6.2,-6.2,SL
2024-08-29,LONG,INITIAL,1.10818,1.10768,1.10911,1.10911,6.5,-5.0,SL
2024-08-30,LONG,INITIAL,1.10758,1.10699,1.10846,1.10846,6.7,-5.9,SL
2024-09-02,LONG,INITIAL,1.1059,1.10577,1.10711,1.10711,6.1,12.1,TP
2024-09-12,SHORT,INITIAL,1.10146,1.1026,1.10137,1.10137,5.6,0.9,TP
2024-09-18,SHORT,INITIAL,1.11333,1.11373,1.11254,1.11254,5.4,-4.0,SL
2024-09-19,SHORT,INITIAL,1.11294,1.11302,1.11212,1.11212,4.1,-0.8,SL
2024-09-19,SHORT,INITIAL,1.11695,1.11728,1.11622,1.11622,4.8,-3.3,SL
2024-09-19,LONG,CASCADE,1.11417,1.114,1.1159,1.1159,11.3,-1.7,SL
2024-09-24,SHORT,INITIAL,1.11292,1.11303,1.11162,1.11162,6.4,-1.1,SL
2024-09-25,LONG,INITIAL,1.11796,1.11783,1.11893,1.11893,5.0,-1.3,SL
2024-09-27,SHORT,INITIAL,1.11833,1.11878,1.11658,1.11658,10.0,-4.5,SL
2024-09-30,SHORT,INITIAL,1.11895,1.11918,1.11782,1.11782,6.2,-2.3,SL
2024-09-30,SHORT,CASCADE,1.12057,1.12073,1.11996,1.11996,4.6,6.1,TP
2024-10-01,LONG,INITIAL,1.11074,1.11062,1.11174,1.11174,5.1,-1.2,SL
2024-10-02,LONG,INITIAL,1.10557,1.10496,1.10657,1.10657,7.3,-2.2,EOD
2024-10-07,SHORT,INITIAL,1.09784,1.09803,1.09684,1.09684,5.4,-1.9,SL
2024-10-09,SHORT,INITIAL,1.09685,1.09698,1.09595,1.09595,4.7,-1.3,SL
2024-10-15,SHORT,INITIAL,1.09135,1.09163,1.0904,1.0904,5.6,9.5,TP
2024-10-16,SHORT,INITIAL,1.08911,1.08942,1.08828,1.08828,5.2,-3.1,SL
2024-10-28,SHORT,INITIAL,1.08128,1.08135,1.08034,1.08034,4.6,-0.7,SL
2024-10-29,SHORT,INITIAL,1.0826,1.0827,1.08167,1.08167,4.7,9.3,TP
2024-10-29,LONG,INITIAL,1.07759,1.07737,1.07882,1.07882,6.6,1.5,EOD
2024-10-30,LONG,INITIAL,1.08293,1.08286,1.08394,1.08394,4.9,-0.7,SL
2024-10-31,SHORT,INITIAL,1.08631,1.08644,1.08541,1.08541,4.7,9.0,TP
2024-11-04,SHORT,INITIAL,1.09022,1.09039,1.08938,1.08938,4.6,-1.7,SL
2024-11-07,LONG,INITIAL,1.07553,1.07531,1.07645,1.07645,5.2,-2.2,SL
2024-11-08,LONG,INITIAL,1.07688,1.07657,1.07767,1.07767,5.0,-3.1,SL
2024-11-11,LONG,INITIAL,1.07008,1.06996,1.07121,1.07121,5.7,-1.2,SL
2024-11-11,LONG,CASCADE,1.06698,1.06697,1.06818,1.06818,7.2,-0.1,SL
2024-11-12,LONG,INITIAL,1.06274,1.06218,1.06343,1.06343,5.7,6.9,TP
2024-11-12,LONG,CASCADE,1.06202,1.06191,1.06273,1.06273,4.9,-1.1,SL
2024-11-13,SHORT,INITIAL,1.06101,1.06119,1.06011,1.06011,4.9,-1.8,SL
2024-11-14,LONG,INITIAL,1.05235,1.0522,1.05337,1.05337,5.3,-1.5,SL
2024-11-21,SHORT,INITIAL,1.05291,1.05324,1.05212,1.05212,5.1,7.9,TP
2024-11-22,LONG,INITIAL,1.04594,1.04537,1.04645,1.04645,4.9,-5.7,SL
2024-11-22,LONG,INITIAL,1.04056,1.03979,1.04131,1.04131,6.9,7.5,TP
2024-11-26,SHORT,INITIAL,1.0536,1.0546,1.05084,1.05084,17.1,27.6,TP
2024-11-27,SHORT,INITIAL,1.0499,1.0502,1.04868,1.04868,6.9,-3.0,SL
2024-11-29,LONG,INITIAL,1.05501,1.0547,1.05604,1.05604,6.1,10.3,TP
2024-12-02,LONG,INITIAL,1.05146,1.05071,1.05179,1.05179,4.9,3.3,TP
2024-12-02,SHORT,CASCADE,1.05234,1.05236,1.05075,1.05075,9.6,-0.2,SL
2024-12-03,SHORT,INITIAL,1.05252,1.05307,1.05083,1.05083,10.2,-5.5,SL
2024-12-04,SHORT,INITIAL,1.0525,1.05288,1.05196,1.05196,4.2,5.4,TP
2024-12-04,LONG,INITIAL,1.04918,1.04911,1.05054,1.05054,6.5,-0.7,SL
2024-12-05,SHORT,INITIAL,1.05463,1.05494,1.05342,1.05342,6.9,-3.1,SL
2024-12-09,SHORT,INITIAL,1.05723,1.05729,1.05628,1.05628,4.6,-0.6,SL
2024-12-10,LONG,INITIAL,1.05318,1.05279,1.05422,1.05422,6.5,-3.9,SL
2024-12-10,LONG,CASCADE,1.05207,1.05185,1.05284,1.05284,5.9,7.7,TP
2024-12-11,LONG,INITIAL,1.04902,1.0487,1.05134,1.05134,12.0,23.2,TP
2024-12-12,LONG,INITIAL,1.05044,1.05023,1.05164,1.05164,6.4,-2.1,SL
2024-12-12,LONG,INITIAL,1.04851,1.04726,1.04889,1.04889,7.4,3.8,TP
2024-12-16,LONG,INITIAL,1.04927,1.04911,1.05076,1.05076,7.5,-1.6,SL
2024-12-18,LONG,INITIAL,1.04865,1.04835,1.04945,1.04945,5.0,-3.0,SL
2024-12-19,SHORT,INITIAL,1.04096,1.04105,1.03951,1.03951,7.0,-0.9,SL
2024-12-20,SHORT,INITIAL,1.03748,1.03757,1.03621,1.03621,6.2,-0.9,SL
2024-12-23,LONG,INITIAL,1.04109,1.04071,1.04179,1.04179,4.9,7.0,TP
2024-12-27,SHORT,INITIAL,1.04387,1.04398,1.04167,1.04167,10.5,-1.1,SL
2024-12-30,SHORT,INITIAL,1.04532,1.04555,1.04353,1.04353,9.2,-2.3,SL
2025-01-02,LONG,INITIAL,1.03555,1.03467,1.03628,1.03628,7.3,7.3,TP
2025-01-06,SHORT,INITIAL,1.03502,1.03515,1.03403,1.03403,5.1,-1.3,SL
2025-01-07,LONG,INITIAL,1.03892,1.03872,1.03967,1.03967,4.3,7.5,TP
2025-01-08,LONG,INITIAL,1.03188,1.03168,1.03315,1.03315,6.7,-2.0,SL
2025-01-08,SHORT,INITIAL,1.02948,1.03052,1.0285,1.0285,9.2,-8.6,EOD
2025-01-09,LONG,INITIAL,1.0291,1.029,1.03001,1.03001,4.6,-1.0,SL
2025-01-13,SHORT,INITIAL,1.02295,1.02319,1.02218,1.02218,4.6,7.7,TP
2025-01-14,SHORT,INITIAL,1.02623,1.02676,1.02526,1.02526,6.8,9.7,TP
2025-01-14,SHORT,INITIAL,1.02543,1.02653,1.02499,1.02499,7.0,4.4,TP
2025-01-15,SHORT,INITIAL,1.03064,1.0307,1.02975,1.02975,4.3,-0.6,SL
2025-01-16,LONG,INITIAL,1.0283,1.02819,1.02927,1.02927,4.9,-1.1,SL
2025-01-16,LONG,INITIAL,1.02745,1.0259,1.0277,1.0277,8.2,2.5,TP
2025-01-17,SHORT,INITIAL,1.0296,1.02995,1.02874,1.02874,5.5,-3.5,SL
2025-01-20,SHORT,INITIAL,1.03981,1.04013,1.03802,1.03802,9.6,0.0,EOD
2025-01-21,SHORT,INITIAL,1.0362,1.03684,1.03541,1.03541,6.5,-6.4,SL
2025-01-22,SHORT,INITIAL,1.04218,1.0426,1.04124,1.04124,6.2,-4.2,SL
2025-01-24,SHORT,INITIAL,1.0461,1.04628,1.04525,1.04525,4.7,-1.8,SL
2025-01-24,SHORT,CASCADE,1.04768,1.04787,1.047,1.047,5.2,-1.9,SL
2025-01-27,SHORT,INITIAL,1.04729,1.04787,1.0464,1.0464,6.7,-5.8,SL
2025-01-28,LONG,INITIAL,1.04251,1.04183,1.04317,1.04317,6.1,6.6,TP
2025-01-29,LONG,INITIAL,1.0416,1.04123,1.04268,1.04268,6.6,10.8,TP
2025-01-29,LONG,CASCADE,1.03986,1.0398,1.04145,1.04145,9.8,-0.6,SL
2025-01-30,SHORT,INITIAL,1.04252,1.04332,1.04204,1.04204,5.8,-8.0,SL
2025-01-31,LONG,INITIAL,1.03849,1.03823,1.04023,1.04023,9.1,-2.6,SL
2025-02-03,SHORT,INITIAL,1.0237,1.02401,1.02236,1.02236,7.5,-3.1,SL
2025-02-05,LONG,INITIAL,1.03967,1.03914,1.04022,1.04022,4.9,5.5,TP
2025-02-06,LONG,INITIAL,1.03787,1.0378,1.03875,1.03875,4.3,-0.7,SL
2025-02-17,LONG,INITIAL,1.04797,1.04777,1.04891,1.04891,5.2,-2.0,SL
2025-02-18,LONG,INITIAL,1.04569,1.04541,1.04642,1.04642,4.6,7.3,TP
2025-02-19,LONG,INITIAL,1.042,1.04188,1.04291,1.04291,4.7,9.1,TP
2025-02-24,LONG,INITIAL,1.0502,1.05007,1.05115,1.05115,4.9,9.5,TP
2025-02-25,LONG,INITIAL,1.04662,1.04579,1.04685,1.04685,4.8,2.3,TP
2025-02-26,SHORT,INITIAL,1.04986,1.05014,1.04924,1.04924,4.1,-2.8,SL
2025-02-28,SHORT,INITIAL,1.04126,1.04139,1.04016,1.04016,5.6,-1.3,SL
2025-03-03,SHORT,INITIAL,1.04548,1.04564,1.04419,1.04419,6.6,-1.6,SL
2025-03-04,SHORT,INITIAL,1.0508,1.05095,1.04985,1.04985,5.0,-1.5,SL
2025-03-05,SHORT,INITIAL,1.06746,1.06763,1.06598,1.06598,7.5,14.8,TP
2025-03-06,SHORT,INITIAL,1.08165,1.08205,1.08102,1.08102,4.7,6.3,TP
2025-03-06,SHORT,CASCADE,1.08276,1.08337,1.08145,1.08145,11.4,13.1,TP
