date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier,year
2025-08-14,-1,1.16851,1.16906,-6.0000000000005045,opposite_p90_exit,signal1,T1,2025
2025-08-14,-1,1.16851,1.16906,-6.0000000000005045,opposite_p90_exit,signal2,T1,2025
2025-08-14,-1,1.16798,1.168404,-4.7399999999997995,sl_body80,signal1,T1,2025
2025-08-14,-1,1.16798,1.1674975,4.324999999999413,tp1_ar25,signal2,T1,2025
2025-08-14,-1,1.1675,1.16802,-5.70000000000076,opposite_p90_exit,cascade_1,T1,2025
2025-08-14,-1,1.16756,1.1681279999999998,-6.179999999999019,sl_body80,signal1,T1,2025
2025-08-14,-1,1.16756,1.168625,-11.150000000000936,sl_body150,signal2,T1,2025
2025-08-14,-1,1.16805,1.1670424,9.576000000001084,kill_switch_132,signal1,T1,2025
2025-08-14,-1,1.16805,1.1670424,9.576000000001084,kill_switch_132,signal2,T1,2025
2025-08-14,-1,1.16667,1.1670424,-4.223999999998284,kill_switch_132,signal1,T1,2025
2025-08-14,-1,1.16667,1.1670424,-4.223999999998284,kill_switch_132,signal2,T1,2025
2025-08-15,1,1.16724,1.1678000000000002,5.10000000000116,tp1_ar25,signal1,T2,2025
2025-08-15,1,1.16724,1.16836,10.700000000000099,tp2_ar50,signal2,T2,2025
2025-08-15,1,1.16766,1.16836,6.5000000000014495,tp2_ar50,cascade_1,T2,2025
2025-08-15,1,1.16941,1.1694368,-0.23200000000117527,kill_switch_132,signal1,T2,2025
2025-08-15,1,1.16941,1.1694368,-0.23200000000117527,kill_switch_132,signal2,T2,2025
2025-08-18,-1,1.16932,1.1687925,4.775000000000141,tp1_ar25,signal1,T2,2025
2025-08-18,-1,1.16932,1.1682649999999999,10.050000000000281,tp2_ar50,signal2,T2,2025
2025-08-18,-1,1.1675,1.1669725,4.775000000000141,tp1_ar25,signal1,T2,2025
2025-08-18,-1,1.1675,1.16779,-3.400000000001235,hard_exit_12pm,signal2,T2,2025
2025-08-20,1,1.16494,1.1656175000000002,6.275000000001086,tp1_ar25,signal1,T2,2025
2025-08-20,1,1.16494,1.166295,13.049999999999951,tp2_ar50,signal2,T2,2025
2025-08-21,-1,1.16361,1.1632625,2.9749999999994508,tp1_ar25,signal1,T1,2025
2025-08-21,-1,1.16361,1.162915,6.450000000001122,tp2_ar50,signal2,T1,2025
2025-08-25,-1,1.16873,1.16933,-6.499999999999339,sl_body80,signal1,T3,2025
2025-08-25,-1,1.16873,1.169855,-11.750000000000426,sl_body150,signal2,T3,2025
2025-08-27,-1,1.1611,1.1602125,8.3749999999993,tp1_ar25,signal1,T3,2025
