time,open,high,low,close,tick_volume,spread,real_volume
2022-05-04,105.42,110.51,105.04,109.31,50461,0,0
2022-05-05,109.96,113.38,108.65,110.4,61229,0,0
2022-05-06,110.54,112.81,109.21,112.37,64683,0,0
2022-05-09,112.11,112.52,104.21,104.21,71837,0,0
2022-05-10,104.77,106.19,101.13,101.27,83857,0,0
2022-05-11,101.11,107.52,100.68,106.52,73618,0,0
2022-05-12,106.93,107.83,103.97,106.86,73790,0,0
2022-05-13,107.56,110.55,106.87,109.93,57801,0,0
2022-05-16,110.51,113.35,107.89,112.35,68171,0,0
2022-05-17,112.93,114.09,109.68,110.81,65434,0,0
2022-05-18,111.28,112.46,106.75,107.46,67160,0,0
2022-05-19,106.5,110.52,104.2,109.48,79573,0,0
2022-05-20,109.65,111.12,108.65,110.47,61891,0,0
2022-05-23,110.52,111.91,109.63,110.95,54948,0,0
2022-05-24,110.61,112.11,109.27,110.97,49308,0,0
2022-05-25,111.32,112.45,110.27,111.28,46188,0,0
2022-05-26,111.4,114.72,110.83,114.13,37873,0,0
2022-05-27,114.11,115.61,112.98,115.16,48889,0,0
2022-05-30,115.31,117.58,115.31,117.23,27267,0,0
2022-05-31,117.92,120.29,114.69,115.56,70194,0,0
2022-06-01,115.64,117.95,114.79,115.03,53453,0,0
2022-06-02,113.9,117.73,111.86,117.32,56075,0,0
2022-06-03,117.36,120.58,115.26,120.46,39898,0,0
2022-06-06,120.55,120.84,117.89,119.19,48324,0,0
2022-06-07,118.85,120.42,117.66,119.61,49411,0,0
2022-06-08,119.52,123.24,119.4,122.47,52546,0,0
2022-06-09,122.4,123.07,121.23,121.37,46071,0,0
2022-06-10,121.41,122.72,118.3,120.22,55508,0,0
2022-06-13,119.64,121.77,117.22,120.25,61321,0,0
2022-06-14,120.1,123.02,116.96,118.73,67456,0,0
2022-06-15,118.63,119.62,115.76,116.62,65580,0,0
2022-06-16,117.38,118.27,113.72,116.88,66807,0,0
2022-06-17,116.96,118.92,109.78,111.23,70549,0,0
2022-06-20,111.62,112.28,109.56,112.19,48262,0,0
2022-06-21,112.08,113.84,111.67,112.12,54362,0,0
2022-06-22,111.99,111.99,104.66,106.87,74493,0,0
2022-06-23,106.65,109.53,105.24,106.14,71089,0,0
2022-06-24,106.49,110.25,105.78,108.61,60350,0,0
2022-06-27,108.52,111.84,107.09,110.89,60357,0,0
2022-06-28,111.55,113.9,111.28,113.33,58742,0,0
2022-06-29,113.55,115.87,111.38,111.6,63987,0,0
2022-06-30,111.8,112.74,107.69,108.44,63990,0,0
2022-07-01,108.83,111.66,107.31,110.62,60741,0,0
2022-07-04,110.85,112.98,109.45,112.57,30630,0,0
2022-07-05,112.3,113.53,99.99,101.51,76083,0,0
2022-07-06,103.75,104.4,97.25,98.54,86409,0,0
2022-07-07,98.86,104.84,97.1,102.37,75361,0,0
2022-07-08,103.15,105.87,102.16,105.41,63391,0,0
2022-07-11,104.87,105.93,101.98,104.48,72083,0,0
2022-07-12,104.37,104.67,97.03,97.09,69806,0,0
2022-07-13,96.51,99.22,96.25,97.63,78665,0,0
2022-07-14,97.21,98.25,92.42,97.11,77420,0,0
2022-07-15,97.43,99.87,95.57,98.04,67926,0,0
2022-07-18,98.28,103.24,96.55,102.18,64350,0,0
2022-07-19,102.23,104.17,100.29,103.48,58192,0,0
2022-07-20,103.39,103.77,101.55,102.74,60555,0,0
2022-07-21,102.51,102.84,97.87,99.94,66661,0,0
2022-07-22,99.7,101.42,97.88,99.25,66746,0,0
2022-07-25,98.76,100.6,96.9,99.82,63557,0,0
2022-07-26,99.77,102.34,99.01,99.39,55472,0,0
2022-07-27,99.39,102.68,98.69,101.96,52001,0,0
2022-07-28,102.04,103.93,100.73,102.01,58269,0,0
2022-07-29,102.23,106.09,101.26,103.17,48727,0,0
2022-08-01,103.45,103.88,98.64,99.51,61192,0,0
2022-08-02,99.32,101.91,98.02,99.03,59290,0,0
2022-08-03,99.27,101.88,96.04,96.42,55223,0,0
2022-08-04,96.61,97.15,92.5,92.53,51632,0,0
2022-08-05,93.0,95.73,92.14,93.7,48429,0,0
2022-08-08,93.53,96.11,92.39,95.45,49231,0,0
2022-08-09,95.46,97.64,94.21,95.47,51518,0,0
2022-08-10,95.71,97.29,93.03,96.2,47139,0,0
2022-08-11,96.38,99.45,96.08,98.31,41563,0,0
2022-08-12,98.58,99.54,96.27,97.07,43345,0,0
2022-08-15,97.27,97.35,92.16,92.66,39042,0,0
2022-08-16,93.09,95.37,91.24,92.1,39724,0,0
2022-08-17,92.18,93.97,91.08,92.24,38424,0,0
2022-08-18,92.8,96.71,92.54,95.55,37744,0,0
2022-08-19,96.07,97.22,93.7,95.28,33016,0,0
2022-08-22,95.02,96.71,92.01,95.86,46190,0,0
2022-08-23,96.15,99.49,95.83,98.99,35679,0,0
2022-08-24,99.12,100.86,98.29,100.63,40684,0,0
2022-08-25,100.9,101.46,98.22,98.68,37391,0,0
2022-08-26,98.91,100.06,96.97,98.72,35101,0,0
2022-08-29,98.77,103.06,98.11,102.39,41616,0,0
2022-08-30,102.51,103.25,96.46,98.11,50654,0,0
2022-08-31,98.13,98.74,94.2,94.43,60535,0,0
2022-09-01,94.97,95.36,91.56,91.58,55585,0,0
2022-09-02,92.48,94.97,92.4,92.83,52636,0,0
2022-09-05,93.1,96.54,92.86,94.97,30732,0,0
2022-09-06,94.81,95.46,91.96,92.35,50406,0,0
2022-09-07,92.46,93.38,86.93,86.93,48032,0,0
2022-09-08,87.5,89.41,86.85,87.76,52099,0,0
2022-09-09,88.28,92.54,88.08,91.65,39473,0,0
2022-09-12,91.72,94.5,90.63,93.38,43254,0,0
2022-09-13,93.59,94.84,90.54,92.66,64110,0,0
2022-09-14,92.88,95.08,91.37,93.61,63498,0,0
2022-09-15,93.98,93.98,89.39,89.8,58898,0,0
2022-09-16,89.63,91.68,89.36,90.53,59158,0,0
2022-09-19,90.34,91.51,87.52,90.7,49281,0,0
2022-09-20,91.09,91.86,88.8,89.95,59081,0,0
2022-09-21,89.84,92.41,88.46,88.98,63703,0,0
2022-09-22,88.98,91.84,88.37,89.48,61803,0,0
2022-09-23,89.48,89.92,84.6,85.67,61649,0,0
2022-09-26,85.56,86.46,82.44,82.48,77733,0,0
2022-09-27,82.49,85.81,82.49,84.24,62300,0,0
2022-09-28,84.71,88.08,82.83,87.8,122613,0,0
2022-09-29,87.63,88.51,85.98,87.33,53467,0,0
2022-09-30,87.26,88.33,84.74,85.03,47962,7,0
2022-10-03,86.38,89.42,86.34,88.21,39574,7,0
2022-10-04,88.3,91.86,88.24,91.09,32998,7,0
2022-10-05,91.18,93.37,90.31,93.13,39231,6,0
2022-10-06,93.11,94.34,92.09,94.29,31919,7,0
2022-10-07,94.15,97.76,93.24,97.46,37199,7,0
2022-10-10,97.47,97.8,94.79,94.98,40846,6,0
2022-10-11,94.99,95.56,92.23,92.77,48038,7,0
2022-10-12,92.79,94.15,90.68,91.48,47238,7,0
2022-10-13,91.47,93.87,90.17,93.67,45438,7,0
2022-10-14,93.38,94.04,90.33,90.69,44630,7,0
2022-10-17,90.62,92.22,89.91,90.8,39345,7,0
2022-10-18,90.97,91.58,87.85,89.49,42919,7,0
2022-10-19,89.69,91.35,88.24,90.84,41478,7,0
2022-10-20,90.73,93.02,90.33,91.11,43599,7,0
2022-10-21,90.74,91.97,89.39,91.55,45835,7,0
2022-10-24,91.55,92.44,89.2,91.59,46448,7,0
2022-10-25,91.6,92.53,89.8,91.2,34628,0,0
2022-10-26,91.02,94.17,90.36,94.07,34933,7,0
2022-10-27,93.96,95.17,93.06,94.47,36487,7,0
2022-10-28,94.44,94.69,92.82,93.96,36322,7,0
2022-10-31,94.16,94.16,91.18,92.22,37534,7,0
2022-11-01,92.15,95.17,91.96,94.32,36900,6,0
2022-11-02,94.4,96.02,93.57,95.18,38025,7,0
2022-11-03,94.76,95.44,93.7,93.91,33499,7,0
2022-11-04,93.98,98.22,93.75,98.03,41611,7,0
2022-11-07,96.2,98.9,95.95,97.49,37811,7,0
2022-11-08,97.48,97.61,94.5,94.95,35979,0,0
2022-11-09,94.96,95.07,91.67,91.76,42124,0,0
2022-11-10,91.77,93.48,90.97,92.68,40686,0,0
2022-11-11,92.65,95.97,92.46,95.07,39632,0,0
2022-11-14,95.02,95.98,91.73,91.74,39628,0,0
2022-11-15,91.75,94.95,90.84,92.98,48846,0,0
2022-11-16,93.0,93.89,90.91,91.76,41012,0,0
2022-11-17,91.75,91.94,88.71,89.26,41066,0,0
2022-11-18,89.31,89.92,85.41,87.43,43405,0,0
2022-11-21,87.37,87.61,82.27,87.28,48668,7,0
2022-11-22,87.08,89.21,86.98,87.76,34894,0,0
2022-11-23,87.97,88.8,83.89,84.53,40848,6,0
2022-11-24,84.75,85.31,83.96,85.25,19268,7,0
2022-11-25,85.34,86.84,83.62,83.69,23418,6,0
2022-11-28,83.71,84.59,80.78,83.17,42544,7,0
2022-11-29,83.24,86.63,83.18,84.85,42816,7,0
2022-11-30,84.77,87.34,84.41,86.67,32335,7,0
2022-12-01,86.63,89.29,86.24,86.97,34336,7,0
2022-12-02,86.78,87.82,85.15,85.88,33613,7,0
2022-12-05,85.62,88.32,82.5,82.99,39808,7,0
2022-12-06,83.27,83.64,78.79,79.71,37139,7,0
2022-12-07,79.93,80.56,77.07,77.5,42713,7,0
2022-12-08,77.65,79.27,75.92,76.6,41590,0,0
2022-12-09,76.91,77.6,75.35,76.81,37457,7,0
2022-12-12,77.1,78.71,75.44,78.19,37082,7,0
2022-12-13,78.27,81.27,78.25,80.45,39644,7,0
2022-12-14,80.43,83.15,80.2,82.79,36244,7,0
2022-12-15,82.67,83.15,80.86,81.5,37936,7,0
2022-12-16,81.51,81.81,78.6,79.47,39472,7,0
2022-12-19,79.35,81.08,78.9,80.38,34104,0,0
2022-12-20,80.52,81.1,78.85,80.16,37278,7,0
2022-12-21,80.39,82.84,79.99,82.54,27936,7,0
2022-12-22,82.83,84.15,81.27,82.21,27940,6,0
2022-12-23,82.2,84.65,81.81,84.45,27484,7,0
2022-12-27,85.23,86.04,84.14,84.95,25418,0,0
2022-12-28,84.9,85.09,82.48,83.75,31765,0,0
2022-12-29,83.37,83.78,81.81,83.61,30358,0,0
2022-12-30,83.64,85.91,82.83,85.79,24757,7,0
2023-01-03,85.46,86.88,81.76,82.27,41207,6,0
2023-01-04,82.57,82.65,77.75,78.01,39469,7,0
2023-01-05,78.48,79.96,77.62,78.81,36311,7,0
2023-01-06,79.0,80.59,78.1,78.56,35415,7,0
