index,canonical,live,diff
201557,-1.1786508714449475,-1.1786508714449475,0.0
201558,-0.6270165474705854,-0.6270165474705854,0.0
201559,-0.779045034842189,-0.779045034842189,0.0
201560,-1.1775406246829614,-1.1775406246829614,0.0
201561,-1.2946048954311686,-1.2946048954311686,0.0
201562,-1.6053529698723539,-1.6053529698723539,0.0
201563,-1.4967119380350866,-1.4967119380350866,0.0
201564,-1.3554452328862656,-1.3554452328862656,0.0
201565,-1.317857711982098,-1.317857711982098,0.0
201566,-1.2384129859353104,-1.2384129859353104,0.0
201567,-1.1643394468831298,-1.1643394468831298,0.0
201568,-0.8153432344505124,-0.8153432344505124,0.0
201569,-0.40523447778374233,-0.40523447778374233,0.0
201570,-0.4853557423002824,-0.4853557423002824,0.0
201571,-0.6746381389541644,-0.6746381389541644,0.0
201572,-0.7987738626435119,-0.7987738626435119,0.0
201573,-0.4993880771890569,-0.4993880771890569,0.0
201574,-0.1660732094724564,-0.1660732094724564,0.0
201575,-0.25447909751711584,-0.25447909751711584,0.0
201576,-0.7028349774564121,-0.7028349774564121,0.0
201577,-0.8773578126645568,-0.8773578126645568,0.0
201578,-0.4959555528778254,-0.4959555528778254,0.0
201579,-0.2471559534595983,-0.2471559534595983,0.0
201580,-0.2408655593341475,-0.2408655593341475,0.0
201581,-0.40133514299777934,-0.40133514299777934,0.0
201582,-0.21446939839193335,-0.21446939839193335,0.0
201583,-0.19744199261613127,-0.19744199261613127,0.0
201584,0.005043407800983382,0.005043407800983382,0.0
201585,-0.07032840805146726,-0.07032840805146726,0.0
201586,0.023055106202332552,0.023055106202332552,0.0
201587,-0.11951481416339364,-0.11951481416339364,0.0
201588,-0.7581174267242717,-0.7581174267242717,0.0
201589,-0.446746627933104,-0.446746627933104,0.0
201590,-0.7391163160493176,-0.7391163160493176,0.0
201591,-0.532913450475513,-0.532913450475513,0.0
201592,-0.2149762260567083,-0.2149762260567083,0.0
201593,-0.45263654876424214,-0.45263654876424214,0.0
201594,-2.5832225375435347,-2.5832225375435347,0.0
201595,-1.7851452081270704,-1.7851452081270704,0.0
201596,-1.383753074370252,-1.383753074370252,0.0
201597,-2.5117190029249747,-2.5117190029249747,0.0
201598,-1.9012909288733821,-1.9012909288733821,0.0
201599,-1.487582096545335,-1.487582096545335,0.0
201600,-0.834655504198435,-0.834655504198435,0.0
201601,-0.7173018257331657,-0.7173018257331657,0.0
201602,-1.1999485964777932,-1.1999485964777932,0.0
201603,-1.2897343215031665,-1.2897343215031665,0.0
201604,-0.9317835543536153,-0.9317835543536153,0.0
201605,-2.0667522868923456,-2.0667522868923456,0.0
201606,0.03332061526660764,0.03332061526660764,0.0
201607,-0.0513466447683518,-0.0513466447683518,0.0
201608,-0.1869771527847283,-0.1869771527847283,0.0
201609,-0.09175742162429544,-0.09175742162429544,0.0
201610,-0.2236936537446571,-0.2236936537446571,0.0
201611,-0.45024367617957356,-0.45024367617957356,0.0
201612,-0.38435440882167593,-0.38435440882167593,0.0
201613,-0.402342052658989,-0.402342052658989,0.0
201614,-0.4495496041881276,-0.4495496041881276,0.0
201615,-0.38396156197247644,-0.38396156197247644,0.0
201616,-0.5583790355034254,-0.5583790355034254,0.0
201617,-0.3485914386313748,-0.3485914386313748,0.0
201618,-0.35525241448736383,-0.35525241448736383,0.0
201619,-0.5245122631187202,-0.5245122631187202,0.0
201620,-0.5989804034667034,-0.5989804034667034,0.0
201621,-0.5786159491505887,-0.5786159491505887,0.0
201622,-0.46433643688958565,-0.46433643688958565,0.0
201623,-0.4867114829188096,-0.4867114829188096,0.0
201624,-0.37948306737893583,-0.37948306737893583,0.0
201625,-0.016179001549878263,-0.016179001549878263,0.0
