bar_index,event_type,timestamp,asian_high,asian_low,asian_range_pips,au_pips,au_used,bar_close,bar_high,bar_low,bar_open,bar_time,direction,engine_state,entry_price,event,impulse_direction,impulse_extreme,impulse_size_pips,loop_count,new_origin,reason,session_active,sl_price,swing_origin,tier_name,tp_price,trigger_pips
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08315,1.08336,1.0823,1.08232,2025-03-28T18:00:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0833,1.08336,1.08291,1.08315,2025-03-28T18:05:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08335,1.08362,1.08314,1.0833,2025-03-28T18:10:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08355,1.08358,1.08317,1.08334,2025-03-28T18:15:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08424,1.08426,1.08355,1.08355,2025-03-28T18:20:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08408,1.08434,1.08391,1.08423,2025-03-28T18:25:00,,WAIT_RETRACE,,,1,1.08426,17.300000000000093,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0843,1.08446,1.08404,1.08408,2025-03-28T18:30:00,,WAIT_OCC,,,1,1.08426,17.300000000000093,5,,,True,,1.08253,T2,,12.0
0,signal_emitted,2026-08-09T13:41:21.399816,,,,,12.0,,,,,,1,,1.0843,ENTRY,,,,5,,Q8: OCC confirmed after DZ pullback — entry on close (loop 5),,1.08426,,,1.0855000000000001,
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08392,1.08447,1.08389,1.0843,2025-03-28T18:35:00,,IN_TRADE,,,1,1.08426,17.300000000000093,5,,,True,,1.08253,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08339,1.08394,1.0832600000000001,1.08392,2025-03-28T18:40:00,,IN_TRADE,,,1,1.08426,17.300000000000093,5,,,True,,1.08253,T2,,12.0
0,state_reset_keep_loop,2026-08-09T13:41:21.399816,,,,,,,,,,,,,,,,,,5,1.08426,,,,,,,
0,signal_emitted,2026-08-09T13:41:21.399816,,,,,12.0,,,,,,1,,1.0843,SL_HIT,,,,5,,Zero-Buffer SL hit (wick-based invalidation) – loop 5 complete,,1.08426,,,1.0855000000000001,
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08278,1.08342,1.08276,1.08339,2025-03-28T18:45:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08212,1.08289,1.08206,1.08278,2025-03-28T18:50:00,,WAIT_RETRACE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08251,1.08251,1.08191,1.08212,2025-03-28T18:55:00,,WAIT_RETRACE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08293,1.08302,1.08247,1.08251,2025-03-28T19:00:00,,WAIT_RETRACE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08305,1.08312,1.08264,1.08293,2025-03-28T19:05:00,,WAIT_RETRACE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0822,1.08305,1.08218,1.08305,2025-03-28T19:10:00,,WAIT_OCC,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,signal_emitted,2026-08-09T13:41:21.399816,,,,,12.0,,,,,,-1,,1.0822,ENTRY,,,,5,,Q8: OCC confirmed after DZ pullback — entry on close (loop 5),,1.08276,,,1.081,
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08261,1.08271,1.0822,1.0822,2025-03-28T19:15:00,,IN_TRADE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0832,1.08332,1.08261,1.08261,2025-03-28T19:20:00,,IN_TRADE,,,-1,1.08276,15.000000000000568,5,,,True,,1.08426,T2,,12.0
0,state_reset_keep_loop,2026-08-09T13:41:21.399816,,,,,,,,,,,,,,,,,,5,1.08276,,,,,,,
0,signal_emitted,2026-08-09T13:41:21.399816,,,,,12.0,,,,,,-1,,1.0822,SL_HIT,,,,5,,Zero-Buffer SL hit (wick-based invalidation) – loop 5 complete,,1.08276,,,1.081,
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0830899999999999,1.08323,1.08296,1.0832,2025-03-28T19:25:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08304,1.08327,1.08295,1.0830899999999999,2025-03-28T19:30:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08246,1.08327,1.08244,1.08304,2025-03-28T19:35:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08274,1.08277,1.08246,1.08246,2025-03-28T19:40:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0822,1.08283,1.08219,1.08275,2025-03-28T19:45:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08235,1.08255,1.08211,1.0822,2025-03-28T19:50:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08217,1.0824,1.08199,1.08235,2025-03-28T19:55:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08184,1.08221,1.08184,1.08217,2025-03-28T20:00:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08218,1.08218,1.08177,1.08184,2025-03-28T20:05:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08209,1.08239,1.08207,1.08218,2025-03-28T20:10:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08158,1.08212,1.08156,1.08209,2025-03-28T20:15:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08165,1.08167,1.0812,1.08158,2025-03-28T20:20:00,,SEARCH,,,0,0.0,0.0,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08182,1.08207,1.0816,1.08165,2025-03-28T20:25:00,,WAIT_RETRACE,,,-1,1.0812,15.600000000000058,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.0826,1.08262,1.08167,1.08182,2025-03-28T20:30:00,,WAIT_RETRACE,,,-1,1.0812,15.600000000000058,5,,,True,,1.08276,T2,,12.0
0,bar_processed,2026-08-09T13:41:21.399816,,,,12.0,,1.08258,1.08288,1.08255,1.0826,2025-03-28T20:35:00,,WAIT_OCC,,,-1,1.0812,15.600000000000058,5,,,True,,1.08276,T2,,12.0
0,signal_emitted,2026-08-09T13:41:21.399816,,,,,12.0,,,,,,-1,,1.08258,ENTRY,,,,5,,Q8: OCC confirmed after DZ pullback — entry on close (loop 5),,1.0812,,,1.08138,
