date,year,tier,P_12,G_UP,G_DOWN,ATR20,mr_atr,mr_atr_bucket,E_UP_E0,E_DN_E0,E_UP_E1,E_DN_E1,E_UP_E2,E_DN_E2,E_UP_E3,E_DN_E3,RL_UP_E0,RL_DN_E0,RL_UP_E1,RL_DN_E1,RL_UP_E2,RL_DN_E2,RL_UP_E3,RL_DN_E3,G_UP_ATR,G_DN_ATR,VU_touch_H17,VD_touch_H17,VU_touch_H19,VD_touch_H19,VU_touch_H03,VD_touch_H03
2023-08-11,2023,T2,1.09681,36.599999999999966,2.2999999999995246,81.90499999999989,4.74940479824181e-05,<0.75,15.799999999999148,20.400000000000418,18.200000000000436,17.15000000000022,16.099999999998893,20.400000000000418,17.35000000000042,16.1,2.3164556962026546,0.11274509803919007,2.0109890109889608,0.13411078717198224,2.2732919254659927,0.11274509803919007,2.1095100864552783,0.14285714285711332,0.4468591661070755,0.02808131371710552,False,True,False,True,False,True
2023-08-16,2023,T1,1.09023,32.09999999999935,3.4000000000000696,81.64499999999995,4.348092351031838e-05,<0.75,15.649999999999276,20.449999999999633,14.099999999999113,20.499999999998852,15.94999999999902,20.449999999999633,14.099999999999113,20.499999999998852,2.051118210862673,0.16625916870416285,2.276595744680948,0.16585365853659806,2.0125391849530607,0.16625916870416285,2.276595744680948,0.16585365853659806,0.39316553371301816,0.04164370139016561,False,True,False,True,False,True
2023-08-17,2023,T2,1.09062,12.000000000000899,44.599999999999085,78.86499999999985,7.176821150066581e-05,<0.75,15.799999999999148,20.400000000000418,18.000000000000238,18.100000000000893,16.099999999998893,20.400000000000418,16.700000000000603,16.199999999999548,0.7594936708861738,2.186274509803832,0.6666666666667078,2.464088397789883,0.7453416149069394,2.186274509803832,0.7185628742515249,2.7530864197531066,0.15215875229824283,0.5655233627084152,False,True,False,True,False,True
2023-08-18,2023,T3,1.08553,38.399999999998435,10.40000000000152,75.29499999999989,6.48117404874162e-05,<0.75,15.649999999999276,20.449999999999633,14.75000000000004,23.699999999998724,15.94999999999902,20.449999999999633,16.99999999999924,22.849999999999817,2.4536741214057645,0.5085574572127973,2.603389830508361,0.4388185654009316,2.4075235109718367,0.5085574572127973,2.2588235294117736,0.4551422319475537,0.509994023507517,0.13812338136664498,False,False,False,False,False,False
2023-08-22,2023,T2,1.08659,64.30000000000157,1.100000000000545,73.16999999999983,8.93808938089412e-05,<0.75,15.799999999999148,20.400000000000418,17.35000000000042,18.55000000000051,16.099999999998893,20.400000000000418,16.500000000000405,17.15000000000022,4.069620253164876,0.05392156862747659,3.7060518731988483,0.05929919137469083,3.9937888198761486,0.05392156862747659,3.8969696969696965,0.06413994169099306,0.8787754544212344,0.015033483668177498,False,True,False,True,False,True
2023-08-23,2023,T1,1.0804,67.29999999999903,1.5999999999993797,76.00499999999988,9.065193079402475e-05,<0.75,15.649999999999276,20.449999999999633,14.649999999999386,20.449999999999633,15.94999999999902,20.449999999999633,14.649999999999386,20.449999999999633,4.300319488818029,0.07823960880192705,4.593856655290229,0.07823960880192705,4.2194357366773145,0.07823960880192705,4.593856655290229,0.07823960880192705,0.8854680613117444,0.021051246628503155,False,False,False,False,True,False
2023-08-24,2023,T1,1.08207,55.79999999999918,6.6000000000010495,76.10499999999988,8.199198475790071e-05,<0.75,15.799999999999148,20.400000000000418,15.199999999999658,20.400000000000418,16.099999999998893,20.400000000000418,15.199999999999658,20.400000000000418,3.531645569620392,0.3235294117647507,3.6710526315789758,0.3235294117647507,3.4658385093169577,0.3235294117647507,3.6710526315789758,0.3235294117647507,0.7331975560081371,0.08672229157086998,False,True,False,True,False,True
2023-08-25,2023,T3,1.08126,4.499999999998394,46.60000000000108,75.96499999999985,6.726782070690394e-05,<0.75,15.94999999999902,20.149999999999892,15.300000000000313,23.099999999998122,16.14999999999922,20.149999999999892,17.899999999999583,22.800000000000598,0.2821316614419229,2.3126550868487015,0.2941176470587126,2.017316017316228,0.27863777089774683,2.3126550868487015,0.2513966480446089,2.0438596491228007,0.05923780688472854,0.6134404001843109,True,True,True,True,True,True
2023-08-29,2023,T2,1.07921,46.10000000000003,5.999999999999339,74.23999999999987,7.017780172413721e-05,<0.75,16.099999999998893,20.400000000000418,16.700000000000603,19.000000000000128,16.199999999999548,20.400000000000418,16.300000000000203,18.100000000000893,2.8633540372672797,0.2941176470587851,2.76047904191607,0.3157894736841736,2.84567901234576,0.2941176470587851,2.828220858895672,0.33149171270712946,0.6209590517241395,0.08081896551723262,True,True,True,True,True,True
2023-08-30,2023,T2,1.09211,4.60000000000127,65.99999999999939,77.11499999999995,9.15515788108678e-05,<0.75,16.14999999999922,20.149999999999892,17.35000000000042,18.55000000000051,16.249999999999876,20.149999999999892,16.500000000000405,17.15000000000022,0.2848297213623215,3.275434243176166,0.2651296829971849,3.5579514824796536,0.2830769230770034,3.275434243176166,0.2787878787879489,3.8483965014576413,0.059651170330043086,0.8558646177786349,True,False,True,False,True,False
