checkpoint,model,condition,n,median_prediction,mae_in_sample,iqr,mad
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|26,2,34.95000000000026,9.149999999999991,9.149999999999991,9.149999999999991
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|27,2,30.649999999999842,13.550000000001058,13.550000000001056,13.550000000001058
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|29,1,79.10000000000305,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|30,2,48.54999999999831,24.550000000000956,24.550000000000963,24.550000000000956
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|33,1,59.100000000000804,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|35,1,24.199999999998667,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|36,1,31.89999999999804,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|17,2,39.649999999998855,16.95000000000113,16.950000000001133,16.95000000000113
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|18,1,7.7000000000015945,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|19,1,52.69999999999885,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|20,2,48.79999999999995,4.899999999998791,4.899999999998798,4.899999999998791
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|21,2,53.14999999999959,19.849999999999035,19.849999999999042,19.849999999999035
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|22,2,34.849999999999596,6.850000000000467,6.85000000000047,6.850000000000467
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|24,2,40.150000000001015,3.6499999999994905,3.649999999999487,3.6499999999994905
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|25,1,41.59999999999941,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|26,1,32.499999999999744,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|27,1,131.39999999999927,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|28,6,36.30000000000022,17.750000000000455,9.575000000001111,5.350000000000632
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|29,3,39.59999999999964,24.633333333333358,36.95000000000004,30.39999999999932
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|30,1,50.99999999999882,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|31,1,58.10000000000093,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|32,1,56.89999999999972,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|34,1,27.800000000002267,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_UP|36,1,52.30000000000068,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|14,1,28.099999999997568,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|16,1,83.69999999999766,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|17,2,29.949999999999697,11.049999999998006,11.049999999998004,11.049999999998006
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|18,6,52.65000000000075,13.066666666667151,20.574999999999896,5.150000000000432
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|19,4,53.49999999999966,13.525000000000338,18.025000000000944,4.600000000000154
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|20,3,29.799999999997603,12.60000000000039,18.90000000000059,7.799999999997809
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|21,1,34.10000000000135,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|22,4,30.00000000000003,12.024999999999954,20.42500000000059,8.79999999999992
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|23,5,19.800000000000928,9.599999999998943,1.4999999999965006,0.8999999999992347
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|24,7,39.69999999999807,22.271428571428878,40.70000000000128,16.099999999998893
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|25,9,37.89999999999738,11.677777777778047,19.899999999999363,11.200000000004536
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|26,4,39.350000000000215,17.974999999998964,22.824999999997438,6.849999999999357
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|27,13,42.70000000000218,13.292307692307322,7.499999999998067,4.100000000000215
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|28,9,52.799999999999514,17.544444444444164,31.699999999998937,20.400000000000404
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|29,5,54.99999999999838,13.620000000000408,20.20000000000133,15.000000000000568
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|30,8,39.24999999999845,12.875000000000245,17.399999999999075,9.250000000001755
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|31,7,46.200000000000685,14.857142857143439,27.050000000001802,10.600000000000605
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|32,7,48.70000000000151,15.357142857143227,16.450000000000074,10.999999999998778
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|33,3,52.49999999999976,9.133333333333956,13.700000000000927,2.400000000000176
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|34,5,81.7000000000001,30.019999999999488,66.79999999999797,33.39999999999898
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|35,4,59.000000000001265,8.824999999999521,12.624999999998877,7.700000000000479
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|36,3,63.9999999999996,13.033333333332116,19.549999999998178,4.599999999996818
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|38,4,45.19999999999968,13.824999999999529,18.724999999999426,12.199999999998873
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|39,1,78.79999999999887,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|40,3,47.20000000000057,15.63333333333361,23.450000000000415,15.400000000000968
03AM,B4_TIER_STATE_LOOPS,T1|PARTIAL_LOOP|43,1,149.39999999999952,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|BALANCED_ASIA|32,1,32.700000000001054,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|FULL_LOOP|20,1,42.99999999999971,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|FULL_LOOP|21,1,13.400000000001189,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|FULL_LOOP|29,1,37.50000000000142,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|FULL_LOOP|36,1,67.39999999999968,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_DOWN|21,1,35.80000000000139,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_DOWN|24,1,99.89999999999942,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_DOWN|26,1,24.900000000001032,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_DOWN|27,1,31.399999999999206,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_UP|20,1,28.69999999999928,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_UP|28,1,14.299999999998203,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|ONE_SIDED_UP|31,1,69.70000000000142,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|13,1,16.400000000000855,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|21,1,87.8000000000001,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|23,3,53.000000000000824,17.86666666666677,26.80000000000016,16.100000000001117
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|26,1,53.099999999999255,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|27,3,29.400000000001647,18.43333333333271,27.64999999999906,8.900000000000574
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|32,2,21.549999999999066,2.249999999999199,2.2499999999992006,2.249999999999199
03AM,B4_TIER_STATE_LOOPS,T2|OVER_COMPLETED|33,2,58.050000000000594,31.849999999999934,31.84999999999993,31.849999999999934
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|8,1,55.59999999999788,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|11,1,13.900000000000023,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|15,1,110.69999999999912,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|16,1,68.70000000000154,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|17,3,23.29999999999943,7.63333333333301,11.449999999999513,9.600000000000719
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|18,3,38.59999999999974,17.333333333332902,25.999999999999353,21.69999999999783
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|19,2,17.000000000001457,11.899999999999133,11.899999999999135,11.899999999999133
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|20,3,55.0000000000006,21.09999999999982,31.64999999999973,14.799999999999258
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|21,7,41.70000000000229,11.728571428570865,12.499999999998622,4.099999999997991
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|22,8,29.600000000000733,17.762500000000067,31.4500000000012,18.000000000000238
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|23,11,36.30000000000244,14.145454545454761,17.949999999998802,9.199999999995875
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|24,6,35.6500000000004,16.083333333332487,21.574999999998667,11.599999999999385
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|25,8,40.99999999999992,18.724999999999714,19.424999999999585,10.000000000000007
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|26,10,33.050000000000026,24.55999999999969,25.449999999997974,13.299999999999429
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|27,7,60.39999999999823,30.328571428570914,47.14999999999802,33.49999999999742
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|28,6,52.299999999999564,21.21666666666688,31.825000000000323,18.350000000000314
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|29,2,47.250000000000895,18.549999999999397,18.549999999999393,18.549999999999397
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|30,6,60.299999999998676,9.866666666667284,10.025000000001839,5.950000000001232
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|31,9,69.30000000000102,17.811111111111344,35.00000000000058,15.099999999999014
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|32,4,38.7000000000004,11.499999999999847,15.899999999999814,9.750000000000595
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|33,1,85.30000000000148,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|34,7,49.20000000000257,13.685714285714484,12.100000000000435,5.7000000000018005
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|35,3,74.69999999999865,15.466666666665851,23.19999999999878,17.400000000000745
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|36,2,67.25000000000091,24.150000000000567,24.15000000000056,24.150000000000567
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|37,1,81.40000000000036,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T2|PARTIAL_LOOP|42,1,104.00000000000188,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|FULL_LOOP|19,1,17.499999999999183,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|FULL_LOOP|21,1,110.19999999999808,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|FULL_LOOP|25,2,65.74999999999997,59.050000000000495,59.05000000000049,59.050000000000495
03AM,B4_TIER_STATE_LOOPS,T3|FULL_LOOP|27,1,41.19999999999901,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|FULL_LOOP|33,1,209.20000000000047,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|15,1,30.900000000000375,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|16,1,61.29999999999968,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|18,1,17.400000000000745,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|20,1,15.300000000000317,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|21,2,46.450000000000095,18.949999999999797,18.949999999999804,18.949999999999797
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|23,2,28.20000000000045,21.599999999999397,21.599999999999397,21.599999999999397
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|25,2,36.599999999999966,4.599999999999049,4.599999999999056,4.599999999999049
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|27,1,69.19999999999814,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|28,1,31.499999999999858,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|30,1,56.89999999999973,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|34,1,35.50000000000164,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|36,1,37.60000000000207,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|OVER_COMPLETED|37,1,59.20000000000147,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|12,1,10.099999999999554,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|14,1,13.399999999998968,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|15,1,41.70000000000006,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|17,1,40.19999999999912,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|19,1,31.200000000000117,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|20,3,31.999999999998696,10.099999999999552,15.14999999999933,8.09999999999977
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|21,2,38.65000000000008,24.049999999999905,24.0499999999999,24.049999999999905
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|22,2,46.94999999999894,29.049999999999358,29.049999999999358,29.049999999999358
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|24,4,26.50000000000041,4.949999999999679,7.949999999999349,3.6499999999994905
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|25,1,44.50000000000064,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|26,5,52.499999999999766,14.540000000000216,20.900000000001462,8.399999999999515
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|27,2,22.499999999999744,2.7999999999994714,2.7999999999994714,2.7999999999994714
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|28,3,31.60000000000052,8.266666666666788,12.400000000000183,3.9000000000011283
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|29,1,84.19999999999872,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|30,2,52.14999999999969,1.149999999998652,1.1499999999986485,1.149999999998652
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|31,4,50.30000000000089,18.774999999999764,29.274999999999714,13.299999999999422
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|32,2,74.3499999999997,25.749999999998824,25.74999999999882,25.749999999998824
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|33,1,76.89999999999975,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|34,1,130.70000000000135,0.0,0.0,0.0
03AM,B4_TIER_STATE_LOOPS,T3|PARTIAL_LOOP|35,1,15.899999999999807,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,MISSING|AR_NO_GO_STATE|0|BALANCED,1,24.100000000000236,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,MISSING|AR_NO_GO_STATE|0|DOWN_HEAVY,4,45.4500000000002,24.675000000000118,33.82500000000012,17.70000000000049
03AM,B5_TIER_STATE_LOOPS_BALANCE,MISSING|AR_NO_GO_STATE|0|UP_HEAVY,5,55.000000000000604,23.539999999999672,33.09999999999924,22.49999999999863
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|10|DOWN_HEAVY,1,38.000000000000256,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|12|UP_HEAVY,1,30.099999999999568,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|13|UP_HEAVY,1,109.2000000000004,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|14|UP_LEAN,1,21.10000000000056,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|15|BALANCED,1,15.099999999999003,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|15|UP_LEAN,1,49.49999999999788,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|16|UP_LEAN,1,48.39999999999955,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|17|UP_HEAVY,2,31.49999999999986,3.199999999998763,3.1999999999987594,3.199999999998763
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|17|UP_LEAN,1,25.599999999998953,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|18|DOWN_HEAVY,1,40.19999999999912,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|18|UP_LEAN,1,10.600000000000609,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|20|DOWN_HEAVY,2,51.05000000000136,20.850000000001142,20.85000000000114,20.850000000001142
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|20|DOWN_LEAN,1,23.500000000000743,0.0,0.0,0.0
03AM,B5_TIER_STATE_LOOPS_BALANCE,T1|BALANCED_ASIA|20|UP_LEAN,1,42.90000000000127,0.0,0.0,0.0
