conditioning,condition,next_direction,count,probability,sample_n,ci_low,ci_high
full,DOWN|ORIGIN_BREACH|2|UP_HEAVY,DOWN,226,0.4860215053763441,465,0.44086021505376344,0.5311827956989247
full,DOWN|ORIGIN_BREACH|2|UP_LEAN,UP,107,0.5459183673469388,196,0.4744897959183674,0.6173469387755102
full,DOWN|ORIGIN_BREACH|2|UP_LEAN,DOWN,89,0.45408163265306123,196,0.3826530612244898,0.5255102040816326
full,DOWN|ORIGIN_BREACH|3|BALANCED,UP,43,0.524390243902439,82,0.4146341463414634,0.6341463414634146
full,DOWN|ORIGIN_BREACH|3|BALANCED,DOWN,39,0.47560975609756095,82,0.36585365853658536,0.5853658536585366
full,DOWN|ORIGIN_BREACH|3|DOWN_HEAVY,DOWN,129,0.583710407239819,221,0.5203619909502263,0.6470588235294118
full,DOWN|ORIGIN_BREACH|3|DOWN_HEAVY,UP,92,0.416289592760181,221,0.35294117647058826,0.4841628959276018
full,DOWN|ORIGIN_BREACH|3|DOWN_LEAN,DOWN,59,0.5086206896551724,116,0.41379310344827586,0.603448275862069
full,DOWN|ORIGIN_BREACH|3|DOWN_LEAN,UP,57,0.49137931034482757,116,0.4049568965517241,0.5862068965517241
full,DOWN|ORIGIN_BREACH|3|UP_HEAVY,UP,101,0.6121212121212121,165,0.5393939393939394,0.6848484848484848
full,DOWN|ORIGIN_BREACH|3|UP_HEAVY,DOWN,64,0.3878787878787879,165,0.3151515151515151,0.46060606060606063
full,DOWN|ORIGIN_BREACH|3|UP_LEAN,DOWN,39,0.5064935064935064,77,0.38961038961038963,0.6233766233766234
full,DOWN|ORIGIN_BREACH|3|UP_LEAN,UP,38,0.4935064935064935,77,0.37662337662337664,0.6103896103896104
full,DOWN|RETRACE_INVALIDATION|1|BALANCED,DOWN,3,0.6,5,0.2,1.0
full,DOWN|RETRACE_INVALIDATION|1|BALANCED,UP,2,0.4,5,0.0,0.8
full,DOWN|RETRACE_INVALIDATION|1|DOWN_HEAVY,DOWN,9,0.6,15,0.3333333333333333,0.8
full,DOWN|RETRACE_INVALIDATION|1|DOWN_HEAVY,UP,6,0.4,15,0.13333333333333333,0.6666666666666666
full,DOWN|RETRACE_INVALIDATION|1|DOWN_LEAN,DOWN,8,0.5333333333333333,15,0.26666666666666666,0.8
full,DOWN|RETRACE_INVALIDATION|1|DOWN_LEAN,UP,7,0.4666666666666667,15,0.2,0.7333333333333333
full,DOWN|RETRACE_INVALIDATION|1|UP_HEAVY,UP,14,0.5833333333333334,24,0.375,0.7916666666666666
full,DOWN|RETRACE_INVALIDATION|1|UP_HEAVY,DOWN,10,0.4166666666666667,24,0.20833333333333334,0.625
full,DOWN|RETRACE_INVALIDATION|1|UP_LEAN,UP,8,0.7272727272727273,11,0.45454545454545453,1.0
full,DOWN|RETRACE_INVALIDATION|1|UP_LEAN,DOWN,3,0.2727272727272727,11,0.0,0.5454545454545454
full,DOWN|RETRACE_INVALIDATION|2|BALANCED,DOWN,8,0.8,10,0.5,1.0
full,DOWN|RETRACE_INVALIDATION|2|BALANCED,UP,2,0.2,10,0.0,0.5
full,DOWN|RETRACE_INVALIDATION|2|DOWN_HEAVY,DOWN,13,0.5909090909090909,22,0.36363636363636365,0.7727272727272727
full,DOWN|RETRACE_INVALIDATION|2|DOWN_HEAVY,UP,9,0.4090909090909091,22,0.22727272727272727,0.6363636363636364
full,DOWN|RETRACE_INVALIDATION|2|DOWN_LEAN,DOWN,11,0.7333333333333333,15,0.5333333333333333,0.9333333333333333
full,DOWN|RETRACE_INVALIDATION|2|DOWN_LEAN,UP,4,0.26666666666666666,15,0.06666666666666667,0.4666666666666667
full,DOWN|RETRACE_INVALIDATION|2|UP_HEAVY,UP,12,0.6,20,0.4,0.8
full,DOWN|RETRACE_INVALIDATION|2|UP_HEAVY,DOWN,8,0.4,20,0.2,0.65
full,DOWN|RETRACE_INVALIDATION|2|UP_LEAN,DOWN,2,0.6666666666666666,3,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|2|UP_LEAN,UP,1,0.3333333333333333,3,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|BALANCED,DOWN,2,0.6666666666666666,3,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|BALANCED,UP,1,0.3333333333333333,3,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|DOWN_HEAVY,UP,3,0.75,4,0.25,1.0
full,DOWN|RETRACE_INVALIDATION|3|DOWN_HEAVY,DOWN,1,0.25,4,0.0,0.75
full,DOWN|RETRACE_INVALIDATION|3|DOWN_LEAN,DOWN,2,0.5,4,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|DOWN_LEAN,UP,2,0.5,4,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|UP_HEAVY,UP,8,0.7272727272727273,11,0.45454545454545453,1.0
full,DOWN|RETRACE_INVALIDATION|3|UP_HEAVY,DOWN,3,0.2727272727272727,11,0.0,0.5454545454545454
full,DOWN|RETRACE_INVALIDATION|3|UP_LEAN,DOWN,1,0.5,2,0.0,1.0
full,DOWN|RETRACE_INVALIDATION|3|UP_LEAN,UP,1,0.5,2,0.0,1.0
full,UP|COMPLETED_1_AU|1|BALANCED,UP,27,0.5510204081632653,49,0.40816326530612246,0.6938775510204082
full,UP|COMPLETED_1_AU|1|BALANCED,DOWN,22,0.4489795918367347,49,0.30612244897959184,0.5918367346938775
full,UP|COMPLETED_1_AU|1|DOWN_HEAVY,DOWN,45,0.5421686746987951,83,0.43373493975903615,0.6506024096385542
full,UP|COMPLETED_1_AU|1|DOWN_HEAVY,UP,38,0.4578313253012048,83,0.3614457831325301,0.5542168674698795
full,UP|COMPLETED_1_AU|1|DOWN_LEAN,DOWN,35,0.5555555555555556,63,0.42857142857142855,0.6666666666666666
full,UP|COMPLETED_1_AU|1|DOWN_LEAN,UP,28,0.4444444444444444,63,0.3333333333333333,0.5714285714285714
full,UP|COMPLETED_1_AU|1|UP_HEAVY,UP,106,0.5380710659898477,197,0.467005076142132,0.6041878172588826
full,UP|COMPLETED_1_AU|1|UP_HEAVY,DOWN,91,0.4619289340101523,197,0.39086294416243655,0.5279187817258884
full,UP|COMPLETED_1_AU|1|UP_LEAN,DOWN,48,0.5333333333333333,90,0.43333333333333335,0.6333333333333333
full,UP|COMPLETED_1_AU|1|UP_LEAN,UP,42,0.4666666666666667,90,0.36666666666666664,0.5666666666666667
full,UP|COMPLETED_1_AU|2|BALANCED,DOWN,26,0.6046511627906976,43,0.4418604651162791,0.7441860465116279
full,UP|COMPLETED_1_AU|2|BALANCED,UP,17,0.3953488372093023,43,0.2558139534883721,0.5581395348837209
full,UP|COMPLETED_1_AU|2|DOWN_HEAVY,DOWN,63,0.5478260869565217,115,0.45217391304347826,0.6347826086956522
full,UP|COMPLETED_1_AU|2|DOWN_HEAVY,UP,52,0.45217391304347826,115,0.365,0.5478260869565217
full,UP|COMPLETED_1_AU|2|DOWN_LEAN,DOWN,55,0.5851063829787234,94,0.4787234042553192,0.6808510638297872
full,UP|COMPLETED_1_AU|2|DOWN_LEAN,UP,39,0.4148936170212766,94,0.3191489361702128,0.5106382978723404
full,UP|COMPLETED_1_AU|2|UP_HEAVY,DOWN,86,0.524390243902439,164,0.4451219512195122,0.5975609756097561
full,UP|COMPLETED_1_AU|2|UP_HEAVY,UP,78,0.47560975609756095,164,0.39634146341463417,0.5487804878048781
full,UP|COMPLETED_1_AU|2|UP_LEAN,DOWN,35,0.625,56,0.5,0.75
full,UP|COMPLETED_1_AU|2|UP_LEAN,UP,21,0.375,56,0.25,0.5
full,UP|COMPLETED_1_AU|3|BALANCED,DOWN,10,0.6666666666666666,15,0.4,0.8666666666666667
full,UP|COMPLETED_1_AU|3|BALANCED,UP,5,0.3333333333333333,15,0.13333333333333333,0.6
full,UP|COMPLETED_1_AU|3|DOWN_HEAVY,UP,9,0.6428571428571429,14,0.35714285714285715,0.8571428571428571
full,UP|COMPLETED_1_AU|3|DOWN_HEAVY,DOWN,5,0.35714285714285715,14,0.14285714285714285,0.6428571428571429
full,UP|COMPLETED_1_AU|3|DOWN_LEAN,DOWN,12,0.631578947368421,19,0.42105263157894735,0.8421052631578947
full,UP|COMPLETED_1_AU|3|DOWN_LEAN,UP,7,0.3684210526315789,19,0.15789473684210525,0.5789473684210527
full,UP|COMPLETED_1_AU|3|UP_HEAVY,DOWN,31,0.5166666666666667,60,0.3995833333333334,0.6333333333333333
full,UP|COMPLETED_1_AU|3|UP_HEAVY,UP,29,0.48333333333333334,60,0.35,0.6
