date,AFTERNOON,ASIA,LONDON,NEXT_ASIA,OVERLAP,REST_NY,RV_19_TO_17,RV_19_TO_NEXT_03,RV_24H_19_TO_19,share_17,share_next03,share_24h,range_share_17,range_share_next03
2023-03-22,3.485854684247299e-06,1.6854025907788795e-06,2.342217786412428e-06,3.1787699723875467e-06,3.3570911734202474e-06,2.727706928505071e-05,1.0870566234858854e-05,4.132640549229711e-05,3.8147635519909565e-05,0.3206690993767318,0.08434933168569506,0.09137800119821327,0.29397874852419753,0.0965865011636885
2023-03-23,9.138910001267812e-06,3.1787699723875467e-06,5.66816965308288e-06,3.019245062909341e-06,6.1340393765596226e-06,7.525202476393756e-06,2.411988900329786e-05,3.466433654260096e-05,3.164509147969162e-05,0.37889519309223474,0.26364012448461227,0.288793919497207,0.2571931884909032,0.17775974025974395
2023-03-24,9.362940261374145e-06,3.019245062909341e-06,1.636334696125536e-05,1.0095620401135766e-07,1.4228794725269676e-05,5.898293224232595e-07,4.297432701080851e-05,4.366511253724313e-05,4.356415633323177e-05,0.21787287696254704,0.21442611085424879,0.2149230250152204,0.13772151898734353,0.12716222533894594
2023-03-28,5.304659961012019e-06,1.5265581592212588e-06,3.448276962904324e-06,1.826030895594558e-06,5.0552776720891214e-06,3.942756385082675e-07,1.5334772755226723e-05,1.7555079289329548e-05,1.572904839373499e-05,0.34592361071695515,0.3021723726554932,0.33725244072139215,0.24562864279766775,0.19959404600811942
2023-03-29,5.466483530475131e-06,1.826030895594558e-06,3.3312767348059487e-06,2.349246502186923e-06,4.873813872804794e-06,6.71698753735702e-07,1.549760503368043e-05,1.8518550289603054e-05,1.6169303787416132e-05,0.3527308586452554,0.29518960420698814,0.3380778543309612,0.30347826086955704,0.23693143245077455
2023-03-30,5.46461716072649e-06,2.349246502186923e-06,6.51228919871912e-06,2.490706731516299e-06,4.658916646787746e-06,2.764912727215247e-07,1.898506950842028e-05,2.17522675126581e-05,1.9261560781141803e-05,0.2878376167283884,0.2512205753973242,0.2837058337492915,0.2095006090134037,0.17182817182817603
2023-03-31,7.754733692585792e-06,2.490706731516299e-06,4.470630041403372e-06,2.1571797377390733e-07,6.160068226252438e-06,7.906345500940791e-07,2.0876138691757902e-05,2.188249121562589e-05,2.1666773241851983e-05,0.37146398608893294,0.3543807519981216,0.3579090253091582,0.3631436314363194,0.30419977298524636
2023-04-04,1.111152026479378e-05,3.446090334372336e-06,5.452123209796495e-06,1.8684732770212823e-06,4.989378003519967e-06,2.5900948168575243e-07,2.4999111812482578e-05,2.7126594571189613e-05,2.525812129416833e-05,0.4444766017345291,0.40961722031246084,0.43991871506924946,0.4025665399239586,0.3422222222222237
2023-04-05,8.464569576996749e-06,1.8684732770212823e-06,3.6609786839157875e-06,1.3057257744469155e-06,3.952914604956711e-06,4.496769572422463e-07,1.794693614289053e-05,1.970233887457969e-05,1.8396613100132774e-05,0.4716442689494881,0.4296225758210812,0.46011564905583935,0.4935064935064943,0.3991596638655501
2023-04-06,3.8902834121412015e-06,1.3057257744469155e-06,2.6166344611654645e-06,1.0571846711237026e-06,3.2763043263951283e-06,2.8020426126517333e-07,1.108894797414871e-05,1.2426336906537586e-05,1.1369152235413883e-05,0.3508252921025951,0.31306759517315963,0.3421788477792847,0.38438661710038163,0.3274224192526997
2023-04-07,2.602683526281215e-06,1.0571846711237026e-06,7.444154651212141e-07,4.984234784421918e-07,7.1201619066415645e-06,3.582278267119488e-07,1.1524445569167696e-05,1.2381096874321836e-05,1.1882673395879645e-05,0.22584023766352718,0.21021429302270725,0.21903181544850875,0.2546296296296279,0.20313942751615893
2023-04-11,2.302476183994235e-06,2.4661865941302166e-06,3.356749104158425e-06,1.5161800425696676e-06,4.279693721553008e-06,5.311629039183758e-07,1.2405105603835883e-05,1.4452448550323927e-05,1.2936268507754259e-05,0.18560714092448094,0.15931391666795652,0.17798611575000045,0.2615131578947347,0.20635950681375578
2023-04-12,7.25049523832608e-06,1.5161800425696676e-06,2.731317609376095e-06,1.8585199831027657e-06,3.423672845388934e-05,8.947346803421599e-07,4.573472134416118e-05,4.848797600760611e-05,4.662945602450334e-05,0.15853371410672715,0.1495318187170511,0.15549173969595556,0.27254901960784195,0.221926556679084
2023-04-13,6.854065730976127e-06,1.8585199831027657e-06,5.535474400096341e-06,2.217283043088301e-06,8.044419676503352e-06,3.851824212324086e-07,2.2292479790678585e-05,2.4894945254999293e-05,2.267766221191099e-05,0.3074608924325277,0.27531957434611043,0.3022386376041956,0.1750358680057435,0.13631284916201422
2023-04-14,7.396017868759574e-06,2.217283043088301e-06,2.7299432307245844e-06,1.1826701142083442e-08,1.2516329859458279e-05,5.826506989739503e-07,2.4859574002030738e-05,2.545405140214677e-05,2.5442224701004688e-05,0.29751185069202735,0.2905634844493086,0.2906985515487375,0.3718768158047765,0.33934252386003316
2023-04-18,3.6190013357821226e-06,1.818293836570965e-06,3.439571624657918e-06,1.4418994293948792e-06,3.4760275979777465e-06,3.246523208038722e-07,1.2352894394988751e-05,1.4119446145187503e-05,1.2677546715792623e-05,0.2929678842919808,0.2563132645975373,0.28546543088450027,0.22442505947661442,0.18557377049180795
2023-04-19,4.627755894778368e-06,1.4418994293948792e-06,4.861893144610381e-06,1.5441255047262964e-06,5.670508032027839e-06,2.378730503622555e-07,1.6602056500811467e-05,1.8384055055900017e-05,1.683992955117372e-05,0.2787459429831584,0.2517266120399904,0.274808506812062,0.2548076923076882,0.21457489878542163
2023-04-20,5.3779474144753905e-06,1.5441255047262964e-06,3.238529003446353e-06,1.452222793268688e-06,8.360836117574294e-06,9.003515409362231e-07,1.8521438040222334e-05,2.0874012374427248e-05,1.942178958115856e-05,0.290363383382883,0.25763841268312715,0.2769027741754878,0.2180016515276599,0.17741935483870802
2023-04-21,1.3723257847362228e-05,1.452222793268688e-06,5.229880094946499e-06,7.89047808226927e-08,5.075704727178245e-06,6.432862115592051e-07,2.548106546275566e-05,2.620325645513756e-05,2.6124351674314865e-05,0.538566876939302,0.5237233727364283,0.5253052025346437,0.3703703703703764,0.3169670602858996
