date,tier,G_UP_FULL,G_DOWN_FULL,E_AFT_UP_A0,E_AFT_DN_A0,E_AFT_UP_A1,E_AFT_DN_A1,R_LOCK_UP_A0,R_LOCK_DN_A0,R_LOCK_UP_A1,R_LOCK_DN_A1,VIOL_UP_H17,VIOL_DN_H17
2024-04-05,T2,38.7000000000004,9.099999999999664,15.400000000000968,16.40000000000086,15.499999999999403,16.599999999999948,2.5129870129868808,0.5548780487804382,2.496774193548509,0.5481927710843189,False,True
2024-04-09,T1,3.5000000000007248,31.49999999999986,15.400000000000968,16.500000000000405,15.799999999999148,12.999999999998568,0.22727272727276004,1.9090909090908539,0.22151898734182995,2.423076923077179,True,False
2024-04-10,T1,85.80000000000031,2.2999999999995246,15.400000000000968,16.599999999999948,15.600000000000058,13.299999999998313,5.571428571428241,0.13855421686744168,5.499999999999999,0.17293233082705387,False,True
2024-04-11,T1,8.40000000000174,28.69999999999928,15.350000000000641,16.599999999999948,15.400000000000968,13.599999999998058,0.5472312703583967,1.7289156626505646,0.5454545454546241,2.110294117647307,True,True
2024-04-12,T1,91.00000000000108,6.999999999999229,15.300000000000313,16.599999999999948,15.400000000000968,13.599999999999168,5.947712418300602,0.4216867469879067,5.909090909090607,0.5147058823529159,False,True
2024-04-16,T2,14.799999999999258,36.599999999999966,15.300000000000313,16.599999999999948,15.700000000000713,16.75000000000093,0.9673202614378402,2.2048192771084385,0.9426751592355787,2.185074626865548,False,True
2024-04-17,T2,14.300000000000423,28.89999999999837,15.300000000000313,16.599999999999948,15.499999999999403,16.900000000001913,0.9346405228758256,1.740963855421594,0.9225806451613532,1.7100591715973432,True,False
2024-04-18,T1,27.200000000000557,3.1000000000003247,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,1.7777777777777777,0.18674698795182737,1.7662337662336913,0.22794117647060744,False,True
2024-04-19,T3,8.40000000000174,54.799999999999294,15.300000000000313,16.599999999999948,13.699999999998713,22.800000000000598,0.5490196078432397,3.301204819277076,0.6131386861315714,2.403508771929731,True,False
2024-04-23,T1,23.100000000000342,33.49999999999964,15.249999999999986,16.69999999999949,15.350000000000641,14.000000000000679,1.5147540983606795,2.0059880239521353,1.5048859934853014,2.392857142857001,True,False
2024-04-24,T1,27.500000000000302,8.799999999999919,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,1.7973856209150156,0.5301204819277077,1.785714285714193,0.6470588235293926,False,False
2024-04-25,T1,47.900000000000716,6.599999999998829,15.300000000000313,16.599999999999948,15.400000000000968,13.599999999999168,3.1307189542483487,0.39759036144571386,3.1103896103894613,0.4852941176470024,False,True
2024-04-26,T1,36.49999999999931,6.099999999999994,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,2.385620915032586,0.3674698795180731,2.3701298701296762,0.4485294117646963,False,True
2024-04-30,T2,34.89999999999993,11.000000000001009,15.300000000000313,16.599999999999948,15.700000000000713,16.75000000000093,2.2810457516339353,0.6626506024097014,2.222929936305627,0.6567164179104715,False,True
2024-05-01,T1,0.5000000000010552,34.89999999999993,15.300000000000313,16.599999999999948,15.400000000000968,13.750000000000151,0.0326797385621598,2.102409638554219,0.03246753246759894,2.5381818181817852,True,False
2024-05-02,T3,27.000000000001467,14.599999999997948,15.300000000000313,16.599999999999948,13.649999999999496,22.849999999999817,1.7647058823530009,0.8795180722890358,1.9780219780221586,0.6389496717723442,False,True
2024-05-03,T1,19.099999999998563,71.40000000000146,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,1.248366013071776,4.30120481927721,1.240259740259569,5.249999999999999,False,False
2024-05-07,T1,3.5999999999991594,21.299999999999653,15.300000000000313,16.69999999999949,15.350000000000641,13.750000000000151,0.23529411764699906,1.2754491017964253,0.23452768729635237,1.5490909090908669,True,False
2024-05-08,T1,7.600000000000939,13.999999999998458,15.300000000000313,16.799999999999038,15.300000000000313,13.900000000000023,0.4967320261438421,0.8333333333332893,0.4967320261438421,1.007194244604204,True,False
2024-05-09,T1,3.20000000000098,35.39999999999876,15.249999999999986,16.69999999999949,15.249999999999986,13.750000000000151,0.20983606557383494,2.1197604790419065,0.20983606557383494,2.574545454545336,True,False
2024-05-10,T1,16.80000000000126,3.6999999999998145,15.300000000000313,16.599999999999948,15.300000000000313,13.600000000000279,1.0980392156863343,0.22289156626504977,1.0980392156863343,0.27205882352939253,True,True
2024-05-14,T1,7.499999999998064,36.30000000000022,15.300000000000313,16.599999999999948,15.350000000000641,13.600000000000279,0.49019607843123597,2.1867469879518273,0.4885993485340554,2.6691176470587847,True,False
2024-05-15,T1,8.099999999999774,48.299999999998896,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,0.5294117647058567,2.90963855421681,0.5259740259739782,3.5514705882351403,True,False
2024-05-16,T1,31.70000000000117,2.6999999999999247,15.350000000000641,16.599999999999948,15.400000000000968,13.600000000000279,2.0651465798045505,0.16265060240963453,2.0584415584415052,0.19852941176469627,False,True
2024-05-17,T1,26.100000000000012,7.299999999998974,15.300000000000313,16.599999999999948,15.400000000000968,13.600000000000279,1.7058823529411424,0.4397590361445179,1.694805194805089,0.5367647058822665,True,False
2024-05-21,T1,17.699999999998273,6.00000000000156,15.350000000000641,16.500000000000405,15.400000000000968,13.599999999999168,1.153094462540556,0.36363636363644924,1.1493506493504648,0.44117647058837695,False,True
2024-05-22,T1,31.599999999998296,10.100000000001774,15.300000000000313,16.40000000000086,15.400000000000968,13.600000000000279,2.0653594771240296,0.6158536585366613,2.051948051947812,0.7426470588236447,False,False
2024-05-23,T1,1.7000000000000348,40.29999999999978,15.300000000000313,16.300000000000203,15.350000000000641,13.599999999999168,0.1111111111111111,2.4723926380367653,0.11074918566775009,2.963235294117812,True,True
2024-05-24,T1,2.5999999999992696,45.600000000001195,15.300000000000313,16.40000000000086,15.300000000000313,13.600000000000279,0.1699346405228246,2.780487804877976,0.1699346405228246,3.3529411764706074,True,False
2024-05-28,T2,12.600000000000389,25.599999999998957,15.249999999999986,16.300000000000203,15.900000000002024,16.900000000001913,0.8262295081967476,1.5705521472391801,0.7924528301886028,1.5147928994080508,False,False
2024-05-29,T1,15.499999999999403,17.000000000000348,15.199999999999658,16.40000000000086,15.249999999999986,13.599999999999168,1.0197368421052468,1.0365853658536255,1.0163934426229126,1.2500000000001021,False,True
2024-05-30,T1,3.8000000000004697,40.800000000000836,15.150000000000441,16.500000000000405,15.199999999999658,13.600000000000279,0.2508250825082745,2.472727272727263,0.2500000000000365,3.0,True,False
2024-05-31,T2,2.20000000000109,68.8999999999984,15.199999999999658,16.40000000000086,15.700000000000713,17.35000000000153,0.14473684210533813,4.201219512194805,0.1401273885350949,3.971181556195523,False,False
2024-06-04,T1,51.59999999999831,5.700000000001815,15.150000000000441,16.500000000000405,15.249999999999986,13.599999999999168,3.4059405940591954,0.34545454545464693,3.3836065573769414,0.4191176470589826,False,True
2024-06-05,T1,2.20000000000109,24.199999999998667,15.199999999999658,16.599999999999948,15.300000000000313,13.600000000000279,0.14473684210533813,1.457831325301129,0.1437908496732709,1.779411764705748,True,True
2024-06-06,T3,20.299999999999763,19.800000000000928,15.150000000000441,16.599999999999948,13.699999999998713,22.899999999999032,1.3399339933992853,1.192771084337409,1.48175182481764,0.8646288209607758,False,False
2024-06-07,T1,68.90000000000063,9.200000000000319,15.100000000001224,16.599999999999948,15.249999999999986,13.600000000000279,4.5629139072844405,0.5542168674699005,4.518032786885292,0.6764705882353037,False,True
