target,condition,condition_value,n,p10,p25,p50,p75,p90,mean,iqr,mad,censored
remaining_range_06AM,tier|state,MISSING|AR_NO_GO_STATE,10,0.9899999999984985,11.975000000000728,34.50000000000065,56.62500000000015,94.47000000000006,39.800000000000054,44.64999999999942,25.699999999999616,0
remaining_range_06AM,tier|state,T1|BALANCED_ASIA,55,14.680000000000248,23.450000000000415,34.89999999999993,54.39999999999889,74.00000000000028,42.00181818181801,30.949999999998475,14.999999999998344,0
remaining_range_06AM,tier|state,T1|ONE_SIDED_DOWN,28,17.31999999999889,21.624999999999005,26.45000000000008,43.250000000000234,57.97000000000008,34.521428571428636,21.62500000000123,7.800000000001139,0
remaining_range_06AM,tier|state,T1|ONE_SIDED_UP,29,19.460000000000033,24.900000000001036,35.199999999999676,48.09999999999981,64.35999999999974,39.193103448275664,23.199999999998774,12.500000000001954,0
remaining_range_06AM,tier|state,T1|PARTIAL_LOOP,120,13.99999999999912,26.174999999998835,37.30000000000122,52.04999999999904,69.01000000000093,39.86833333333326,25.875000000000203,12.350000000000971,0
remaining_range_06AM,tier|state,T2|BALANCED_ASIA,1,13.499999999999623,13.499999999999623,13.499999999999623,13.499999999999623,13.499999999999623,13.499999999999623,0.0,0.0,0
remaining_range_06AM,tier|state,T2|FULL_LOOP,4,16.010000000000968,19.92500000000064,29.250000000000668,42.900000000000716,54.60000000000043,33.575000000000685,22.975000000000076,11.499999999999845,0
remaining_range_06AM,tier|state,T2|ONE_SIDED_DOWN,4,19.110000000000184,25.274999999999604,31.84999999999993,43.5000000000002,58.79999999999953,36.924999999999876,18.225000000000595,10.000000000000007,0
remaining_range_06AM,tier|state,T2|ONE_SIDED_UP,3,6.159999999998611,11.199999999998989,19.599999999999618,44.00000000000071,58.640000000001365,30.266666666666595,32.800000000001724,16.80000000000126,0
remaining_range_06AM,tier|state,T2|OVER_COMPLETED,13,11.75999999999977,16.000000000000462,36.89999999999971,74.29999999999825,75.75999999999938,40.646153846153666,58.29999999999779,21.29999999999965,0
remaining_range_06AM,tier|state,T2|PARTIAL_LOOP,114,10.489999999999222,20.775000000000095,36.450000000000095,54.650000000000524,72.68999999999993,40.37982456140356,33.875000000000426,16.349999999999426,0
remaining_range_06AM,tier|state,T3|FULL_LOOP,6,1.6499999999997073,9.649999999999379,67.19999999999948,120.02500000000028,167.00000000000045,78.61666666666655,110.3750000000009,60.750000000000526,0
remaining_range_06AM,tier|state,T3|OVER_COMPLETED,16,8.699999999999264,13.07500000000128,27.95000000000103,39.37499999999927,63.29999999999946,29.062500000000128,26.299999999997986,14.899999999999913,0
remaining_range_06AM,tier|state,T3|PARTIAL_LOOP,39,10.039999999999605,23.049999999998906,31.400000000001427,46.05000000000081,57.939999999999486,35.38205128205118,23.0000000000019,10.999999999998792,0
remaining_range_09AM,tier|state,MISSING|AR_NO_GO_STATE,10,0.0,2.2250000000001435,21.399999999999196,54.3750000000004,79.05000000000007,31.989999999999963,52.150000000000254,21.399999999999196,0
remaining_range_09AM,tier|state,T1|BALANCED_ASIA,55,9.059999999999402,13.549999999999951,21.500000000000963,42.79999999999951,65.33999999999952,31.98727272727263,29.249999999999556,12.099999999999334,0
remaining_range_09AM,tier|state,T1|ONE_SIDED_DOWN,28,5.149999999999544,12.97499999999896,20.75000000000049,36.77499999999833,47.31000000000018,26.621428571428428,23.79999999999937,10.150000000000995,0
remaining_range_09AM,tier|state,T1|ONE_SIDED_UP,29,4.24000000000202,15.699999999998493,22.199999999998884,37.300000000000104,48.53999999999958,28.482758620689424,21.60000000000161,10.799999999999695,0
remaining_range_09AM,tier|state,T1|PARTIAL_LOOP,120,2.6099999999997796,9.84999999999847,23.699999999998724,39.42499999999794,54.98999999999945,27.419166666666456,29.574999999999466,14.200000000000879,0
remaining_range_09AM,tier|state,T2|BALANCED_ASIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
remaining_range_09AM,tier|state,T2|FULL_LOOP,4,9.8000000000007,11.600000000000499,14.399999999999972,27.749999999999723,48.540000000000035,24.95000000000025,16.149999999999224,3.7999999999993612,0
remaining_range_09AM,tier|state,T2|ONE_SIDED_DOWN,4,14.100000000000449,21.299999999999653,29.000000000000135,41.60000000000052,57.61999999999956,33.90000000000004,20.300000000000868,11.700000000000042,0
remaining_range_09AM,tier|state,T2|ONE_SIDED_UP,3,6.159999999998611,11.199999999998989,19.599999999999618,31.800000000000715,39.120000000001376,22.13333333333326,20.600000000001728,16.80000000000126,0
remaining_range_09AM,tier|state,T2|OVER_COMPLETED,13,6.319999999999657,8.799999999999919,16.400000000000855,36.89999999999971,39.70000000000118,24.184615384615487,28.09999999999979,10.700000000001264,0
remaining_range_09AM,tier|state,T2|PARTIAL_LOOP,114,3.5500000000003853,11.174999999999933,23.49999999999963,39.90000000000048,61.54999999999955,29.291228070175453,28.72500000000055,12.950000000000461,0
remaining_range_09AM,tier|state,T3|FULL_LOOP,6,0.0,7.174999999999818,63.750000000000185,101.57499999999932,126.19999999999965,63.316666666666606,94.39999999999951,51.24999999999936,0
remaining_range_09AM,tier|state,T3|OVER_COMPLETED,16,2.349999999999852,9.10000000000022,14.600000000000168,25.65000000000039,46.599999999999966,19.487500000000125,16.550000000000168,8.850000000000243,0
