checkpoint,model,condition,n,quantile,prediction
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,0.1,15.63999999999988
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,0.25,26.499999999999304
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,0.5,40.19999999999912
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,0.75,57.0499999999996
03AM,B3_TIER_STATE,T3|PARTIAL_LOOP,39,0.9,85.01999999999921
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,0.1,18.209999999999397
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,0.25,27.15000000000023
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,0.5,49.5000000000001
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,0.75,71.87499999999957
03AM,B4_TIER_STATE_LOOPS,MISSING|AR_NO_GO_STATE|0,10,0.9,94.47000000000006
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,0.1,38.000000000000256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,0.25,38.000000000000256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,0.5,38.000000000000256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,0.75,38.000000000000256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|10,1,0.9,38.000000000000256
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,0.1,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,0.25,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,0.5,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,0.75,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|12,1,0.9,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,0.1,109.2000000000004
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,0.25,109.2000000000004
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,0.5,109.2000000000004
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,0.75,109.2000000000004
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|13,1,0.9,109.2000000000004
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,0.1,21.10000000000056
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,0.25,21.10000000000056
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,0.5,21.10000000000056
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,0.75,21.10000000000056
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|14,1,0.9,21.10000000000056
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,0.1,18.53999999999889
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,0.25,23.699999999998724
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,0.5,32.29999999999844
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,0.75,40.89999999999816
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|15,2,0.9,46.059999999998
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,0.1,48.39999999999955
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,0.25,48.39999999999955
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,0.5,48.39999999999955
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,0.75,48.39999999999955
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|16,1,0.9,48.39999999999955
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,0.1,26.139999999999382
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,0.25,26.950000000000024
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,0.5,28.3000000000011
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,0.75,31.49999999999986
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|17,3,0.9,33.41999999999912
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,0.1,13.56000000000046
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,0.25,18.000000000000238
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,0.5,25.399999999999864
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,0.75,32.79999999999949
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|18,2,0.9,37.23999999999927
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,0.1,25.510000000000588
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,0.25,28.525000000000354
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,0.5,36.55000000000075
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,0.75,50.15000000000158
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|20,4,0.9,63.20000000000214
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,0.1,33.2900000000007
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,0.25,35.22500000000039
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,0.5,41.049999999999145
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,0.75,50.77499999999846
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|21,4,0.9,59.72999999999918
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,0.1,50.00000000000115
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,0.25,50.00000000000115
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,0.5,50.00000000000115
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,0.75,50.00000000000115
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|22,1,0.9,50.00000000000115
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,0.1,18.699999999999495
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,0.25,26.200000000000667
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,0.5,44.90000000000104
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,0.75,53.59999999999809
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|23,5,0.9,64.81999999999832
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,0.1,24.73999999999976
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,0.25,30.500000000000526
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,0.5,35.89999999999982
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,0.75,40.32499999999883
