date,state,bias_direction,regime,regime_ratio,asian_range_pips,predicted_mfe,actual_mfe,deviation,pathway,target_hit,target_hit_time,required_loops,time_pressure_ratio,direction_correct
2022-12-28,EXHAUSTION,SHORT,FAILED,0.677,49.6,11.75,12.8,1.05,BASELINE,True,16:35,0.0,60.0,1
2022-12-29,9/9_LOCK,LONG,CONFIRMED,2.213,26.7,44.32,19.5,24.82,MIDPOINT_STALL,True,00:05,0.0,60.0,0
2022-12-30,9/9_LOCK,LONG,CONFIRMED,1.57,25.1,29.56,20.6,8.96,MIDPOINT_STALL,True,06:50,0.0,60.0,0
2023-01-03,9/9_LOCK,LONG,CONFIRMED,3.997,39.1,117.21,162.9,45.69,GEAR_SHIFT,True,00:55,0.0,60.0,1
2023-01-04,9/9_LOCK,SHORT,CONFIRMED,2.106,41.7,65.87,103.3,37.43,GEAR_SHIFT,True,02:55,0.0,60.0,1
2023-01-05,9/9_LOCK,SHORT,CONFIRMED,1.649,28.8,35.62,32.3,3.32,BASELINE,True,00:00,0.0,60.0,0
2023-01-11,9/9_LOCK,SHORT,CONFIRMED,2.054,25.8,39.74,13.9,25.84,POST_12PM_FADE,True,00:55,0.0,60.0,0
2023-01-12,9/9_LOCK,LONG,CONFIRMED,2.635,16.7,33.0,56.4,23.4,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-01-13,EXHAUSTION,LONG,FAILED,0.886,54.2,16.81,53.0,36.19,GEAR_SHIFT,True,00:55,0.0,60.0,1
2023-01-16,EXHAUSTION,LONG,FAILED,0.886,55.1,17.09,42.3,25.21,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-01-17,9/9_LOCK,SHORT,CONFIRMED,1.558,36.4,42.53,61.5,18.97,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-01-18,9/9_LOCK,SHORT,CONFIRMED,3.078,36.0,83.11,126.5,43.39,GEAR_SHIFT,True,09:25,0.0,60.0,1
2023-01-19,EXHAUSTION,LONG,FAILED,0.852,30.4,9.07,40.1,31.03,GEAR_SHIFT,True,00:15,0.0,60.0,1
2023-01-23,9/9_LOCK,SHORT,CONFIRMED,1.946,29.7,43.35,16.2,27.15,POST_12PM_FADE,True,09:05,0.0,60.0,0
2023-01-26,9/9_LOCK,SHORT,CONFIRMED,3.539,10.2,27.07,19.3,7.77,POST_12PM_FADE,True,00:00,0.0,60.0,0
2023-01-27,EXHAUSTION,LONG,FAILED,0.507,53.8,9.55,35.8,26.25,GEAR_SHIFT,True,04:40,0.0,60.0,1
2023-01-30,9/9_LOCK,LONG,CONFIRMED,2.207,22.2,36.75,41.4,4.65,BASELINE,True,00:00,0.0,60.0,1
2023-01-31,EXHAUSTION,LONG,FAILED,1.252,33.3,14.59,62.0,47.41,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-02-03,EXHAUSTION,LONG,FAILED,1.347,31.1,14.66,111.9,97.24,GEAR_SHIFT,True,02:00,0.0,60.0,1
2023-02-06,9/9_LOCK,SHORT,CONFIRMED,1.674,27.0,33.9,43.7,9.8,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-02-08,9/9_LOCK,SHORT,CONFIRMED,3.217,13.8,33.3,41.0,7.7,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-02-09,EXHAUSTION,SHORT,FAILED,1.028,28.7,10.33,46.3,35.97,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-02-10,9/9_LOCK,SHORT,CONFIRMED,1.527,29.8,34.13,22.4,11.73,BASELINE,True,00:00,0.0,60.0,0
2023-02-13,EXHAUSTION,SHORT,FAILED,1.049,34.4,12.63,20.6,7.97,DELAYED_RESOLVER,True,14:15,0.0,60.0,1
2023-02-14,9/9_LOCK,SHORT,CONFIRMED,2.145,17.3,27.83,54.3,26.47,GEAR_SHIFT,True,01:50,0.0,60.0,1
2023-02-15,EXHAUSTION,LONG,FAILED,0.829,39.2,11.37,57.0,45.63,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-02-17,EXHAUSTION,LONG,FAILED,0.904,47.0,14.87,81.1,66.23,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-02-20,EXHAUSTION,SHORT,FAILED,1.262,21.0,9.28,24.7,15.42,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-02-21,9/9_LOCK,LONG,CONFIRMED,1.98,20.0,29.7,57.2,27.5,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-03-02,EXHAUSTION,LONG,FAILED,0.605,55.2,11.69,55.8,44.11,GEAR_SHIFT,True,02:45,0.0,60.0,1
2023-03-03,EXHAUSTION,SHORT,FAILED,1.421,28.0,13.93,46.2,32.27,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-03-06,9/9_LOCK,SHORT,CONFIRMED,2.68,19.7,39.6,43.9,4.3,MIDPOINT_STALL,True,09:00,0.0,60.0,1
2023-03-07,9/9_LOCK,SHORT,CONFIRMED,2.723,19.5,39.82,20.0,19.82,POST_12PM_FADE,True,00:00,0.0,60.0,0
2023-03-13,9/9_LOCK,SHORT,CONFIRMED,1.531,51.6,59.25,83.2,23.95,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-03-14,EXHAUSTION,SHORT,FAILED,1.023,43.1,15.43,7.2,8.23,BASELINE,False,,0.0,60.0,0
2023-03-15,9/9_LOCK,LONG,CONFIRMED,2.701,31.4,63.61,128.8,65.19,GEAR_SHIFT,True,00:35,0.0,60.0,1
2023-03-20,EXHAUSTION,LONG,FAILED,0.971,69.4,23.59,75.5,51.91,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-03-21,9/9_LOCK,LONG,CONFIRMED,1.615,42.3,51.24,41.1,10.14,MIDPOINT_STALL,True,00:25,0.0,60.0,0
2023-03-24,9/9_LOCK,LONG,CONFIRMED,2.273,24.9,42.45,52.0,9.55,GEAR_SHIFT,True,03:05,0.0,60.0,1
2023-03-28,9/9_LOCK,LONG,CONFIRMED,2.142,21.1,33.9,57.9,24.0,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-03-30,9/9_LOCK,SHORT,CONFIRMED,2.304,19.4,33.52,56.0,22.48,GEAR_SHIFT,True,08:55,0.0,60.0,1
2023-04-06,EXHAUSTION,SHORT,FAILED,1.204,31.9,13.44,9.4,4.04,MIDPOINT_STALL,True,10:45,0.0,60.0,0
2023-04-07,EXHAUSTION,SHORT,FAILED,1.127,13.4,5.29,11.6,6.31,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-04-11,EXHAUSTION,SHORT,FAILED,1.146,37.6,15.08,42.9,27.82,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-04-14,EXHAUSTION,SHORT,FAILED,0.939,23.0,7.56,19.4,11.84,GEAR_SHIFT,True,05:05,0.0,60.0,0
2023-04-17,EXHAUSTION,SHORT,FAILED,1.186,24.7,10.25,13.1,2.85,BASELINE,True,09:05,0.0,60.0,0
2023-04-18,9/9_LOCK,SHORT,CONFIRMED,1.653,16.7,20.7,25.0,4.3,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-04-19,9/9_LOCK,LONG,CONFIRMED,1.734,23.7,30.82,42.9,12.08,GEAR_SHIFT,True,04:40,0.0,60.0,1
2023-04-20,9/9_LOCK,SHORT,CONFIRMED,1.938,17.7,25.73,53.9,28.17,GEAR_SHIFT,True,04:35,0.0,60.0,1
2023-04-21,EXHAUSTION,LONG,FAILED,1.179,19.5,8.05,36.7,28.65,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-04-24,9/9_LOCK,SHORT,CONFIRMED,3.617,12.0,32.55,39.9,7.35,GEAR_SHIFT,True,02:05,0.0,60.0,1
2023-04-25,9/9_LOCK,LONG,CONFIRMED,2.052,15.5,23.85,27.4,3.55,POST_12PM_FADE,True,09:45,0.0,60.0,1
2023-04-26,EXHAUSTION,SHORT,FAILED,1.27,31.8,14.14,49.5,35.36,DELAYED_RESOLVER,True,12:05,0.0,60.0,1
2023-04-27,9/9_LOCK,LONG,CONFIRMED,3.505,10.1,26.55,65.7,39.15,GEAR_SHIFT,True,10:10,0.0,60.0,1
2023-05-02,9/9_LOCK,LONG,CONFIRMED,2.444,18.7,34.28,53.1,18.82,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-05-03,9/9_LOCK,SHORT,CONFIRMED,1.94,23.2,33.76,54.0,20.24,GEAR_SHIFT,True,03:40,0.0,60.0,1
2023-05-04,9/9_LOCK,LONG,CONFIRMED,1.953,29.8,43.65,50.4,6.75,POST_12PM_FADE,True,00:10,0.0,60.0,1
2023-05-08,EXHAUSTION,SHORT,FAILED,1.105,25.7,9.94,26.3,16.36,GEAR_SHIFT,True,06:50,0.0,60.0,1
2023-05-09,EXHAUSTION,LONG,FAILED,1.258,31.0,13.65,51.2,37.55,GEAR_SHIFT,True,02:15,0.0,60.0,1
2023-05-10,9/9_LOCK,SHORT,CONFIRMED,2.73,10.0,20.48,36.2,15.73,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-05-11,EXHAUSTION,LONG,FAILED,1.075,45.4,17.08,79.0,61.92,GEAR_SHIFT,True,00:10,0.0,60.0,1
2023-05-12,9/9_LOCK,SHORT,CONFIRMED,2.511,17.6,33.15,45.5,12.35,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-05-17,9/9_LOCK,LONG,CONFIRMED,2.929,17.0,37.34,56.0,18.66,GEAR_SHIFT,True,09:00,0.0,60.0,1
2023-05-19,9/9_LOCK,SHORT,CONFIRMED,1.886,16.6,23.48,47.8,24.32,GEAR_SHIFT,True,01:05,0.0,60.0,1
2023-05-25,EXHAUSTION,LONG,FAILED,0.819,28.2,8.08,24.8,16.72,GEAR_SHIFT,True,01:20,0.0,60.0,1
2023-05-26,9/9_LOCK,SHORT,CONFIRMED,2.093,17.2,27.0,35.9,8.9,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-05-29,EXHAUSTION,SHORT,FAILED,1.06,20.1,7.46,16.7,9.24,GEAR_SHIFT,True,11:10,0.0,60.0,1
2023-05-30,9/9_LOCK,LONG,CONFIRMED,4.274,16.4,52.57,52.9,0.33,BASELINE,True,00:05,0.0,60.0,1
2023-05-31,EXHAUSTION,LONG,FAILED,1.345,31.6,14.88,65.1,50.22,GEAR_SHIFT,True,01:25,0.0,60.0,1
2023-06-01,9/9_LOCK,SHORT,CONFIRMED,2.576,13.9,26.85,23.0,3.85,BASELINE,True,12:35,0.0,60.0,1
2023-06-05,EXHAUSTION,LONG,FAILED,0.668,37.6,8.79,51.7,42.91,GEAR_SHIFT,True,00:15,0.0,60.0,1
2023-06-06,9/9_LOCK,SHORT,CONFIRMED,2.825,18.3,38.77,28.6,10.17,POST_12PM_FADE,True,00:00,0.0,60.0,0
2023-06-09,9/9_LOCK,LONG,CONFIRMED,3.134,12.7,29.85,39.6,9.75,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-06-16,9/9_LOCK,SHORT,CONFIRMED,2.149,11.4,18.37,15.1,3.27,MIDPOINT_STALL,True,01:10,0.0,60.0,0
2023-06-21,9/9_LOCK,LONG,CONFIRMED,1.761,15.9,21.0,24.7,3.7,MIDPOINT_STALL,True,00:15,0.0,60.0,1
2023-06-22,9/9_LOCK,LONG,CONFIRMED,4.615,10.4,36.0,36.4,0.4,BASELINE,True,09:00,0.0,60.0,1
2023-06-23,EXHAUSTION,LONG,FAILED,1.269,35.0,15.55,72.2,56.65,GEAR_SHIFT,True,01:15,0.0,60.0,1
2023-06-28,EXHAUSTION,LONG,FAILED,1.131,20.6,8.15,50.4,42.25,GEAR_SHIFT,True,04:45,0.0,60.0,1
2023-07-03,9/9_LOCK,LONG,CONFIRMED,2.856,22.2,47.55,56.7,9.15,MIDPOINT_STALL,True,02:30,0.0,60.0,1
2023-07-06,9/9_LOCK,SHORT,CONFIRMED,2.0,16.7,25.05,23.4,1.65,BASELINE,True,09:00,0.0,60.0,1
2023-07-10,EXHAUSTION,LONG,FAILED,0.775,37.3,10.12,45.5,35.38,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-07-11,9/9_LOCK,SHORT,CONFIRMED,2.265,16.6,28.2,42.4,14.2,GEAR_SHIFT,True,03:15,0.0,60.0,1
2023-07-14,EXHAUSTION,SHORT,FAILED,1.088,29.6,11.27,28.0,16.73,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-07-17,EXHAUSTION,LONG,FAILED,0.683,49.6,11.86,10.8,1.06,BASELINE,False,,0.0,60.0,0
2023-07-20,EXHAUSTION,LONG,FAILED,1.071,26.9,10.08,47.6,37.52,DELAYED_RESOLVER,True,15:00,0.0,60.0,1
2023-07-21,EXHAUSTION,LONG,FAILED,1.241,18.7,8.12,6.1,2.02,BASELINE,True,10:50,0.0,60.0,0
2023-07-25,EXHAUSTION,SHORT,FAILED,1.357,15.7,7.46,21.5,14.04,GEAR_SHIFT,True,00:10,0.0,60.0,1
2023-07-31,EXHAUSTION,LONG,FAILED,0.502,55.6,9.77,66.3,56.53,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-08-07,EXHAUSTION,LONG,FAILED,0.713,50.2,12.53,50.8,38.27,GEAR_SHIFT,True,01:30,0.0,60.0,1
2023-08-08,9/9_LOCK,SHORT,CONFIRMED,2.073,23.4,36.38,3.8,32.58,BASELINE,False,,0.0,60.0,0
2023-08-10,9/9_LOCK,SHORT,CONFIRMED,2.444,19.8,36.29,67.0,30.71,GEAR_SHIFT,True,10:05,0.0,60.0,1
2023-08-11,EXHAUSTION,LONG,FAILED,1.185,18.9,7.84,27.7,19.86,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-08-14,EXHAUSTION,LONG,FAILED,0.383,56.7,7.6,105.6,98.0,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-08-16,EXHAUSTION,LONG,FAILED,1.027,18.6,6.69,36.8,30.11,GEAR_SHIFT,True,00:50,0.0,60.0,1
2023-08-18,EXHAUSTION,LONG,FAILED,0.81,35.3,10.01,43.1,33.09,GEAR_SHIFT,True,08:15,0.0,60.0,1
2023-08-21,9/9_LOCK,SHORT,CONFIRMED,1.516,22.5,25.58,21.0,4.58,MIDPOINT_STALL,True,10:10,0.0,60.0,1
2023-08-23,9/9_LOCK,SHORT,CONFIRMED,1.818,19.8,27.0,19.1,7.9,MIDPOINT_STALL,True,00:00,0.0,60.0,1
2023-08-31,9/9_LOCK,LONG,CONFIRMED,2.707,15.0,30.45,58.7,28.25,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-09-01,9/9_LOCK,LONG,CONFIRMED,1.825,17.1,23.41,20.7,2.71,BASELINE,True,00:05,0.0,60.0,0
2023-09-04,EXHAUSTION,SHORT,FAILED,0.909,17.6,5.6,16.0,10.4,GEAR_SHIFT,True,05:40,0.0,60.0,0
2023-09-05,9/9_LOCK,LONG,CONFIRMED,1.582,24.9,29.54,69.1,39.56,GEAR_SHIFT,True,00:10,0.0,60.0,1
2023-09-06,EXHAUSTION,SHORT,FAILED,1.268,19.0,8.43,2.9,5.53,BASELINE,False,,0.0,60.0,0
2023-09-12,EXHAUSTION,LONG,FAILED,1.1,20.1,7.74,34.1,26.36,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-09-20,9/9_LOCK,SHORT,CONFIRMED,2.026,11.4,17.32,20.5,3.18,MIDPOINT_STALL,True,00:25,0.0,60.0,1
2023-09-22,EXHAUSTION,LONG,FAILED,1.097,24.8,9.52,42.2,32.68,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-09-25,EXHAUSTION,LONG,FAILED,0.502,63.2,11.1,76.4,65.3,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-09-26,EXHAUSTION,LONG,FAILED,1.271,25.1,11.17,31.2,20.03,GEAR_SHIFT,True,03:20,0.0,60.0,1
2023-09-28,9/9_LOCK,SHORT,CONFIRMED,1.631,29.3,35.84,30.1,5.74,BASELINE,True,11:50,0.0,60.0,1
2023-09-29,9/9_LOCK,SHORT,CONFIRMED,1.953,23.5,34.42,58.6,24.18,GEAR_SHIFT,True,04:30,0.0,60.0,1
2023-10-03,EXHAUSTION,LONG,FAILED,1.03,40.6,14.64,61.6,46.96,GEAR_SHIFT,True,03:05,0.0,60.0,1
2023-10-04,9/9_LOCK,LONG,CONFIRMED,2.094,28.8,45.23,32.5,12.73,MIDPOINT_STALL,True,00:15,0.0,60.0,0
2023-10-05,EXHAUSTION,LONG,FAILED,1.155,38.7,15.64,24.2,8.56,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-10-06,9/9_LOCK,LONG,CONFIRMED,1.877,16.2,22.81,56.1,33.29,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-10-09,EXHAUSTION,LONG,FAILED,1.067,31.2,11.65,38.8,27.15,GEAR_SHIFT,True,00:10,0.0,60.0,0
2023-10-10,9/9_LOCK,LONG,CONFIRMED,1.761,22.2,29.32,31.0,1.68,BASELINE,True,00:25,0.0,60.0,1
2023-10-11,9/9_LOCK,LONG,CONFIRMED,2.575,12.7,24.53,11.5,13.03,MIDPOINT_STALL,True,01:00,0.0,60.0,0
2023-10-17,EXHAUSTION,LONG,FAILED,1.293,18.8,8.51,38.7,30.19,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-10-18,EXHAUSTION,SHORT,FAILED,1.313,20.8,9.56,29.5,19.94,GEAR_SHIFT,True,09:00,0.0,60.0,1
2023-10-24,9/9_LOCK,SHORT,CONFIRMED,2.443,21.0,38.48,17.2,21.28,POST_12PM_FADE,True,05:20,0.0,60.0,0
2023-10-30,EXHAUSTION,LONG,FAILED,0.389,57.8,7.87,71.9,64.03,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-09,EXHAUSTION,LONG,FAILED,0.926,21.5,6.97,36.7,29.73,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-15,EXHAUSTION,SHORT,FAILED,1.099,23.3,8.96,35.9,26.94,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-17,EXHAUSTION,SHORT,FAILED,1.358,20.4,9.7,25.0,15.3,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-21,EXHAUSTION,SHORT,FAILED,0.847,22.2,6.58,27.0,20.42,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-23,EXHAUSTION,SHORT,FAILED,1.042,21.3,7.77,20.3,12.53,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-11-27,9/9_LOCK,SHORT,CONFIRMED,1.764,14.4,19.05,21.0,1.95,BASELINE,True,09:00,0.0,60.0,1
2023-11-30,9/9_LOCK,LONG,CONFIRMED,1.741,24.3,31.73,32.7,0.97,BASELINE,True,10:40,0.0,60.0,1
2023-12-04,EXHAUSTION,LONG,FAILED,1.171,45.5,18.65,71.5,52.85,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-12-05,9/9_LOCK,LONG,CONFIRMED,1.961,15.3,22.5,33.7,11.2,GEAR_SHIFT,True,09:15,0.0,60.0,1
2023-12-06,EXHAUSTION,LONG,FAILED,1.024,21.2,7.6,11.8,4.2,GEAR_SHIFT,True,04:35,0.0,60.0,0
2023-12-11,EXHAUSTION,LONG,FAILED,0.768,29.7,7.98,30.2,22.22,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-12-13,EXHAUSTION,LONG,FAILED,0.882,19.5,6.02,17.7,11.68,GEAR_SHIFT,True,02:35,0.0,60.0,1
2023-12-14,EXHAUSTION,LONG,FAILED,1.115,49.7,19.4,16.4,3.0,BASELINE,True,10:05,0.0,60.0,0
2023-12-20,EXHAUSTION,LONG,FAILED,1.276,29.0,12.95,42.5,29.55,GEAR_SHIFT,True,08:10,0.0,60.0,1
2023-12-22,9/9_LOCK,SHORT,CONFIRMED,2.662,16.0,31.94,47.6,15.66,GEAR_SHIFT,True,02:00,0.0,60.0,1
2023-12-25,EXHAUSTION,SHORT,FAILED,1.201,32.3,13.58,52.6,39.02,GEAR_SHIFT,True,00:15,0.0,60.0,1
2023-12-26,EXHAUSTION,LONG,FAILED,1.386,25.9,12.56,33.7,21.14,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-12-28,9/9_LOCK,SHORT,CONFIRMED,1.859,38.3,53.4,86.2,32.8,GEAR_SHIFT,True,02:55,0.0,60.0,1
2023-12-29,9/9_LOCK,SHORT,CONFIRMED,2.555,27.2,52.12,91.4,39.28,GEAR_SHIFT,True,00:00,0.0,60.0,1
2024-01-02,EXHAUSTION,LONG,FAILED,0.994,71.3,24.81,114.7,89.89,GEAR_SHIFT,True,01:00,0.0,60.0,1
2024-01-03,9/9_LOCK,LONG,CONFIRMED,1.543,40.5,46.87,59.3,12.43,GEAR_SHIFT,True,09:10,0.0,60.0,1
2024-01-04,EXHAUSTION,SHORT,FAILED,1.332,26.2,12.21,13.4,1.19,BASELINE,True,00:00,0.0,60.0,0
2024-01-12,9/9_LOCK,LONG,CONFIRMED,1.679,15.6,19.64,32.3,12.66,GEAR_SHIFT,True,03:05,0.0,60.0,0
2024-01-15,EXHAUSTION,LONG,FAILED,0.693,36.8,8.93,46.5,37.57,GEAR_SHIFT,True,00:30,0.0,60.0,1
2024-01-16,EXHAUSTION,LONG,FAILED,0.798,41.5,11.59,62.0,50.41,GEAR_SHIFT,True,02:20,0.0,60.0,1
2024-01-18,9/9_LOCK,LONG,CONFIRMED,1.508,17.7,20.02,47.0,26.98,GEAR_SHIFT,True,02:25,0.0,60.0,1
2024-01-22,EXHAUSTION,LONG,FAILED,0.803,32.0,8.99,27.8,18.81,GEAR_SHIFT,True,00:00,0.0,60.0,1
2024-01-25,EXHAUSTION,LONG,FAILED,1.017,23.4,8.33,40.9,32.57,GEAR_SHIFT,True,02:05,0.0,60.0,1
2024-01-31,EXHAUSTION,LONG,FAILED,1.155,21.3,8.61,25.6,16.99,GEAR_SHIFT,True,03:55,0.0,60.0,0
2024-02-01,EXHAUSTION,LONG,FAILED,0.779,33.1,9.02,36.4,27.38,GEAR_SHIFT,True,01:55,0.0,60.0,1
2024-02-02,EXHAUSTION,SHORT,FAILED,1.142,20.4,8.15,24.2,16.05,GEAR_SHIFT,True,00:00,0.0,60.0,0
2024-02-05,EXHAUSTION,LONG,FAILED,0.428,80.9,12.12,58.0,45.88,GEAR_SHIFT,True,01:00,0.0,60.0,1
2024-02-09,EXHAUSTION,LONG,FAILED,1.165,19.4,7.91,26.7,18.79,GEAR_SHIFT,True,05:45,0.0,60.0,1
2024-02-13,9/9_LOCK,LONG,CONFIRMED,2.428,25.7,46.8,112.2,65.4,GEAR_SHIFT,True,03:50,0.0,60.0,1
2024-02-14,EXHAUSTION,LONG,FAILED,1.213,23.5,9.98,15.3,5.32,GEAR_SHIFT,True,10:15,0.0,60.0,1
2024-02-22,9/9_LOCK,SHORT,CONFIRMED,2.018,22.3,33.75,53.8,20.05,GEAR_SHIFT,True,00:05,0.0,60.0,0
2024-02-23,9/9_LOCK,LONG,CONFIRMED,1.507,13.4,15.15,19.3,4.15,GEAR_SHIFT,True,02:35,0.0,60.0,1
2024-02-27,EXHAUSTION,SHORT,FAILED,1.399,16.8,8.23,14.6,6.37,GEAR_SHIFT,True,00:00,0.0,60.0,1
2024-03-01,9/9_LOCK,LONG,CONFIRMED,2.573,9.6,18.53,47.9,29.37,GEAR_SHIFT,True,01:00,0.0,60.0,1
2024-03-07,9/9_LOCK,SHORT,CONFIRMED,1.972,14.3,21.15,35.4,14.25,GEAR_SHIFT,True,00:00,0.0,60.0,1
