historical_date,cmc_id,symbol,historical_rank,venue,venue_instrument_id,listing_timestamp,listing_timestamp_authority,delisting_timestamp,delisting_timestamp_authority,contract_age_days_at_t,tradable_at_t,mature_30d_at_t,historical_price_data_available,historical_funding_data_available,historical_volume_data_available,liquidity_evidence_status,contract_existence_eligible,contract_maturity_eligible,historical_data_eligible,historical_liquidity_verified,eligibility_status,exclusion_reason
2024-06-01,825,USDT,3,BINANCE_USDM,USDTUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,825,USDT,3,BYBIT_LINEAR,USDTUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,1839,BNB,4,HYPERLIQUID,BNB-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1839,BNB,4,OKX,BNB-USDT-SWAP,2022-12-23T06:53:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,525,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1839,BNB,4,BINANCE_USDM,BNBUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1839,BNB,4,BYBIT_LINEAR,BNBUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,5426,SOL,5,HYPERLIQUID,SOL-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,5426,SOL,5,OKX,SOL-USDT-SWAP,2021-01-22T07:00:00Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1225,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,5426,SOL,5,BINANCE_USDM,SOLUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,5426,SOL,5,BYBIT_LINEAR,SOLUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,3408,USDC,6,HYPERLIQUID,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no HL perp (current meta)
2024-06-01,3408,USDC,6,OKX,USDC-USDT-SWAP,2023-03-12T07:55:00Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,446,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,3408,USDC,6,BINANCE_USDM,USDCUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,3408,USDC,6,BYBIT_LINEAR,USDCUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,52,XRP,7,HYPERLIQUID,XRP-PERP,2023-06-18T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,348,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,52,XRP,7,OKX,XRP-USDT-SWAP,2019-11-12T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1662,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,52,XRP,7,BINANCE_USDM,XRPUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,52,XRP,7,BYBIT_LINEAR,XRPUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,74,DOGE,8,HYPERLIQUID,DOGE-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,74,DOGE,8,OKX,DOGE-USDT-SWAP,2020-04-21T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1501,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,74,DOGE,8,BINANCE_USDM,DOGEUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,74,DOGE,8,BYBIT_LINEAR,DOGEUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,2010,ADA,9,HYPERLIQUID,ADA-PERP,2023-10-22T06:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,222,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,2010,ADA,9,OKX,ADA-USDT-SWAP,2020-02-28T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1554,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,2010,ADA,9,BINANCE_USDM,ADAUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,2010,ADA,9,BYBIT_LINEAR,ADAUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,11419,TON,10,HYPERLIQUID,TON-PERP,2023-10-22T06:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,2023-11-12T01:00:00Z,INFERRED_LAST_FUNDING_TS,222,FALSE,FALSE,NO,NO,NO,N_A_NOT_LISTED,FALSE,FALSE,FALSE,FALSE,NOT_ELIGIBLE,delisted_before_t
2024-06-01,11419,TON,10,OKX,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no OKX SWAP (current list)
2024-06-01,11419,TON,10,BINANCE_USDM,TONUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,11419,TON,10,BYBIT_LINEAR,TONUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,5994,SHIB,11,HYPERLIQUID,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no HL perp (current meta)
2024-06-01,5994,SHIB,11,OKX,SHIB-USDT-SWAP,2021-05-09T09:00:00Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1118,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,5994,SHIB,11,BINANCE_USDM,SHIBUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,5994,SHIB,11,BYBIT_LINEAR,SHIBUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,5805,AVAX,12,HYPERLIQUID,AVAX-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,385,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,5805,AVAX,12,OKX,AVAX-USDT-SWAP,2020-09-23T06:00:00Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1346,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,5805,AVAX,12,BINANCE_USDM,AVAXUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,5805,AVAX,12,BYBIT_LINEAR,AVAXUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,1975,LINK,13,HYPERLIQUID,LINK-PERP,2023-05-18T08:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,379,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1975,LINK,13,OKX,LINK-USDT-SWAP,2020-02-28T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1554,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1975,LINK,13,BINANCE_USDM,LINKUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1975,LINK,13,BYBIT_LINEAR,LINKUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,6636,DOT,14,HYPERLIQUID,DOT-PERP,2023-09-12T12:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,262,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,6636,DOT,14,OKX,DOT-USDT-SWAP,2020-08-25T10:12:51Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1375,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,6636,DOT,14,BINANCE_USDM,DOTUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,6636,DOT,14,BYBIT_LINEAR,DOTUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,1958,TRX,15,HYPERLIQUID,TRX-PERP,2023-08-06T16:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,299,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1958,TRX,15,OKX,TRX-USDT-SWAP,2019-11-12T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1662,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1958,TRX,15,BINANCE_USDM,TRXUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1958,TRX,15,BYBIT_LINEAR,TRXUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,1831,BCH,16,HYPERLIQUID,BCH-PERP,2023-06-30T03:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,336,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,1831,BCH,16,OKX,BCH-USDT-SWAP,2019-11-12T11:16:48Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1662,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,1831,BCH,16,BINANCE_USDM,BCHUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,1831,BCH,16,BYBIT_LINEAR,BCHUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,6535,NEAR,17,HYPERLIQUID,NEAR-PERP,2023-11-01T17:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,,,212,TRUE,TRUE,YES,YES,YES,CURRENT_ONLY_PROXY,TRUE,TRUE,TRUE,FALSE,ELIGIBLE_EX_LIQUIDITY,historical_liquidity_not_verified
2024-06-01,6535,NEAR,17,OKX,NEAR-USDT-SWAP,2020-12-21T10:00:00Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,1257,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
2024-06-01,6535,NEAR,17,BINANCE_USDM,NEARUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,6535,NEAR,17,BYBIT_LINEAR,NEARUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,3890,MATIC,18,HYPERLIQUID,MATIC-PERP,2023-05-12T00:00:00Z,INFERRED_FIRST_DATA_TIMESTAMP,2023-06-25T10:00:00Z,INFERRED_LAST_FUNDING_TS,385,FALSE,FALSE,NO,NO,NO,N_A_NOT_LISTED,FALSE,FALSE,FALSE,FALSE,NOT_ELIGIBLE,delisted_before_t
2024-06-01,3890,MATIC,18,OKX,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no OKX SWAP (current list)
2024-06-01,3890,MATIC,18,BINANCE_USDM,MATICUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,YES_ARCHIVE_2020P,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (451) from this environment; listing unverifiable; archive data method documented (data.binance.vision 2020-01+)
2024-06-01,3890,MATIC,18,BYBIT_LINEAR,MATICUSDT,,GEO_BLOCKED_FROM_ENV,,GEO_BLOCKED_FROM_ENV,,,,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,BLOCKED_FROM_ENV,,,,FALSE,UNVERIFIABLE_FROM_ENV,live API geo-blocked (403 CloudFront) from this environment
2024-06-01,24478,PEPE,19,HYPERLIQUID,,,,,,,,,NO,NO,NO,N_A_NOT_LISTED,,,,FALSE,NOT_LISTED,no HL perp (current meta)
2024-06-01,24478,PEPE,19,OKX,PEPE-USDT-SWAP,2023-05-03T03:55:01Z,OFFICIAL_LIST_TIME,,DELISTING_NOT_AVAILABLE_PUBLIC_API,394,TRUE,TRUE,PARTIAL,PARTIAL,PARTIAL,NOT_AVAILABLE_HISTORICAL,TRUE,TRUE,FALSE,FALSE,CONTRACT_MATURITY_ELIGIBLE,historical_data_partial
