strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,state_at_entry,state_at_exit,control_id,effective_episode_id
ALPHA1_S001,FAM_A,BTC,,2026-02-06T13:00:00+00:00,2026-02-06T13:00:00+00:00,2026-02-06T14:00:00+00:00,67274.0,LONG,perp,2026-02-06T14:00:00+00:00,67274.0,INVALIDATION,INVALIDATION,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0126,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-07T11:00:00+00:00,2026-02-07T11:00:00+00:00,2026-02-07T12:00:00+00:00,67926.0,LONG,perp,2026-02-07T13:00:00+00:00,68984.0,STATE_EXIT,,2,155.7577,2.5,2.5,0.1788,150.9365,1.5576,1.5094,0.0,0.0166,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-07T16:00:00+00:00,2026-02-07T16:00:00+00:00,2026-02-07T17:00:00+00:00,68911.0,LONG,perp,2026-02-07T17:00:00+00:00,68911.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0036,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-07T21:00:00+00:00,2026-02-07T21:00:00+00:00,2026-02-07T22:00:00+00:00,69455.0,LONG,perp,2026-02-08T02:00:00+00:00,69345.0,STATE_EXIT,,5,-15.8376,2.5,2.5,0.5477,-20.2899,-0.1584,-0.2029,-0.0052,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-08T03:00:00+00:00,2026-02-08T03:00:00+00:00,2026-02-08T04:00:00+00:00,69054.0,LONG,perp,2026-02-08T07:00:00+00:00,69316.0,STATE_EXIT,,4,37.9413,2.5,2.5,0.2558,33.1971,0.3794,0.332,0.0,0.009,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-08T11:00:00+00:00,2026-02-08T11:00:00+00:00,2026-02-08T12:00:00+00:00,70956.0,LONG,perp,2026-02-08T13:00:00+00:00,71207.0,STATE_EXIT,,2,35.374,2.5,2.5,-0.001,30.373,0.3537,0.3037,0.0,0.0075,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-08T14:00:00+00:00,2026-02-08T14:00:00+00:00,2026-02-08T15:00:00+00:00,71219.0,LONG,perp,2026-02-08T15:00:00+00:00,71219.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.001,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-08T16:00:00+00:00,2026-02-08T16:00:00+00:00,2026-02-08T17:00:00+00:00,70374.0,LONG,perp,2026-02-08T17:00:00+00:00,70374.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0055,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-08T22:00:00+00:00,2026-02-08T22:00:00+00:00,2026-02-08T23:00:00+00:00,71024.0,LONG,perp,2026-02-08T23:00:00+00:00,71024.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0102,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-09T00:00:00+00:00,2026-02-09T00:00:00+00:00,2026-02-09T01:00:00+00:00,70453.0,LONG,perp,2026-02-09T01:00:00+00:00,70453.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0017,0.0,,,ALPHA1_C006,
