variant,boundary,group,stage,bar,at_risk,events,censored,hazard,survival
A3_PERS_3,2.0,accepted,development,12,0,0,0,,0.0
A3_PERS_3,2.0,accepted,development,24,0,0,0,,0.0
A3_PERS_3,2.0,failed,development,1,173,164,0,0.9479768786127167,0.052023121387283267
A3_PERS_3,2.0,failed,development,2,9,4,0,0.4444444444444444,0.02890173410404626
A3_PERS_3,2.0,failed,development,3,5,0,0,0.0,0.02890173410404626
A3_PERS_3,2.0,failed,development,6,4,0,0,0.0,0.02312138728323701
A3_PERS_3,2.0,failed,development,12,3,0,0,0.0,0.017341040462427758
A3_PERS_3,2.0,failed,development,24,1,1,0,1.0,0.0
A3_PERS_4,2.0,failed,development,1,174,165,0,0.9482758620689655,0.051724137931034475
A3_PERS_4,2.0,failed,development,2,9,4,0,0.4444444444444444,0.028735632183908042
A3_PERS_4,2.0,failed,development,3,5,0,0,0.0,0.028735632183908042
A3_PERS_4,2.0,failed,development,6,4,0,0,0.0,0.022988505747126436
A3_PERS_4,2.0,failed,development,12,3,0,0,0.0,0.017241379310344827
A3_PERS_4,2.0,failed,development,24,1,1,0,1.0,0.0
A4_RETEST_HOLD,2.0,accepted,development,1,2,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,development,2,2,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,development,3,2,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,development,6,2,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,development,12,2,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,development,24,0,0,0,,0.0
A4_RETEST_HOLD,2.0,failed,development,1,227,215,0,0.947136563876652,0.052863436123347984
A4_RETEST_HOLD,2.0,failed,development,2,12,4,0,0.3333333333333333,0.03524229074889866
A4_RETEST_HOLD,2.0,failed,development,3,8,2,0,0.25,0.026431718061673996
A4_RETEST_HOLD,2.0,failed,development,6,4,1,0,0.25,0.013215859030837
A4_RETEST_HOLD,2.0,failed,development,12,3,0,0,0.0,0.013215859030837
A4_RETEST_HOLD,2.0,failed,development,24,1,1,0,1.0,0.0
A1_CLOSE,1.0,accepted,confirmation,1,183,60,0,0.32786885245901637,0.6721311475409837
A1_CLOSE,1.0,accepted,confirmation,2,123,22,0,0.17886178861788618,0.551912568306011
A1_CLOSE,1.0,accepted,confirmation,3,101,24,0,0.2376237623762376,0.4207650273224044
A1_CLOSE,1.0,accepted,confirmation,6,49,8,0,0.16326530612244897,0.2240437158469945
A1_CLOSE,1.0,accepted,confirmation,12,24,5,0,0.20833333333333334,0.10382513661202186
A1_CLOSE,1.0,accepted,confirmation,24,0,0,0,,0.0
A1_CLOSE,1.0,failed,confirmation,1,265,193,0,0.7283018867924528,0.2716981132075472
A1_CLOSE,1.0,failed,confirmation,2,72,25,0,0.3472222222222222,0.17735849056603778
A1_CLOSE,1.0,failed,confirmation,3,47,6,0,0.1276595744680851,0.15471698113207552
A1_CLOSE,1.0,failed,confirmation,6,28,2,0,0.07142857142857142,0.09811320754716985
A1_CLOSE,1.0,failed,confirmation,12,15,1,0,0.06666666666666667,0.052830188679245306
A1_CLOSE,1.0,failed,confirmation,24,1,1,0,1.0,0.0
A2_2OF3,1.0,accepted,confirmation,1,50,23,0,0.46,0.54
A2_2OF3,1.0,accepted,confirmation,2,27,6,0,0.2222222222222222,0.42000000000000004
A2_2OF3,1.0,accepted,confirmation,3,21,7,0,0.3333333333333333,0.2800000000000001
A2_2OF3,1.0,accepted,confirmation,6,9,1,0,0.1111111111111111,0.16000000000000006
A2_2OF3,1.0,accepted,confirmation,12,4,0,0,0.0,0.08000000000000003
A2_2OF3,1.0,accepted,confirmation,24,0,0,0,,0.0
A2_2OF3,1.0,failed,confirmation,1,112,105,0,0.9375,0.0625
A2_2OF3,1.0,failed,confirmation,2,7,2,0,0.2857142857142857,0.044642857142857144
A2_2OF3,1.0,failed,confirmation,3,5,0,0,0.0,0.044642857142857144
A2_2OF3,1.0,failed,confirmation,6,5,0,0,0.0,0.044642857142857144
A2_2OF3,1.0,failed,confirmation,12,3,0,0,0.0,0.026785714285714288
A2_2OF3,1.0,failed,confirmation,24,0,0,0,,0.0
A2_3OF4,1.0,accepted,confirmation,1,12,7,0,0.5833333333333334,0.41666666666666663
A2_3OF4,1.0,accepted,confirmation,2,5,0,0,0.0,0.41666666666666663
A2_3OF4,1.0,accepted,confirmation,3,5,1,0,0.2,0.3333333333333333
A2_3OF4,1.0,accepted,confirmation,6,3,0,0,0.0,0.25
A2_3OF4,1.0,accepted,confirmation,12,1,0,0,0.0,0.08333333333333334
A2_3OF4,1.0,accepted,confirmation,24,0,0,0,,0.0
A2_3OF4,1.0,failed,confirmation,1,133,126,0,0.9473684210526315,0.052631578947368474
A2_3OF4,1.0,failed,confirmation,2,7,2,0,0.2857142857142857,0.037593984962406055
A2_3OF4,1.0,failed,confirmation,3,5,0,0,0.0,0.037593984962406055
A2_3OF4,1.0,failed,confirmation,6,5,0,0,0.0,0.037593984962406055
A2_3OF4,1.0,failed,confirmation,12,3,0,0,0.0,0.022556390977443636
A2_3OF4,1.0,failed,confirmation,24,0,0,0,,0.0
A2_3OF5,1.0,accepted,confirmation,1,15,8,0,0.5333333333333333,0.4666666666666667
A2_3OF5,1.0,accepted,confirmation,2,7,0,0,0.0,0.4666666666666667
A2_3OF5,1.0,accepted,confirmation,3,7,3,0,0.42857142857142855,0.26666666666666666
A2_3OF5,1.0,accepted,confirmation,6,3,0,0,0.0,0.2
A2_3OF5,1.0,accepted,confirmation,12,1,0,0,0.0,0.06666666666666668
A2_3OF5,1.0,accepted,confirmation,24,0,0,0,,0.0
A2_3OF5,1.0,failed,confirmation,1,131,124,0,0.9465648854961832,0.05343511450381677
A2_3OF5,1.0,failed,confirmation,2,7,2,0,0.2857142857142857,0.0381679389312977
A2_3OF5,1.0,failed,confirmation,3,5,0,0,0.0,0.0381679389312977
A2_3OF5,1.0,failed,confirmation,6,5,0,0,0.0,0.0381679389312977
