stage,boundary,outcome_class,from_state,to_state,count,prob
development,1.0,failed,0,4,2,0.06060606060606061
development,1.0,failed,1,0,8,0.24242424242424243
development,1.0,failed,1,1,10,0.30303030303030304
development,1.0,failed,1,2,6,0.18181818181818182
development,1.0,failed,1,3,6,0.18181818181818182
development,1.0,failed,1,4,3,0.09090909090909091
development,1.0,failed,2,0,2,0.10526315789473684
development,1.0,failed,2,1,4,0.21052631578947367
development,1.0,failed,2,2,6,0.3157894736842105
development,1.0,failed,2,3,2,0.10526315789473684
development,1.0,failed,2,4,5,0.2631578947368421
development,1.0,failed,3,0,4,0.2222222222222222
development,1.0,failed,3,1,5,0.2777777777777778
development,1.0,failed,3,2,4,0.2222222222222222
development,1.0,failed,3,3,2,0.1111111111111111
development,1.0,failed,3,4,3,0.16666666666666666
development,1.0,failed,4,0,1,0.1
development,1.0,failed,4,1,1,0.1
development,1.0,failed,4,2,1,0.1
development,1.0,failed,4,3,4,0.4
development,1.0,failed,4,4,3,0.3
development,2.0,accepted,0,0,0,
development,2.0,accepted,0,1,0,
development,2.0,accepted,0,2,0,
development,2.0,accepted,0,3,0,
development,2.0,accepted,0,4,0,
development,2.0,accepted,1,0,0,
development,2.0,accepted,1,1,0,
development,2.0,accepted,1,2,0,
development,2.0,accepted,1,3,0,
development,2.0,accepted,1,4,0,
development,2.0,accepted,2,0,12,0.18461538461538463
development,2.0,accepted,2,1,12,0.18461538461538463
development,2.0,accepted,2,2,15,0.23076923076923078
development,2.0,accepted,2,3,16,0.24615384615384617
development,2.0,accepted,2,4,10,0.15384615384615385
development,2.0,accepted,3,0,0,0.0
development,2.0,accepted,3,1,4,0.3076923076923077
development,2.0,accepted,3,2,1,0.07692307692307693
development,2.0,accepted,3,3,4,0.3076923076923077
development,2.0,accepted,3,4,4,0.3076923076923077
development,2.0,accepted,4,0,0,0.0
development,2.0,accepted,4,1,2,0.5
development,2.0,accepted,4,2,0,0.0
development,2.0,accepted,4,3,1,0.25
development,2.0,accepted,4,4,1,0.25
development,2.0,touch_only,0,0,12,0.3076923076923077
development,2.0,touch_only,0,1,13,0.3333333333333333
development,2.0,touch_only,0,2,12,0.3076923076923077
development,2.0,touch_only,0,3,0,0.0
development,2.0,touch_only,0,4,2,0.05128205128205128
development,2.0,touch_only,1,0,16,0.2222222222222222
development,2.0,touch_only,1,1,15,0.20833333333333334
development,2.0,touch_only,1,2,20,0.2777777777777778
development,2.0,touch_only,1,3,11,0.1527777777777778
development,2.0,touch_only,1,4,10,0.1388888888888889
development,2.0,touch_only,2,0,0,
development,2.0,touch_only,2,1,0,
development,2.0,touch_only,2,2,0,
development,2.0,touch_only,2,3,0,
development,2.0,touch_only,2,4,0,
development,2.0,touch_only,3,0,0,0.0
development,2.0,touch_only,3,1,2,0.6666666666666666
development,2.0,touch_only,3,2,1,0.3333333333333333
development,2.0,touch_only,3,3,0,0.0
development,2.0,touch_only,3,4,0,0.0
development,2.0,touch_only,4,0,0,
development,2.0,touch_only,4,1,0,
development,2.0,touch_only,4,2,0,
development,2.0,touch_only,4,3,0,
development,2.0,touch_only,4,4,0,
development,2.0,failed,0,0,4,0.2
development,2.0,failed,0,1,8,0.4
development,2.0,failed,0,2,4,0.2
development,2.0,failed,0,3,1,0.05
development,2.0,failed,0,4,3,0.15
development,2.0,failed,1,0,4,0.16666666666666666
development,2.0,failed,1,1,4,0.16666666666666666
development,2.0,failed,1,2,7,0.2916666666666667
development,2.0,failed,1,3,4,0.16666666666666666
development,2.0,failed,1,4,5,0.20833333333333334
development,2.0,failed,2,0,3,0.1875
development,2.0,failed,2,1,3,0.1875
development,2.0,failed,2,2,5,0.3125
development,2.0,failed,2,3,4,0.25
development,2.0,failed,2,4,1,0.0625
development,2.0,failed,3,0,3,0.2727272727272727
development,2.0,failed,3,1,2,0.18181818181818182
development,2.0,failed,3,2,2,0.18181818181818182
development,2.0,failed,3,3,1,0.09090909090909091
development,2.0,failed,3,4,3,0.2727272727272727
development,2.0,failed,4,0,1,0.125
development,2.0,failed,4,1,1,0.125
development,2.0,failed,4,2,2,0.25
development,2.0,failed,4,3,2,0.25
development,2.0,failed,4,4,2,0.25
confirmation,1.0,accepted,0,0,0,
confirmation,1.0,accepted,0,1,0,
confirmation,1.0,accepted,0,2,0,
confirmation,1.0,accepted,0,3,0,
confirmation,1.0,accepted,0,4,0,
confirmation,1.0,accepted,1,0,46,0.2875
confirmation,1.0,accepted,1,1,45,0.28125
confirmation,1.0,accepted,1,2,33,0.20625
confirmation,1.0,accepted,1,3,27,0.16875
confirmation,1.0,accepted,1,4,9,0.05625
confirmation,1.0,accepted,2,0,13,0.2826086956521739
confirmation,1.0,accepted,2,1,6,0.13043478260869565
confirmation,1.0,accepted,2,2,11,0.2391304347826087
confirmation,1.0,accepted,2,3,10,0.21739130434782608
confirmation,1.0,accepted,2,4,6,0.13043478260869565
confirmation,1.0,accepted,3,0,3,0.1875
confirmation,1.0,accepted,3,1,3,0.1875
confirmation,1.0,accepted,3,2,7,0.4375
confirmation,1.0,accepted,3,3,0,0.0
confirmation,1.0,accepted,3,4,3,0.1875
confirmation,1.0,accepted,4,0,0,
confirmation,1.0,accepted,4,1,0,
confirmation,1.0,accepted,4,2,0,
confirmation,1.0,accepted,4,3,0,
confirmation,1.0,accepted,4,4,0,
confirmation,1.0,touch_only,0,0,76,0.3333333333333333
confirmation,1.0,touch_only,0,1,75,0.32894736842105265
confirmation,1.0,touch_only,0,2,42,0.18421052631578946
confirmation,1.0,touch_only,0,3,19,0.08333333333333333
confirmation,1.0,touch_only,0,4,16,0.07017543859649122
confirmation,1.0,touch_only,1,0,4,0.2857142857142857
confirmation,1.0,touch_only,1,1,5,0.35714285714285715
confirmation,1.0,touch_only,1,2,2,0.14285714285714285
confirmation,1.0,touch_only,1,3,0,0.0
confirmation,1.0,touch_only,1,4,3,0.21428571428571427
confirmation,1.0,touch_only,2,0,1,0.25
confirmation,1.0,touch_only,2,1,2,0.5
confirmation,1.0,touch_only,2,2,1,0.25
confirmation,1.0,touch_only,2,3,0,0.0
confirmation,1.0,touch_only,2,4,0,0.0
confirmation,1.0,touch_only,3,0,0,0.0
confirmation,1.0,touch_only,3,1,1,1.0
confirmation,1.0,touch_only,3,2,0,0.0
confirmation,1.0,touch_only,3,3,0,0.0
confirmation,1.0,touch_only,3,4,0,0.0
confirmation,1.0,touch_only,4,0,0,0.0
confirmation,1.0,touch_only,4,1,0,0.0
confirmation,1.0,touch_only,4,2,0,0.0
confirmation,1.0,touch_only,4,3,0,0.0
confirmation,1.0,touch_only,4,4,2,1.0
confirmation,1.0,failed,0,0,10,0.43478260869565216
confirmation,1.0,failed,0,1,5,0.21739130434782608
confirmation,1.0,failed,0,2,4,0.17391304347826086
confirmation,1.0,failed,0,3,3,0.13043478260869565
confirmation,1.0,failed,0,4,1,0.043478260869565216
confirmation,1.0,failed,1,0,6,0.2727272727272727
confirmation,1.0,failed,1,1,8,0.36363636363636365
confirmation,1.0,failed,1,2,3,0.13636363636363635
confirmation,1.0,failed,1,3,4,0.18181818181818182
confirmation,1.0,failed,1,4,1,0.045454545454545456
confirmation,1.0,failed,2,0,0,0.0
confirmation,1.0,failed,2,1,5,0.2777777777777778
confirmation,1.0,failed,2,2,6,0.3333333333333333
confirmation,1.0,failed,2,3,4,0.2222222222222222
confirmation,1.0,failed,2,4,3,0.16666666666666666
confirmation,1.0,failed,3,0,3,0.2727272727272727
confirmation,1.0,failed,3,1,2,0.18181818181818182
confirmation,1.0,failed,3,2,3,0.2727272727272727
confirmation,1.0,failed,3,3,2,0.18181818181818182
confirmation,1.0,failed,3,4,1,0.09090909090909091
confirmation,1.0,failed,4,0,1,0.1
confirmation,1.0,failed,4,1,1,0.1
confirmation,1.0,failed,4,2,3,0.3
confirmation,1.0,failed,4,3,3,0.3
confirmation,1.0,failed,4,4,2,0.2
confirmation,2.0,accepted,0,0,0,
confirmation,2.0,accepted,0,1,0,
confirmation,2.0,accepted,0,2,0,
confirmation,2.0,accepted,0,3,0,
confirmation,2.0,accepted,0,4,0,
confirmation,2.0,accepted,1,0,0,
confirmation,2.0,accepted,1,1,0,
confirmation,2.0,accepted,1,2,0,
confirmation,2.0,accepted,1,3,0,
confirmation,2.0,accepted,1,4,0,
confirmation,2.0,accepted,2,0,13,0.2826086956521739
confirmation,2.0,accepted,2,1,6,0.13043478260869565
confirmation,2.0,accepted,2,2,11,0.2391304347826087
confirmation,2.0,accepted,2,3,10,0.21739130434782608
confirmation,2.0,accepted,2,4,6,0.13043478260869565
confirmation,2.0,accepted,3,0,3,0.1875
confirmation,2.0,accepted,3,1,3,0.1875
confirmation,2.0,accepted,3,2,7,0.4375
confirmation,2.0,accepted,3,3,0,0.0
confirmation,2.0,accepted,3,4,3,0.1875
confirmation,2.0,accepted,4,0,0,
confirmation,2.0,accepted,4,1,0,
confirmation,2.0,accepted,4,2,0,
confirmation,2.0,accepted,4,3,0,
confirmation,2.0,accepted,4,4,0,
confirmation,2.0,touch_only,0,0,13,0.35135135135135137
confirmation,2.0,touch_only,0,1,12,0.32432432432432434
confirmation,2.0,touch_only,0,2,9,0.24324324324324326
confirmation,2.0,touch_only,0,3,2,0.05405405405405406
confirmation,2.0,touch_only,0,4,1,0.02702702702702703
confirmation,2.0,touch_only,1,0,17,0.25
confirmation,2.0,touch_only,1,1,19,0.27941176470588236
confirmation,2.0,touch_only,1,2,16,0.23529411764705882
confirmation,2.0,touch_only,1,3,9,0.1323529411764706
confirmation,2.0,touch_only,1,4,7,0.10294117647058823
confirmation,2.0,touch_only,2,0,0,0.0
confirmation,2.0,touch_only,2,1,1,1.0
confirmation,2.0,touch_only,2,2,0,0.0
confirmation,2.0,touch_only,2,3,0,0.0
confirmation,2.0,touch_only,2,4,0,0.0
confirmation,2.0,touch_only,3,0,0,0.0
confirmation,2.0,touch_only,3,1,1,1.0
confirmation,2.0,touch_only,3,2,0,0.0
confirmation,2.0,touch_only,3,3,0,0.0
confirmation,2.0,touch_only,3,4,0,0.0
confirmation,2.0,touch_only,4,0,0,0.0
confirmation,2.0,touch_only,4,1,0,0.0
confirmation,2.0,touch_only,4,2,0,0.0
confirmation,2.0,touch_only,4,3,0,0.0
confirmation,2.0,touch_only,4,4,1,1.0
confirmation,2.0,failed,0,0,5,0.3333333333333333
confirmation,2.0,failed,0,1,2,0.13333333333333333
confirmation,2.0,failed,0,2,1,0.06666666666666667
confirmation,2.0,failed,0,3,5,0.3333333333333333
confirmation,2.0,failed,0,4,2,0.13333333333333333
confirmation,2.0,failed,1,0,4,0.25
confirmation,2.0,failed,1,1,7,0.4375
confirmation,2.0,failed,1,2,4,0.25
confirmation,2.0,failed,1,3,1,0.0625
confirmation,2.0,failed,1,4,0,0.0
confirmation,2.0,failed,2,0,2,0.14285714285714285
confirmation,2.0,failed,2,1,3,0.21428571428571427
confirmation,2.0,failed,2,2,3,0.21428571428571427
confirmation,2.0,failed,2,3,5,0.35714285714285715
confirmation,2.0,failed,2,4,1,0.07142857142857142
confirmation,2.0,failed,3,0,1,0.2
confirmation,2.0,failed,3,1,1,0.2
confirmation,2.0,failed,3,2,1,0.2
confirmation,2.0,failed,3,3,1,0.2
confirmation,2.0,failed,3,4,1,0.2
confirmation,2.0,failed,4,0,3,0.3333333333333333
confirmation,2.0,failed,4,1,1,0.1111111111111111
confirmation,2.0,failed,4,2,1,0.1111111111111111
confirmation,2.0,failed,4,3,2,0.2222222222222222
confirmation,2.0,failed,4,4,2,0.2222222222222222
