origin_currency,direction,severity,session,horizon_h,destination,n_events,count,prob,ci_low,ci_high,se,group_by,regime_dispersion,regime_vol,network_state
CHF,LIQUIDATION,LOW,NY_Overlap,1,EUR,84,84,0.05952380952380952,0.011904761904761904,0.11904761904761904,0.024400420708909357,severity_session,,,
CHF,LIQUIDATION,LOW,NY_Overlap,1,GBP,84,84,0.15476190476190477,0.08333333333333333,0.2261904761904762,0.04043495323465156,severity_session,,,
CHF,LIQUIDATION,LOW,NY_Overlap,1,USD,84,84,0.39285714285714285,0.30952380952380953,0.5238095238095238,0.05322362570220986,severity_session,,,
CHF,LIQUIDATION,LOW,NY_Overlap,1,CHF,84,84,0.15476190476190477,0.07142857142857142,0.23809523809523808,0.04134929380617187,severity_session,,,
CHF,LIQUIDATION,LOW,NY_Overlap,1,JPY,84,84,0.23809523809523808,0.14285714285714285,0.32142857142857145,0.04648195953655866,severity_session,,,
CHF,LIQUIDATION,MEDIUM,Asia,1,EUR,3,3,0.0,0.0,0.0,0.0,severity_session,,,
CHF,LIQUIDATION,MEDIUM,Asia,1,GBP,3,3,0.6666666666666666,0.3333333333333333,1.0,0.25394706579877174,severity_session,,,
CHF,LIQUIDATION,MEDIUM,Asia,1,USD,3,3,0.0,0.0,0.0,0.0,severity_session,,,
CHF,LIQUIDATION,MEDIUM,Asia,1,CHF,3,3,0.3333333333333333,0.0,0.6666666666666666,0.25394706579877174,severity_session,,,
CHF,LIQUIDATION,MEDIUM,Asia,1,JPY,3,3,0.0,0.0,0.0,0.0,severity_session,,,
CHF,LIQUIDATION,MEDIUM,London,1,EUR,25,25,0.08,0.0,0.20100000000000023,0.06430799007852522,severity_session,,,
CHF,LIQUIDATION,MEDIUM,London,1,GBP,25,25,0.24,0.11900000000000002,0.44,0.08853378539167346,severity_session,,,
CHF,LIQUIDATION,MEDIUM,London,1,USD,25,25,0.4,0.24,0.5610000000000003,0.09492679009313933,severity_session,,,
CHF,LIQUIDATION,MEDIUM,London,1,CHF,25,25,0.12,0.0,0.28,0.0651010810491565,severity_session,,,
CHF,LIQUIDATION,MEDIUM,London,1,JPY,25,25,0.16,0.04,0.32,0.0715979843067102,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Late,1,EUR,8,8,0.0,0.0,0.0,0.0,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Late,1,GBP,8,8,0.375,0.0,0.75,0.17341801098116458,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Late,1,USD,8,8,0.125,0.0,0.5,0.13225046427709633,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Late,1,CHF,8,8,0.5,0.125,0.875,0.18046801070950838,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Late,1,JPY,8,8,0.0,0.0,0.0,0.0,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Overlap,1,EUR,24,24,0.08333333333333333,0.0,0.20833333333333334,0.053868688184533525,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Overlap,1,GBP,24,24,0.125,0.0,0.2510416666666669,0.06982138764396847,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Overlap,1,USD,24,24,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.09288229096482478,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Overlap,1,CHF,24,24,0.25,0.08333333333333333,0.4166666666666667,0.0839497719469123,severity_session,,,
CHF,LIQUIDATION,MEDIUM,NY_Overlap,1,JPY,24,24,0.20833333333333334,0.08333333333333333,0.375,0.07551701565756343,severity_session,,,
CHFJPY,,LOW,Asia,1,EUR,128,128,0.1328125,0.0703125,0.1953125,0.031919430580490585,severity_session,,,
CHFJPY,,LOW,Asia,1,GBP,128,128,0.203125,0.1404296875,0.28144531250000004,0.039494626149145964,severity_session,,,
CHFJPY,,LOW,Asia,1,USD,128,128,0.3359375,0.2578125,0.421875,0.042396507897579816,severity_session,,,
CHFJPY,,LOW,Asia,1,CHF,128,128,0.1171875,0.062304687500000004,0.171875,0.0274887911144647,severity_session,,,
CHFJPY,,LOW,Asia,1,JPY,128,128,0.2109375,0.125,0.28144531250000004,0.039522864332196365,severity_session,,,
CHFJPY,,LOW,London,1,EUR,9,9,0.1111111111111111,0.0,0.33611111111111175,0.11193995714038332,severity_session,,,
CHFJPY,,LOW,London,1,GBP,9,9,0.2222222222222222,0.0,0.44722222222222285,0.13930312320261648,severity_session,,,
CHFJPY,,LOW,London,1,USD,9,9,0.1111111111111111,0.0,0.3333333333333333,0.11273932639880321,severity_session,,,
CHFJPY,,LOW,London,1,CHF,9,9,0.2222222222222222,0.0,0.4444444444444444,0.13622401566199552,severity_session,,,
CHFJPY,,LOW,London,1,JPY,9,9,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.16326892077975644,severity_session,,,
CHFJPY,,LOW,NY_Late,1,EUR,52,52,0.21153846153846154,0.11490384615384618,0.3269230769230769,0.057743100305562206,severity_session,,,
CHFJPY,,LOW,NY_Late,1,GBP,52,52,0.21153846153846154,0.11538461538461539,0.3269230769230769,0.05560178065451912,severity_session,,,
CHFJPY,,LOW,NY_Late,1,USD,52,52,0.09615384615384616,0.019230769230769232,0.19278846153846166,0.043169418443034666,severity_session,,,
CHFJPY,,LOW,NY_Late,1,CHF,52,52,0.1346153846153846,0.057692307692307696,0.25,0.05191896073821836,severity_session,,,
CHFJPY,,LOW,NY_Late,1,JPY,52,52,0.34615384615384615,0.21153846153846154,0.4423076923076923,0.06798905497536907,severity_session,,,
CHFJPY,,LOW,NY_Overlap,1,EUR,15,15,0.13333333333333333,0.0,0.3333333333333333,0.0848317545340841,severity_session,,,
CHFJPY,,LOW,NY_Overlap,1,GBP,15,15,0.2,0.06500000000000003,0.4,0.10514619850352727,severity_session,,,
CHFJPY,,LOW,NY_Overlap,1,USD,15,15,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.1156266156118735,severity_session,,,
CHFJPY,,LOW,NY_Overlap,1,CHF,15,15,0.13333333333333333,0.0,0.3333333333333333,0.08330418250606574,severity_session,,,
CHFJPY,,LOW,NY_Overlap,1,JPY,15,15,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.11320615585813537,severity_session,,,
CHFJPY,,MEDIUM,Asia,1,EUR,32,32,0.0625,0.0,0.1875,0.04720518134409234,severity_session,,,
CHFJPY,,MEDIUM,Asia,1,GBP,32,32,0.34375,0.18671875000000002,0.5,0.08017872231809893,severity_session,,,
