pair,horizon_h,n,mean_return,median_return,mean_mfe,median_mfe,mean_mae,median_mae,mean_rv
EURUSD,6,8028,1.6710555613333348e-05,4.864454719084673e-05,0.0011840653395654905,0.0008165316179527815,-0.0011465880121737013,-0.0007725985915265701,0.0009200020243814164
GBPUSD,6,8028,2.1128323496004498e-05,9.647423948674842e-05,0.0012153043319379892,0.0008790349535467423,-0.0012040642259497037,-0.0007857969449819313,0.0009456675242040758
USDJPY,6,8028,-7.695394751600281e-05,7.840677438542247e-05,0.0015216998264738955,0.0010576917543660969,-0.0016120253165897388,-0.0009278961422154453,0.00122226510158823
USDCHF,6,8028,-3.604322442489555e-05,-1.1005351648732113e-05,0.001322760054243985,0.0009691233573465297,-0.0013337706121708817,-0.0008838221967178012,0.001055638214874484
EURGBP,6,8028,-8.7294042941961e-06,-2.3628652104625474e-05,0.0006428974948635114,0.0004238904730506643,-0.0006612001863124328,-0.0004602164153936217,0.0005335527501057802
EURJPY,6,8028,8.90884091928591e-05,0.0001363576128800779,0.001192196492040204,0.0008088408163171579,-0.0011756248511854298,-0.0006984960959748321,0.0009671404503626696
GBPJPY,6,8028,-5.68128903307538e-05,0.0001350278061259684,0.0015264790421104493,0.0011563348289471698,-0.0016031841562967643,-0.0009406312190964883,0.0012238563306877525
CHFJPY,6,8028,4.879183094493185e-05,0.00014452496131208957,0.0013988222582211132,0.0010761899433640032,-0.0013050697267684242,-0.0008606437239953024,0.0010829769116743764
EURCHF,6,8028,-3.814940670798959e-05,-3.144871448977621e-05,0.0007169209467239836,0.0004786444879740226,-0.0008355455465563312,-0.0005713681247390343,0.0006432703364721914
GBPCHF,6,8028,-1.7569376853191493e-05,0.00010333620079877278,0.0011504314744945096,0.0008499716048398637,-0.0011592724745130996,-0.000788667798213509,0.0009334175641869099
EURUSD,8,8028,6.038870850509386e-05,6.053065384278676e-05,0.0014243908340690098,0.0009795509174048561,-0.001356064482259357,-0.0009164635525855391,0.0009139828087698884
GBPUSD,8,8028,4.209741656594582e-05,8.998581464929515e-05,0.0014569626100950038,0.001075197226968666,-0.0014375862085858632,-0.000968226418035803,0.0009397222990734817
USDJPY,8,8028,-7.079102626187991e-05,0.00011622779293080692,0.0018232041328431433,0.0012660785621778636,-0.0019430666184503478,-0.001129441576177559,0.0012115045160075346
USDCHF,8,8028,-9.329796000004678e-05,-1.1210799243684227e-05,0.0015495994501568812,0.001112605811542454,-0.0016342368385222229,-0.0011024664331980918,0.0010542110146429381
EURGBP,8,8028,5.381802735673962e-06,-3.498073162190209e-05,0.0007758820081696652,0.0004979020615631935,-0.0007846548376128081,-0.0005671754179350924,0.0005303182113152597
EURJPY,8,8028,0.0001120911931123619,0.00022091456470462421,0.0014685709821055837,0.001021288698785483,-0.001426936916121238,-0.0008607740277852827,0.0009702117193049132
GBPJPY,8,8028,-2.8899952960439027e-05,0.00013838950517099284,0.001820649379220666,0.0013576385800275759,-0.0019023967539693364,-0.0011179282338455998,0.0012103789227660927
CHFJPY,8,8028,9.189834852884091e-05,0.00024236709295949254,0.001673825122735237,0.001272232721481803,-0.0015667842163043582,-0.001030662291699791,0.0010803021825405983
EURCHF,8,8028,-4.080360463129205e-05,0.0,0.0008736903079056861,0.0005879911387270502,-0.0010065239073379535,-0.0007089824941303863,0.0006453133793814278
GBPCHF,8,8028,-4.955433564146991e-05,8.417683377922374e-05,0.0013454233138035592,0.0009714065754040518,-0.0014229501969704858,-0.0009615128541844431,0.0009335712207916346
EURUSD,12,8028,9.633162521388748e-05,3.482516921511681e-05,0.0017968743725899016,0.0012622719679941385,-0.0016941743185683884,-0.0012274660781960295,0.0009105126403160574
GBPUSD,12,8028,5.772257226553704e-05,3.7251588671816086e-05,0.0018344188643312994,0.0013502471582050868,-0.001803174640203432,-0.0012645617975076129,0.0009340924807217905
USDJPY,12,8028,-3.5692832154498165e-05,0.00021860676605867777,0.0022947050576854794,0.001615818941687941,-0.0024226988136857026,-0.0014338095653805283,0.0012004680343692565
USDCHF,12,8028,-0.00012550403496571592,6.515118319662955e-05,0.0019283017969112688,0.001371132491497347,-0.0020699413575979314,-0.001413890714648633,0.001046693045515602
EURGBP,12,8028,5.1837984569281984e-05,-5.7588761448240254e-05,0.0010078855289854234,0.0006575394173457816,-0.0009834660879727774,-0.0007213609424871065,0.0005338792372777482
EURJPY,12,8028,0.0001663549239077427,0.00030350288830464326,0.0019143410991271919,0.0013468384187600435,-0.0018538217407587743,-0.0011339872224866987,0.000977618731825583
GBPJPY,12,8028,1.952449885619368e-05,0.00020548839529222005,0.002257251810403528,0.0016841849562583278,-0.00234674775380201,-0.0014512326128439668,0.0011892797176936074
CHFJPY,12,8028,0.00017035351843451414,0.00022049537678337658,0.0020807579913974758,0.0015919133491419935,-0.0019272029796708007,-0.001282881327843377,0.0010668230862458236
EURCHF,12,8028,-5.49340848136115e-05,-3.202852674384747e-05,0.001114042847705246,0.0007386079502599632,-0.001270132212402532,-0.0009024301766255155,0.0006434625334248085
GBPCHF,12,8028,-6.945190762577098e-05,8.39368235999547e-05,0.0016546305098387173,0.0011751814299357302,-0.0017909943012858667,-0.0012138230376339126,0.0009238205422717207
EURUSD,24,8029,0.00016248404170321321,-7.159221079808362e-05,0.0026216137084811935,0.0018370796513296622,-0.0023905882048819004,-0.0018351776010674115,0.0009087078872805911
GBPUSD,24,8029,5.352876047979317e-06,-5.92456547186981e-05,0.0026519344650418122,0.001942234806405846,-0.0026148963508722525,-0.0019084623062990969,0.0009374154533593126
USDJPY,24,8029,-1.60630460860691e-05,0.00035417272638835776,0.0033737777839553916,0.0024387622672987774,-0.0035773225541939685,-0.002270814641511798,0.0012064526852860417
USDCHF,24,8029,-0.00029329816082349997,2.23721153964154e-05,0.002736692877926922,0.0019676884779045722,-0.0030736125305500703,-0.00206678222356374,0.001042861835808519
EURGBP,24,8029,0.00015601319079898318,-5.8485346513120436e-05,0.0016758691022005943,0.0010844440433793456,-0.0015033538808125588,-0.0011663631837694477,0.0005734650092505394
EURJPY,24,8029,0.00022962811347228772,0.00030465551947740513,0.00299213957436396,0.0021299262578251543,-0.0028738627795059086,-0.00182704822134383,0.0010141694853513202
GBPJPY,24,8029,-1.257532522994738e-05,0.0002900372234767123,0.0033027483660196637,0.0024286445846923854,-0.0034528744536684764,-0.0023141882592572216,0.0011899112055419971
CHFJPY,24,8029,0.0003404481008586695,0.00036845689070782447,0.003074702224177413,0.0023458918243433047,-0.0027583435595560386,-0.0018928923876542214,0.0010736234686741213
EURCHF,24,8029,-0.0001563954641983199,-1.0475317533122707e-05,0.00175249968327026,0.0011944486957965877,-0.0020194313580257296,-0.001393100282665368,0.0006785607132330977
GBPCHF,24,8029,-0.00028879563171413424,-1.8878610534792042e-05,0.002343109795373831,0.0017227305944747112,-0.0026707383932230303,-0.0017690775329742559,0.0009290014077324269
EURUSD,48,8033,0.00025988221929996774,-0.00010398703637656252,0.003686428540697747,0.0023681517837861044,-0.003279717501334212,-0.002511642870610467,0.0009334102668263161
GBPUSD,48,8033,-5.754658813973932e-05,-0.000259665662249259,0.0036699634165822163,0.0026231222081234684,-0.003660488547331031,-0.002736488445357843,0.0009608397953927171
USDJPY,48,8033,1.4460811849644288e-05,0.0005194390175531136,0.004671452628493182,0.0033956747284751287,-0.004938784520471962,-0.003086993039167929,0.0012363813783451585
USDCHF,48,8033,-0.0005006152313723444,9.964515262266701e-05,0.0037062460084967288,0.002699157686005371,-0.004383531968723171,-0.0027811484123949903,0.0010687766114100712
EURGBP,48,8033,0.0003003531326635216,-2.282479686028068e-05,0.0023574077139748477,0.001464120665275015,-0.00199626167429571,-0.001563630055762405,0.0005811152369414064
EURJPY,48,8033,0.00038749258490600755,0.0005897427820210077,0.004100726422494901,0.0030342030468091252,-0.003932662966350818,-0.002498100571409978,0.001025443655856885
GBPJPY,48,8033,-4.475505534315239e-05,0.00045538048343156786,0.004432087049973057,0.003320669832789669,-0.004670667771394196,-0.0030809807343210593,0.0012001041875493463
CHFJPY,48,8033,0.0006013873456129444,0.000797220479624008,0.00417581958189071,0.00327924499301524,-0.003644847981015682,-0.002466982108795257,0.0010809871179316547
EURCHF,48,8033,-0.00025014684421712126,3.2072012361100954e-05,0.0023595782696815815,0.0016365700745064448,-0.0027612920420324776,-0.001816433879067672,0.0006850084292314419
GBPCHF,48,8033,-0.000562557089530858,-3.6826986819976194e-05,0.0031062272349357545,0.002313465971363851,-0.0037422259173491915,-0.0024078644542275957,0.0009408795732494744
