cooldown_h,origin_currency,direction,horizon_h,n_events,dominant_destination,top_dest_prob,mean_forward
6,EURJPY,,8,70,USD,0.24285714285714285,4.956352788505163e-21
6,EURJPY,,12,70,JPY,0.24285714285714285,-1.734723475976807e-20
6,EURJPY,,24,70,USD,0.2857142857142857,2.4781763942525815e-20
6,EURJPY,,48,70,USD,0.24285714285714285,3.9650822308041305e-20
6,EURUSD,,1,101,USD,0.24752475247524752,0.0
6,EURUSD,,2,101,USD,0.25742574257425743,0.0
6,EURUSD,,4,101,USD,0.32673267326732675,-1.3740383968133126e-20
6,EURUSD,,6,101,USD,0.3564356435643564,2.748076793626625e-20
6,EURUSD,,8,101,USD,0.37623762376237624,0.0
6,EURUSD,,12,101,USD,0.38613861386138615,0.0
6,EURUSD,,24,101,USD,0.3564356435643564,0.0
6,EURUSD,,48,101,JPY,0.297029702970297,2.748076793626625e-20
6,GBP,ACCUMULATION,1,54,USD,0.3148148148148148,3.2124508814385318e-21
6,GBP,ACCUMULATION,2,54,USD,0.3148148148148148,3.2124508814385318e-21
6,GBP,ACCUMULATION,4,54,GBP,0.25925925925925924,3.2124508814385318e-21
6,GBP,ACCUMULATION,6,54,GBP,0.3148148148148148,0.0
6,GBP,ACCUMULATION,8,54,GBP,0.2962962962962963,0.0
6,GBP,ACCUMULATION,12,54,JPY,0.2962962962962963,1.927470528863119e-20
6,GBP,ACCUMULATION,24,54,USD,0.2962962962962963,0.0
6,GBP,ACCUMULATION,48,54,GBP,0.2777777777777778,-6.424901762877063e-20
6,GBP,LIQUIDATION,1,93,GBP,0.34408602150537637,0.0
6,GBP,LIQUIDATION,2,93,GBP,0.27956989247311825,-1.5084551965015714e-20
6,GBP,LIQUIDATION,4,93,GBP,0.25806451612903225,7.542275982507857e-21
6,GBP,LIQUIDATION,6,93,USD,0.24731182795698925,3.7711379912539285e-21
6,GBP,LIQUIDATION,8,93,GBP,0.25806451612903225,3.7711379912539285e-21
6,GBP,LIQUIDATION,12,93,JPY,0.23655913978494625,0.0
6,GBP,LIQUIDATION,24,93,JPY,0.26881720430107525,3.016910393003143e-20
6,GBP,LIQUIDATION,48,93,JPY,0.24731182795698925,-3.016910393003143e-20
6,GBPCHF,,1,57,JPY,0.2807017543859649,6.086749038515113e-21
6,GBPCHF,,2,57,GBP,0.38596491228070173,0.0
6,GBPCHF,,4,57,GBP,0.2982456140350877,2.434699615406045e-20
6,GBPCHF,,6,57,GBP,0.3684210526315789,1.2173498077030225e-20
6,GBPCHF,,8,57,GBP,0.3157894736842105,-1.2173498077030225e-20
6,GBPCHF,,12,57,GBP,0.3684210526315789,4.86939923081209e-20
6,GBPCHF,,24,57,USD,0.3157894736842105,0.0
6,GBPCHF,,48,57,USD,0.3684210526315789,7.304098846218135e-20
6,GBPJPY,,1,40,USD,0.225,4.336808689942018e-21
6,GBPJPY,,2,40,USD,0.35,0.0
6,GBPJPY,,4,40,USD,0.325,0.0
6,GBPJPY,,6,40,USD,0.25,-3.035766082959413e-20
6,GBPJPY,,8,40,JPY,0.35,0.0
6,GBPJPY,,12,40,USD,0.325,-1.734723475976807e-20
6,GBPJPY,,24,40,JPY,0.325,0.0
6,GBPJPY,,48,40,JPY,0.375,3.469446951953614e-20
6,GBPUSD,,1,171,USD,0.25146198830409355,0.0
6,GBPUSD,,2,171,GBP,0.2573099415204678,4.13029399042097e-21
6,GBPUSD,,4,171,USD,0.26900584795321636,-4.13029399042097e-21
6,GBPUSD,,6,171,USD,0.2631578947368421,4.13029399042097e-21
6,GBPUSD,,8,171,GBP,0.23391812865497075,-1.4456028966473392e-20
6,GBPUSD,,12,171,USD,0.2573099415204678,0.0
6,GBPUSD,,24,171,USD,0.27485380116959063,4.13029399042097e-21
6,GBPUSD,,48,171,USD,0.25146198830409355,6.530723674265626e-20
6,JPY,ACCUMULATION,1,80,USD,0.2875,-5.4210108624275225e-21
6,JPY,ACCUMULATION,2,80,GBP,0.3125,8.673617379884036e-21
6,JPY,ACCUMULATION,4,80,JPY,0.3875,-4.336808689942018e-21
6,JPY,ACCUMULATION,6,80,JPY,0.3375,-2.168404344971009e-20
6,JPY,ACCUMULATION,8,80,JPY,0.3,1.5178830414797064e-20
6,JPY,ACCUMULATION,12,80,JPY,0.275,8.673617379884036e-21
6,JPY,ACCUMULATION,24,80,USD,0.25,4.336808689942018e-20
6,JPY,ACCUMULATION,48,80,JPY,0.3125,-6.938893903907229e-20
6,JPY,LIQUIDATION,1,78,JPY,0.24358974358974358,-6.8994683703623e-21
6,JPY,LIQUIDATION,2,78,JPY,0.2948717948717949,-2.2528876311387105e-21
6,JPY,LIQUIDATION,4,78,USD,0.3717948717948718,0.0
6,JPY,LIQUIDATION,6,78,GBP,0.2692307692307692,-3.604620209821937e-20
6,JPY,LIQUIDATION,8,78,USD,0.3076923076923077,1.8023101049109684e-20
6,JPY,LIQUIDATION,12,78,GBP,0.28205128205128205,-9.011550524554842e-21
6,JPY,LIQUIDATION,24,78,GBP,0.24358974358974358,-3.604620209821937e-20
6,JPY,LIQUIDATION,48,78,GBP,0.2692307692307692,-7.209240419643874e-20
6,USD,ACCUMULATION,1,68,USD,0.35294117647058826,0.0
6,USD,ACCUMULATION,2,68,USD,0.3235294117647059,-5.1782790327665884e-21
6,USD,ACCUMULATION,4,68,USD,0.36764705882352944,-1.0356558065533177e-20
6,USD,ACCUMULATION,6,68,USD,0.27941176470588236,0.0
6,USD,ACCUMULATION,8,68,USD,0.3088235294117647,-1.0356558065533177e-20
6,USD,ACCUMULATION,12,68,USD,0.27941176470588236,1.0356558065533177e-20
6,USD,ACCUMULATION,24,68,USD,0.3088235294117647,0.0
6,USD,ACCUMULATION,48,68,USD,0.25,-2.0713116131066354e-20
6,USD,LIQUIDATION,1,84,USD,0.2857142857142857,1.672022627447525e-20
6,USD,LIQUIDATION,2,84,USD,0.2976190476190476,0.0
6,USD,LIQUIDATION,4,84,USD,0.2976190476190476,-1.2540169705856437e-20
6,USD,LIQUIDATION,6,84,USD,0.2976190476190476,-1.2540169705856437e-20
6,USD,LIQUIDATION,8,84,USD,0.27380952380952384,-3.34404525489505e-20
6,USD,LIQUIDATION,12,84,USD,0.32142857142857145,0.0
6,USD,LIQUIDATION,24,84,USD,0.3333333333333333,-1.672022627447525e-20
6,USD,LIQUIDATION,48,84,USD,0.3333333333333333,-3.34404525489505e-20
6,USDCHF,,1,100,GBP,0.28,1.7701259958947013e-21
6,USDCHF,,2,100,USD,0.31,0.0
6,USDCHF,,4,100,USD,0.33,7.080503983578805e-21
6,USDCHF,,6,100,USD,0.33,-2.1241511950736412e-20
6,USDCHF,,8,100,USD,0.28,2.1241511950736412e-20
6,USDCHF,,12,100,USD,0.31,0.0
6,USDCHF,,24,100,USD,0.36,-1.416100796715761e-20
6,USDCHF,,48,100,USD,0.35,0.0
6,USDJPY,,1,80,JPY,0.25,3.293778751854697e-21
6,USDJPY,,2,80,GBP,0.2875,0.0
6,USDJPY,,4,80,JPY,0.325,1.0979262506182323e-20
6,USDJPY,,6,80,JPY,0.3,6.587557503709394e-21
6,USDJPY,,8,80,JPY,0.3,1.7566820009891718e-20
6,USDJPY,,12,80,JPY,0.275,2.6350230014837575e-20
6,USDJPY,,24,80,USD,0.2625,1.7566820009891718e-20
6,USDJPY,,48,80,USD,0.2875,1.7566820009891718e-20
6,,,1,144,GBP,0.3263888888888889,9.637352644315595e-21
6,,,2,144,GBP,0.2916666666666667,0.0
6,,,4,144,GBP,0.2708333333333333,9.637352644315595e-21
6,,,6,144,GBP,0.3125,-4.818676322157798e-21
6,,,8,144,GBP,0.2708333333333333,0.0
6,,,12,144,JPY,0.2708333333333333,2.8912057932946785e-20
6,,,24,144,JPY,0.2638888888888889,1.927470528863119e-20
6,,,48,144,USD,0.2638888888888889,-1.927470528863119e-20
12,CHF,ACCUMULATION,1,56,USD,0.32142857142857145,-1.2616170734376779e-20
12,CHF,ACCUMULATION,2,56,USD,0.30357142857142855,1.2616170734376779e-20
12,CHF,ACCUMULATION,4,56,USD,0.25,-6.3080853671883894e-21
12,CHF,ACCUMULATION,6,56,USD,0.25,-1.892425610156517e-20
12,CHF,ACCUMULATION,8,56,USD,0.26785714285714285,-2.5232341468753558e-20
12,CHF,ACCUMULATION,12,56,CHF,0.2857142857142857,-6.3080853671883894e-21
12,CHF,ACCUMULATION,24,56,USD,0.25,3.1540426835941946e-20
12,CHF,ACCUMULATION,48,56,USD,0.2857142857142857,3.784851220313034e-20
12,CHF,LIQUIDATION,1,57,USD,0.3684210526315789,-7.60843629814389e-21
12,CHF,LIQUIDATION,2,57,USD,0.3508771929824561,-4.565061778886334e-21
12,CHF,LIQUIDATION,4,57,USD,0.3157894736842105,6.086749038515113e-21
12,CHF,LIQUIDATION,6,57,GBP,0.3508771929824561,1.8260247115545337e-20
12,CHF,LIQUIDATION,8,57,GBP,0.3333333333333333,-1.2173498077030225e-20
12,CHF,LIQUIDATION,12,57,GBP,0.3157894736842105,-2.1303621634802894e-20
12,CHF,LIQUIDATION,24,57,JPY,0.2631578947368421,-4.260724326960579e-20
12,CHF,LIQUIDATION,48,57,JPY,0.2807017543859649,-5.478074134663602e-20
12,CHFJPY,,1,95,USD,0.29473684210526313,-3.6520494231090675e-21
12,CHFJPY,,2,95,GBP,0.30526315789473685,0.0
12,CHFJPY,,4,95,USD,0.3368421052631579,-1.460819769243627e-20
12,CHFJPY,,6,95,USD,0.3368421052631579,7.304098846218135e-21
12,CHFJPY,,8,95,USD,0.3157894736842105,-1.460819769243627e-20
12,CHFJPY,,12,95,USD,0.28421052631578947,4.382459307730881e-20
12,CHFJPY,,24,95,USD,0.35789473684210527,-7.304098846218135e-21
12,CHFJPY,,48,95,USD,0.29473684210526313,1.460819769243627e-20
12,EUR,ACCUMULATION,1,48,USD,0.25,0.0
12,EUR,ACCUMULATION,2,48,USD,0.3958333333333333,0.0
12,EUR,ACCUMULATION,4,48,USD,0.4583333333333333,-2.8912057932946785e-20
12,EUR,ACCUMULATION,6,48,USD,0.375,0.0
12,EUR,ACCUMULATION,8,48,GBP,0.3541666666666667,-2.8912057932946785e-20
12,EUR,ACCUMULATION,12,48,USD,0.375,0.0
12,EUR,ACCUMULATION,24,48,USD,0.3125,-5.782411586589357e-20
12,EUR,ACCUMULATION,48,48,USD,0.375,3.614007241618348e-20
12,EUR,LIQUIDATION,1,71,EUR,0.2676056338028169,-6.195440985631454e-21
12,EUR,LIQUIDATION,2,71,EUR,0.2535211267605634,1.486905836551549e-20
12,EUR,LIQUIDATION,4,71,JPY,0.323943661971831,0.0
12,EUR,LIQUIDATION,6,71,JPY,0.352112676056338,9.912705577010326e-21
12,EUR,LIQUIDATION,8,71,JPY,0.28169014084507044,-9.912705577010326e-21
12,EUR,LIQUIDATION,12,71,JPY,0.3380281690140845,0.0
12,EUR,LIQUIDATION,24,71,JPY,0.28169014084507044,0.0
12,EUR,LIQUIDATION,48,71,USD,0.2535211267605634,-3.9650822308041305e-20
12,EURCHF,,1,76,GBP,0.23684210526315788,0.0
12,EURCHF,,2,76,JPY,0.23684210526315788,-4.565061778886334e-21
12,EURCHF,,4,76,JPY,0.23684210526315788,-1.8260247115545337e-20
12,EURCHF,,6,76,JPY,0.27631578947368424,-9.130123557772669e-21
12,EURCHF,,8,76,USD,0.27631578947368424,-2.282530889443167e-21
12,EURCHF,,12,76,USD,0.2631578947368421,-1.8260247115545337e-20
12,EURCHF,,24,76,USD,0.3026315789473684,-1.3695185336659004e-20
12,EURCHF,,48,76,USD,0.2894736842105263,9.130123557772669e-21
12,EURGBP,,1,46,JPY,0.2826086956521739,0.0
12,EURGBP,,2,46,USD,0.30434782608695654,-2.8912057932946787e-21
12,EURGBP,,4,46,GBP,0.30434782608695654,2.312964634635743e-20
12,EURGBP,,6,46,USD,0.30434782608695654,1.5419764230904952e-20
12,EURGBP,,8,46,USD,0.30434782608695654,-1.5419764230904952e-20
12,EURGBP,,12,46,USD,0.2826086956521739,-2.312964634635743e-20
12,EURGBP,,24,46,USD,0.34782608695652173,-4.625929269271486e-20
12,EURGBP,,48,46,USD,0.3695652173913043,-1.5419764230904952e-20
12,EURJPY,,1,42,JPY,0.2857142857142857,0.0
12,EURJPY,,2,42,USD,0.2619047619047619,-4.13029399042097e-21
12,EURJPY,,4,42,USD,0.30952380952380953,8.26058798084194e-21
12,EURJPY,,6,42,JPY,0.35714285714285715,1.0325734976052424e-21
12,EURJPY,,8,42,JPY,0.3333333333333333,0.0
12,EURJPY,,12,42,JPY,0.3333333333333333,-2.4781763942525815e-20
12,EURJPY,,24,42,USD,0.3333333333333333,4.5433233894630663e-20
12,EURJPY,,48,42,USD,0.2619047619047619,2.4781763942525815e-20
12,EURUSD,,1,56,USD,0.32142857142857145,-6.195440985631454e-21
12,EURUSD,,2,56,GBP,0.25,0.0
12,EURUSD,,4,56,USD,0.25,6.195440985631454e-21
12,EURUSD,,6,56,USD,0.2857142857142857,2.4781763942525815e-20
12,EURUSD,,8,56,USD,0.3392857142857143,-2.4781763942525815e-20
12,EURUSD,,12,56,USD,0.32142857142857145,-6.195440985631454e-21
12,EURUSD,,24,56,USD,0.32142857142857145,-1.2390881971262907e-20
12,EURUSD,,48,56,USD,0.25,0.0
12,GBP,ACCUMULATION,1,33,USD,0.36363636363636365,2.6283689029951623e-21
12,GBP,ACCUMULATION,2,33,USD,0.42424242424242425,-5.2567378059903245e-21
12,GBP,ACCUMULATION,4,33,USD,0.36363636363636365,1.9712766772463716e-21
12,GBP,ACCUMULATION,6,33,GBP,0.30303030303030304,-2.8912057932946785e-20
12,GBP,ACCUMULATION,8,33,USD,0.36363636363636365,-1.8398582320966137e-20
12,GBP,ACCUMULATION,12,33,USD,0.30303030303030304,-4.599645580241534e-21
12,GBP,ACCUMULATION,24,33,USD,0.30303030303030304,-2.1026951223961298e-20
12,GBP,ACCUMULATION,48,33,USD,0.3333333333333333,-2.1026951223961298e-20
12,GBP,LIQUIDATION,1,49,GBP,0.32653061224489793,-7.080503983578805e-21
12,GBP,LIQUIDATION,2,49,GBP,0.32653061224489793,0.0
12,GBP,LIQUIDATION,4,49,GBP,0.32653061224489793,-7.080503983578805e-21
12,GBP,LIQUIDATION,6,49,GBP,0.2653061224489796,-7.080503983578805e-21
12,GBP,LIQUIDATION,8,49,GBP,0.32653061224489793,2.832201593431522e-20
12,GBP,LIQUIDATION,12,49,GBP,0.2857142857142857,1.416100796715761e-20
12,GBP,LIQUIDATION,24,49,JPY,0.30612244897959184,2.1241511950736412e-20
12,GBP,LIQUIDATION,48,49,JPY,0.2857142857142857,-2.832201593431522e-20
12,GBPCHF,,1,33,GBP,0.3939393939393939,-1.0513475611980649e-20
12,GBPCHF,,2,33,GBP,0.45454545454545453,0.0
12,GBPCHF,,4,33,GBP,0.36363636363636365,-5.2567378059903245e-21
12,GBPCHF,,6,33,GBP,0.42424242424242425,0.0
12,GBPCHF,,8,33,GBP,0.30303030303030304,-7.885106708985486e-21
12,GBPCHF,,12,33,GBP,0.3333333333333333,0.0
12,GBPCHF,,24,33,USD,0.36363636363636365,7.359432928386455e-20
12,GBPCHF,,48,33,USD,0.36363636363636365,0.0
12,GBPJPY,,1,22,GBP,0.3181818181818182,1.182766006347823e-20
12,GBPJPY,,2,22,USD,0.3181818181818182,-4.681782108460133e-21
12,GBPJPY,,4,22,USD,0.2727272727272727,9.363564216920266e-21
12,GBPJPY,,6,22,EUR,0.22727272727272727,-2.020558594177531e-20
12,GBPJPY,,8,22,JPY,0.3181818181818182,6.8994683703623e-21
12,GBPJPY,,12,22,JPY,0.3181818181818182,-2.6612235142826018e-20
12,GBPJPY,,24,22,GBP,0.2727272727272727,4.731064025391292e-20
12,GBPJPY,,48,22,JPY,0.2727272727272727,2.9569150158695573e-20
12,GBPUSD,,1,117,USD,0.29914529914529914,-9.050731179009429e-21
12,GBPUSD,,2,117,USD,0.28205128205128205,-1.3576096768514144e-20
12,GBPUSD,,4,117,USD,0.27350427350427353,7.542275982507857e-21
12,GBPUSD,,6,117,CHF,0.24786324786324787,0.0
12,GBPUSD,,8,117,CHF,0.24786324786324787,-1.2067641572012572e-20
12,GBPUSD,,12,117,USD,0.29914529914529914,-1.8101462358018858e-20
12,GBPUSD,,24,117,USD,0.28205128205128205,1.5084551965015714e-20
12,GBPUSD,,48,117,GBP,0.2222222222222222,2.093631781351319e-20
12,JPY,ACCUMULATION,1,55,USD,0.2545454545454545,0.0
12,JPY,ACCUMULATION,2,55,JPY,0.2545454545454545,0.0
12,JPY,ACCUMULATION,4,55,JPY,0.32727272727272727,-3.1540426835941947e-21
12,JPY,ACCUMULATION,6,55,JPY,0.3090909090909091,-6.3080853671883894e-21
12,JPY,ACCUMULATION,8,55,JPY,0.3090909090909091,-6.3080853671883894e-21
12,JPY,ACCUMULATION,12,55,JPY,0.2909090909090909,-2.5232341468753558e-20
12,JPY,ACCUMULATION,24,55,USD,0.32727272727272727,3.784851220313034e-20
12,JPY,ACCUMULATION,48,55,JPY,0.2909090909090909,-5.0464682937507115e-20
12,JPY,LIQUIDATION,1,52,GBP,0.28846153846153844,3.336006684570783e-21
12,JPY,LIQUIDATION,2,52,USD,0.3076923076923077,0.0
12,JPY,LIQUIDATION,4,52,USD,0.36538461538461536,2.6688053476566264e-20
12,JPY,LIQUIDATION,6,52,USD,0.3269230769230769,2.335204679199548e-20
12,JPY,LIQUIDATION,8,52,USD,0.3269230769230769,-1.0008020053712349e-20
12,JPY,LIQUIDATION,12,52,USD,0.3076923076923077,-6.672013369141566e-21
12,JPY,LIQUIDATION,24,52,USD,0.2692307692307692,2.0016040107424698e-20
12,JPY,LIQUIDATION,48,52,CHF,0.23076923076923078,-5.337610695313253e-20
12,USD,ACCUMULATION,1,38,USD,0.2894736842105263,-3.516331370223258e-21
12,USD,ACCUMULATION,2,38,USD,0.3157894736842105,9.376883653928688e-21
12,USD,ACCUMULATION,4,38,USD,0.2631578947368421,4.688441826964344e-21
12,USD,ACCUMULATION,6,38,USD,0.2894736842105263,-9.376883653928688e-21
12,USD,ACCUMULATION,8,38,USD,0.34210526315789475,0.0
12,USD,ACCUMULATION,12,38,EUR,0.23684210526315788,3.750753461571475e-20
12,USD,ACCUMULATION,24,38,USD,0.2894736842105263,-1.8753767307857375e-20
12,USD,ACCUMULATION,48,38,USD,0.2631578947368421,-9.376883653928688e-21
12,USD,LIQUIDATION,1,52,JPY,0.28846153846153844,-3.4014185803466805e-21
12,USD,LIQUIDATION,2,52,USD,0.3269230769230769,-3.4014185803466805e-21
12,USD,LIQUIDATION,4,52,USD,0.3076923076923077,-6.802837160693361e-21
12,USD,LIQUIDATION,6,52,USD,0.3269230769230769,-3.4014185803466805e-20
12,USD,LIQUIDATION,8,52,GBP,0.2692307692307692,-1.3605674321386722e-20
12,USD,LIQUIDATION,12,52,USD,0.3269230769230769,-2.7211348642773444e-20
12,USD,LIQUIDATION,24,52,CHF,0.28846153846153844,-2.7211348642773444e-20
12,USD,LIQUIDATION,48,52,GBP,0.2692307692307692,-4.4218441544506847e-20
12,USDCHF,,1,71,GBP,0.29577464788732394,-4.8865450027515695e-21
12,USDCHF,,2,71,USD,0.352112676056338,-9.773090005503139e-21
12,USDCHF,,4,71,USD,0.39436619718309857,-9.773090005503139e-21
12,USDCHF,,6,71,USD,0.352112676056338,2.4432725013757848e-21
12,USDCHF,,8,71,USD,0.29577464788732394,4.8865450027515695e-21
12,USDCHF,,12,71,USD,0.29577464788732394,4.8865450027515695e-21
12,USDCHF,,24,71,USD,0.3380281690140845,0.0
12,USDCHF,,48,71,USD,0.3380281690140845,-3.9092360022012556e-20
12,USDJPY,,1,54,GBP,0.2222222222222222,-6.4249017628770636e-21
12,USDJPY,,2,54,GBP,0.25925925925925924,6.4249017628770636e-21
12,USDJPY,,4,54,JPY,0.3148148148148148,-4.818676322157798e-21
12,USDJPY,,6,54,JPY,0.35185185185185186,0.0
12,USDJPY,,8,54,JPY,0.3148148148148148,-9.637352644315595e-21
12,USDJPY,,12,54,JPY,0.2962962962962963,0.0
12,USDJPY,,24,54,GBP,0.2962962962962963,0.0
12,USDJPY,,48,54,USD,0.2962962962962963,-3.2124508814385315e-20
12,,,1,97,GBP,0.38144329896907214,-7.153498870007452e-21
12,,,2,97,GBP,0.3402061855670103,0.0
12,,,4,97,JPY,0.28865979381443296,4.470936793754657e-21
12,,,6,97,JPY,0.3402061855670103,-1.4306997740014904e-20
12,,,8,97,JPY,0.26804123711340205,-4.292099322004471e-20
12,,,12,97,JPY,0.29896907216494845,4.6497742655048435e-20
12,,,24,97,JPY,0.24742268041237114,0.0
12,,,48,97,USD,0.26804123711340205,-2.861399548002981e-20
24,CHF,ACCUMULATION,1,23,USD,0.30434782608695654,-3.7711379912539285e-21
24,CHF,ACCUMULATION,2,23,GBP,0.30434782608695654,3.7711379912539285e-21
24,CHF,ACCUMULATION,4,23,GBP,0.34782608695652173,2.8283534934404462e-21
24,CHF,ACCUMULATION,6,23,USD,0.30434782608695654,9.427844978134821e-21
24,CHF,ACCUMULATION,8,23,USD,0.34782608695652173,5.6567069868808924e-21
24,CHF,ACCUMULATION,12,23,USD,0.34782608695652173,2.4512396943150535e-20
24,CHF,ACCUMULATION,24,23,USD,0.34782608695652173,7.730832882070553e-20
24,CHF,ACCUMULATION,48,23,USD,0.34782608695652173,7.165162183382464e-20
24,CHF,LIQUIDATION,1,31,CHF,0.2903225806451613,-6.994852725712932e-21
24,CHF,LIQUIDATION,2,31,USD,0.3548387096774194,-9.792793815998104e-21
24,CHF,LIQUIDATION,4,31,USD,0.3548387096774194,5.5958821805703455e-21
24,CHF,LIQUIDATION,6,31,GBP,0.2903225806451613,-8.393823270855519e-21
24,CHF,LIQUIDATION,8,31,GBP,0.25806451612903225,-1.3989705451425863e-20
24,CHF,LIQUIDATION,12,31,USD,0.25806451612903225,3.3575293083422074e-20
24,CHF,LIQUIDATION,24,31,JPY,0.2903225806451613,1.1191764361140691e-20
24,CHF,LIQUIDATION,48,31,GBP,0.2903225806451613,-5.595882180570345e-20
24,CHFJPY,,1,70,GBP,0.3,-4.956352788505163e-21
24,CHFJPY,,2,70,USD,0.3,9.912705577010326e-21
24,CHFJPY,,4,70,USD,0.3,-1.9825411154020652e-20
24,CHFJPY,,6,70,USD,0.2571428571428571,1.9825411154020652e-20
24,CHFJPY,,8,70,JPY,0.22857142857142856,-1.9825411154020652e-20
24,CHFJPY,,12,70,USD,0.24285714285714285,-1.9825411154020652e-20
24,CHFJPY,,24,70,USD,0.2857142857142857,-1.9825411154020652e-20
24,CHFJPY,,48,70,CHF,0.2857142857142857,1.9825411154020652e-20
24,EUR,ACCUMULATION,1,37,USD,0.32432432432432434,-9.376883653928688e-21
24,EUR,ACCUMULATION,2,37,USD,0.35135135135135137,0.0
24,EUR,ACCUMULATION,4,37,USD,0.43243243243243246,0.0
24,EUR,ACCUMULATION,6,37,USD,0.32432432432432434,-3.750753461571475e-20
24,EUR,ACCUMULATION,8,37,GBP,0.2972972972972973,0.0
