pair,horizon_h,n,mean_base_forward,mean_quote_forward,p_network_in_window,destination_change_rate,rho_shock_base,rho_shock_quote
GBPJPY,48,151,-2.1772289425349346e-05,-5.454271788489001e-05,1.8289473684210527,0.6907894736842105,-0.18070756361101428,0.13490066225165565
GBPUSD,1,473,1.9509327583632216e-05,9.961525892392728e-06,0.06485355648535565,0.0,-0.024671796423292015,-0.03603503589907346
GBPUSD,2,474,-1.7537613314448325e-05,-9.389361661933306e-06,0.12133891213389121,0.4497907949790795,-0.021768658808151865,-0.027488989017892235
GBPUSD,4,474,-0.00010426462397560288,5.3211106025575644e-05,0.2510460251046025,0.5669456066945606,-0.28099316452879197,-0.03268997553428089
GBPUSD,6,474,-0.00012758316623556274,8.311633311573982e-05,0.3723849372384937,0.602510460251046,-0.392679327242022,-0.0166545488349557
GBPUSD,8,474,-0.00012555364174880436,4.959660292139272e-05,0.4560669456066946,0.6192468619246861,-0.36889690171316386,-0.027107904103395485
GBPUSD,12,474,-0.00017013594920553608,-2.1284513497653583e-05,0.5878661087866108,0.6317991631799164,-0.3236585616636126,-0.03880468693879909
GBPUSD,24,474,-0.00030367505961166044,-0.0001046149239217174,1.1171548117154813,0.6861924686192469,-0.2669349397794001,-0.03190921344896215
GBPUSD,48,476,-0.00041667660357163976,-0.00014011828877010484,2.1087866108786613,0.7112970711297071,-0.15109827843749218,-0.04477909535214285
USDCHF,1,250,5.8528741866382154e-05,-9.315900836116104e-05,0.031746031746031744,0.0,-0.15300225603609657,0.2796950991215859
USDCHF,2,250,0.00014019122609079004,-0.00014806536833442995,0.07539682539682539,0.5158730158730159,-0.053364181826909225,0.2340728651658426
USDCHF,4,250,1.0868603411409772e-05,-0.00022139153187256358,0.1746031746031746,0.6309523809523809,-0.10049479191667067,0.32501934430950896
USDCHF,6,250,1.4669714444052289e-05,-0.00020107260725658082,0.25396825396825395,0.6468253968253969,-0.07395382326117218,0.3666356261700187
USDCHF,8,250,3.347600768943991e-05,-0.00022677019883552568,0.3253968253968254,0.6626984126984127,-0.06356722507560121,0.36146997551960824
USDCHF,12,250,0.00011140046531219585,-0.00022498153395315808,0.5476190476190477,0.6587301587301587,-0.09370402726443622,0.31386780588489416
USDCHF,24,250,0.00011257675143502679,-0.00015890624087115297,1.1031746031746033,0.7142857142857143,0.011320885134162146,0.2190996975951615
USDCHF,48,250,0.0001816519747028136,-7.748060269351479e-05,2.0515873015873014,0.7301587301587301,0.01908011328181251,0.15861412182594922
USDJPY,1,252,1.0808855553276217e-05,-1.4175729718582916e-06,0.023346303501945526,0.0,0.0860799227333092,0.015865767121613302
USDJPY,2,252,-8.8588614226186e-06,-1.7478876161118708e-05,0.08560311284046693,0.44357976653696496,0.08041389870594791,-0.12975839911575232
USDJPY,4,252,-7.625951763490607e-05,8.238574158523996e-05,0.20233463035019456,0.5291828793774319,0.003564885948395389,0.21432433263370387
USDJPY,6,252,-0.00023414814244522624,0.00020378263043290443,0.36186770428015563,0.556420233463035,0.014931428061516403,0.3072595745382858
USDJPY,8,252,-0.00023930104116526838,0.00016834348968074812,0.4591439688715953,0.5719844357976653,0.01664413304808247,0.2840218272402579
USDJPY,12,252,-0.00032998480712777593,9.46774845778687e-07,0.5953307392996109,0.6070038910505836,0.0025810554132050757,0.2474506266295631
USDJPY,24,252,-0.0002031185931005699,-5.272689945467836e-05,1.0038910505836576,0.6498054474708171,-0.023304485802320554,0.2366607351883638
USDJPY,48,253,-0.00020948222980802958,-0.00027459197125367154,1.7821011673151752,0.6381322957198443,0.002169689263150407,0.2308332999876992
