resolution,n,prob,subperiod_coverage,median_days_to_exit,prob_demand_lo,prob_demand_hi,prob_rising,prob_falling,prob_ent_lo,prob_ent_hi,from_state,to_state,edge_class
8CELL,2,0.0108,0.2,0.0,0.0108,0.0108,0.0323,0.0,1.0,1.0,8C_2,8C_5,NEAR_ZERO
8CELL,216,0.75,1.0,2.0,1.0,1.0,0.782,0.7226,1.0,1.0,8C_3,8C_3,STAY
8CELL,20,0.0694,0.8,1.5,0.0694,1.0,0.0677,0.071,1.0,1.0,8C_3,8C_2,MINOR
8CELL,12,0.0417,0.6,5.0,0.0417,0.0417,0.0451,0.0387,1.0,1.0,8C_3,8C_6,MINOR
8CELL,11,0.0382,0.4,5.0,0.0382,0.0382,0.0226,0.0516,1.0,1.0,8C_3,8C_0,MINOR
8CELL,8,0.0278,0.8,4.5,0.0278,0.0278,0.015,0.0387,,1.0,8C_3,8C_1,MINOR
8CELL,8,0.0278,0.8,0.5,0.0278,0.0278,0.0301,0.0258,1.0,1.0,8C_3,8C_5,MINOR
8CELL,7,0.0243,1.0,1.0,0.0243,0.0243,0.0301,0.0194,,1.0,8C_3,8C_7,MINOR
8CELL,6,0.0208,0.6,6.0,0.0208,0.0208,0.0075,0.0323,1.0,1.0,8C_3,8C_4,MINOR
8CELL,240,0.7362,1.0,2.0,1.0,1.0,0.748,0.7291,1.0,1.0,8C_4,8C_4,STAY
8CELL,23,0.0706,0.6,2.0,1.0,0.0706,0.065,0.0739,1.0,1.0,8C_4,8C_7,MINOR
8CELL,21,0.0644,1.0,6.0,0.0644,0.0644,0.0813,0.0542,1.0,1.0,8C_4,8C_5,MINOR
8CELL,13,0.0399,1.0,1.0,0.0399,0.0399,0.0488,0.0345,,1.0,8C_4,8C_6,MINOR
8CELL,10,0.0307,0.8,4.5,0.0307,0.0307,0.0407,0.0246,1.0,1.0,8C_4,8C_2,MINOR
8CELL,10,0.0307,1.0,0.0,0.0307,0.0307,0.0081,0.0443,1.0,1.0,8C_4,8C_3,MINOR
8CELL,9,0.0276,0.8,0.0,0.0276,0.0276,0.0081,0.0394,1.0,1.0,8C_4,8C_0,MINOR
8CELL,109,0.6264,1.0,1.0,1.0,1.0,0.6522,0.5976,1.0,1.0,8C_5,8C_5,STAY
8CELL,24,0.1379,0.8,0.0,0.1379,0.1379,0.1304,0.1463,1.0,1.0,8C_5,8C_0,MINOR
8CELL,18,0.1034,1.0,1.0,0.1034,0.1034,0.087,0.122,1.0,1.0,8C_5,8C_4,MINOR
8CELL,10,0.0575,0.8,0.5,0.0575,0.0575,0.0435,0.0732,1.0,1.0,8C_5,8C_3,MINOR
8CELL,7,0.0402,0.8,1.0,0.0402,0.0402,0.0543,0.0244,1.0,1.0,8C_5,8C_6,MINOR
8CELL,3,0.0172,0.6,1.0,0.0172,0.0172,0.0109,0.0244,,1.0,8C_5,8C_2,NEAR_ZERO
8CELL,2,0.0115,0.2,3.0,0.0115,0.0115,0.0109,0.0122,,1.0,8C_5,8C_7,NEAR_ZERO
8CELL,1,0.0057,0.2,0.0,0.0057,0.0057,0.0109,0.0,1.0,1.0,8C_5,8C_1,NEAR_ZERO
8CELL,440,0.8818,1.0,10.0,1.0,1.0,0.8769,0.8849,1.0,1.0,8C_6,8C_6,STAY
8CELL,29,0.0581,1.0,12.0,1.0,0.0581,0.0769,0.0461,1.0,1.0,8C_6,8C_4,MINOR
8CELL,11,0.022,0.6,0.0,0.022,0.022,0.0,0.0362,1.0,1.0,8C_6,8C_1,MINOR
8CELL,7,0.014,0.8,0.0,0.014,0.014,0.0205,0.0099,,1.0,8C_6,8C_7,NEAR_ZERO
8CELL,6,0.012,0.8,0.0,0.012,0.012,0.0205,0.0066,,1.0,8C_6,8C_2,NEAR_ZERO
8CELL,2,0.004,0.4,0.0,0.004,0.004,0.0051,0.0033,1.0,1.0,8C_6,8C_0,NEAR_ZERO
8CELL,2,0.004,0.4,0.0,0.004,0.004,0.0,0.0066,1.0,1.0,8C_6,8C_3,NEAR_ZERO
8CELL,2,0.004,0.4,0.0,0.004,0.004,0.0,0.0066,1.0,1.0,8C_6,8C_5,NEAR_ZERO
8CELL,63,0.4437,0.8,0.0,0.4437,1.0,0.4397,0.4615,1.0,1.0,8C_7,8C_2,PRIMARY
8CELL,48,0.338,0.8,0.0,0.338,1.0,0.3534,0.2692,1.0,1.0,8C_7,8C_7,STAY
8CELL,12,0.0845,0.6,0.0,0.0845,1.0,0.0948,0.0385,1.0,1.0,8C_7,8C_4,MINOR
8CELL,8,0.0563,0.8,0.0,0.0563,0.0563,0.0517,0.0769,,1.0,8C_7,8C_3,MINOR
8CELL,7,0.0493,0.8,0.0,0.0493,0.0493,0.0345,0.1154,1.0,1.0,8C_7,8C_6,MINOR
8CELL,4,0.0282,0.6,0.5,0.0282,0.0282,0.0259,0.0385,1.0,1.0,8C_7,8C_1,MINOR
