date,time,open,high,low,close,tickvol,spread
2024-01-17,1.08836,1.08667,16.899999999999693,1.08805,1.08823,1.0844,0
2024-01-18,1.08954,1.08824,12.999999999998568,1.08685,1.08935,1.08462,0
2024-01-19,1.08925,1.08724,20.100000000000673,1.08944,1.08972,1.08651,0
2024-01-22,1.08966,1.08811,15.500000000001624,1.08838,1.08994,1.08795,0
2024-01-23,1.08877,1.08596,28.099999999999792,1.08492,1.08753,1.0821,0
2024-01-24,1.09044,1.08905,13.900000000000023,1.08794,1.09318,1.08773,0
2024-01-25,1.08983,1.08861,12.199999999999989,1.08393,1.09014,1.08212,0
2024-01-26,1.08756,1.08437,31.90000000000026,1.0854,1.08851,1.08515,0
2024-01-29,1.08265,1.08132,13.299999999998313,1.08308,1.084,1.07953,0
2024-01-30,1.08475,1.08226,24.900000000001032,1.08441,1.08569,1.08275,0
2024-01-31,1.08399,1.08209,19.000000000000128,1.08067,1.08862,1.07943,0
2024-02-01,1.08128,1.07909,21.899999999999142,1.08708,1.08743,1.08039,0
2024-02-02,1.08944,1.08777,16.700000000000603,1.07927,1.08856,1.078,0
2024-02-05,1.07582,1.07464,11.799999999999589,1.07422,1.07571,1.07227,0
2024-02-06,1.07424,1.07238,18.599999999999728,1.07561,1.07569,1.0722,0
2024-02-07,1.07735,1.0762,11.499999999999844,1.07723,1.07834,1.07551,0
2024-02-08,1.0785,1.07605,24.500000000000632,1.07773,1.07822,1.07411,0
2024-02-09,1.07728,1.07617,11.099999999999444,1.07857,1.0795,1.07626,0
2024-02-12,1.07783,1.07625,15.800000000001369,1.07737,1.07855,1.07554,0
2024-02-13,1.07814,1.07657,15.700000000000713,1.07066,1.07984,1.07,0
2024-02-14,1.07099,1.06959,14.000000000000679,1.07271,1.07339,1.07007,0
2024-02-15,1.07395,1.07303,9.200000000000319,1.07711,1.07843,1.07349,0
2024-02-16,1.07797,1.07621,17.599999999999838,1.0776,1.07869,1.07315,0
2024-02-19,1.07812,1.07717,9.500000000000064,1.07788,1.07832,1.07615,0
2024-02-20,1.0809,1.07931,15.899999999999803,1.081,1.08382,1.07948,0
2024-02-21,1.08027,1.07937,9.00000000000123,1.08167,1.0824,1.07958,0
2024-02-22,1.08584,1.08445,13.900000000000023,1.08212,1.08579,1.08021,0
2024-02-23,1.08309,1.08166,14.300000000000423,1.08218,1.08392,1.08113,0
2024-02-26,1.08535,1.08379,15.600000000000058,1.08501,1.08592,1.0838,0
2024-02-27,1.08583,1.08413,17.000000000000348,1.08437,1.08626,1.08324,0
2024-02-28,1.08174,1.07989,18.499999999999073,1.08375,1.08453,1.0806,0
2024-02-29,1.08537,1.08284,25.299999999999212,1.08078,1.08553,1.07953,0
2024-03-01,1.0822,1.0798,23.999999999999577,1.08368,1.08426,1.07977,0
2024-03-04,1.08564,1.08451,11.299999999998533,1.08552,1.08663,1.08396,0
2024-03-05,1.08544,1.08473,7.099999999999884,1.08572,1.08755,1.08393,0
2024-03-06,1.08788,1.08709,7.900000000000684,1.08984,1.0915,1.0867,0
