date,time,open,high,low,close,tickvol,spread
2021.07.06,00:00:00,2223.86,2346.88,2190.82,2306.88,95646.0,0
2021.07.07,00:00:00,2298.56,2405.46,2271.26,2360.3,103496.0,0
2021.07.08,00:00:00,2354.3,2360.94,2124.0,2136.56,236696.0,0
2021.07.09,00:00:00,2138.52,2186.34,2044.8,2132.64,231495.0,0
2021.07.10,00:00:00,2129.46,2190.74,2072.08,2092.6,195271.0,0
2021.07.11,00:00:00,2090.16,2152.22,2079.28,2127.08,174764.0,0
2021.07.12,00:00:00,2123.54,2171.7,2002.38,2024.48,189739.0,0
2021.07.13,00:00:00,2028.76,2044.02,1913.76,1944.86,185678.0,0
2021.07.14,00:00:00,1950.62,2017.04,1862.2,1986.22,187805.0,0
2021.07.15,00:00:00,1990.7,2039.08,1878.1,1923.6,170976.0,0
2021.07.16,00:00:00,1921.22,1962.8,1845.38,1898.86,174288.0,0
2021.07.17,00:00:00,1896.24,1917.24,1843.7,1896.22,180551.0,0
2021.07.18,00:00:00,1894.02,1992.22,1875.14,1892.24,163664.0,0
2021.07.19,00:00:00,1893.84,1926.36,1798.96,1817.3,174662.0,0
2021.07.20,00:00:00,1818.5,1838.2,1698.6,1791.74,186060.0,0
2021.07.21,00:00:00,1793.48,2030.56,1751.88,1943.66,171754.0,0
2021.07.22,00:00:00,1940.86,2044.36,1937.3,2013.44,178912.0,0
2021.07.23,00:00:00,2017.26,2092.18,1988.56,2038.56,167513.0,0
2021.07.24,00:00:00,2036.26,2197.96,2036.26,2151.88,161767.0,0
2021.07.25,00:00:00,2144.86,2194.2,2105.96,2156.06,155994.0,0
2021.07.26,00:00:00,2154.42,2429.38,2153.06,2262.9,202108.0,0
2021.07.27,00:00:00,2249.98,2317.24,2150.12,2241.88,188604.0,0
2021.07.28,00:00:00,2243.64,2344.26,2238.66,2292.96,180493.0,0
2021.07.29,00:00:00,2291.78,2340.52,2263.14,2310.82,142336.0,0
2021.07.30,00:00:00,2312.48,2448.3,2302.78,2417.62,151879.0,0
2021.07.31,00:00:00,2418.5,2496.06,2412.62,2489.82,143610.0,0
2021.08.01,00:00:00,2502.46,2695.82,2501.74,2668.06,159496.0,0
2021.08.02,00:00:00,2663.48,2676.38,2504.88,2594.82,169148.0,0
2021.08.03,00:00:00,2598.66,2634.42,2441.14,2481.26,171326.0,0
2021.08.04,00:00:00,2480.52,2723.82,2454.34,2708.0,158985.0,0
2021.08.05,00:00:00,2714.06,2829.72,2527.0,2802.98,181576.0,0
2021.08.06,00:00:00,2810.94,2945.68,2718.24,2911.48,169747.0,0
2021.08.07,00:00:00,2903.8,3171.26,2864.16,3080.24,173528.0,0
2021.08.08,00:00:00,3115.86,3189.86,2947.5,2989.08,199208.0,0
2021.08.09,00:00:00,2997.3,3185.66,2892.6,3067.54,182192.0,0
2021.08.10,00:00:00,3075.68,3232.32,3030.82,3154.9,181286.0,0
2021.08.11,00:00:00,3159.96,3272.38,3118.26,3233.32,150627.0,0
2021.08.12,00:00:00,3219.06,3239.6,2976.24,3064.58,166323.0,0
2021.08.13,00:00:00,3049.0,3290.72,2985.08,3280.3,166602.0,0
2021.08.14,00:00:00,3276.46,3330.16,3203.76,3228.56,154868.0,0
2021.08.15,00:00:00,3234.34,3286.24,3109.96,3259.18,160055.0,0
2021.08.16,00:00:00,3251.52,3335.34,3132.32,3161.78,142970.0,0
2021.08.17,00:00:00,3160.64,3288.2,3011.38,3068.88,175568.0,0
2021.08.18,00:00:00,3060.88,3122.88,2947.92,3005.34,197719.0,0
2021.08.19,00:00:00,3017.2,3161.6,2957.18,3155.24,197586.0,0
2021.08.20,00:00:00,3155.02,3299.32,3142.42,3256.48,171161.0,0
2021.08.21,00:00:00,3261.38,3308.08,3205.96,3227.76,168310.0,0
2021.08.22,00:00:00,3228.38,3271.9,3124.98,3151.46,155052.0,0
2021.08.23,00:00:00,3143.44,3375.18,3141.7,3338.16,161783.0,0
2021.08.24,00:00:00,3337.98,3357.26,3145.16,3215.5,154626.0,0
2021.08.25,00:00:00,3212.42,3246.72,3088.66,3205.64,149437.0,0
2021.08.26,00:00:00,3218.3,3247.68,3051.74,3117.5,168451.0,0
2021.08.27,00:00:00,3127.32,3274.2,3057.94,3261.32,157942.0,0
2021.08.28,00:00:00,3261.46,3284.36,3181.08,3236.5,119314.0,0
2021.08.29,00:00:00,3237.84,3284.82,3151.24,3235.22,132417.0,0
2021.08.30,00:00:00,3238.74,3345.7,3135.26,3336.72,142688.0,0
2021.08.31,00:00:00,3334.5,3469.66,3186.44,3389.16,156092.0,0
2021.09.01,00:00:00,3378.34,3790.56,3368.8,3727.38,149561.0,0
2021.09.02,00:00:00,3729.98,3840.38,3714.14,3805.7,137793.0,0
2021.09.03,00:00:00,3815.7,3983.54,3707.26,3913.8,146203.0,0
2021.09.04,00:00:00,3928.12,3968.06,3830.58,3876.74,134360.0,0
2021.09.05,00:00:00,3881.7,3968.52,3831.82,3965.66,121663.0,0
2021.09.06,00:00:00,3975.02,3979.38,3858.22,3950.42,122487.0,0
2021.09.07,00:00:00,3946.42,3967.76,3008.46,3412.6,165401.0,0
2021.09.08,00:00:00,3418.76,3542.26,3211.46,3469.32,194120.0,0
2021.09.09,00:00:00,3484.06,3564.42,3387.28,3428.84,181669.0,0
