rank_band,horizon,corr_1d,corr_3d,corr_7d,corr_14d,corr_30d,corr_60d,inc_r2_fwd_1d_shortest_first,inc_r2_fwd_1d_longest_first
751-1000,3,0.5982112408743775,1.0,0.6625777151238577,0.5088461324090755,0.41444330916462047,0.3238137472839795,7.261746759468224e-12,
751-1000,7,0.39636165412171853,0.6625777151238577,1.0,0.7679794130129792,0.6255012156945615,0.48871787197953354,,
751-1000,14,0.30439775883449083,0.5088461324090755,0.7679794130129792,1.0,0.8144752680618077,0.6363656633919573,,
751-1000,30,0.2479250317106721,0.41444330916462047,0.6255012156945615,0.8144752680618077,1.0,0.7813155498424001,,
751-1000,60,0.1937095528476103,0.3238137472839795,0.48871787197953354,0.6363656633919573,0.7813155498424001,1.0,,2.4160884404267335e-10
1001-1500,1,1.0,0.336724119294033,0.25262200573351645,0.08409067487639504,0.0004885417114335044,0.0002833157975832236,0.0011137684683834026,
1001-1500,3,0.336724119294033,1.0,0.444935325822512,0.10435191234217611,0.0007281687490372445,0.00031914180808864765,0.0005386592524577738,
1001-1500,7,0.25262200573351645,0.444935325822512,1.0,0.1844277066117005,0.0013023710849370002,0.0006261758457724497,,
1001-1500,14,0.08409067487639504,0.10435191234217611,0.1844277066117005,1.0,0.004020483719458646,0.0014427426933330974,,
1001-1500,30,0.0004885417114335044,0.0007281687490372445,0.0013023710849370002,0.004020483719458646,1.0,0.5817522898147045,,
1001-1500,60,0.0002833157975832236,0.00031914180808864765,0.0006261758457724497,0.0014427426933330974,0.5817522898147045,1.0,,6.856642476016361e-09
1501-2000,1,1.0,0.7070714042185916,0.5121224847282582,0.21039651529790251,0.2587303544285255,0.1317578363428141,2.7082780207354773e-07,
1501-2000,3,0.7070714042185916,1.0,0.7246885293840468,0.3192808265532659,0.32110355401621143,0.2011252800142531,1.309036278263065e-07,
1501-2000,7,0.5121224847282582,0.7246885293840468,1.0,0.5803558094005774,0.5097909812456272,0.41537942918836646,,
1501-2000,14,0.21039651529790251,0.3192808265532659,0.5803558094005774,1.0,0.7842877250409206,0.8190164583130284,,
1501-2000,30,0.2587303544285255,0.32110355401621143,0.5097909812456272,0.7842877250409206,1.0,0.7997599807943195,,
1501-2000,60,0.1317578363428141,0.2011252800142531,0.41537942918836646,0.8190164583130284,0.7997599807943195,1.0,,4.3728032528278504e-08
