rank_band,impulse,n_asset_days,n_days,tested,median,mean,p75,p90,p95,iqr,mad,tail_up_5,tail_dn_5,elasticity_ols,amplification,ci_amp_lo,ci_amp_hi
501-750,POSITIVE_MARKET,52630,220,True,0.03225518714489506,0.07147301597753644,0.07836181840482692,0.14877905436734112,0.2256774575874286,0.07879508246884814,0.03782967660727471,0.38681360440813223,0.07626828804864146,-0.005985993193288616,0.6003649270974941,0.029999359730101996,0.037475707916885925
501-750,NEGATIVE_MARKET,52875,220,True,-0.048775651868086356,0.01270308094523587,-0.0036519756820437843,0.032413080081792264,0.08258053451206762,0.08529950603254227,0.04237100045038522,0.07542316784869976,0.4658534278959811,-0.14786772425544906,0.9282509525623245,-0.05535701633959497,-0.041294968024639056
501-750,CALM,105116,439,True,-2.8559849510556568e-05,0.36957927688074343,0.019314705378709662,0.06208892941277577,0.11418196794126545,0.03890724256421055,0.019435938615604942,0.12391072719662087,0.0971212755432094,-6.097841297165798,-0.020673545749180018,-0.0007288944015955146,0.0
501-750,ALL,525875,2194,True,-0.0002862140666908264,0.12002827799762444,0.026965522708557454,0.0780769263931573,0.1358180197551056,0.05695196177723255,0.02852012553567007,0.15764963156643688,0.15609032564772998,-0.004439308790555156,-0.19417073550669275,-0.0013469823410686699,0.0
751-1000,POSITIVE_MARKET,53543,220,True,0.02965044857724497,0.074537218595621,0.07252070121375198,0.14162836651602773,0.21905866330874527,0.07675830350517021,0.036930834344827135,0.35679734045533495,0.08890050987057131,-0.0011786155257899463,0.5518829984932518,0.02356395467217018,0.03452623795337611
751-1000,NEGATIVE_MARKET,53731,220,True,-0.04553940134084783,51.60494471531124,-0.00171148783115449,0.03312594056450768,0.08441863902003344,0.08641358716667252,0.04191128079864781,0.07677132381679105,0.4504476000818894,-4692.9150276343,0.8666617678034219,-0.05284544994354733,-0.03713491309803145
751-1000,CALM,106984,439,True,-0.00043837281906022874,0.018819505271009056,0.01779356201368243,0.06275423496211623,0.1179013578785863,0.03971928213000839,0.019996191833639987,0.12332685261347491,0.11656883272265012,1.661758790054862,-0.3173238194651131,-0.001278482748659826,-0.00012067252859037411
751-1000,ALL,535068,2194,True,-0.0007170750980706742,5.205376325381747,0.024708844668556995,0.07749006964428169,0.1379109849853173,0.056628991969789044,0.028435284362302693,0.15341414549178797,0.16938781612804354,-47.11599131688318,-0.48647154493744993,-0.0016749294597201148,-0.0001400712300242872
1001-1500,POSITIVE_MARKET,107028,220,True,0.027494129567732117,0.06380395454779121,0.07230211543460474,0.148637926212499,0.23956841950405566,0.08052535977392097,0.03914144720143986,0.34841349927121873,0.1089901707964271,-0.0044178395722547685,0.5117474910125577,0.019964266305180223,0.033408818729610656
1001-1500,NEGATIVE_MARKET,107360,220,True,-0.04358093794730436,-0.026708573108247254,-0.00016642442227371435,0.03870307039828461,0.10048275418916865,0.0879103261066744,0.04046861466527096,0.08522727272727272,0.44026639344262297,-0.21461331029908928,0.8293901898544116,-0.05080784406010902,-0.03568088034108682
1001-1500,CALM,213737,439,True,-0.0005831942206004914,0.020065211244665124,0.017934555295854304,0.06777984592753764,0.12992653066935864,0.04131191809841661,0.020785083120997583,0.13056232659764103,0.13401516817397083,0.7711463977920472,-0.4221553196834994,-0.0012953492643559272,-0.00019311927973715706
1001-1500,ALL,1068703,2194,True,-0.0007667371221954655,0.019258985647796052,0.02463407844023524,0.08188494707125922,0.15055112630164655,0.058217175100930774,0.029241984951312916,0.15772763808092613,0.18070970138569836,0.005597960089562269,-0.5201628021930841,-0.0014490572322989378,-0.00010540692047798798
1501-2000,POSITIVE_MARKET,106950,220,True,0.02603052769452152,0.09348768571882889,0.07054453966257795,0.14365785023182492,0.2376576537121273,0.08171897925135818,0.04063701225373029,0.3443571762505844,0.1350537634408602,-0.003434985734512662,0.48450550887918464,0.0172912827538223,0.03399623942224262
1501-2000,NEGATIVE_MARKET,107569,220,True,-0.04187298886939675,-0.040491515028754754,0.0,0.043813996644510106,0.11515188941865638,0.08909356272278879,0.04109960021052961,0.09252665730833233,0.44300867350258905,0.007283204803426865,0.7968861576626244,-0.05078330700368605,-0.03521591598862961
1501-2000,CALM,214004,439,True,-0.00034234253506881807,0.005313055439156037,0.014641394330480173,0.06496094370370684,0.13225670405024617,0.03841503015596234,0.019142015937371526,0.12354909254032635,0.1497355189622624,0.8705515257730241,-0.24781062162177867,-0.0011744304134386208,-7.998811872549933e-05
1501-2000,ALL,1070468,2194,True,-0.00045833300291933665,0.010059092480811375,0.02251768092233397,0.07993058088524208,0.15231885774951706,0.057661238130446685,0.028846728988818182,0.15227825586565877,0.19340512747695401,0.014363535448517501,-0.3317723470745036,-0.0013732996408334544,-2.3756963697703466e-05
