rank_band,event_def,event_sign,chain_confirms,n,n_days,median_fwd_1d,mean_fwd_1d,reversal_rate_1d,median_fwd_3d,mean_fwd_3d,reversal_rate_3d,median_fwd_7d,mean_fwd_7d,reversal_rate_7d,median_fwd_14d,mean_fwd_14d,reversal_rate_14d,median_fwd_30d,mean_fwd_30d,reversal_rate_30d
251-500,FULL_SAMPLE,DOWN,False,3218,1339,0.0,4.866783121152729,0.8892009987515606,0.34133385394216165,5.144315523630983,0.7641058335989799,0.3204204400338153,0.9921302671031724,0.7665110073382255,0.31132962962479255,0.6361624773164755,0.7533405561574575,0.3058539527457163,1.0592378401402627,0.7876910367616687
251-500,TRAILING_252D,UP,True,9291,1511,-0.1339703523227973,-0.02437435573484806,0.7236323851203501,-0.15748511164006251,0.18774169027106669,0.7167424830799956,-0.17910434331944572,-0.14213484959010492,0.7255080031785673,-0.1950687399706683,-0.09135144581189955,0.7325595167594456,-0.19566186465336852,-0.13818684914318458,0.7301650165016501
251-500,TRAILING_252D,UP,False,2030,876,-0.20668591146543241,0.5888375796206691,0.7851815017404277,-0.18733931374917515,-0.17187933587322277,0.7410398788490661,-0.18132338327886877,-0.12339403324077604,0.7390385631273112,-0.18308806781568102,-0.08075185735244288,0.7069741282339708,-0.2070830511094277,-0.11359202142521015,0.7407651715039578
251-500,TRAILING_252D,DOWN,True,10071,1047,0.2006139989360882,1.2977240206207667,0.7420547671397162,0.1949333255828731,0.702502465088268,0.7346153846153847,0.20970130304894166,0.8640393935943793,0.7312752512172381,0.22462132371909269,0.7048755417041884,0.7236656158278074,0.20814864885197443,0.5963929667913717,0.7147482014388489
251-500,TRAILING_252D,DOWN,False,2698,1198,0.26479179824748295,4.944588933431755,0.7822794396062097,0.2026660754511823,61.79650983458035,0.7151702786377709,0.22745754351640513,1.0188481017107376,0.7076547231270358,0.2487528226070746,0.6660625086465394,0.7226373626373627,0.2747087477785093,0.8294861208039392,0.7322596879718168
501-750,FULL_SAMPLE,UP,True,12659,1727,0.0,-0.06204109588480283,0.8918491580362083,-0.2543672650953019,-0.08683981933479791,0.7759143906724165,-0.25527353993968466,-0.08303558304770774,0.785725924718918,-0.25332140005692544,-0.1675646919175655,0.7925686040565877,-0.24773747965852605,-0.2007331218917317,0.7996530789245446
501-750,FULL_SAMPLE,UP,False,3472,1131,0.0,-0.06556225210053226,0.913733410271206,-0.3059045826598634,-0.2370333839427468,0.8188490898414562,-0.26268874977457224,-0.15059534603004912,0.7937137625877326,-0.261379050697395,-0.18585506362838125,0.8013201320132013,-0.2665174658863784,-0.10669695963634943,0.8120805369127517
501-750,FULL_SAMPLE,DOWN,True,9088,1177,0.0,0.12159764997032457,0.8733759083902224,0.20544313851510307,2540.988061355718,0.7285825113598582,0.2597505049374212,420.5413421538162,0.7619047619047619,0.26619038605983203,2.124050451671847,0.7668246445497631,0.2435056072929403,0.40052672231407344,0.7840482573726542
501-750,FULL_SAMPLE,DOWN,False,3031,1353,0.0,0.25883102848996314,0.8629592850049652,0.2741081854737921,0.7230065572860449,0.7457286432160805,0.254829206169013,0.9386270471715829,0.7519944502254596,0.24999999999999997,0.628352098709449,0.7425524089738874,0.2613911206698305,0.6266556236655113,0.762127659574468
501-750,TRAILING_252D,UP,True,10647,1562,-0.20744675027852283,-0.1400407103538541,0.7685273385406745,-0.1767385029894524,-0.12919147922174834,0.7389076848719188,-0.19562997778720825,-0.03441252451458407,0.7459357652656622,-0.20365017626060197,-0.1253806122815385,0.7365318994933305,-0.21215807655549695,-0.12441330602984278,0.7339935513588208
501-750,TRAILING_252D,UP,False,2960,1026,-0.26282805746246984,-0.23097623032609554,0.8207417582417582,-0.22042955582392576,-0.1626814208994207,0.768395234758234,-0.2194555369199876,-0.13557627395446428,0.7500917431192661,-0.2300818654939441,-0.17009149615153496,0.746677091477717,-0.23635739303930303,-0.031487313613612,0.7476808905380334
501-750,TRAILING_252D,DOWN,True,8502,1075,0.16817709585872445,2711.2609551399723,0.7295411542100284,0.1715370225357543,0.5232750117142649,0.7203389830508474,0.19861572745288872,1.5817710061180852,0.7245047688921497,0.21804864500806231,2.310132890238774,0.7245600612088753,0.2030461250730981,0.35392967205328324,0.7070235060889266
501-750,TRAILING_252D,DOWN,False,2724,1231,0.17235053101306944,0.5307469072466632,0.7229228486646885,0.1603114862223031,1.7488267907413815,0.6926260346124906,0.20176931837939321,0.6673305791270215,0.6927851047323507,0.1971006247494108,0.8110536845487307,0.6825590872045639,0.17466228094802305,2.694856170375473,0.6557077625570776
751-1000,FULL_SAMPLE,UP,True,11529,1757,0.0,-0.08113407898690964,0.8938959798558652,-0.2536094397760257,-0.20703262625055963,0.7706575246132208,-0.25223237912588187,-0.15366035393930907,0.7911541244573083,-0.25167752517883835,-0.132234373832858,0.7850665637661586,-0.24785340127243236,-0.18629133842809573,0.7999098185097508
751-1000,FULL_SAMPLE,UP,False,3128,1114,0.0,-0.10305617559064237,0.9085952533675433,-0.3010994773845567,-0.2697752043127044,0.8151890482398957,-0.27400045107292437,-0.2077802716511853,0.7888391319324837,-0.2699771510025697,-0.12116964133675903,0.7931818181818182,-0.2736807326804739,-0.1401082875959383,0.807125890736342
751-1000,FULL_SAMPLE,DOWN,True,9119,1316,0.0,0.18970941642725764,0.8810229393041379,0.27129935707123615,784.0687922647018,0.7576663345510904,0.2570878655295248,1351.8751629353872,0.7719954648526077,0.25554206643666577,0.51519376684416,0.762528542242519,0.2506825229414982,13.915401390610018,0.7786483839373164
751-1000,FULL_SAMPLE,DOWN,False,4222,1583,0.0,0.3291324214205809,0.8223013048635824,0.23130717027808406,102.84577522731419,0.7128784238346949,0.18802516864998597,0.9698115758281861,0.6901970566225991,0.17661229902471853,1.7309355712476502,0.6888469827586207,0.17562761645817437,0.5695285189130707,0.688212927756654
751-1000,TRAILING_252D,UP,True,10162,1602,-0.19598939525174658,-0.18366476982427835,0.7597804391217565,-0.16698978960522284,-0.12272981363547864,0.7278166514552277,-0.18665945005904788,-0.07089580268771264,0.7240590559367852,-0.19963060638545424,-0.12590032446741284,0.7325008215576734,-0.2058156523055921,-0.11422431177885155,0.7231158961367954
751-1000,TRAILING_252D,UP,False,2831,1011,-0.2531838914719271,-0.25522679996318764,0.8075268817204301,-0.18669691717922848,-0.14358543900376414,0.7509197939661516,-0.19370935661495484,-0.153005623093455,0.7223300970873786,-0.21684482440246933,-0.13247166407867375,0.7270440251572327,-0.2182625685233251,-0.08555920027449355,0.7146529562982005
751-1000,TRAILING_252D,DOWN,True,8492,1195,0.19152116253818768,840.455811513057,0.7512166172106824,0.165397866691322,0.38633093823780523,0.7348430385813564,0.1631456236429764,0.40649474062814,0.7137587606049428,0.19001390378273503,0.48356513020486047,0.693064182194617,0.20645717481687414,14.817754509265313,0.6873597606581899
751-1000,TRAILING_252D,DOWN,False,4297,1548,0.12265026270470517,752.1656058622316,0.6549941245593419,0.046417730687831504,1323.751971928335,0.5983782494633914,0.06586913608781572,1364.7737313373675,0.6060009837678307,0.054007109669868006,715.1926833017109,0.5794898222107704,0.04747192221306866,814.823313670713,0.5692894891368174
1001-1500,FULL_SAMPLE,UP,True,20731,1897,0.0,-0.0745343252595573,0.9094073286280576,-0.2864567610780914,-0.24138677874334033,0.7766167192429022,-0.2713099145067797,-0.20690096672453528,0.777335264301231,-0.2664037147306708,-0.17744486081202412,0.7773569748092041,-0.26763370262677416,-0.13097256189373746,0.7893074493490486
1001-1500,FULL_SAMPLE,UP,False,6110,1346,0.0,-0.052103079775308696,0.9166803615447823,-0.3288043585113402,-0.28695944999086165,0.8087863995960276,-0.2988395564448982,9.447154604271365,0.7884754335260116,-0.284757310569869,-0.22583458939474893,0.7848777480994452,-0.2845245509177937,-0.2135507638402189,0.7895040369088812
1001-1500,FULL_SAMPLE,DOWN,True,16957,1590,0.0,0.36752031553871056,0.8875288273904559,0.31124053746931624,1.5032273101839098,0.7626183910802062,0.29882562805191326,1.2862811874928233,0.7590926134233221,0.28947110603377524,0.8362377049210826,0.7562996202968588,0.26788056389829257,1.000402044647099,0.753731343283582
1001-1500,FULL_SAMPLE,DOWN,False,10034,1921,0.0,0.6231944865468276,0.8005196881870877,0.30974039735297115,11.75164606487085,0.6860026506269752,0.23115343530490728,1.3752390719948102,0.6736022193768673,0.1725335476951193,1.1160392951133051,0.6617266525523406,0.11832585438641725,1.1487750240600105,0.6358639132372604
1001-1500,TRAILING_252D,UP,True,20184,1777,-0.23262215739599562,-0.23039410346931327,0.7740895582531607,-0.17863254107048424,-0.14735404739158575,0.7248973305954826,-0.2016735513924529,-0.14474962564687224,0.7220944536556667,-0.2123619038598853,3.528496404430778,0.7111833701080014,-0.21931375072211676,-0.07341703529910398,0.7056421116321283
1001-1500,TRAILING_252D,UP,False,5848,1240,-0.2903233681172555,-0.28760560920010014,0.8162199791159067,-0.185466123870637,-0.14258780427677323,0.7179992828970957,-0.20581096913220237,-0.14639438537756805,0.7142857142857143,-0.23103444767393944,-0.13295048828165226,0.7099685204616999,-0.22863949927980634,-0.07898662094052389,0.6895968424020299
1001-1500,TRAILING_252D,DOWN,True,16837,1506,0.2118766723421489,1.2704670451802833,0.7388825541619156,0.1538878040616795,7.736439442664163,0.701157830591103,0.1656169174993847,7.242166263228484,0.6884841586036805,0.17851623476084957,6.9274957158907045,0.6748285322359396,0.1752096190455614,0.9766697435556227,0.6576919670534054
1001-1500,TRAILING_252D,DOWN,False,10515,1845,0.1464913171071807,10.365853263419483,0.6334619093539055,0.03166937306677539,1.2339825434762335,0.56788306847165,0.047981187445306155,0.9928474364399774,0.5737905695039804,0.03989348707637176,306.5145032783267,0.5576372052016751,0.019218909615834157,378.54125736298,0.5316628081165736
1501-2000,FULL_SAMPLE,UP,True,15453,1840,0.0,-0.043716524158924526,0.9256090392528248,-0.28147188808255086,0.030528324146148873,0.7609075043630017,-0.25772754440197987,-0.12253441208478476,0.7555121633715727,-0.2519141535753414,0.23583232777887322,0.7635499892031958,-0.25064992215153675,-0.12303297618590724,0.7509243043393656
1501-2000,FULL_SAMPLE,UP,False,5298,1257,0.0,-0.0426125073224352,0.9344637073728329,-0.33252861603391815,-0.19939310821252212,0.7846342460155292,-0.27972332503489394,-0.16667403741188683,0.7580993520518359,-0.2615769767042073,-0.13366905885880392,0.7606365703150374,-0.27805946022957295,-0.16925296299749726,0.7609489051094891
1501-2000,FULL_SAMPLE,DOWN,True,17217,1659,0.0,6.462212716124916,0.9185992035605528,0.43999999999999984,33.26191772197108,0.7794136231517755,0.3657081476746544,98.8037151348867,0.7604029785370127,0.3298408248213269,4.166169488561231,0.7482833223591384,0.2981490687394732,3.638290286216786,0.7252040175768989
1501-2000,FULL_SAMPLE,DOWN,False,13315,1939,0.0,4.62111359416097,0.8501478056545138,0.5374372686098584,21.331990399053485,0.7294136754913108,0.3612602279458649,13.180739561011746,0.6862400591825412,0.26116480205731163,5.022959794666592,0.6530401923737548,0.11767941359695366,6.186399139154724,0.5943396226415094
1501-2000,TRAILING_252D,UP,True,17490,1736,-0.22252419135792811,-0.019239944725598077,0.745239816823331,-0.1368708829093992,-0.09282710006852696,0.6835882277342243,-0.17702701686728117,-0.07799514187244502,0.6922570257611241,-0.19527775542148046,0.10770784999202035,0.667910447761194,-0.22040778126103577,0.006115876471736632,0.6632915461266474
1501-2000,TRAILING_252D,UP,False,5666,1208,-0.2790525752533455,-0.22563146608980847,0.7807327506044263,-0.15743752651763998,-0.09071459121184777,0.6813579511614056,-0.17215745212491496,-0.04881388869485139,0.679399727148704,-0.21355552288944168,-0.04713764844576511,0.6748109365910413,-0.2183866164468039,0.009813063024486104,0.649923896499239
1501-2000,TRAILING_252D,DOWN,True,17839,1589,0.32199087056900266,27.622100069870502,0.7678996194100857,0.19777503574517422,81.67857454637966,0.7048868606198897,0.2186167440032291,4.0192764153478295,0.6952718334297282,0.24033103419921775,2.805338690754771,0.6782097649186257,0.19639344228485137,2.6161093764637973,0.6344357111078155
1501-2000,TRAILING_252D,DOWN,False,13627,1843,0.43391212708351523,17.883783936238,0.7224546722454672,0.09882479529924573,5.517885916194549,0.616504457348491,0.1207700581882462,6.4756403722272635,0.6056944062986359,0.10366733493242727,8.35486205551872,0.5771966298282087,0.010533386635080192,3.1158508898349337,0.5093473269924566
