rank_band,impulse,n_asset_days,n_days,median,mean,perturbation
251-500,NEGATIVE_MARKET,54738,220,-0.05148169304292477,-0.04743705312243893,P2_STABLES_INCLUDED
501-750,POSITIVE_MARKET,54430,220,0.03123593525163537,0.06967218155240361,P2_STABLES_INCLUDED
501-750,NEGATIVE_MARKET,54572,220,-0.04283906891321454,0.012786333453419525,P2_STABLES_INCLUDED
751-1000,POSITIVE_MARKET,54521,220,0.026113435987725087,0.07338013565244542,P2_STABLES_INCLUDED
751-1000,NEGATIVE_MARKET,54617,220,-0.04093483987104252,50.767730684114724,P2_STABLES_INCLUDED
1001-1500,POSITIVE_MARKET,108897,220,0.022915780518928175,0.06295192145572806,P2_STABLES_INCLUDED
1001-1500,NEGATIVE_MARKET,109127,220,-0.039313555044585335,-0.02635323205154329,P2_STABLES_INCLUDED
1501-2000,POSITIVE_MARKET,107882,220,0.022027624485782105,0.09276722895738243,P2_STABLES_INCLUDED
1501-2000,NEGATIVE_MARKET,108420,220,-0.04061083056565301,-0.040231422896085535,P2_STABLES_INCLUDED
1-25,POSITIVE_MARKET,4720,220,0.04449813687903659,0.055566665287263756,P3_STALE_EXCLUDED
1-25,NEGATIVE_MARKET,4712,220,-0.05344395475212471,-0.05460879346393074,P3_STALE_EXCLUDED
26-100,POSITIVE_MARKET,15520,220,0.046135136910649854,0.05649868776088402,P3_STALE_EXCLUDED
26-100,NEGATIVE_MARKET,15557,220,-0.0593583913321839,-0.058989464531881114,P3_STALE_EXCLUDED
101-250,POSITIVE_MARKET,31270,220,0.0404926544134816,2.414985859577873,P3_STALE_EXCLUDED
101-250,NEGATIVE_MARKET,31282,220,-0.054427034308309086,-0.04511490608520849,P3_STALE_EXCLUDED
251-500,POSITIVE_MARKET,52502,220,0.034890764712068756,0.049179649616818914,P3_STALE_EXCLUDED
251-500,NEGATIVE_MARKET,52655,220,-0.05394921534626507,-0.04896349925875208,P3_STALE_EXCLUDED
501-750,POSITIVE_MARKET,52323,220,0.03354243872232976,0.07189237679218972,P3_STALE_EXCLUDED
501-750,NEGATIVE_MARKET,52544,220,-0.04509571095135362,0.01278310377929634,P3_STALE_EXCLUDED
751-1000,POSITIVE_MARKET,52862,220,0.02807568298029539,0.0754974517662089,P3_STALE_EXCLUDED
751-1000,NEGATIVE_MARKET,52843,220,-0.04328823699973838,52.47213981981318,P3_STALE_EXCLUDED
1001-1500,POSITIVE_MARKET,105031,220,0.02541749409506533,0.06501708683475352,P3_STALE_EXCLUDED
1001-1500,NEGATIVE_MARKET,104909,220,-0.04199164088858054,-0.027332568310644706,P3_STALE_EXCLUDED
1501-2000,POSITIVE_MARKET,104808,220,0.024209198407589172,0.09539832825384273,P3_STALE_EXCLUDED
1501-2000,NEGATIVE_MARKET,104590,220,-0.04302385489682342,-0.04164482053856124,P3_STALE_EXCLUDED
1-25,POSITIVE_MARKET,1201,56,0.05884656771385144,0.07611282555587677,P4_SUBPERIOD_2020-21
1-25,NEGATIVE_MARKET,1207,56,-0.07432970358176882,-0.07596784144478244,P4_SUBPERIOD_2020-21
26-100,POSITIVE_MARKET,3883,56,0.05484957316450334,0.07302387154014493,P4_SUBPERIOD_2020-21
26-100,NEGATIVE_MARKET,3909,56,-0.0784923366102992,-0.07553692126154705,P4_SUBPERIOD_2020-21
101-250,POSITIVE_MARKET,8106,56,0.047643039046961766,0.09044564414333933,P4_SUBPERIOD_2020-21
101-250,NEGATIVE_MARKET,8110,56,-0.07243285700454094,-0.04625782616713019,P4_SUBPERIOD_2020-21
251-500,POSITIVE_MARKET,13468,56,0.03997509915068609,0.06798630108568632,P4_SUBPERIOD_2020-21
251-500,NEGATIVE_MARKET,13587,56,-0.07023309045407244,-0.04981118593400843,P4_SUBPERIOD_2020-21
501-750,POSITIVE_MARKET,13652,56,0.04091170994669935,0.11190844438208018,P4_SUBPERIOD_2020-21
501-750,NEGATIVE_MARKET,13694,56,-0.06017827006554899,0.12658142006002857,P4_SUBPERIOD_2020-21
751-1000,POSITIVE_MARKET,13742,56,0.04048761041772031,0.15134463802740247,P4_SUBPERIOD_2020-21
751-1000,NEGATIVE_MARKET,13829,56,-0.05910425844346545,0.034995458859392696,P4_SUBPERIOD_2020-21
1001-1500,POSITIVE_MARKET,27486,56,0.04206105952694139,0.12041181193126625,P4_SUBPERIOD_2020-21
1001-1500,NEGATIVE_MARKET,27557,56,-0.0587432790305753,-0.013452646198989109,P4_SUBPERIOD_2020-21
1501-2000,POSITIVE_MARKET,27168,56,0.0456389307008529,0.06607278527608874,P4_SUBPERIOD_2020-21
1501-2000,NEGATIVE_MARKET,27700,56,-0.059292084309059356,-0.04869423505006787,P4_SUBPERIOD_2020-21
1-25,POSITIVE_MARKET,704,34,0.053809662560935,0.06470321857786275,P4_SUBPERIOD_2022
1-25,NEGATIVE_MARKET,700,34,-0.0752023654140751,-0.08677578726345536,P4_SUBPERIOD_2022
26-100,POSITIVE_MARKET,2392,34,0.052372481903414814,0.0647784110824911,P4_SUBPERIOD_2022
26-100,NEGATIVE_MARKET,2403,34,-0.08196025569888177,-0.09290148595083207,P4_SUBPERIOD_2022
101-250,POSITIVE_MARKET,4821,34,0.04555093245303343,0.05633841149302711,P4_SUBPERIOD_2022
101-250,NEGATIVE_MARKET,4817,34,-0.0736817372404085,-0.07713757692108086,P4_SUBPERIOD_2022
251-500,POSITIVE_MARKET,8107,34,0.03864611950549457,0.046573737204685876,P4_SUBPERIOD_2022
251-500,NEGATIVE_MARKET,8120,34,-0.07056401908384491,-0.0801140692292025,P4_SUBPERIOD_2022
501-750,POSITIVE_MARKET,8285,34,0.03520616972784052,0.054411214442662156,P4_SUBPERIOD_2022
501-750,NEGATIVE_MARKET,8249,34,-0.0605852605637589,-0.053323606603925724,P4_SUBPERIOD_2022
751-1000,POSITIVE_MARKET,8350,34,0.0315842539541461,0.051874719077280265,P4_SUBPERIOD_2022
751-1000,NEGATIVE_MARKET,8356,34,-0.056054631544897426,-0.057236219851848444,P4_SUBPERIOD_2022
1001-1500,POSITIVE_MARKET,16677,34,0.03442995239728974,0.05117881015839011,P4_SUBPERIOD_2022
1001-1500,NEGATIVE_MARKET,16685,34,-0.05743062497482565,-0.05641105088112855,P4_SUBPERIOD_2022
1501-2000,POSITIVE_MARKET,16617,34,0.03356838566383069,0.07037587322909329,P4_SUBPERIOD_2022
1501-2000,NEGATIVE_MARKET,16610,34,-0.05681567285337813,-0.06623062444858163,P4_SUBPERIOD_2022
1-25,POSITIVE_MARKET,738,35,0.03267495431819889,0.04180658287035458,P4_SUBPERIOD_2023
1-25,NEGATIVE_MARKET,733,35,-0.03889750467336073,-0.039541596907198565,P4_SUBPERIOD_2023
26-100,POSITIVE_MARKET,2476,35,0.0367335582269076,0.05236968157104144,P4_SUBPERIOD_2023
26-100,NEGATIVE_MARKET,2480,35,-0.04893105916121154,-0.04910123684435582,P4_SUBPERIOD_2023
101-250,POSITIVE_MARKET,4976,35,0.03465230471301661,0.05329273853986656,P4_SUBPERIOD_2023
101-250,NEGATIVE_MARKET,4976,35,-0.04670200458160345,-0.03499992711637436,P4_SUBPERIOD_2023
251-500,POSITIVE_MARKET,8357,35,0.027481276909423924,0.03435599736123263,P4_SUBPERIOD_2023
251-500,NEGATIVE_MARKET,8339,35,-0.04472373984143341,-0.014248618885364031,P4_SUBPERIOD_2023
501-750,POSITIVE_MARKET,8387,35,0.023234727754654738,0.03934535943130346,P4_SUBPERIOD_2023
501-750,NEGATIVE_MARKET,8408,35,-0.037010149164403094,-0.028565204268977795,P4_SUBPERIOD_2023
751-1000,POSITIVE_MARKET,8551,35,0.018125923474127115,0.05283017311415205,P4_SUBPERIOD_2023
751-1000,NEGATIVE_MARKET,8564,35,-0.029621331708301446,-0.016982351190124746,P4_SUBPERIOD_2023
1001-1500,POSITIVE_MARKET,17039,35,0.019855016250484914,0.044986216804223864,P4_SUBPERIOD_2023
1001-1500,NEGATIVE_MARKET,17018,35,-0.029738014219199638,-0.017832327245524977,P4_SUBPERIOD_2023
1501-2000,POSITIVE_MARKET,17126,35,0.019009825078787457,0.027075688387349136,P4_SUBPERIOD_2023
1501-2000,NEGATIVE_MARKET,17155,35,-0.02804892085966948,-0.00981886536158295,P4_SUBPERIOD_2023
1-25,POSITIVE_MARKET,799,36,0.03108291221689785,0.04277890522154244,P4_SUBPERIOD_2024
1-25,NEGATIVE_MARKET,797,36,-0.0409723395035706,-0.03982862971312842,P4_SUBPERIOD_2024
26-100,POSITIVE_MARKET,2625,36,0.03816702834045271,0.04714179675464375,P4_SUBPERIOD_2024
26-100,NEGATIVE_MARKET,2613,36,-0.05001663546824209,-0.04830332232645358,P4_SUBPERIOD_2024
101-250,POSITIVE_MARKET,5112,36,0.0339407318787992,14.452480800987178,P4_SUBPERIOD_2024
101-250,NEGATIVE_MARKET,5163,36,-0.04570215154251056,-0.0387307348644866,P4_SUBPERIOD_2024
251-500,POSITIVE_MARKET,8580,36,0.03418324841456899,0.0455292618801445,P4_SUBPERIOD_2024
251-500,NEGATIVE_MARKET,8629,36,-0.049854572408991604,-0.04637624170793411,P4_SUBPERIOD_2024
501-750,POSITIVE_MARKET,8414,36,0.03055047018515522,0.07578493320483941,P4_SUBPERIOD_2024
501-750,NEGATIVE_MARKET,8530,36,-0.03896984618654975,-0.031303971049780444,P4_SUBPERIOD_2024
751-1000,POSITIVE_MARKET,8588,36,0.01944193885993495,0.04405203514477244,P4_SUBPERIOD_2024
751-1000,NEGATIVE_MARKET,8659,36,-0.034592135988286254,320.28191043972976,P4_SUBPERIOD_2024
1001-1500,POSITIVE_MARKET,17340,36,0.011203904044050028,0.036651024952629424,P4_SUBPERIOD_2024
1001-1500,NEGATIVE_MARKET,17478,36,-0.029645781855954012,-0.029195272738904435,P4_SUBPERIOD_2024
1501-2000,POSITIVE_MARKET,17448,36,0.00824159528792523,0.027781207347326458,P4_SUBPERIOD_2024
1501-2000,NEGATIVE_MARKET,17505,36,-0.028809110068258925,-0.03083258933606663,P4_SUBPERIOD_2024
1-25,POSITIVE_MARKET,1277,60,0.02537148543318124,0.034319713842128716,P4_SUBPERIOD_2025-26
1-25,NEGATIVE_MARKET,1282,60,-0.025957130304582188,-0.031953387803378,P4_SUBPERIOD_2025-26
26-100,POSITIVE_MARKET,4213,60,0.028295024039022287,0.03699382617424556,P4_SUBPERIOD_2025-26
26-100,NEGATIVE_MARKET,4237,60,-0.0321056870440275,-0.037114793564201325,P4_SUBPERIOD_2025-26
101-250,POSITIVE_MARKET,8268,60,0.02654116079682256,0.03728848249382743,P4_SUBPERIOD_2025-26
101-250,NEGATIVE_MARKET,8306,60,-0.030213121062526438,-0.03357697450847773,P4_SUBPERIOD_2025-26
251-500,POSITIVE_MARKET,14068,60,0.021290757811233463,0.031176463334225572,P4_SUBPERIOD_2025-26
251-500,NEGATIVE_MARKET,14115,60,-0.03206896050572072,-0.03817234894187175,P4_SUBPERIOD_2025-26
501-750,POSITIVE_MARKET,13983,60,0.022193301088641704,0.04626752982716551,P4_SUBPERIOD_2025-26
501-750,NEGATIVE_MARKET,14184,60,-0.026880638796247358,-0.027635147129074108,P4_SUBPERIOD_2025-26
751-1000,POSITIVE_MARKET,14512,60,0.014811054965973236,0.03093249224234615,P4_SUBPERIOD_2025-26
751-1000,NEGATIVE_MARKET,14527,60,-0.024751899798968302,-0.02911627016937528,P4_SUBPERIOD_2025-26
1001-1500,POSITIVE_MARKET,28870,60,0.009706891474666746,0.027900068220457357,P4_SUBPERIOD_2025-26
1001-1500,NEGATIVE_MARKET,28981,60,-0.022202617262167323,-0.02825020727242171,P4_SUBPERIOD_2025-26
1501-2000,POSITIVE_MARKET,28960,60,0.005703098693445652,0.02075696280045076,P4_SUBPERIOD_2025-26
1501-2000,NEGATIVE_MARKET,28996,60,-0.02361768733738573,-0.03362522930855229,P4_SUBPERIOD_2025-26
1-25,POSITIVE_MARKET,4689,219,0.030776628342093826,0.043089915494926107,P5_EQW_IMPULSE
1-25,NEGATIVE_MARKET,4721,221,-0.05405971918703889,-0.060580501048466795,P5_EQW_IMPULSE
26-100,POSITIVE_MARKET,15334,219,0.031825144640551084,0.04505844194561877,P5_EQW_IMPULSE
26-100,NEGATIVE_MARKET,15664,221,-0.06409296522766544,-0.06899666099436062,P5_EQW_IMPULSE
101-250,POSITIVE_MARKET,31606,219,0.02798424153133472,2.4684050239847286,P5_EQW_IMPULSE
101-250,NEGATIVE_MARKET,31224,221,-0.06067015777113083,-0.0618449461447923,P5_EQW_IMPULSE
251-500,POSITIVE_MARKET,52704,219,0.02324793099306577,0.07992515572972758,P5_EQW_IMPULSE
251-500,NEGATIVE_MARKET,52524,221,-0.06026121671006607,-0.06332627596270553,P5_EQW_IMPULSE
501-750,POSITIVE_MARKET,53003,219,0.022971180422838522,1.0814712234871444,P5_EQW_IMPULSE
501-750,NEGATIVE_MARKET,52619,220,-0.052796849394378564,-0.04695879126566554,P5_EQW_IMPULSE
751-1000,POSITIVE_MARKET,53698,219,0.018125876881008973,51.792277994168316,P5_EQW_IMPULSE
751-1000,NEGATIVE_MARKET,53650,220,-0.04954173184591182,-0.04548005144635925,P5_EQW_IMPULSE
1001-1500,POSITIVE_MARKET,107221,219,0.01625351203701242,0.10663974679589401,P5_EQW_IMPULSE
1001-1500,NEGATIVE_MARKET,107129,220,-0.04542584443135389,-0.04484932239016786,P5_EQW_IMPULSE
1501-2000,POSITIVE_MARKET,107307,219,0.013552013528568718,0.11293243078332997,P5_EQW_IMPULSE
1501-2000,NEGATIVE_MARKET,107335,220,-0.043378460095519045,-0.04992737067311198,P5_EQW_IMPULSE
1-25,POSITIVE_MARKET,3437,160,0.04936292540083653,0.06222920259486925,P6_TRUNCATED_PRE2025
1-25,NEGATIVE_MARKET,3430,160,-0.06106069743775622,-0.06333330895308457,P6_TRUNCATED_PRE2025
26-100,POSITIVE_MARKET,11297,160,0.05015551161371978,0.06229179047289793,P6_TRUNCATED_PRE2025
26-100,NEGATIVE_MARKET,11320,160,-0.0674682519468987,-0.06742344301315954,P6_TRUNCATED_PRE2025
101-250,POSITIVE_MARKET,22952,160,0.04411481305059939,3.275079213544913,P6_TRUNCATED_PRE2025
101-250,NEGATIVE_MARKET,22967,160,-0.06139677011994138,-0.0495206883834833,P6_TRUNCATED_PRE2025
251-500,POSITIVE_MARKET,38398,160,0.03846766001973767,0.054381971950837396,P6_TRUNCATED_PRE2025
251-500,NEGATIVE_MARKET,38529,160,-0.06034715263333712,-0.05315062337560737,P6_TRUNCATED_PRE2025
501-750,POSITIVE_MARKET,38596,160,0.035919676424050584,0.07952057234744714,P6_TRUNCATED_PRE2025
501-750,NEGATIVE_MARKET,38695,160,-0.050701811713974254,0.027287765582619222,P6_TRUNCATED_PRE2025
751-1000,POSITIVE_MARKET,39017,160,0.03129169121580899,0.08922410596555569,P6_TRUNCATED_PRE2025
751-1000,NEGATIVE_MARKET,39198,160,-0.04776750927716711,70.74852460903695,P6_TRUNCATED_PRE2025
1001-1500,POSITIVE_MARKET,78120,160,0.029981087863226175,0.07519205154051899,P6_TRUNCATED_PRE2025
1001-1500,NEGATIVE_MARKET,78368,160,-0.04647225620111778,-0.026197121696978295,P6_TRUNCATED_PRE2025
1501-2000,POSITIVE_MARKET,77957,160,0.03002450150934699,0.06914060150427082,P6_TRUNCATED_PRE2025
1501-2000,NEGATIVE_MARKET,78559,160,-0.04647597962419203,-0.04306789513180151,P6_TRUNCATED_PRE2025
