window,rank_lo,rank_hi,center,n_asset_days,n_dates,R2_pooled,corr_band_median
25,937,961,949,54455,2194,9.884431214302047e-06,0.06100316042271332
25,949,973,961,54402,2194,3.687887719650007e-07,0.05980181383430976
25,961,985,973,54351,2194,1.5772706420946747e-06,0.06802663841674508
25,973,997,985,54377,2194,6.9015950900919165e-06,0.07694954150842268
25,985,1009,997,54375,2194,6.857556033579293e-06,0.07531383017306213
25,997,1021,1009,54295,2194,1.2045629610213382e-05,0.07173708225805658
25,1009,1033,1021,54339,2194,8.132899487423018e-06,0.07047174995522189
25,1021,1045,1033,54451,2194,2.7612779806007737e-06,0.07994154278624042
25,1033,1057,1045,54467,2194,2.688372181314236e-06,0.07828331122705363
25,1045,1069,1057,54452,2194,2.4324860807389825e-05,0.0781372581109932
25,1057,1081,1069,54447,2194,3.976086250689903e-06,0.07683263054304802
25,1069,1093,1081,54490,2194,3.7701861564931605e-06,0.07906386820752269
25,1081,1105,1093,54510,2194,2.4991971416588044e-05,0.08591093009603237
25,1093,1117,1105,54495,2194,5.742696903676681e-06,0.09187282488570259
25,1105,1129,1117,54440,2194,2.097358185682019e-06,0.08397550022755995
25,1117,1141,1129,54376,2194,6.654076815548748e-06,0.08436160398557696
25,1129,1153,1141,54322,2194,4.8329364489507753e-05,0.07561922045368694
25,1141,1165,1153,54321,2194,5.1618404621867064e-05,0.08277848493315627
25,1153,1177,1165,54353,2194,4.248534731909892e-05,0.09263076504250627
25,1165,1189,1177,54399,2194,2.657396879512941e-05,0.08473510708315143
25,1177,1201,1189,54477,2194,1.3322682737682001e-05,0.07576678666448035
25,1189,1213,1201,54525,2194,3.2196972850284666e-05,0.07918696982676189
25,1201,1225,1213,54510,2194,3.723240048059129e-05,0.08373947604917802
25,1213,1237,1225,54494,2194,1.7082118310862704e-05,0.08170122365473446
25,1225,1249,1237,54443,2194,7.724730359692789e-05,0.08387182330410736
25,1237,1261,1249,54372,2194,8.847550235291379e-05,0.0861609397808152
25,1249,1273,1261,54327,2194,1.84999595183033e-05,0.08296237220046587
25,1261,1285,1273,54301,2194,6.001380768227982e-06,0.08521441926067157
25,1273,1297,1285,54311,2194,1.1575446755673902e-05,0.0879122720539422
25,1285,1309,1297,54348,2194,1.7513054718198973e-05,0.07863667125130916
25,1297,1321,1309,54356,2194,3.21691604920904e-06,0.0792277201927622
25,1309,1333,1321,54320,2194,4.725057278776035e-08,0.08651125940895986
25,1321,1345,1333,54262,2194,1.7207341407310395e-07,0.08409651861469432
25,1333,1357,1345,54295,2194,5.079981118427668e-06,0.07993924868037029
25,1345,1369,1357,54321,2194,1.5600398704740392e-05,0.06087073127751685
25,1357,1381,1369,54329,2194,6.378782628246871e-05,0.1102429555783344
25,1369,1393,1381,54319,2194,0.00011917272839490067,0.11906880670552696
25,1381,1405,1393,54239,2194,9.812680696663634e-05,0.10579424742434997
25,1393,1417,1405,54191,2194,4.987949109047651e-05,0.11026211174667473
25,1405,1429,1417,54191,2194,1.0956347637036679e-05,0.1085114104410801
25,1417,1441,1429,54193,2194,9.488482486275096e-06,0.11078926278648699
25,1429,1453,1441,54189,2194,8.52058093447905e-05,0.14243616483494836
25,1441,1465,1453,54178,2194,5.257149145576623e-05,0.11048737242400215
25,1453,1477,1465,54171,2194,1.537092163961251e-05,0.09591772810528099
25,1465,1489,1477,54187,2194,1.4351271213186578e-05,0.0917333013837661
25,1477,1501,1489,54191,2194,4.684449756953146e-05,0.10529784628488265
25,1489,1513,1501,54213,2194,8.544204531113486e-05,0.07444440902594043
25,1501,1525,1513,54176,2194,0.0001836380578562613,0.07220842355173739
25,1513,1537,1525,54134,2194,4.080651978488614e-05,0.06810735908866158
25,1525,1549,1537,54077,2194,4.1114896752181274e-05,0.06613879305271082
25,1537,1561,1549,54044,2194,6.0942313456768815e-06,0.07876906411325617
25,1549,1573,1561,54087,2194,3.622003438841226e-06,0.058670347377090294
25,1561,1585,1573,54081,2194,2.046608550165807e-05,0.050106097070011804
25,1573,1597,1585,54118,2194,2.976096985329857e-05,0.047661636375072945
25,1585,1609,1597,54153,2194,4.1324332106240647e-05,0.05940508144882915
25,1597,1621,1609,54148,2194,5.162302205952152e-05,0.061522317734188654
25,1609,1633,1621,54146,2194,1.8025496659745954e-06,0.06949639334563681
25,1621,1645,1633,54132,2194,2.284425342780061e-06,0.06894976669974288
25,1633,1657,1645,54073,2194,7.583329820759488e-07,0.0744038770138225
25,1645,1669,1657,54029,2194,6.17930479340778e-07,0.07304765832051915
25,1657,1681,1669,54025,2194,9.959985614038658e-09,0.0579336318665733
25,1669,1693,1681,53969,2194,1.9440687799798795e-05,0.018367031288453045
25,1681,1705,1693,53947,2194,3.614521940176196e-05,0.11596719548810658
25,1693,1717,1705,54021,2194,4.10602279938832e-05,0.050247515216421075
25,1705,1729,1717,54004,2194,5.209702817843276e-05,0.056871005110416054
25,1717,1741,1729,53961,2194,0.00013347176611178124,0.12764575465692632
25,1729,1753,1741,54011,2194,0.00015264543774107242,0.10262704229466255
25,1741,1765,1753,53995,2194,0.0003392409346916203,0.062480680557985245
25,1753,1777,1765,53953,2194,0.0002290613310873546,0.07277220136137867
25,1765,1789,1777,53985,2194,7.276928552479855e-05,0.06653948559281833
25,1777,1801,1789,54010,2194,7.927560203757622e-05,0.06096371381532809
25,1789,1813,1801,54020,2194,6.627975155770738e-05,0.06025102696813852
25,1801,1825,1813,54041,2194,7.309965031720989e-05,0.06930240578612283
25,1813,1837,1825,54036,2194,5.74834397609747e-05,0.0691780462049635
25,1825,1849,1837,53959,2194,6.0647089325627235e-05,0.055608718896909104
25,1837,1861,1849,53811,2194,1.6070898715137005e-06,0.061107975537749215
25,1849,1873,1861,53751,2194,2.139185463101434e-06,0.04852269445705534
25,1861,1885,1873,53777,2194,4.5208151739584146e-05,0.03363291488017439
25,1873,1897,1885,53798,2194,2.7349844082924513e-05,0.055602263057668265
25,1885,1909,1897,53850,2194,1.261381871531242e-05,0.08295891313184134
25,1897,1921,1909,53923,2194,2.726346042858374e-05,0.07825735931734126
25,1909,1933,1921,53961,2193,2.4511151556882993e-05,0.06969447214703203
25,1921,1945,1933,53997,2193,6.321502585171501e-06,0.07095008878221365
25,1933,1957,1945,54009,2194,9.233526436336348e-06,0.08553849628386734
25,1945,1969,1957,53933,2194,2.173173386421645e-05,0.0684677388885493
25,1957,1981,1969,53870,2194,3.6877478536423425e-05,0.28552877292327145
25,1969,1993,1981,53848,2194,4.0252016020869696e-05,0.2856245587060688
50,1,51,26,111921,2195,0.0009473851861215854,0.08640995932127475
50,26,76,51,111905,2195,0.0009180892475807445,0.08134355540272341
50,51,101,76,111902,2195,0.0010113427094319283,0.0797406939871058
50,76,126,101,111892,2195,0.0011903916952430427,0.08022328080348833
50,101,151,126,111834,2195,0.0010822428423186148,0.0755623237238495
50,126,176,151,111742,2195,0.0011697248506806757,0.07360069754539711
50,151,201,176,111539,2195,6.898270286492814e-05,0.07310067382769307
50,176,226,201,111254,2195,6.768657185318716e-05,0.08030415500981698
50,201,251,226,110916,2195,6.792213036399541e-05,0.08044603608989108
50,226,276,251,111087,2195,1.5212525842245306e-05,0.07609215324668477
50,251,301,276,111567,2195,3.3367748577428635e-05,0.07320018638878047
50,276,326,301,111545,2195,2.784246926168521e-05,0.07159044782628501
50,301,351,326,111532,2195,1.563828612161089e-07,0.07179804068773359
50,326,376,351,111529,2195,1.7499184135072454e-07,0.07167365491240162
50,351,401,376,111458,2195,5.9597686261070315e-05,0.07085324408412094
50,376,426,401,111441,2195,4.903619060137032e-05,0.06778668051024273
50,401,451,426,111321,2195,3.3665231035318044e-05,0.06645707435577732
50,426,476,451,111185,2195,1.0253041512475747e-05,0.06405501332999647
50,451,501,476,110758,2195,7.717404648999171e-06,0.06557350336960144
50,476,526,501,110110,2195,4.6077087723084276e-07,0.07284257998114854
50,501,551,526,110382,2194,3.2738707800294975e-07,0.07755644076624506
50,526,576,551,111141,2194,1.4645588326533954e-05,0.07495559775401578
50,551,601,576,111150,2194,3.052818220439235e-09,0.073639724965531
50,576,626,601,111147,2194,2.2489543560766379e-10,0.0719160016346679
50,601,651,626,111199,2194,1.5203670578056716e-07,0.0664564040202767
50,626,676,651,111238,2194,8.580824750747951e-08,0.06374291732164256
50,651,701,676,111318,2194,7.413109814891072e-08,0.07481653182603579
50,676,726,701,111330,2194,3.119595017864185e-07,0.06784762079405939
50,701,751,726,111275,2194,8.406182638864834e-09,0.06961997887651147
50,726,776,751,111213,2194,7.436583793207774e-09,0.07437214340867174
50,751,801,776,111187,2194,7.207667795938733e-11,0.07199008748936109
50,776,826,801,111154,2194,7.638644251417581e-05,0.06808213736296201
50,801,851,826,111113,2194,7.658997740245255e-05,0.06435773316220755
50,826,876,851,111087,2194,0.00012702542167541964,0.08201354322892046
50,851,901,876,111056,2194,1.7291706517763572e-05,0.0833664413920211
50,876,926,901,111100,2194,8.820613448823345e-05,0.09082240450035757
50,901,951,926,111166,2194,6.3455428789716e-05,0.08070241242460985
50,926,976,951,111050,2194,3.688498848908317e-06,0.0720951713225548
50,951,1001,976,110943,2194,2.1672736233435685e-06,0.07210852038179029
50,976,1026,1001,110867,2194,6.313516642486583e-06,0.07575642482528287
50,1001,1051,1026,110953,2194,4.425649234418572e-06,0.079086289080357
50,1026,1076,1051,111094,2194,7.119844043113055e-06,0.08243260665503448
50,1051,1101,1076,111143,2194,6.372014461741848e-06,0.08317801248483198
50,1076,1126,1101,111144,2194,3.533530888000236e-06,0.08795342288236471
50,1101,1151,1126,110962,2194,6.228018236797972e-06,0.08811778318972677
50,1126,1176,1151,110835,2194,4.042251753300086e-05,0.09217442645317518
50,1151,1201,1176,110995,2194,2.393644038267695e-05,0.08692426307214755
50,1176,1226,1201,111160,2194,2.4834064730416827e-05,0.08322253066412177
50,1201,1251,1226,111131,2194,4.8782165161687097e-05,0.08759305152522352
50,1226,1276,1251,110923,2194,3.432612975740046e-05,0.08676240283549781
50,1251,1301,1276,110815,2194,1.1683831872111305e-05,0.08740046062738947
50,1276,1326,1301,110824,2194,2.43304109759368e-06,0.08687342691941707
50,1301,1351,1326,110800,2194,6.727303418774255e-07,0.08466146262473993
50,1326,1376,1351,110786,2194,4.0493919356565655e-06,0.08724774790939391
50,1351,1401,1376,110753,2194,4.754548904095657e-05,0.10685236950143591
50,1376,1426,1401,110635,2194,3.3978186830152524e-05,0.10701781474164024
50,1401,1451,1426,110547,2194,1.9675328618573573e-06,0.12950210233148687
50,1426,1476,1451,110537,2194,1.166055327628257e-06,0.11127114147453962
50,1451,1501,1476,110535,2194,1.897243218040856e-05,0.09919181720789165
50,1476,1526,1501,110524,2194,2.7546784924559198e-05,0.08052558959169846
50,1501,1551,1526,110404,2194,0.0001026205607823627,0.07610510278518737
50,1526,1576,1551,110330,2194,9.202789635454067e-06,0.058378497410617666
50,1551,1601,1576,110384,2194,9.018452710618519e-06,0.04924533435907211
50,1576,1626,1601,110444,2194,3.9858450586738314e-06,0.06245837234363728
50,1601,1651,1626,110409,2194,4.462088348811122e-07,0.07086990411043965
50,1626,1676,1651,110311,2194,3.617296009394977e-07,0.07724053350144082
50,1651,1701,1676,110138,2194,7.679010249894702e-08,0.06508536317446031
50,1676,1726,1701,110116,2194,4.4411794913545855e-05,0.0663846493584992
50,1701,1751,1726,110169,2194,9.448827072877641e-05,0.0798193513620566
50,1726,1776,1751,110128,2194,0.00018514521209878065,0.086149284373285
50,1751,1801,1776,110137,2194,0.00015583329196522389,0.06639450716422132
50,1776,1826,1801,110202,2194,7.559680117275036e-05,0.06321238058904048
50,1801,1851,1826,110150,2194,5.8337197566649124e-05,0.06308743421494677
50,1826,1876,1851,109861,2194,4.199906151636235e-06,0.05414156244680098
50,1851,1901,1876,109713,2194,4.153358541203467e-06,0.049010039306010986
50,1876,1926,1901,109880,2194,2.5641032520784535e-05,0.07331159431281328
50,1901,1951,1926,110075,2194,8.281168932477989e-06,0.07960679503161737
50,1926,1976,1951,110037,2194,0.0001224539108346523,0.08590746432017696
100,1,101,51,221630,2195,0.0011706180019261936,0.08404985236224151
100,51,151,101,221541,2195,0.0010460627987962656,0.07791915059081062
100,101,201,151,221180,2195,3.43240296307723e-05,0.07529165771236948
100,151,251,201,220279,2195,3.4334684954506756e-05,0.07858710956310445
100,201,301,251,220302,2195,3.4360353004858624e-05,0.07906465993628793
100,251,351,301,220912,2195,6.114977432192248e-07,0.07280552158989896
100,301,401,351,220801,2195,5.071293992520154e-07,0.07204295589032308
100,351,451,401,220597,2195,4.4356974979842256e-05,0.06879955977282735
100,401,501,451,219896,2195,1.2450973920663522e-05,0.06681457027130656
100,451,551,501,219036,2195,4.192249913881341e-08,0.06989494581492585
100,501,601,551,219351,2194,5.2074192624651516e-08,0.07860261645636044
100,551,651,601,220173,2194,4.243610041143597e-08,0.07226138704808607
100,601,701,651,220335,2194,8.634853188027591e-08,0.07067392627310996
100,651,751,701,220417,2194,1.6637088373627762e-09,0.0711374853437327
100,701,801,751,220281,2194,4.302390888000218e-09,0.07309942468286347
100,751,851,801,220116,2194,3.828863956945039e-05,0.07072713400709806
100,801,901,851,219991,2194,3.8371200656861504e-05,0.07955607328195571
100,851,951,901,220044,2194,3.457723331279361e-05,0.08378020132026034
100,901,1001,951,219931,2194,1.1970220670787235e-05,0.07704217210347553
100,951,1051,1001,219715,2194,3.042173981615548e-06,0.07761091403284869
100,1001,1101,1051,219912,2194,5.357134285510767e-06,0.08244489659843215
100,1051,1151,1101,219918,2194,5.887400341464399e-06,0.08604358050671203
100,1101,1201,1151,219791,2194,9.922257047545457e-06,0.08798511095338221
100,1151,1251,1201,219943,2194,3.405327669270264e-05,0.08747139366606611
100,1201,1301,1251,219765,2194,1.884294626586236e-05,0.08931041577994088
100,1251,1351,1301,219447,2194,2.628979109964291e-06,0.08823441094827261
100,1301,1401,1351,219380,2194,3.7363963287795343e-06,0.08718632287044728
100,1351,1451,1401,219139,2194,3.64471480773787e-08,0.1209414319446702
100,1401,1501,1451,218907,2194,5.396553204306542e-10,0.11580375330183452
100,1451,1551,1501,218772,2194,2.539027637260549e-05,0.07816951900411641
100,1501,1601,1551,218630,2194,3.365328640081433e-05,0.07074674645745899
100,1551,1651,1601,218627,2194,3.0162852215909197e-07,0.06506699285408704
100,1601,1701,1651,218392,2194,2.563802014021732e-07,0.0704436047689004
100,1651,1751,1701,218153,2194,4.7614242404403484e-07,0.07586614467128734
100,1701,1801,1751,218146,2194,0.00011908331176335718,0.07491243638762775
100,1751,1851,1801,218124,2194,9.99977208234748e-05,0.06339671785747553
100,1801,1901,1851,217704,2194,6.971919396692172e-06,0.06384331276877815
100,1851,1951,1901,217636,2194,6.125017527724985e-06,0.05517046560447484
