n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
2,0.008032128514056224,1.0,20.037412935024264,20.037412935024264,,22.83894886965919,-5.311350196359662,3.0,5.0,0.0,B,PO-PA-TA-PO,False,exploratory,,,
2,0.008032128514056224,0.5,-2.548241348006141,-2.548241348006141,0.7185328018030722,13.971068687888662,-10.850699948172739,4.5,3.5,0.5,B,PA-PA-PA-PO,False,exploratory,,,
2,0.009523809523809525,1.0,14.91383880203657,14.91383880203657,,28.682481914871897,-1.124119626722583,5.0,2.0,0.0,A,MA-PA,False,exploratory,,,
2,0.009523809523809525,1.0,15.73721703817715,15.73721703817715,,26.932753567805925,0.0,3.5,1.0,0.0,A,MO-PO,False,exploratory,,,
2,0.009523809523809525,0.5,15.2519013737441,15.2519013737441,5.380831203749641,24.868666058779002,-8.151154622087205,3.5,2.0,0.5,A,MO-MA-MO,False,exploratory,,,
2,0.008032128514056224,1.0,18.201630983675532,18.201630983675532,,23.122747042517858,-4.159872728708458,2.0,4.5,0.0,B,PA-TA-TA-PA,False,exploratory,,,
2,0.008032128514056224,0.5,-8.78915426124459,-8.78915426124459,0.4321782277082174,9.899463856967685,-16.407815209219432,4.0,2.5,0.5,B,PO-PA-MA-PO,False,exploratory,,,
2,0.008032128514056224,1.0,19.489234501136153,19.489234501136153,,30.43017766312716,-0.1447820060115496,1.5,4.5,0.0,B,PO-PA,False,exploratory,,,
2,0.008032128514056224,1.0,26.396161451238527,26.396161451238527,,31.790821660812238,-4.869072291404205,2.0,5.0,0.0,B,PO-MO-TO-PO,False,exploratory,,,
2,0.008032128514056224,0.5,1.2099717223619306,1.2099717223619306,1.1664814121809683,11.787351019952952,-10.928979897150972,3.5,3.5,0.5,B,PO-TO-PA-PA,False,exploratory,,,
