n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,daily_tier,fingerprint,eligible,status
7,0.03333333333333333,0.8571428571428571,10.250557895051319,6.755947940150353,3.8779281135419015,21.887717096458072,-7.11840040453736,3.7142857142857144,2.5714285714285716,0.14285714285714285,A,T3,aligned_midpoint_p90,False,exploratory
101,0.48095238095238096,0.693069306930693,10.935870422713073,14.24707366761808,2.5992403139258147,24.397268863145886,-9.056033313806534,3.801980198019802,2.5445544554455446,0.3069306930693069,A,NO-GO,baseline,True,research
33,0.15714285714285714,0.696969696969697,8.445097891802167,12.982260754743686,2.011838587048933,22.324942803455933,-10.999738969226408,3.787878787878788,2.606060606060606,0.30303030303030304,A,NO-GO,tier_impulse_present,True,research
17,0.08095238095238096,0.6470588235294118,7.189607724733099,12.933064249586396,1.7274460110140888,21.002192215406495,-13.863963554006665,3.6470588235294117,3.176470588235294,0.35294117647058826,A,NO-GO,aligned_tier_impulse,False,exploratory
62,0.29523809523809524,0.6935483870967742,9.932699703300653,13.132994708085349,2.498923953745707,22.458948876564282,-9.495031733280998,3.725806451612903,2.596774193548387,0.3064516129032258,A,NO-GO,p90_present,True,research
56,0.26666666666666666,0.7142857142857143,11.861953911523102,15.3317008260425,2.9861124056971375,23.619038347261217,-8.883701292498921,3.8392857142857144,2.5357142857142856,0.2857142857142857,A,NO-GO,aligned_p90,True,research
16,0.0761904761904762,0.75,11.786004201136633,17.732248306113952,4.2878762071348895,21.33764933492803,-7.332561975551956,4.375,2.5,0.25,A,NO-GO,aligned_midpoint_p90,False,exploratory
47,0.22380952380952382,0.723404255319149,14.89263133310978,12.240020746675857,4.260094096074082,27.31266004787941,-5.980756010997439,3.8085106382978724,2.382978723404255,0.2765957446808511,A,NA,baseline,True,research
6,0.02857142857142857,0.8333333333333334,19.403665776702127,20.8563724304899,15.983939318529247,30.603423105493505,-1.2769014359769064,3.5,1.5,0.16666666666666666,A,NA,tier_impulse_present,False,exploratory
4,0.01904761904761905,1.0,27.39695051601504,28.21529349631546,,38.3737812846825,0.0,4.25,1.0,0.0,A,NA,aligned_tier_impulse,False,exploratory
17,0.08095238095238096,0.8823529411764706,24.491657381788578,14.662750844535395,43.06321702087708,33.38624403305446,-1.4571553101670782,3.8823529411764706,1.8823529411764706,0.11764705882352941,A,NA,p90_present,False,exploratory
12,0.05714285714285714,0.8333333333333334,17.41506534408965,13.45315278851956,22.1126011051918,27.746746100545877,-2.0643033560700275,3.6666666666666665,2.25,0.16666666666666666,A,NA,aligned_p90,False,exploratory
4,0.01904761904761905,1.0,30.087450753292305,13.48253915569597,,37.85078480521112,-0.5620598133612915,4.0,1.5,0.0,A,NA,aligned_midpoint_p90,False,exploratory
9,0.03614457831325301,0.4444444444444444,-2.1767982306282594,-0.2567785320854048,0.8352047924176549,14.24553195825482,-17.060384475800397,3.3333333333333335,3.3333333333333335,0.5555555555555556,B,T1,baseline,False,exploratory
1,0.004016064257028112,1.0,24.307276624320764,24.307276624320764,,27.679880463516426,-11.065738013517851,2.0,6.0,0.0,B,T1,tier_impulse_present,False,exploratory
1,0.004016064257028112,1.0,24.307276624320764,24.307276624320764,,27.679880463516426,-11.065738013517851,2.0,6.0,0.0,B,T1,aligned_tier_impulse,False,exploratory
2,0.008032128514056224,1.0,28.738579612570586,28.738579612570586,,31.012514081444845,-5.8126678722997145,2.0,6.0,0.0,B,T1,p90_present,False,exploratory
2,0.008032128514056224,1.0,28.738579612570586,28.738579612570586,,31.012514081444845,-5.8126678722997145,2.0,6.0,0.0,B,T1,aligned_p90,False,exploratory
1,0.004016064257028112,1.0,33.16988260082041,33.16988260082041,,34.345147699373264,-0.5595977310815782,2.0,6.0,0.0,B,T1,aligned_midpoint_p90,False,exploratory
1,0.004016064257028112,1.0,24.307276624320764,24.307276624320764,,27.679880463516426,-11.065738013517851,2.0,6.0,0.0,B,T1,aligned_rekey_p90,False,exploratory
31,0.12449799196787148,0.4838709677419355,-2.944237047421707,-3.077665501043583,0.7879392141741387,16.46119419435196,-14.435586778903454,3.0,3.193548387096774,0.5161290322580645,B,T2,baseline,True,research
7,0.028112449799196786,0.5714285714285714,2.8066037660531937,1.5703431501079939,1.2661749705585057,19.367848799221044,-10.7934000996656,2.4285714285714284,2.857142857142857,0.42857142857142855,B,T2,tier_impulse_present,False,exploratory
3,0.012048192771084338,0.3333333333333333,-11.595358929076752,-18.804130957415932,0.36724885887236536,12.401541466480689,-19.232558617445232,4.0,2.0,0.6666666666666666,B,T2,aligned_tier_impulse,False,exploratory
9,0.03614457831325301,0.5555555555555556,1.5423748324608806,1.5703431501079939,1.1198790154180258,19.24332501583873,-13.577207617282248,2.888888888888889,3.0,0.4444444444444444,B,T2,p90_present,False,exploratory
4,0.01606425702811245,0.25,-19.192872747465813,-27.48796053155867,0.20822572441428355,9.301156099860517,-24.468311787538305,4.5,1.75,0.75,B,T2,aligned_p90,False,exploratory
2,0.008032128514056224,0.0,-30.39477258002446,-30.39477258002446,0.0,4.866259237906654,-31.48428473989889,5.5,1.5,1.0,B,T2,aligned_midpoint_p90,False,exploratory
1,0.004016064257028112,1.0,20.18984427588708,20.18984427588708,,27.47210592362876,0.0,1.0,3.0,0.0,B,T2,aligned_rekey_p90,False,exploratory
36,0.14457831325301204,0.5555555555555556,-1.6426122965587273,3.1282704583818974,0.8569356506666019,16.329671124980695,-13.325231935215847,2.9166666666666665,3.25,0.4444444444444444,B,T3,baseline,True,research
11,0.04417670682730924,0.5454545454545454,2.663713900372094,3.5494004252326268,1.3232670656368233,15.73785616069555,-11.58463511574884,3.090909090909091,3.272727272727273,0.45454545454545453,B,T3,tier_impulse_present,False,exploratory
5,0.020080321285140562,0.8,13.26939745852618,22.166913484934533,3.6899941276809463,22.56962679923752,-6.619355300836365,3.0,4.8,0.2,B,T3,aligned_tier_impulse,False,exploratory
16,0.0642570281124498,0.625,8.087675909464965,16.481338620773442,2.3339526594696234,19.468927874360084,-9.13836149481472,2.9375,3.6875,0.375,B,T3,p90_present,False,exploratory
13,0.05220883534136546,0.6153846153846154,8.187878963979555,16.642758776833094,2.518367423704702,19.828173213087858,-8.199068368623701,2.923076923076923,3.6923076923076925,0.38461538461538464,B,T3,aligned_p90,False,exploratory
2,0.008032128514056224,1.0,20.849896791433693,20.849896791433693,,21.897116617478076,0.0,1.0,3.5,0.0,B,T3,aligned_midpoint_p90,False,exploratory
1,0.004016064257028112,1.0,23.044576214416672,23.044576214416672,,24.088772122449726,-5.708015403821146,2.0,6.0,0.0,B,T3,aligned_rekey_p90,False,exploratory
120,0.4819277108433735,0.625,8.767200852586809,8.963946389580437,2.0521866621383995,22.687995443684155,-11.426707796243834,3.0166666666666666,3.85,0.375,B,NO-GO,baseline,True,research
42,0.1686746987951807,0.5952380952380952,9.428178689072084,8.38239622636608,2.0992107426221467,23.267311797111287,-12.391625074174177,3.0714285714285716,3.857142857142857,0.40476190476190477,B,NO-GO,tier_impulse_present,True,research
18,0.07228915662650602,0.6666666666666666,11.340391315594267,9.008086619604363,2.1765980662570334,26.62397563932796,-13.032428593446319,2.7777777777777777,3.7222222222222223,0.3333333333333333,B,NO-GO,aligned_tier_impulse,False,exploratory
71,0.285140562248996,0.6056338028169014,8.429291977940354,8.01022423095003,1.9583235408075315,22.111684558308596,-12.780905319292733,3.0704225352112675,3.8309859154929575,0.39436619718309857,B,NO-GO,p90_present,True,research
68,0.27309236947791166,0.6029411764705882,8.295993702114913,6.283833015327909,1.9580428718589562,22.016871996967616,-12.558163055694196,3.073529411764706,3.823529411764706,0.39705882352941174,B,NO-GO,aligned_p90,True,research
17,0.06827309236947791,0.4117647058823529,-2.1035911228345334,-10.993206871714666,0.828649766551019,14.450640375296642,-16.229308466523314,3.588235294117647,3.4705882352941178,0.5882352941176471,B,NO-GO,aligned_midpoint_p90,False,exploratory
5,0.020080321285140562,1.0,22.67702250073954,21.89452354875714,,23.37114873673777,-6.22629107956032,2.0,4.8,0.0,B,NO-GO,aligned_rekey_p90,False,exploratory
53,0.21285140562248997,0.8113207547169812,18.894275679887283,14.791102385918633,7.494371193535379,27.267661507413923,-6.3811019370038595,2.30188679245283,4.509433962264151,0.18867924528301888,B,NA,baseline,True,research
6,0.024096385542168676,1.0,12.540874767923135,12.903867156548834,,16.689481368775063,-6.749039440174457,2.3333333333333335,4.666666666666667,0.0,B,NA,tier_impulse_present,False,exploratory
5,0.020080321285140562,1.0,11.35190626763405,12.428602701614077,,15.82228250527655,-7.23556598453262,2.4,4.8,0.0,B,NA,aligned_tier_impulse,False,exploratory
24,0.0963855421686747,0.8333333333333334,21.22536875720817,14.796274651473789,9.577791167334109,27.364471966885485,-6.346839494779552,2.2083333333333335,4.583333333333333,0.16666666666666666,B,NA,p90_present,False,exploratory
18,0.07228915662650602,0.7777777777777778,15.73110621123921,12.903867156548834,5.768049454924216,22.650440896559974,-7.884543218771973,2.388888888888889,4.666666666666667,0.2222222222222222,B,NA,aligned_p90,False,exploratory
9,0.03614457831325301,0.7777777777777778,9.739423796943145,12.428602701614077,3.0123658514168277,18.392026245582148,-8.845301921893189,2.7777777777777777,4.333333333333333,0.2222222222222222,B,NA,aligned_midpoint_p90,False,exploratory
