asset,axis,horizon_hours,current_state,next_state,count,prob,next_state_entropy,note
BTC,mark_index_state,4,MI_NORMAL,MI_STRESS_NEGATIVE,380,0.17025089605734767,0.658278401003149,
BTC,mark_index_state,4,MI_STRESS_NEGATIVE,MI_NORMAL,379,0.32532188841201715,0.9100751964153692,
BTC,mark_index_state,4,MI_STRESS_NEGATIVE,MI_STRESS_NEGATIVE,786,0.6746781115879829,0.9100751964153692,
BTC,mark_index_state,8,MI_NORMAL,MI_NORMAL,1723,0.7733393177737882,0.772144547872635,
BTC,mark_index_state,8,MI_NORMAL,MI_STRESS_NEGATIVE,505,0.22666068222621186,0.772144547872635,
BTC,mark_index_state,8,MI_STRESS_NEGATIVE,MI_NORMAL,504,0.43261802575107294,0.9868594305283016,
BTC,mark_index_state,8,MI_STRESS_NEGATIVE,MI_STRESS_NEGATIVE,661,0.567381974248927,0.9868594305283016,
BTC,mark_index_state,24,MI_NORMAL,MI_NORMAL,1620,0.7323688969258589,0.8380448425480175,
BTC,mark_index_state,24,MI_NORMAL,MI_STRESS_NEGATIVE,592,0.26763110307414106,0.8380448425480175,
BTC,mark_index_state,24,MI_STRESS_NEGATIVE,MI_NORMAL,591,0.5072961373390558,0.9998463947890535,
BTC,mark_index_state,24,MI_STRESS_NEGATIVE,MI_STRESS_NEGATIVE,574,0.4927038626609442,0.9998463947890535,
BTC,relative_state,1,BTC_LED,BTC_LED,680,0.6686332350049164,1.0757391915439456,
BTC,relative_state,1,BTC_LED,ETH_LED,35,0.0344149459193707,1.0757391915439456,
BTC,relative_state,1,BTC_LED,SYNCHRONIZED,302,0.2969518190757129,1.0757391915439456,
BTC,relative_state,1,ETH_LED,BTC_LED,34,0.05422647527910686,1.2086529655297884,
BTC,relative_state,1,ETH_LED,ETH_LED,369,0.5885167464114832,1.2086529655297884,
BTC,relative_state,1,ETH_LED,SYNCHRONIZED,224,0.3572567783094099,1.2086529655297884,
BTC,relative_state,1,SYNCHRONIZED,BTC_LED,303,0.1725512528473804,1.175260049265852,
BTC,relative_state,1,SYNCHRONIZED,ETH_LED,223,0.12699316628701596,1.175260049265852,
BTC,relative_state,1,SYNCHRONIZED,SYNCHRONIZED,1230,0.7004555808656037,1.175260049265852,
BTC,relative_state,4,BTC_LED,BTC_LED,534,0.5255905511811023,1.2866836351754798,
BTC,relative_state,4,BTC_LED,ETH_LED,72,0.07086614173228346,1.2866836351754798,
BTC,relative_state,4,BTC_LED,SYNCHRONIZED,410,0.4035433070866142,1.2866836351754798,
BTC,relative_state,4,ETH_LED,BTC_LED,57,0.09090909090909091,1.3465199915902488,
